GUA|BRU,|BRU|EWR|GUA|
GUA|YZP,|YZP|YVR|IAH|GUA|
GUA|YQT,|YQT|YYZ|IAD|GUA|
GUA|SJD,|SJD|IAH|GUA|
GUA|YQF,|YQF|YYC|IAH|GUA|
GUA|YQL,|YQL|YYC|IAH|GUA|
GUA|YXH,|YXH|YYC|IAH|GUA|
GUA|YWK,|YWK|YZV|YUL|IAD|GUA|
GUA|ANU,|ANU|EWR|GUA|
GUA|AUA,|AUA|ATL|IAH|GUA|
GUA|AUH,|AUH|IST|ZRH|MIA|GUA|
GUA|BCN,|BCN|EWR|GUA|
GUA|BDA,|BDA|EWR|GUA|
GUA|BGI,|BGI|YYZ|IAD|GUA|
GUA|BNA,|BNA|IAH|GUA|
GUA|BOG,|BOG|MIA|GUA|
GUA|BWI,|BWI|ORF|IAD|GUA|
GUA|CLE,|CLE|IAD|GUA|
GUA|CLT,|CLT|IAH|GUA|
GUA|CMH,|CMH|IAH|GUA|
GUA|CVG,|CVG|IAH|GUA|
GUA|DFW,|DFW|IAH|GUA|
GUA|DTW,|DTW|IAH|GUA|
GUA|DUB,|DUB|EWR|GUA|
GUA|FCO,|FCO|EWR|GUA|
GUA|GCM,|GCM|IAH|GUA|
GUA|GGT,|GGT|FLL|IAH|GUA|
GUA|GND,|GND|YYZ|IAD|GUA|
GUA|GRU,|GRU|IAH|GUA|
GUA|HAV,|HAV|YYZ|IAD|GUA|
GUA|IND,|IND|IAH|GUA|
GUA|JFK,|JFK|IAD|GUA|
GUA|KIN,|KIN|YYZ|IAD|GUA|
GUA|LIM,|LIM|MIA|GUA|
GUA|LIR,|LIR|IAH|GUA|
GUA|MCI,|MCI|IAH|GUA|
GUA|MDT,|MDT|IAD|GUA|
GUA|MIA,|MIA|GUA|
GUA|MKE,|MKE|IAH|GUA|
GUA|MSP,|MSP|IAH|GUA|
GUA|NAS,|NAS|IAH|GUA|
GUA|PHL,|PHL|IAD|GUA|
GUA|PHX,|PHX|IAH|GUA|
GUA|PIT,|PIT|IAD|GUA|
GUA|PLS,|PLS|EWR|GUA|
GUA|POP,|POP|EWR|GUA|
GUA|RDU,|RDU|IAD|GUA|
GUA|ROC,|ROC|IAD|GUA|
GUA|RSW,|RSW|IAH|GUA|
GUA|SAN,|SAN|IAH|GUA|
GUA|SJO,|SJO|IAH|GUA|
GUA|STL,|STL|IAH|GUA|
GUA|SYR,|SYR|IAD|GUA|
GUA|TLV,|TLV|IST|ZRH|MIA|GUA|
GUA|TPA,|TPA|IAH|GUA|
GUA|UVF,|UVF|EWR|GUA|
GUA|VIE,|VIE|IAD|GUA|
GUA|YAM,|YAM|YYZ|IAD|GUA|
GUA|YGK,|YGK|YYZ|IAD|GUA|
GUA|YQG,|YQG|YYZ|IAD|GUA|
GUA|YSB,|YSB|YYZ|IAD|GUA|
GUA|YTS,|YTS|YYZ|IAD|GUA|
GUA|YYB,|YYB|YYZ|IAD|GUA|
GUA|YZR,|YZR|YYZ|IAD|GUA|
GUA|CAN,|CAN|YVR|IAH|GUA|
GUA|URC,|URC|TSE|FRA|MIA|GUA|
GUA|CTU,|CTU|PEK|IAH|GUA|
GUA|HGH,|HGH|PEK|IAH|GUA|
GUA|XMN,|XMN|PEK|IAH|GUA|
GUA|CGO,|CGO|PEK|IAH|GUA|
GUA|CSX,|CSX|PEK|IAH|GUA|
GUA|SHE,|SHE|ICN|YVR|IAH|GUA|
GUA|SJW,|SJW|DLC|ICN|YVR|IAH|GUA|
GUA|WUH,|WUH|PEK|IAH|GUA|
GUA|SZX,|SZX|PVG|YVR|IAH|GUA|
GUA|CKG,|CKG|PEK|IAH|GUA|
GUA|KMG,|KMG|PEK|IAH|GUA|
GUA|FOC,|FOC|PEK|IAH|GUA|
GUA|NNG,|NNG|PEK|IAH|GUA|
GUA|SWA,|SWA|PEK|IAH|GUA|
GUA|ACX,|ACX|CAN|YVR|IAH|GUA|
GUA|AQG,|AQG|CAN|YVR|IAH|GUA|
GUA|AVA,|AVA|CAN|YVR|IAH|GUA|
GUA|BFJ,|BFJ|CAN|YVR|IAH|GUA|
GUA|BHY,|BHY|CGO|PEK|IAH|GUA|
GUA|BNE,|BNE|CAN|YVR|IAH|GUA|
GUA|CGD,|CGD|PEK|IAH|GUA|
GUA|CGK,|CGK|CAN|YVR|IAH|GUA|
GUA|CGQ,|CGQ|ICN|YVR|IAH|GUA|
GUA|CIH,|CIH|PEK|IAH|GUA|
GUA|CNX,|CNX|CAN|YVR|IAH|GUA|
GUA|CZX,|CZX|SHE|ICN|YVR|IAH|GUA|
GUA|DAC,|DAC|IST|ZRH|MIA|GUA|
GUA|DAD,|DAD|CAN|YVR|IAH|GUA|
GUA|DEL,|DEL|EWR|GUA|
GUA|DIG,|DIG|KMG|PEK|IAH|GUA|
GUA|DLC,|DLC|ICN|YVR|IAH|GUA|
GUA|DPS,|DPS|SZX|PVG|YVR|IAH|GUA|
GUA|DXB,|DXB|IST|ZRH|MIA|GUA|
GUA|DYG,|DYG|PEK|IAH|GUA|
GUA|FUG,|FUG|CAN|YVR|IAH|GUA|
GUA|FUK,|FUK|ICN|YVR|IAH|GUA|
GUA|HAK,|HAK|CAN|YVR|IAH|GUA|
GUA|HAN,|HAN|PEK|IAH|GUA|
GUA|HDG,|HDG|CAN|YVR|IAH|GUA|
GUA|HET,|HET|DLC|ICN|YVR|IAH|GUA|
GUA|HFE,|HFE|XIY|PEK|IAH|GUA|
GUA|HJJ,|HJJ|CSX|PEK|IAH|GUA|
GUA|HKT,|HKT|KWE|PEK|IAH|GUA|
GUA|HRB,|HRB|ICN|YVR|IAH|GUA|
GUA|HZH,|HZH|CAN|YVR|IAH|GUA|
GUA|JIU,|JIU|CAN|YVR|IAH|GUA|
GUA|JJN,|JJN|PEK|IAH|GUA|
GUA|JNG,|JNG|CAN|YVR|IAH|GUA|
GUA|KHN,|KHN|DLC|ICN|YVR|IAH|GUA|
GUA|KIX,|KIX|SFO|IAH|GUA|
GUA|KOW,|KOW|PEK|IAH|GUA|
GUA|KTM,|KTM|IST|ZRH|MIA|GUA|
GUA|KUL,|KUL|PVG|YVR|IAH|GUA|
GUA|KWE,|KWE|PEK|IAH|GUA|
GUA|KWL,|KWL|PEK|IAH|GUA|
GUA|LHW,|LHW|CGO|PEK|IAH|GUA|
GUA|LYA,|LYA|KHN|DLC|ICN|YVR|IAH|GUA|
GUA|LYG,|LYG|HSN|PEK|IAH|GUA|
GUA|LZH,|LZH|CAN|YVR|IAH|GUA|
GUA|MEL,|MEL|SYD|LAX|IAH|GUA|
GUA|MIG,|MIG|CSX|PEK|IAH|GUA|
GUA|MLE,|MLE|IST|ZRH|MIA|GUA|
GUA|MNL,|MNL|XMN|PEK|IAH|GUA|
GUA|MXZ,|MXZ|CAN|YVR|IAH|GUA|
GUA|NAO,|NAO|PEK|IAH|GUA|
GUA|NGB,|NGB|PEK|IAH|GUA|
GUA|NKG,|NKG|DLC|ICN|YVR|IAH|GUA|
GUA|NNY,|NNY|CGO|PEK|IAH|GUA|
GUA|PEN,|PEN|CAN|YVR|IAH|GUA|
GUA|PER,|PER|CAN|YVR|IAH|GUA|
GUA|PNH,|PNH|CAN|YVR|IAH|GUA|
GUA|REP,|REP|ICN|YVR|IAH|GUA|
GUA|RGN,|RGN|CAN|YVR|IAH|GUA|
GUA|SGN,|SGN|HKG|YVR|IAH|GUA|
GUA|SHA,|SHA|PEK|IAH|GUA|
GUA|SIN,|SIN|HKG|YVR|IAH|GUA|
GUA|SVO,|SVO|URC|TSE|FRA|MIA|GUA|
GUA|SYX,|SYX|CAN|YVR|IAH|GUA|
GUA|TAO,|TAO|DLC|ICN|YVR|IAH|GUA|
GUA|TEN,|TEN|PEK|IAH|GUA|
GUA|TNA,|TNA|DLC|ICN|YVR|IAH|GUA|
GUA|TPE,|TPE|PVG|YVR|IAH|GUA|
GUA|TSN,|TSN|DLC|ICN|YVR|IAH|GUA|
GUA|TXN,|TXN|DLC|ICN|YVR|IAH|GUA|
GUA|TYN,|TYN|DLC|ICN|YVR|IAH|GUA|
GUA|WNZ,|WNZ|CGO|PEK|IAH|GUA|
GUA|WUX,|WUX|CAN|YVR|IAH|GUA|
GUA|XFN,|XFN|XMN|PEK|IAH|GUA|
GUA|XIY,|XIY|PEK|IAH|GUA|
GUA|XUZ,|XUZ|LYG|HSN|PEK|IAH|GUA|
GUA|YIH,|YIH|CKG|PEK|IAH|GUA|
GUA|YIW,|YIW|PEK|IAH|GUA|
GUA|YNT,|YNT|SHE|ICN|YVR|IAH|GUA|
GUA|YNZ,|YNZ|DLC|ICN|YVR|IAH|GUA|
GUA|YTY,|YTY|DLC|ICN|YVR|IAH|GUA|
GUA|ZHA,|ZHA|CAN|YVR|IAH|GUA|
GUA|ZYI,|ZYI|PEK|IAH|GUA|
GUA|BAV,|BAV|SJW|DLC|ICN|YVR|IAH|GUA|
GUA|CJU,|CJU|DLC|ICN|YVR|IAH|GUA|
GUA|DSN,|DSN|CGO|PEK|IAH|GUA|
GUA|HMI,|HMI|URC|TSE|FRA|MIA|GUA|
GUA|INC,|INC|PEK|IAH|GUA|
GUA|KHH,|KHH|CGO|PEK|IAH|GUA|
GUA|UYN,|UYN|CGO|PEK|IAH|GUA|
GUA|XNN,|XNN|PEK|IAH|GUA|
GUA|ZUH,|ZUH|PVG|YVR|IAH|GUA|
GUA|YNJ,|YNJ|ICN|YVR|IAH|GUA|
GUA|DAT,|DAT|CIH|PEK|IAH|GUA|
GUA|JHG,|JHG|CKG|PEK|IAH|GUA|
GUA|LJG,|LJG|CKG|PEK|IAH|GUA|
GUA|LXA,|LXA|XIY|PEK|IAH|GUA|
GUA|YCU,|YCU|CSX|PEK|IAH|GUA|
GUA|LZO,|LZO|CSX|PEK|IAH|GUA|
GUA|MDG,|MDG|ICN|YVR|IAH|GUA|
GUA|NGO,|NGO|ICN|YVR|IAH|GUA|
GUA|TOY,|TOY|DLC|ICN|YVR|IAH|GUA|
GUA|MFM,|MFM|XMN|PEK|IAH|GUA|
GUA|TGO,|TGO|HET|DLC|ICN|YVR|IAH|GUA|
GUA|XIL,|XIL|HET|DLC|ICN|YVR|IAH|GUA|
GUA|HEK,|HEK|HRB|ICN|YVR|IAH|GUA|
GUA|KIJ,|KIJ|HRB|ICN|YVR|IAH|GUA|
GUA|LDS,|LDS|HRB|ICN|YVR|IAH|GUA|
GUA|OHE,|OHE|HRB|ICN|YVR|IAH|GUA|
GUA|HSN,|HSN|PEK|IAH|GUA|
GUA|DLU,|DLU|KMG|PEK|IAH|GUA|
GUA|SYM,|SYM|KMG|PEK|IAH|GUA|
GUA|ZAT,|ZAT|KMG|PEK|IAH|GUA|
GUA|LUN,|LUN|NBO|ZRH|MIA|GUA|
GUA|AOG,|AOG|PEK|IAH|GUA|
GUA|GMP,|GMP|PEK|IAH|GUA|
GUA|ISB,|ISB|IST|ZRH|MIA|GUA|
GUA|TAS,|TAS|IST|ZRH|MIA|GUA|
GUA|WUS,|WUS|PEK|IAH|GUA|
GUA|JMU,|JMU|PVG|YVR|IAH|GUA|
GUA|NDG,|NDG|PVG|YVR|IAH|GUA|
GUA|JXA,|JXA|SHE|ICN|YVR|IAH|GUA|
GUA|PUS,|PUS|SHE|ICN|YVR|IAH|GUA|
GUA|BKI,|BKI|SZX|PVG|YVR|IAH|GUA|
GUA|AKU,|AKU|URC|TSE|FRA|MIA|GUA|
GUA|ALA,|ALA|TSE|FRA|MIA|GUA|
GUA|ASB,|ASB|GYD|FRA|MIA|GUA|
GUA|DNH,|DNH|XIY|PEK|IAH|GUA|
GUA|DYU,|DYU|IST|ZRH|MIA|GUA|
GUA|FRU,|FRU|IST|ZRH|MIA|GUA|
GUA|GYD,|GYD|FRA|MIA|GUA|
GUA|HTN,|HTN|URC|TSE|FRA|MIA|GUA|
GUA|IKA,|IKA|IST|ZRH|MIA|GUA|
GUA|KCA,|KCA|URC|TSE|FRA|MIA|GUA|
GUA|KHG,|KHG|URC|TSE|FRA|MIA|GUA|
GUA|KRL,|KRL|URC|TSE|FRA|MIA|GUA|
GUA|KRY,|KRY|URC|TSE|FRA|MIA|GUA|
GUA|LBD,|LBD|URC|TSE|FRA|MIA|GUA|
GUA|NLT,|NLT|URC|TSE|FRA|MIA|GUA|
GUA|OSS,|OSS|IST|ZRH|MIA|GUA|
GUA|OVB,|OVB|IST|ZRH|MIA|GUA|
GUA|TBS,|TBS|IST|ZRH|MIA|GUA|
GUA|TCG,|TCG|URC|TSE|FRA|MIA|GUA|
GUA|TSE,|TSE|FRA|MIA|GUA|
GUA|YIN,|YIN|URC|TSE|FRA|MIA|GUA|
GUA|ENH,|ENH|WUH|PEK|IAH|GUA|
GUA|ENY,|ENY|XIY|PEK|IAH|GUA|
GUA|WXN,|WXN|XIY|PEK|IAH|GUA|
GUA|BLL,|BLL|IST|ZRH|MIA|GUA|
GUA|ESB,|ESB|FRA|MIA|GUA|
GUA|SAW,|SAW|FRA|MIA|GUA|
GUA|HAM,|HAM|EWR|GUA|
GUA|HRE,|HRE|ADD|IST|ZRH|MIA|GUA|
GUA|JUB,|JUB|CAI|JFK|IAD|GUA|
GUA|SSG,|SSG|DLA|BRU|EWR|GUA|
GUA|BGW,|BGW|IST|ZRH|MIA|GUA|
GUA|EBL,|EBL|IST|ZRH|MIA|GUA|
GUA|VKO,|VKO|IST|ZRH|MIA|GUA|
GUA|MCT,|MCT|IST|ZRH|MIA|GUA|
GUA|AYT,|AYT|IST|ZRH|MIA|GUA|
GUA|SCQ,|SCQ|BIO|IST|ZRH|MIA|GUA|
GUA|AAL,|AAL|IST|ZRH|MIA|GUA|
GUA|AOE,|AOE|BRU|EWR|GUA|
GUA|JNB,|JNB|DKR|IAD|GUA|
GUA|LBV,|LBV|DLA|BRU|EWR|GUA|
GUA|ADA,|ADA|IST|ZRH|MIA|GUA|
GUA|ADB,|ADB|IST|ZRH|MIA|GUA|
GUA|ADF,|ADF|ESB|FRA|MIA|GUA|
GUA|AJI,|AJI|ESB|FRA|MIA|GUA|
GUA|BAL,|BAL|ESB|FRA|MIA|GUA|
GUA|BJV,|BJV|IST|ZRH|MIA|GUA|
GUA|CKZ,|CKZ|ESB|FRA|MIA|GUA|
GUA|DIY,|DIY|ESB|FRA|MIA|GUA|
GUA|ECN,|ECN|IST|ZRH|MIA|GUA|
GUA|ERC,|ERC|ESB|FRA|MIA|GUA|
GUA|ERZ,|ERZ|ESB|FRA|MIA|GUA|
GUA|EZS,|EZS|ESB|FRA|MIA|GUA|
GUA|GNY,|GNY|ESB|FRA|MIA|GUA|
GUA|GZP,|GZP|ESB|FRA|MIA|GUA|
GUA|GZT,|GZT|IST|ZRH|MIA|GUA|
GUA|HTY,|HTY|IST|ZRH|MIA|GUA|
GUA|KCM,|KCM|IST|ZRH|MIA|GUA|
GUA|KSY,|KSY|IST|ZRH|MIA|GUA|
GUA|MLX,|MLX|ESB|FRA|MIA|GUA|
GUA|MQM,|MQM|ESB|FRA|MIA|GUA|
GUA|MSR,|MSR|ESB|FRA|MIA|GUA|
GUA|TEQ,|TEQ|ESB|FRA|MIA|GUA|
GUA|TZX,|TZX|IST|ZRH|MIA|GUA|
GUA|VAN,|VAN|ESB|FRA|MIA|GUA|
GUA|ULN,|ULN|FRU|IST|ZRH|MIA|GUA|
GUA|HIJ,|HIJ|ICN|YVR|IAH|GUA|
GUA|VVO,|VVO|ICN|YVR|IAH|GUA|
GUA|ACC,|ACC|IST|ZRH|MIA|GUA|
GUA|AER,|AER|IST|ZRH|MIA|GUA|
GUA|AGP,|AGP|IST|ZRH|MIA|GUA|
GUA|ALG,|ALG|IST|ZRH|MIA|GUA|
GUA|AMM,|AMM|IST|ZRH|MIA|GUA|
GUA|AQJ,|AQJ|IST|ZRH|MIA|GUA|
GUA|ARN,|ARN|EWR|GUA|
GUA|ASR,|ASR|IST|ZRH|MIA|GUA|
GUA|ATH,|ATH|IST|ZRH|MIA|GUA|
GUA|BAH,|BAH|IST|ZRH|MIA|GUA|
GUA|BEG,|BEG|IST|ZRH|MIA|GUA|
GUA|BEN,|BEN|IST|ZRH|MIA|GUA|
GUA|BEY,|BEY|IST|ZRH|MIA|GUA|
GUA|BHX,|BHX|EWR|GUA|
GUA|BIO,|BIO|IST|ZRH|MIA|GUA|
GUA|BLQ,|BLQ|IST|ZRH|MIA|GUA|
GUA|BOM,|BOM|EWR|GUA|
GUA|BRE,|BRE|IST|ZRH|MIA|GUA|
GUA|BSL,|BSL|IST|ZRH|MIA|GUA|
GUA|BSR,|BSR|IST|ZRH|MIA|GUA|
GUA|BUD,|BUD|IST|ZRH|MIA|GUA|
GUA|BUS,|BUS|IST|ZRH|MIA|GUA|
GUA|CAI,|CAI|JFK|IAD|GUA|
GUA|CGN,|CGN|IST|ZRH|MIA|GUA|
GUA|CMN,|CMN|IST|ZRH|MIA|GUA|
GUA|CND,|CND|IST|ZRH|MIA|GUA|
GUA|DAR,|DAR|NBO|ZRH|MIA|GUA|
GUA|DLM,|DLM|IST|ZRH|MIA|GUA|
GUA|DMM,|DMM|IST|ZRH|MIA|GUA|
GUA|DNK,|DNK|IST|ZRH|MIA|GUA|
GUA|DNZ,|DNZ|IST|ZRH|MIA|GUA|
GUA|DOK,|DOK|IST|ZRH|MIA|GUA|
GUA|DUS,|DUS|EWR|GUA|
GUA|EDI,|EDI|EWR|GUA|
GUA|ELQ,|ELQ|IST|ZRH|MIA|GUA|
GUA|FDH,|FDH|IST|ZRH|MIA|GUA|
GUA|GOA,|GOA|IST|ZRH|MIA|GUA|
GUA|GOT,|GOT|BRU|EWR|GUA|
GUA|HAJ,|HAJ|BRU|EWR|GUA|
GUA|HBE,|HBE|IST|ZRH|MIA|GUA|
GUA|HEL,|HEL|IST|ZRH|MIA|GUA|
GUA|HRG,|HRG|IST|ZRH|MIA|GUA|
GUA|IFN,|IFN|IST|ZRH|MIA|GUA|
GUA|ISE,|ISE|IST|ZRH|MIA|GUA|
GUA|ISU,|ISU|IST|ZRH|MIA|GUA|
GUA|JIB,|JIB|IST|ZRH|MIA|GUA|
GUA|JRO,|JRO|IST|ZRH|MIA|GUA|
GUA|KAN,|KAN|IST|ZRH|MIA|GUA|
GUA|KBL,|KBL|IST|ZRH|MIA|GUA|
GUA|KBP,|KBP|IST|ZRH|MIA|GUA|
GUA|KFS,|KFS|IST|ZRH|MIA|GUA|
GUA|KHI,|KHI|IST|ZRH|MIA|GUA|
GUA|KIV,|KIV|IST|ZRH|MIA|GUA|
GUA|KRT,|KRT|IST|ZRH|MIA|GUA|
GUA|KSH,|KSH|IST|ZRH|MIA|GUA|
GUA|KVD,|KVD|IST|ZRH|MIA|GUA|
GUA|KWI,|KWI|IST|ZRH|MIA|GUA|
GUA|KYA,|KYA|IST|ZRH|MIA|GUA|
GUA|KZN,|KZN|IST|ZRH|MIA|GUA|
GUA|KZR,|KZR|IST|ZRH|MIA|GUA|
GUA|LED,|LED|VIE|IAD|GUA|
GUA|LEJ,|LEJ|IST|ZRH|MIA|GUA|
GUA|LGW,|LGW|IST|ZRH|MIA|GUA|
GUA|LHE,|LHE|IST|ZRH|MIA|GUA|
GUA|LIS,|LIS|MIA|GUA|
GUA|LJU,|LJU|IST|ZRH|MIA|GUA|
GUA|LOS,|LOS|IAH|GUA|
GUA|LUX,|LUX|IST|ZRH|MIA|GUA|
GUA|LWO,|LWO|IST|ZRH|MIA|GUA|
GUA|LYS,|LYS|IST|ZRH|MIA|GUA|
GUA|MAD,|MAD|EWR|GUA|
GUA|MAN,|MAN|EWR|GUA|
GUA|MED,|MED|IST|ZRH|MIA|GUA|
GUA|MHD,|MHD|IST|ZRH|MIA|GUA|
GUA|MLA,|MLA|IST|ZRH|MIA|GUA|
GUA|MRS,|MRS|IST|ZRH|MIA|GUA|
GUA|MSQ,|MSQ|IST|ZRH|MIA|GUA|
GUA|MXP,|MXP|EWR|GUA|
GUA|MZH,|MZH|IST|ZRH|MIA|GUA|
GUA|MZR,|MZR|IST|ZRH|MIA|GUA|
GUA|NAJ,|NAJ|IST|ZRH|MIA|GUA|
GUA|NAV,|NAV|IST|ZRH|MIA|GUA|
GUA|NCE,|NCE|IST|ZRH|MIA|GUA|
GUA|NIM,|NIM|IST|ZRH|MIA|GUA|
GUA|NJF,|NJF|IST|ZRH|MIA|GUA|
GUA|NSI,|NSI|BRU|EWR|GUA|
GUA|NUE,|NUE|IST|ZRH|MIA|GUA|
GUA|ODS,|ODS|IST|ZRH|MIA|GUA|
GUA|ORN,|ORN|IST|ZRH|MIA|GUA|
GUA|OTP,|OTP|IST|ZRH|MIA|GUA|
GUA|PRG,|PRG|BRU|EWR|GUA|
GUA|PRN,|PRN|IST|ZRH|MIA|GUA|
GUA|RIX,|RIX|IST|ZRH|MIA|GUA|
GUA|ROV,|ROV|IST|ZRH|MIA|GUA|
GUA|RTM,|RTM|IST|ZRH|MIA|GUA|
GUA|RUH,|RUH|IST|ZRH|MIA|GUA|
GUA|SAH,|SAH|IST|ZRH|MIA|GUA|
GUA|SJJ,|SJJ|IST|ZRH|MIA|GUA|
GUA|SKG,|SKG|IST|ZRH|MIA|GUA|
GUA|SKP,|SKP|IST|ZRH|MIA|GUA|
GUA|SSH,|SSH|IST|ZRH|MIA|GUA|
GUA|STR,|STR|EWR|GUA|
GUA|SVX,|SVX|IST|ZRH|MIA|GUA|
GUA|SYZ,|SYZ|IST|ZRH|MIA|GUA|
