WRL|BRU,|BRU|ORD|DEN|CYS|WRL|
WRL|ASB,|ASB|GYD|FRA|DEN|CYS|WRL|
WRL|DNH,|DNH|XIY|PEK|YVR|DEN|CYS|WRL|
WRL|DYU,|DYU|IST|FRA|DEN|CYS|WRL|
WRL|FRU,|FRU|IST|FRA|DEN|CYS|WRL|
WRL|GYD,|GYD|FRA|DEN|CYS|WRL|
WRL|HTN,|HTN|URC|PEK|YVR|DEN|CYS|WRL|
WRL|IKA,|IKA|SAW|FRA|DEN|CYS|WRL|
WRL|KCA,|KCA|URC|PEK|YVR|DEN|CYS|WRL|
WRL|KHG,|KHG|URC|PEK|YVR|DEN|CYS|WRL|
WRL|KRL,|KRL|URC|PEK|YVR|DEN|CYS|WRL|
WRL|KRY,|KRY|URC|PEK|YVR|DEN|CYS|WRL|
WRL|LBD,|LBD|URC|PEK|YVR|DEN|CYS|WRL|
WRL|NLT,|NLT|URC|PEK|YVR|DEN|CYS|WRL|
WRL|OSS,|OSS|IST|FRA|DEN|CYS|WRL|
WRL|OVB,|OVB|URC|PEK|YVR|DEN|CYS|WRL|
WRL|TBS,|TBS|SAW|FRA|DEN|CYS|WRL|
WRL|TCG,|TCG|URC|PEK|YVR|DEN|CYS|WRL|
WRL|TSE,|TSE|FRA|DEN|CYS|WRL|
WRL|YIN,|YIN|URC|PEK|YVR|DEN|CYS|WRL|
WRL|ENH,|ENH|WUH|ICN|YVR|DEN|CYS|WRL|
WRL|ENY,|ENY|XIY|PEK|YVR|DEN|CYS|WRL|
WRL|WXN,|WXN|XIY|PEK|YVR|DEN|CYS|WRL|
WRL|BLL,|BLL|IST|FRA|DEN|CYS|WRL|
WRL|ESB,|ESB|FRA|DEN|CYS|WRL|
WRL|SAW,|SAW|FRA|DEN|CYS|WRL|
WRL|HAM,|HAM|EWR|DEN|CYS|WRL|
WRL|HRE,|HRE|ADD|JED|FRA|DEN|CYS|WRL|
WRL|JUB,|JUB|CAI|IST|FRA|DEN|CYS|WRL|
WRL|SSG,|SSG|DLA|BRU|ORD|DEN|CYS|WRL|
WRL|BGW,|BGW|ESB|FRA|DEN|CYS|WRL|
WRL|EBL,|EBL|IST|FRA|DEN|CYS|WRL|
WRL|VKO,|VKO|IST|FRA|DEN|CYS|WRL|
WRL|MCT,|MCT|IST|FRA|DEN|CYS|WRL|
WRL|AYT,|AYT|IST|FRA|DEN|CYS|WRL|
WRL|SCQ,|SCQ|BIO|IST|FRA|DEN|CYS|WRL|
WRL|AAL,|AAL|IST|FRA|DEN|CYS|WRL|
WRL|AOE,|AOE|BRU|ORD|DEN|CYS|WRL|
WRL|JNB,|JNB|DKR|IAD|DEN|CYS|WRL|
WRL|LBV,|LBV|DLA|BRU|ORD|DEN|CYS|WRL|
WRL|ADA,|ADA|SAW|FRA|DEN|CYS|WRL|
WRL|ADB,|ADB|IST|FRA|DEN|CYS|WRL|
WRL|ADF,|ADF|ESB|FRA|DEN|CYS|WRL|
WRL|AJI,|AJI|ESB|FRA|DEN|CYS|WRL|
WRL|BAL,|BAL|ESB|FRA|DEN|CYS|WRL|
WRL|BJV,|BJV|IST|FRA|DEN|CYS|WRL|
WRL|CKZ,|CKZ|ESB|FRA|DEN|CYS|WRL|
WRL|DIY,|DIY|ESB|FRA|DEN|CYS|WRL|
WRL|ECN,|ECN|IST|FRA|DEN|CYS|WRL|
WRL|ERC,|ERC|ESB|FRA|DEN|CYS|WRL|
WRL|ERZ,|ERZ|ESB|FRA|DEN|CYS|WRL|
WRL|EZS,|EZS|ESB|FRA|DEN|CYS|WRL|
WRL|GNY,|GNY|ESB|FRA|DEN|CYS|WRL|
WRL|GZP,|GZP|ESB|FRA|DEN|CYS|WRL|
WRL|GZT,|GZT|ESB|FRA|DEN|CYS|WRL|
WRL|HTY,|HTY|SAW|FRA|DEN|CYS|WRL|
WRL|KCM,|KCM|ESB|FRA|DEN|CYS|WRL|
WRL|KSY,|KSY|ESB|FRA|DEN|CYS|WRL|
WRL|MLX,|MLX|ESB|FRA|DEN|CYS|WRL|
WRL|MQM,|MQM|ESB|FRA|DEN|CYS|WRL|
WRL|MSR,|MSR|ESB|FRA|DEN|CYS|WRL|
WRL|TEQ,|TEQ|ESB|FRA|DEN|CYS|WRL|
WRL|TZX,|TZX|ESB|FRA|DEN|CYS|WRL|
WRL|VAN,|VAN|ESB|FRA|DEN|CYS|WRL|
WRL|ULN,|ULN|FRU|IST|FRA|DEN|CYS|WRL|
WRL|HIJ,|HIJ|ICN|YVR|DEN|CYS|WRL|
WRL|VVO,|VVO|ICN|YVR|DEN|CYS|WRL|
WRL|ACC,|ACC|IST|FRA|DEN|CYS|WRL|
WRL|AER,|AER|IST|FRA|DEN|CYS|WRL|
WRL|AGP,|AGP|IST|FRA|DEN|CYS|WRL|
WRL|ALG,|ALG|IST|FRA|DEN|CYS|WRL|
WRL|AMM,|AMM|IST|FRA|DEN|CYS|WRL|
WRL|AQJ,|AQJ|IST|FRA|DEN|CYS|WRL|
WRL|ARN,|ARN|EWR|DEN|CYS|WRL|
WRL|ASR,|ASR|SAW|FRA|DEN|CYS|WRL|
WRL|ATH,|ATH|IST|FRA|DEN|CYS|WRL|
WRL|BAH,|BAH|IST|FRA|DEN|CYS|WRL|
WRL|BEG,|BEG|IST|FRA|DEN|CYS|WRL|
WRL|BEN,|BEN|IST|FRA|DEN|CYS|WRL|
WRL|BEY,|BEY|IST|FRA|DEN|CYS|WRL|
WRL|BHX,|BHX|EWR|DEN|CYS|WRL|
WRL|BIO,|BIO|IST|FRA|DEN|CYS|WRL|
WRL|BLQ,|BLQ|IST|FRA|DEN|CYS|WRL|
WRL|BOM,|BOM|IST|FRA|DEN|CYS|WRL|
WRL|BRE,|BRE|IST|FRA|DEN|CYS|WRL|
WRL|BSL,|BSL|IST|FRA|DEN|CYS|WRL|
WRL|BSR,|BSR|IST|FRA|DEN|CYS|WRL|
WRL|BUD,|BUD|IST|FRA|DEN|CYS|WRL|
WRL|BUS,|BUS|IST|FRA|DEN|CYS|WRL|
WRL|CAI,|CAI|IST|FRA|DEN|CYS|WRL|
WRL|CGN,|CGN|IST|FRA|DEN|CYS|WRL|
WRL|CMN,|CMN|IST|FRA|DEN|CYS|WRL|
WRL|CND,|CND|IST|FRA|DEN|CYS|WRL|
WRL|DAR,|DAR|NBO|ZRH|ORD|DEN|CYS|WRL|
