ROR|BRU,|BRU|DEL|CAN|MNL|ROR|
ROR|EZE,|EZE|IAH|HNL|GUM|ROR|
ROR|YYJ,|YYJ|YVR|NRT|GUM|ROR|
ROR|YYY,|YYY|YUL|YYZ|NRT|GUM|ROR|
ROR|YQQ,|YQQ|YBL|YVR|NRT|GUM|ROR|
ROR|YYR,|YYR|YWK|YZV|YQB|YYZ|NRT|GUM|ROR|
ROR|LHR,|LHR|CAN|MNL|ROR|
ROR|SFO,|SFO|HNL|GUM|ROR|
ROR|YQU,|YQU|YYC|NRT|GUM|ROR|
ROR|YZF,|YZF|YYC|NRT|GUM|ROR|
ROR|YGR,|YGR|YGP|YQB|YYZ|NRT|GUM|ROR|
ROR|YGP,|YGP|YQB|YYZ|NRT|GUM|ROR|
ROR|BOS,|BOS|YYZ|NRT|GUM|ROR|
ROR|YDF,|YDF|YYZ|NRT|GUM|ROR|
ROR|YFC,|YFC|YYZ|NRT|GUM|ROR|
ROR|YQM,|YQM|YYZ|NRT|GUM|ROR|
ROR|YQX,|YQX|YHZ|YYZ|NRT|GUM|ROR|
ROR|YQY,|YQY|YYZ|NRT|GUM|ROR|
ROR|YSJ,|YSJ|YYZ|NRT|GUM|ROR|
ROR|YYG,|YYG|YYZ|NRT|GUM|ROR|
ROR|LAX,|LAX|HNL|GUM|ROR|
ROR|DCA,|DCA|YYZ|NRT|GUM|ROR|
ROR|LGA,|LGA|YYZ|NRT|GUM|ROR|
ROR|YZV,|YZV|YQB|YYZ|NRT|GUM|ROR|
ROR|YWL,|YWL|YVR|NRT|GUM|ROR|
ROR|AZS,|AZS|YYZ|NRT|GUM|ROR|
ROR|BDL,|BDL|YYZ|NRT|GUM|ROR|
ROR|CCC,|CCC|YYZ|NRT|GUM|ROR|
ROR|CDG,|CDG|CAN|MNL|ROR|
ROR|CUN,|CUN|LAX|HNL|GUM|ROR|
ROR|CZM,|CZM|IAH|HNL|GUM|ROR|
ROR|FDF,|FDF|YUL|YYZ|NRT|GUM|ROR|
ROR|FLL,|FLL|IAH|HNL|GUM|ROR|
ROR|GVA,|GVA|IST|CAN|MNL|ROR|
ROR|HOG,|HOG|YYZ|NRT|GUM|ROR|
ROR|LAS,|LAS|LAX|HNL|GUM|ROR|
ROR|MBJ,|MBJ|IAH|HNL|GUM|ROR|
ROR|MCO,|MCO|IAH|HNL|GUM|ROR|
ROR|MUC,|MUC|IST|CAN|MNL|ROR|
ROR|PAP,|PAP|YUL|YYZ|NRT|GUM|ROR|
ROR|PTP,|PTP|YUL|YYZ|NRT|GUM|ROR|
ROR|PUJ,|PUJ|ATL|LAX|HNL|GUM|ROR|
ROR|SNU,|SNU|YYZ|NRT|GUM|ROR|
ROR|VRA,|VRA|YYC|NRT|GUM|ROR|
ROR|YBC,|YBC|YUL|YYZ|NRT|GUM|ROR|
ROR|YBG,|YBG|YUL|YYZ|NRT|GUM|ROR|
ROR|YTZ,|YTZ|YUL|YYZ|NRT|GUM|ROR|
ROR|YUY,|YUY|YUL|YYZ|NRT|GUM|ROR|
ROR|YVO,|YVO|YUL|YYZ|NRT|GUM|ROR|
ROR|ZBF,|ZBF|YUL|YYZ|NRT|GUM|ROR|
ROR|ZRH,|ZRH|IST|CAN|MNL|ROR|
ROR|ZSA,|ZSA|YUL|YYZ|NRT|GUM|ROR|
ROR|AKL,|AKL|CAN|MNL|ROR|
ROR|HKG,|HKG|CAN|MNL|ROR|
ROR|HND,|HND|HNL|GUM|ROR|
ROR|HNL,|HNL|GUM|ROR|
ROR|MEX,|MEX|LAX|HNL|GUM|ROR|
ROR|OGG,|OGG|HNL|GUM|ROR|
ROR|PDX,|PDX|SEA|NRT|GUM|ROR|
ROR|PEK,|PEK|XMN|MNL|ROR|
ROR|PVG,|PVG|CAN|MNL|ROR|
ROR|PVR,|PVR|LAX|HNL|GUM|ROR|
ROR|SEA,|SEA|NRT|GUM|ROR|
ROR|SYD,|SYD|CAN|MNL|ROR|
ROR|YBL,|YBL|YVR|NRT|GUM|ROR|
ROR|YCD,|YCD|YVR|NRT|GUM|ROR|
ROR|YCG,|YCG|YVR|NRT|GUM|ROR|
ROR|YKA,|YKA|YVR|NRT|GUM|ROR|
ROR|YPR,|YPR|YVR|NRT|GUM|ROR|
ROR|YQZ,|YQZ|YVR|NRT|GUM|ROR|
ROR|YXC,|YXC|YVR|NRT|GUM|ROR|
ROR|YXJ,|YXJ|YVR|NRT|GUM|ROR|
ROR|YXS,|YXS|YVR|NRT|GUM|ROR|
ROR|YXT,|YXT|YVR|NRT|GUM|ROR|
ROR|YXY,|YXY|YVR|NRT|GUM|ROR|
ROR|YYD,|YYD|YVR|NRT|GUM|ROR|
ROR|YYF,|YYF|YVR|NRT|GUM|ROR|
ROR|YZP,|YZP|YVR|NRT|GUM|ROR|
ROR|YQT,|YQT|YWG|YYC|NRT|GUM|ROR|
ROR|SJD,|SJD|LAX|HNL|GUM|ROR|
ROR|YQF,|YQF|YYC|NRT|GUM|ROR|
ROR|YQL,|YQL|YYC|NRT|GUM|ROR|
ROR|YXH,|YXH|YYC|NRT|GUM|ROR|
ROR|YWK,|YWK|YZV|YQB|YYZ|NRT|GUM|ROR|
ROR|ANU,|ANU|EWR|NRT|GUM|ROR|
ROR|AUA,|AUA|ATL|LAX|HNL|GUM|ROR|
ROR|AUH,|AUH|IST|CAN|MNL|ROR|
ROR|BCN,|BCN|IST|CAN|MNL|ROR|
ROR|BDA,|BDA|EWR|NRT|GUM|ROR|
ROR|BGI,|BGI|YYZ|NRT|GUM|ROR|
ROR|BNA,|BNA|LAX|HNL|GUM|ROR|
ROR|BOG,|BOG|IAH|HNL|GUM|ROR|
ROR|BWI,|BWI|YYZ|NRT|GUM|ROR|
ROR|CLE,|CLE|ORD|NRT|GUM|ROR|
ROR|CLT,|CLT|ORD|NRT|GUM|ROR|
ROR|CMH,|CMH|ORD|NRT|GUM|ROR|
ROR|CVG,|CVG|ORD|NRT|GUM|ROR|
ROR|DFW,|DFW|LAX|HNL|GUM|ROR|
ROR|DTW,|DTW|ORD|NRT|GUM|ROR|
ROR|DUB,|DUB|IST|CAN|MNL|ROR|
ROR|FCO,|FCO|IST|CAN|MNL|ROR|
ROR|GCM,|GCM|IAH|HNL|GUM|ROR|
ROR|GGT,|GGT|FLL|IAH|HNL|GUM|ROR|
ROR|GND,|GND|YYZ|NRT|GUM|ROR|
ROR|GRU,|GRU|IST|CAN|MNL|ROR|
ROR|HAV,|HAV|YYZ|NRT|GUM|ROR|
ROR|IND,|IND|ORD|NRT|GUM|ROR|
ROR|JFK,|JFK|NRT|GUM|ROR|
ROR|KIN,|KIN|YYZ|NRT|GUM|ROR|
ROR|LIM,|LIM|IAH|HNL|GUM|ROR|
ROR|LIR,|LIR|IAH|HNL|GUM|ROR|
ROR|MCI,|MCI|SFO|HNL|GUM|ROR|
ROR|MDT,|MDT|YYZ|NRT|GUM|ROR|
ROR|MIA,|MIA|IAH|HNL|GUM|ROR|
ROR|MKE,|MKE|ORD|NRT|GUM|ROR|
ROR|MSP,|MSP|SFO|HNL|GUM|ROR|
ROR|NAS,|NAS|IAH|HNL|GUM|ROR|
ROR|PHL,|PHL|YYZ|NRT|GUM|ROR|
ROR|PHX,|PHX|LAX|HNL|GUM|ROR|
ROR|PIT,|PIT|YYZ|NRT|GUM|ROR|
ROR|PLS,|PLS|YYZ|NRT|GUM|ROR|
ROR|POP,|POP|YYZ|NRT|GUM|ROR|
ROR|RDU,|RDU|ORD|NRT|GUM|ROR|
ROR|ROC,|ROC|YYZ|NRT|GUM|ROR|
ROR|RSW,|RSW|IAH|HNL|GUM|ROR|
ROR|SAN,|SAN|LAX|HNL|GUM|ROR|
ROR|SJO,|SJO|IAH|HNL|GUM|ROR|
ROR|STL,|STL|SFO|HNL|GUM|ROR|
ROR|SYR,|SYR|YYZ|NRT|GUM|ROR|
ROR|TLV,|TLV|IST|CAN|MNL|ROR|
ROR|TPA,|TPA|IAH|HNL|GUM|ROR|
ROR|UVF,|UVF|EWR|NRT|GUM|ROR|
ROR|VIE,|VIE|IST|CAN|MNL|ROR|
ROR|YAM,|YAM|YYZ|NRT|GUM|ROR|
ROR|YGK,|YGK|YYZ|NRT|GUM|ROR|
ROR|YQG,|YQG|YYC|NRT|GUM|ROR|
ROR|YSB,|YSB|YYZ|NRT|GUM|ROR|
ROR|YTS,|YTS|YYZ|NRT|GUM|ROR|
ROR|YYB,|YYB|YYZ|NRT|GUM|ROR|
ROR|YZR,|YZR|YYZ|NRT|GUM|ROR|
ROR|CAN,|CAN|MNL|ROR|
ROR|URC,|URC|CAN|MNL|ROR|
ROR|CTU,|CTU|CAN|MNL|ROR|
ROR|HGH,|HGH|XMN|MNL|ROR|
ROR|XMN,|XMN|MNL|ROR|
ROR|CGO,|CGO|XMN|MNL|ROR|
ROR|CSX,|CSX|XMN|MNL|ROR|
ROR|SHE,|SHE|XMN|MNL|ROR|
ROR|SJW,|SJW|HGH|XMN|MNL|ROR|
ROR|WUH,|WUH|XMN|MNL|ROR|
ROR|SZX,|SZX|XMN|MNL|ROR|
ROR|CKG,|CKG|CAN|MNL|ROR|
ROR|KMG,|KMG|CAN|MNL|ROR|
ROR|FOC,|FOC|CAN|MNL|ROR|
ROR|NNG,|NNG|CAN|MNL|ROR|
ROR|SWA,|SWA|CAN|MNL|ROR|
ROR|ACX,|ACX|CAN|MNL|ROR|
ROR|AQG,|AQG|CAN|MNL|ROR|
ROR|AVA,|AVA|CAN|MNL|ROR|
ROR|BFJ,|BFJ|CAN|MNL|ROR|
ROR|BHY,|BHY|CAN|MNL|ROR|
ROR|BNE,|BNE|CAN|MNL|ROR|
ROR|CGD,|CGD|CAN|MNL|ROR|
ROR|CGK,|CGK|CAN|MNL|ROR|
ROR|CGQ,|CGQ|HGH|XMN|MNL|ROR|
ROR|CIH,|CIH|CAN|MNL|ROR|
ROR|CNX,|CNX|CAN|MNL|ROR|
ROR|CZX,|CZX|CAN|MNL|ROR|
ROR|DAC,|DAC|CAN|MNL|ROR|
ROR|DAD,|DAD|CAN|MNL|ROR|
ROR|DEL,|DEL|CAN|MNL|ROR|
ROR|DIG,|DIG|CAN|MNL|ROR|
ROR|DLC,|DLC|YNZ|XMN|MNL|ROR|
ROR|DPS,|DPS|CAN|MNL|ROR|
ROR|DXB,|DXB|CAN|MNL|ROR|
ROR|DYG,|DYG|CAN|MNL|ROR|
ROR|FUG,|FUG|CAN|MNL|ROR|
ROR|FUK,|FUK|GUM|ROR|
ROR|HAK,|HAK|CAN|MNL|ROR|
ROR|HAN,|HAN|CAN|MNL|ROR|
ROR|HDG,|HDG|CAN|MNL|ROR|
ROR|HET,|HET|NKG|XMN|MNL|ROR|
ROR|HFE,|HFE|XMN|MNL|ROR|
ROR|HJJ,|HJJ|CAN|MNL|ROR|
ROR|HKT,|HKT|CAN|MNL|ROR|
ROR|HRB,|HRB|YIW|XMN|MNL|ROR|
ROR|HZH,|HZH|CAN|MNL|ROR|
ROR|JIU,|JIU|CAN|MNL|ROR|
ROR|JJN,|JJN|CAN|MNL|ROR|
ROR|JNG,|JNG|CAN|MNL|ROR|
ROR|KHN,|KHN|XMN|MNL|ROR|
ROR|KIX,|KIX|GUM|ROR|
ROR|KOW,|KOW|CAN|MNL|ROR|
ROR|KTM,|KTM|CAN|MNL|ROR|
ROR|KUL,|KUL|CAN|MNL|ROR|
ROR|KWE,|KWE|CAN|MNL|ROR|
ROR|KWL,|KWL|CAN|MNL|ROR|
ROR|LHW,|LHW|CAN|MNL|ROR|
ROR|LYA,|LYA|KHN|XMN|MNL|ROR|
ROR|LYG,|LYG|HSN|XMN|MNL|ROR|
ROR|LZH,|LZH|CAN|MNL|ROR|
ROR|MEL,|MEL|CAN|MNL|ROR|
ROR|MIG,|MIG|CAN|MNL|ROR|
ROR|MLE,|MLE|CAN|MNL|ROR|
ROR|MNL,|MNL|ROR|
ROR|MXZ,|MXZ|CAN|MNL|ROR|
ROR|NAO,|NAO|CAN|MNL|ROR|
ROR|NGB,|NGB|XMN|MNL|ROR|
ROR|NKG,|NKG|XMN|MNL|ROR|
ROR|NNY,|NNY|CAN|MNL|ROR|
ROR|PEN,|PEN|CAN|MNL|ROR|
ROR|PER,|PER|CAN|MNL|ROR|
ROR|PNH,|PNH|CAN|MNL|ROR|
ROR|REP,|REP|CAN|MNL|ROR|
ROR|RGN,|RGN|CAN|MNL|ROR|
ROR|SGN,|SGN|CAN|MNL|ROR|
ROR|SHA,|SHA|XMN|MNL|ROR|
ROR|SIN,|SIN|CAN|MNL|ROR|
ROR|SVO,|SVO|CAN|MNL|ROR|
ROR|SYX,|SYX|CAN|MNL|ROR|
ROR|TAO,|TAO|XMN|MNL|ROR|
ROR|TEN,|TEN|CAN|MNL|ROR|
ROR|TNA,|TNA|XMN|MNL|ROR|
ROR|TPE,|TPE|CAN|MNL|ROR|
ROR|TSN,|TSN|XMN|MNL|ROR|
ROR|TXN,|TXN|XMN|MNL|ROR|
ROR|TYN,|TYN|XMN|MNL|ROR|
ROR|WNZ,|WNZ|CAN|MNL|ROR|
ROR|WUX,|WUX|CAN|MNL|ROR|
ROR|XFN,|XFN|XMN|MNL|ROR|
ROR|XIY,|XIY|XMN|MNL|ROR|
ROR|XUZ,|XUZ|CAN|MNL|ROR|
ROR|YIH,|YIH|XMN|MNL|ROR|
ROR|YIW,|YIW|XMN|MNL|ROR|
ROR|YNT,|YNT|CAN|MNL|ROR|
ROR|YNZ,|YNZ|XMN|MNL|ROR|
ROR|YTY,|YTY|CAN|MNL|ROR|
ROR|ZHA,|ZHA|CAN|MNL|ROR|
ROR|ZYI,|ZYI|CAN|MNL|ROR|
ROR|BAV,|BAV|CGO|XMN|MNL|ROR|
ROR|CJU,|CJU|CSX|XMN|MNL|ROR|
ROR|DSN,|DSN|CGO|XMN|MNL|ROR|
ROR|HMI,|HMI|CGO|XMN|MNL|ROR|
ROR|INC,|INC|WUH|XMN|MNL|ROR|
ROR|KHH,|KHH|WUH|XMN|MNL|ROR|
ROR|UYN,|UYN|CGO|XMN|MNL|ROR|
ROR|XNN,|XNN|CKG|CAN|MNL|ROR|
ROR|ZUH,|ZUH|XMN|MNL|ROR|
ROR|YNJ,|YNJ|ICN|FUK|GUM|ROR|
ROR|DAT,|DAT|TYN|XMN|MNL|ROR|
ROR|JHG,|JHG|KMG|CAN|MNL|ROR|
ROR|LJG,|LJG|KMG|CAN|MNL|ROR|
ROR|LXA,|LXA|CKG|CAN|MNL|ROR|
ROR|YCU,|YCU|CSX|XMN|MNL|ROR|
ROR|LZO,|LZO|CSX|XMN|MNL|ROR|
ROR|MDG,|MDG|ICN|FUK|GUM|ROR|
ROR|NGO,|NGO|GUM|ROR|
ROR|TOY,|TOY|DLC|YNZ|XMN|MNL|ROR|
ROR|MFM,|MFM|XMN|MNL|ROR|
ROR|TGO,|TGO|HET|NKG|XMN|MNL|ROR|
ROR|XIL,|XIL|HET|NKG|XMN|MNL|ROR|
ROR|HEK,|HEK|HRB|YIW|XMN|MNL|ROR|
ROR|KIJ,|KIJ|HRB|YIW|XMN|MNL|ROR|
ROR|LDS,|LDS|HRB|YIW|XMN|MNL|ROR|
ROR|OHE,|OHE|HRB|YIW|XMN|MNL|ROR|
ROR|HSN,|HSN|XMN|MNL|ROR|
ROR|DLU,|DLU|KMG|CAN|MNL|ROR|
ROR|SYM,|SYM|KMG|CAN|MNL|ROR|
ROR|ZAT,|ZAT|KMG|CAN|MNL|ROR|
ROR|LUN,|LUN|NBO|CAN|MNL|ROR|
ROR|AOG,|AOG|PEK|XMN|MNL|ROR|
ROR|GMP,|GMP|PEK|XMN|MNL|ROR|
ROR|ISB,|ISB|URC|CAN|MNL|ROR|
ROR|TAS,|TAS|URC|CAN|MNL|ROR|
ROR|WUS,|WUS|PEK|XMN|MNL|ROR|
ROR|JMU,|JMU|PVG|CAN|MNL|ROR|
ROR|NDG,|NDG|PVG|CAN|MNL|ROR|
ROR|JXA,|JXA|SHE|XMN|MNL|ROR|
ROR|PUS,|PUS|SHE|XMN|MNL|ROR|
ROR|BKI,|BKI|SZX|XMN|MNL|ROR|
ROR|AKU,|AKU|URC|CAN|MNL|ROR|
ROR|ALA,|ALA|URC|CAN|MNL|ROR|
ROR|ASB,|ASB|URC|CAN|MNL|ROR|
ROR|DNH,|DNH|XIY|XMN|MNL|ROR|
ROR|DYU,|DYU|URC|CAN|MNL|ROR|
ROR|FRU,|FRU|URC|CAN|MNL|ROR|
ROR|GYD,|GYD|URC|CAN|MNL|ROR|
ROR|HTN,|HTN|URC|CAN|MNL|ROR|
ROR|IKA,|IKA|URC|CAN|MNL|ROR|
ROR|KCA,|KCA|URC|CAN|MNL|ROR|
ROR|KHG,|KHG|URC|CAN|MNL|ROR|
ROR|KRL,|KRL|URC|CAN|MNL|ROR|
ROR|KRY,|KRY|URC|CAN|MNL|ROR|
ROR|LBD,|LBD|URC|CAN|MNL|ROR|
ROR|NLT,|NLT|URC|CAN|MNL|ROR|
ROR|OSS,|OSS|URC|CAN|MNL|ROR|
ROR|OVB,|OVB|URC|CAN|MNL|ROR|
ROR|TBS,|TBS|URC|CAN|MNL|ROR|
ROR|TCG,|TCG|URC|CAN|MNL|ROR|
ROR|TSE,|TSE|URC|CAN|MNL|ROR|
ROR|YIN,|YIN|URC|CAN|MNL|ROR|
ROR|ENH,|ENH|WUH|XMN|MNL|ROR|
ROR|ENY,|ENY|XIY|XMN|MNL|ROR|
ROR|WXN,|WXN|XMN|MNL|ROR|
ROR|BLL,|BLL|IST|CAN|MNL|ROR|
ROR|ESB,|ESB|IST|CAN|MNL|ROR|
ROR|SAW,|SAW|TBS|URC|CAN|MNL|ROR|
ROR|HAM,|HAM|IST|CAN|MNL|ROR|
ROR|HRE,|HRE|ADD|IST|CAN|MNL|ROR|
ROR|JUB,|JUB|CAI|IST|CAN|MNL|ROR|
ROR|SSG,|SSG|DLA|IST|CAN|MNL|ROR|
ROR|BGW,|BGW|IST|CAN|MNL|ROR|
ROR|EBL,|EBL|IST|CAN|MNL|ROR|
ROR|VKO,|VKO|IST|CAN|MNL|ROR|
ROR|MCT,|MCT|IST|CAN|MNL|ROR|
ROR|AYT,|AYT|IST|CAN|MNL|ROR|
ROR|SCQ,|SCQ|BIO|IST|CAN|MNL|ROR|
ROR|AAL,|AAL|IST|CAN|MNL|ROR|
ROR|AOE,|AOE|BRU|DEL|CAN|MNL|ROR|
ROR|JNB,|JNB|IST|CAN|MNL|ROR|
ROR|LBV,|LBV|DLA|IST|CAN|MNL|ROR|
ROR|ADA,|ADA|IST|CAN|MNL|ROR|
ROR|ADB,|ADB|IST|CAN|MNL|ROR|
ROR|ADF,|ADF|IST|CAN|MNL|ROR|
ROR|AJI,|AJI|IST|CAN|MNL|ROR|
ROR|BAL,|BAL|IST|CAN|MNL|ROR|
ROR|BJV,|BJV|IST|CAN|MNL|ROR|
ROR|CKZ,|CKZ|ESB|IST|CAN|MNL|ROR|
ROR|DIY,|DIY|IST|CAN|MNL|ROR|
ROR|ECN,|ECN|IST|CAN|MNL|ROR|
ROR|ERC,|ERC|IST|CAN|MNL|ROR|
ROR|ERZ,|ERZ|IST|CAN|MNL|ROR|
ROR|EZS,|EZS|IST|CAN|MNL|ROR|
ROR|GNY,|GNY|IST|CAN|MNL|ROR|
ROR|GZP,|GZP|ESB|IST|CAN|MNL|ROR|
ROR|GZT,|GZT|IST|CAN|MNL|ROR|
ROR|HTY,|HTY|IST|CAN|MNL|ROR|
ROR|KCM,|KCM|IST|CAN|MNL|ROR|
ROR|KSY,|KSY|IST|CAN|MNL|ROR|
ROR|MLX,|MLX|IST|CAN|MNL|ROR|
ROR|MQM,|MQM|IST|CAN|MNL|ROR|
ROR|MSR,|MSR|IST|CAN|MNL|ROR|
ROR|TEQ,|TEQ|ESB|IST|CAN|MNL|ROR|
ROR|TZX,|TZX|IST|CAN|MNL|ROR|
ROR|VAN,|VAN|IST|CAN|MNL|ROR|
ROR|ULN,|ULN|FRU|URC|CAN|MNL|ROR|
ROR|HIJ,|HIJ|ICN|FUK|GUM|ROR|
ROR|VVO,|VVO|ICN|FUK|GUM|ROR|
ROR|ACC,|ACC|IST|CAN|MNL|ROR|
ROR|AER,|AER|IST|CAN|MNL|ROR|
ROR|AGP,|AGP|IST|CAN|MNL|ROR|
ROR|ALG,|ALG|IST|CAN|MNL|ROR|
ROR|AMM,|AMM|IST|CAN|MNL|ROR|
ROR|AQJ,|AQJ|IST|CAN|MNL|ROR|
ROR|ARN,|ARN|IST|CAN|MNL|ROR|
ROR|ASR,|ASR|IST|CAN|MNL|ROR|
ROR|ATH,|ATH|IST|CAN|MNL|ROR|
ROR|BAH,|BAH|IST|CAN|MNL|ROR|
ROR|BEG,|BEG|IST|CAN|MNL|ROR|
ROR|BEN,|BEN|IST|CAN|MNL|ROR|
ROR|BEY,|BEY|IST|CAN|MNL|ROR|
ROR|BHX,|BHX|BRU|DEL|CAN|MNL|ROR|
ROR|BIO,|BIO|IST|CAN|MNL|ROR|
ROR|BLQ,|BLQ|IST|CAN|MNL|ROR|
ROR|BOM,|BOM|IST|CAN|MNL|ROR|
ROR|BRE,|BRE|IST|CAN|MNL|ROR|
ROR|BSL,|BSL|IST|CAN|MNL|ROR|
ROR|BSR,|BSR|IST|CAN|MNL|ROR|
ROR|BUD,|BUD|IST|CAN|MNL|ROR|
ROR|BUS,|BUS|IST|CAN|MNL|ROR|
ROR|CAI,|CAI|IST|CAN|MNL|ROR|
ROR|CGN,|CGN|IST|CAN|MNL|ROR|
ROR|CMN,|CMN|IST|CAN|MNL|ROR|
ROR|CND,|CND|IST|CAN|MNL|ROR|
ROR|DAR,|DAR|NBO|CAN|MNL|ROR|
ROR|DLM,|DLM|IST|CAN|MNL|ROR|
ROR|DMM,|DMM|IST|CAN|MNL|ROR|
ROR|DNK,|DNK|IST|CAN|MNL|ROR|
ROR|DNZ,|DNZ|IST|CAN|MNL|ROR|
ROR|DOK,|DOK|IST|CAN|MNL|ROR|
ROR|DUS,|DUS|IST|CAN|MNL|ROR|
ROR|EDI,|EDI|IST|CAN|MNL|ROR|
ROR|ELQ,|ELQ|IST|CAN|MNL|ROR|
ROR|FDH,|FDH|IST|CAN|MNL|ROR|
ROR|GOA,|GOA|IST|CAN|MNL|ROR|
ROR|GOT,|GOT|IST|CAN|MNL|ROR|
ROR|HAJ,|HAJ|IST|CAN|MNL|ROR|
ROR|HBE,|HBE|IST|CAN|MNL|ROR|
ROR|HEL,|HEL|IST|CAN|MNL|ROR|
ROR|HRG,|HRG|IST|CAN|MNL|ROR|
ROR|IFN,|IFN|IST|CAN|MNL|ROR|
ROR|ISE,|ISE|IST|CAN|MNL|ROR|
ROR|ISU,|ISU|IST|CAN|MNL|ROR|
ROR|JIB,|JIB|IST|CAN|MNL|ROR|
ROR|JRO,|JRO|IST|CAN|MNL|ROR|
ROR|KAN,|KAN|IST|CAN|MNL|ROR|
ROR|KBL,|KBL|IST|CAN|MNL|ROR|
ROR|KBP,|KBP|IST|CAN|MNL|ROR|
ROR|KFS,|KFS|IST|CAN|MNL|ROR|
ROR|KHI,|KHI|IST|CAN|MNL|ROR|
ROR|KIV,|KIV|IST|CAN|MNL|ROR|
ROR|KRT,|KRT|IST|CAN|MNL|ROR|
ROR|KSH,|KSH|IST|CAN|MNL|ROR|
ROR|KVD,|KVD|IST|CAN|MNL|ROR|
ROR|KWI,|KWI|IST|CAN|MNL|ROR|
ROR|KYA,|KYA|IST|CAN|MNL|ROR|
ROR|KZN,|KZN|IST|CAN|MNL|ROR|
ROR|KZR,|KZR|IST|CAN|MNL|ROR|
ROR|LED,|LED|IST|CAN|MNL|ROR|
ROR|LEJ,|LEJ|IST|CAN|MNL|ROR|
ROR|LGW,|LGW|IST|CAN|MNL|ROR|
ROR|LHE,|LHE|IST|CAN|MNL|ROR|
ROR|LIS,|LIS|IST|CAN|MNL|ROR|
ROR|LJU,|LJU|IST|CAN|MNL|ROR|
ROR|LOS,|LOS|IST|CAN|MNL|ROR|
ROR|LUX,|LUX|IST|CAN|MNL|ROR|
ROR|LWO,|LWO|IST|CAN|MNL|ROR|
ROR|LYS,|LYS|IST|CAN|MNL|ROR|
ROR|MAD,|MAD|IST|CAN|MNL|ROR|
ROR|MAN,|MAN|IST|CAN|MNL|ROR|
ROR|MED,|MED|IST|CAN|MNL|ROR|
ROR|MHD,|MHD|IST|CAN|MNL|ROR|
ROR|MLA,|MLA|IST|CAN|MNL|ROR|
ROR|MRS,|MRS|IST|CAN|MNL|ROR|
ROR|MSQ,|MSQ|IST|CAN|MNL|ROR|
