DRO|BRU,|BRU|ORD|DEN|DRO|
DRO|YXC,|YXC|YYC|DEN|DRO|
DRO|YXJ,|YXJ|YYC|DEN|DRO|
DRO|YXS,|YXS|YYC|DEN|DRO|
DRO|YXT,|YXT|YVR|DEN|DRO|
DRO|YXY,|YXY|YVR|DEN|DRO|
DRO|YYD,|YYD|YVR|DEN|DRO|
DRO|YYF,|YYF|YVR|DEN|DRO|
DRO|YZP,|YZP|YVR|DEN|DRO|
DRO|YQT,|YQT|YWG|DEN|DRO|
DRO|SJD,|SJD|DEN|DRO|
DRO|YQF,|YQF|YYC|DEN|DRO|
DRO|YQL,|YQL|YYC|DEN|DRO|
DRO|YXH,|YXH|YYC|DEN|DRO|
DRO|YWK,|YWK|YZV|YUL|DEN|DRO|
DRO|ANU,|ANU|EWR|DEN|DRO|
DRO|AUA,|AUA|ATL|DEN|DRO|
DRO|AUH,|AUH|FRA|DEN|DRO|
DRO|BCN,|BCN|YYZ|DEN|DRO|
DRO|BDA,|BDA|EWR|DEN|DRO|
DRO|BGI,|BGI|YYZ|DEN|DRO|
DRO|BNA,|BNA|DEN|DRO|
DRO|BOG,|BOG|IAH|DEN|DRO|
DRO|BWI,|BWI|DEN|DRO|
DRO|CLE,|CLE|DEN|DRO|
DRO|CLT,|CLT|MDW|DEN|DRO|
DRO|CMH,|CMH|DEN|DRO|
DRO|CVG,|CVG|DEN|DRO|
DRO|DFW,|DFW|DEN|DRO|
DRO|DTW,|DTW|DEN|DRO|
DRO|DUB,|DUB|ORD|DEN|DRO|
DRO|FCO,|FCO|YYZ|DEN|DRO|
DRO|GCM,|GCM|IAH|DEN|DRO|
DRO|GGT,|GGT|FLL|DEN|DRO|
DRO|GND,|GND|YYZ|DEN|DRO|
DRO|GRU,|GRU|IAH|DEN|DRO|
DRO|HAV,|HAV|YYZ|DEN|DRO|
DRO|IND,|IND|DEN|DRO|
DRO|JFK,|JFK|IAD|DEN|DRO|
DRO|KIN,|KIN|YYZ|DEN|DRO|
DRO|LIM,|LIM|IAH|DEN|DRO|
DRO|LIR,|LIR|IAH|DEN|DRO|
DRO|MCI,|MCI|DEN|DRO|
DRO|MDT,|MDT|ORD|DEN|DRO|
DRO|MIA,|MIA|DEN|DRO|
DRO|MKE,|MKE|DEN|DRO|
DRO|MSP,|MSP|DEN|DRO|
DRO|NAS,|NAS|ATL|DEN|DRO|
DRO|PHL,|PHL|DEN|DRO|
DRO|PHX,|PHX|DEN|DRO|
DRO|PIT,|PIT|DEN|DRO|
DRO|PLS,|PLS|YYZ|DEN|DRO|
DRO|POP,|POP|YYZ|DEN|DRO|
DRO|RDU,|RDU|DEN|DRO|
DRO|ROC,|ROC|ORD|DEN|DRO|
DRO|RSW,|RSW|DEN|DRO|
DRO|SAN,|SAN|DEN|DRO|
DRO|SJO,|SJO|IAH|DEN|DRO|
DRO|STL,|STL|DEN|DRO|
DRO|SYR,|SYR|ORD|DEN|DRO|
DRO|TLV,|TLV|IST|FRA|DEN|DRO|
DRO|TPA,|TPA|DEN|DRO|
DRO|UVF,|UVF|EWR|DEN|DRO|
DRO|VIE,|VIE|ORD|DEN|DRO|
DRO|YAM,|YAM|YYZ|DEN|DRO|
DRO|YGK,|YGK|YYZ|DEN|DRO|
DRO|YQG,|YQG|YYZ|DEN|DRO|
DRO|YSB,|YSB|YYZ|DEN|DRO|
DRO|YTS,|YTS|YYZ|DEN|DRO|
DRO|YYB,|YYB|YYZ|DEN|DRO|
DRO|YZR,|YZR|YYZ|DEN|DRO|
DRO|CAN,|CAN|YVR|DEN|DRO|
DRO|URC,|URC|PEK|YVR|DEN|DRO|
DRO|CTU,|CTU|PEK|YVR|DEN|DRO|
DRO|HGH,|HGH|DLC|ICN|YVR|DEN|DRO|
DRO|XMN,|XMN|PEK|YVR|DEN|DRO|
DRO|CGO,|CGO|PEK|YVR|DEN|DRO|
DRO|CSX,|CSX|ICN|YVR|DEN|DRO|
DRO|SHE,|SHE|ICN|YVR|DEN|DRO|
DRO|SJW,|SJW|DLC|ICN|YVR|DEN|DRO|
DRO|WUH,|WUH|ICN|YVR|DEN|DRO|
DRO|SZX,|SZX|PVG|YVR|DEN|DRO|
DRO|CKG,|CKG|PEK|YVR|DEN|DRO|
DRO|KMG,|KMG|PEK|YVR|DEN|DRO|
DRO|FOC,|FOC|PEK|YVR|DEN|DRO|
DRO|NNG,|NNG|PEK|YVR|DEN|DRO|
DRO|SWA,|SWA|PEK|YVR|DEN|DRO|
DRO|ACX,|ACX|CAN|YVR|DEN|DRO|
DRO|AQG,|AQG|CAN|YVR|DEN|DRO|
DRO|AVA,|AVA|CAN|YVR|DEN|DRO|
DRO|BFJ,|BFJ|CAN|YVR|DEN|DRO|
DRO|BHY,|BHY|CSX|ICN|YVR|DEN|DRO|
DRO|BNE,|BNE|CAN|YVR|DEN|DRO|
DRO|CGD,|CGD|PEK|YVR|DEN|DRO|
DRO|CGK,|CGK|CAN|YVR|DEN|DRO|
DRO|CGQ,|CGQ|ICN|YVR|DEN|DRO|
DRO|CIH,|CIH|PEK|YVR|DEN|DRO|
DRO|CNX,|CNX|CAN|YVR|DEN|DRO|
DRO|CZX,|CZX|SHE|ICN|YVR|DEN|DRO|
DRO|DAC,|DAC|CAN|YVR|DEN|DRO|
DRO|DAD,|DAD|CAN|YVR|DEN|DRO|
DRO|DEL,|DEL|EWR|DEN|DRO|
DRO|DIG,|DIG|KMG|PEK|YVR|DEN|DRO|
DRO|DLC,|DLC|ICN|YVR|DEN|DRO|
DRO|DPS,|DPS|SZX|PVG|YVR|DEN|DRO|
DRO|DXB,|DXB|IST|FRA|DEN|DRO|
DRO|DYG,|DYG|PEK|YVR|DEN|DRO|
DRO|FUG,|FUG|CAN|YVR|DEN|DRO|
DRO|FUK,|FUK|ICN|YVR|DEN|DRO|
DRO|HAK,|HAK|CAN|YVR|DEN|DRO|
DRO|HAN,|HAN|PEK|YVR|DEN|DRO|
DRO|HDG,|HDG|CAN|YVR|DEN|DRO|
DRO|HET,|HET|DLC|ICN|YVR|DEN|DRO|
DRO|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|DRO|
DRO|HJJ,|HJJ|CSX|ICN|YVR|DEN|DRO|
DRO|HKT,|HKT|KWE|PEK|YVR|DEN|DRO|
DRO|HRB,|HRB|ICN|YVR|DEN|DRO|
DRO|HZH,|HZH|CAN|YVR|DEN|DRO|
DRO|JIU,|JIU|CAN|YVR|DEN|DRO|
DRO|JJN,|JJN|PEK|YVR|DEN|DRO|
DRO|JNG,|JNG|CAN|YVR|DEN|DRO|
DRO|KHN,|KHN|DLC|ICN|YVR|DEN|DRO|
DRO|KIX,|KIX|SFO|DEN|DRO|
DRO|KOW,|KOW|PEK|YVR|DEN|DRO|
DRO|KTM,|KTM|CAN|YVR|DEN|DRO|
DRO|KUL,|KUL|PVG|YVR|DEN|DRO|
DRO|KWE,|KWE|PEK|YVR|DEN|DRO|
DRO|KWL,|KWL|PEK|YVR|DEN|DRO|
DRO|LHW,|LHW|CGO|PEK|YVR|DEN|DRO|
DRO|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|DRO|
DRO|LYG,|LYG|HSN|PEK|YVR|DEN|DRO|
DRO|LZH,|LZH|CAN|YVR|DEN|DRO|
DRO|MEL,|MEL|SYD|LAX|DEN|DRO|
DRO|MIG,|MIG|CSX|ICN|YVR|DEN|DRO|
DRO|MLE,|MLE|IST|FRA|DEN|DRO|
DRO|MNL,|MNL|XMN|PEK|YVR|DEN|DRO|
DRO|MXZ,|MXZ|CAN|YVR|DEN|DRO|
DRO|NAO,|NAO|PEK|YVR|DEN|DRO|
DRO|NGB,|NGB|DLC|ICN|YVR|DEN|DRO|
DRO|NKG,|NKG|DLC|ICN|YVR|DEN|DRO|
DRO|NNY,|NNY|CGO|PEK|YVR|DEN|DRO|
DRO|PEN,|PEN|CAN|YVR|DEN|DRO|
DRO|PER,|PER|CAN|YVR|DEN|DRO|
DRO|PNH,|PNH|CAN|YVR|DEN|DRO|
DRO|REP,|REP|ICN|YVR|DEN|DRO|
DRO|RGN,|RGN|CAN|YVR|DEN|DRO|
DRO|SGN,|SGN|HKG|YVR|DEN|DRO|
DRO|SHA,|SHA|PEK|YVR|DEN|DRO|
DRO|SIN,|SIN|HKG|YVR|DEN|DRO|
DRO|SVO,|SVO|URC|PEK|YVR|DEN|DRO|
DRO|SYX,|SYX|CAN|YVR|DEN|DRO|
DRO|TAO,|TAO|DLC|ICN|YVR|DEN|DRO|
DRO|TEN,|TEN|PEK|YVR|DEN|DRO|
DRO|TNA,|TNA|DLC|ICN|YVR|DEN|DRO|
DRO|TPE,|TPE|PVG|YVR|DEN|DRO|
DRO|TSN,|TSN|DLC|ICN|YVR|DEN|DRO|
DRO|TXN,|TXN|DLC|ICN|YVR|DEN|DRO|
DRO|TYN,|TYN|DLC|ICN|YVR|DEN|DRO|
DRO|WNZ,|WNZ|CGO|PEK|YVR|DEN|DRO|
DRO|WUX,|WUX|CAN|YVR|DEN|DRO|
DRO|XFN,|XFN|CAN|YVR|DEN|DRO|
DRO|XIY,|XIY|PEK|YVR|DEN|DRO|
DRO|XUZ,|XUZ|LYG|HSN|PEK|YVR|DEN|DRO|
DRO|YIH,|YIH|CKG|PEK|YVR|DEN|DRO|
DRO|YIW,|YIW|PEK|YVR|DEN|DRO|
DRO|YNT,|YNT|SHE|ICN|YVR|DEN|DRO|
DRO|YNZ,|YNZ|DLC|ICN|YVR|DEN|DRO|
DRO|YTY,|YTY|DLC|ICN|YVR|DEN|DRO|
DRO|ZHA,|ZHA|CAN|YVR|DEN|DRO|
DRO|ZYI,|ZYI|PEK|YVR|DEN|DRO|
DRO|BAV,|BAV|SJW|DLC|ICN|YVR|DEN|DRO|
DRO|CJU,|CJU|DLC|ICN|YVR|DEN|DRO|
DRO|DSN,|DSN|CGO|PEK|YVR|DEN|DRO|
DRO|HMI,|HMI|CGO|PEK|YVR|DEN|DRO|
DRO|INC,|INC|PEK|YVR|DEN|DRO|
DRO|KHH,|KHH|CGO|PEK|YVR|DEN|DRO|
DRO|UYN,|UYN|CGO|PEK|YVR|DEN|DRO|
DRO|XNN,|XNN|PEK|YVR|DEN|DRO|
DRO|ZUH,|ZUH|PVG|YVR|DEN|DRO|
DRO|YNJ,|YNJ|ICN|YVR|DEN|DRO|
DRO|DAT,|DAT|CIH|PEK|YVR|DEN|DRO|
DRO|JHG,|JHG|CKG|PEK|YVR|DEN|DRO|
DRO|LJG,|LJG|CKG|PEK|YVR|DEN|DRO|
DRO|LXA,|LXA|XIY|PEK|YVR|DEN|DRO|
DRO|YCU,|YCU|CSX|ICN|YVR|DEN|DRO|
DRO|LZO,|LZO|CSX|ICN|YVR|DEN|DRO|
DRO|MDG,|MDG|ICN|YVR|DEN|DRO|
DRO|NGO,|NGO|ICN|YVR|DEN|DRO|
DRO|TOY,|TOY|DLC|ICN|YVR|DEN|DRO|
DRO|MFM,|MFM|XMN|PEK|YVR|DEN|DRO|
DRO|TGO,|TGO|HET|DLC|ICN|YVR|DEN|DRO|
DRO|XIL,|XIL|HET|DLC|ICN|YVR|DEN|DRO|
DRO|HEK,|HEK|HRB|ICN|YVR|DEN|DRO|
DRO|KIJ,|KIJ|HRB|ICN|YVR|DEN|DRO|
DRO|LDS,|LDS|HRB|ICN|YVR|DEN|DRO|
DRO|OHE,|OHE|HRB|ICN|YVR|DEN|DRO|
DRO|HSN,|HSN|PEK|YVR|DEN|DRO|
DRO|DLU,|DLU|KMG|PEK|YVR|DEN|DRO|
DRO|SYM,|SYM|KMG|PEK|YVR|DEN|DRO|
DRO|ZAT,|ZAT|KMG|PEK|YVR|DEN|DRO|
DRO|LUN,|LUN|NBO|ZRH|ORD|DEN|DRO|
DRO|AOG,|AOG|PEK|YVR|DEN|DRO|
DRO|GMP,|GMP|PEK|YVR|DEN|DRO|
DRO|ISB,|ISB|IST|FRA|DEN|DRO|
DRO|TAS,|TAS|IST|FRA|DEN|DRO|
DRO|WUS,|WUS|PEK|YVR|DEN|DRO|
DRO|JMU,|JMU|PVG|YVR|DEN|DRO|
DRO|NDG,|NDG|PVG|YVR|DEN|DRO|
DRO|JXA,|JXA|SHE|ICN|YVR|DEN|DRO|
DRO|PUS,|PUS|SHE|ICN|YVR|DEN|DRO|
DRO|BKI,|BKI|SZX|PVG|YVR|DEN|DRO|
DRO|AKU,|AKU|URC|PEK|YVR|DEN|DRO|
DRO|ALA,|ALA|TSE|FRA|DEN|DRO|
DRO|ASB,|ASB|GYD|FRA|DEN|DRO|
DRO|DNH,|DNH|XIY|PEK|YVR|DEN|DRO|
DRO|DYU,|DYU|IST|FRA|DEN|DRO|
DRO|FRU,|FRU|IST|FRA|DEN|DRO|
DRO|GYD,|GYD|FRA|DEN|DRO|
DRO|HTN,|HTN|URC|PEK|YVR|DEN|DRO|
DRO|IKA,|IKA|SAW|FRA|DEN|DRO|
DRO|KCA,|KCA|URC|PEK|YVR|DEN|DRO|
DRO|KHG,|KHG|URC|PEK|YVR|DEN|DRO|
DRO|KRL,|KRL|URC|PEK|YVR|DEN|DRO|
DRO|KRY,|KRY|URC|PEK|YVR|DEN|DRO|
DRO|LBD,|LBD|URC|PEK|YVR|DEN|DRO|
DRO|NLT,|NLT|URC|PEK|YVR|DEN|DRO|
DRO|OSS,|OSS|IST|FRA|DEN|DRO|
DRO|OVB,|OVB|URC|PEK|YVR|DEN|DRO|
DRO|TBS,|TBS|SAW|FRA|DEN|DRO|
DRO|TCG,|TCG|URC|PEK|YVR|DEN|DRO|
DRO|TSE,|TSE|FRA|DEN|DRO|
DRO|YIN,|YIN|URC|PEK|YVR|DEN|DRO|
DRO|ENH,|ENH|WUH|ICN|YVR|DEN|DRO|
DRO|ENY,|ENY|XIY|PEK|YVR|DEN|DRO|
DRO|WXN,|WXN|XIY|PEK|YVR|DEN|DRO|
DRO|BLL,|BLL|IST|FRA|DEN|DRO|
DRO|ESB,|ESB|FRA|DEN|DRO|
DRO|SAW,|SAW|FRA|DEN|DRO|
DRO|HAM,|HAM|EWR|DEN|DRO|
DRO|HRE,|HRE|ADD|JED|FRA|DEN|DRO|
DRO|JUB,|JUB|CAI|IST|FRA|DEN|DRO|
DRO|SSG,|SSG|DLA|BRU|ORD|DEN|DRO|
DRO|BGW,|BGW|ESB|FRA|DEN|DRO|
DRO|EBL,|EBL|IST|FRA|DEN|DRO|
DRO|VKO,|VKO|IST|FRA|DEN|DRO|
DRO|MCT,|MCT|IST|FRA|DEN|DRO|
DRO|AYT,|AYT|IST|FRA|DEN|DRO|
DRO|SCQ,|SCQ|BIO|IST|FRA|DEN|DRO|
DRO|AAL,|AAL|IST|FRA|DEN|DRO|
DRO|AOE,|AOE|BRU|ORD|DEN|DRO|
DRO|JNB,|JNB|DKR|IAD|DEN|DRO|
DRO|LBV,|LBV|DLA|BRU|ORD|DEN|DRO|
DRO|ADA,|ADA|SAW|FRA|DEN|DRO|
DRO|ADB,|ADB|IST|FRA|DEN|DRO|
DRO|ADF,|ADF|ESB|FRA|DEN|DRO|
DRO|AJI,|AJI|ESB|FRA|DEN|DRO|
DRO|BAL,|BAL|ESB|FRA|DEN|DRO|
DRO|BJV,|BJV|IST|FRA|DEN|DRO|
DRO|CKZ,|CKZ|ESB|FRA|DEN|DRO|
DRO|DIY,|DIY|ESB|FRA|DEN|DRO|
DRO|ECN,|ECN|IST|FRA|DEN|DRO|
DRO|ERC,|ERC|ESB|FRA|DEN|DRO|
DRO|ERZ,|ERZ|ESB|FRA|DEN|DRO|
DRO|EZS,|EZS|ESB|FRA|DEN|DRO|
DRO|GNY,|GNY|ESB|FRA|DEN|DRO|
DRO|GZP,|GZP|ESB|FRA|DEN|DRO|
DRO|GZT,|GZT|ESB|FRA|DEN|DRO|
DRO|HTY,|HTY|SAW|FRA|DEN|DRO|
DRO|KCM,|KCM|ESB|FRA|DEN|DRO|
DRO|KSY,|KSY|ESB|FRA|DEN|DRO|
DRO|MLX,|MLX|ESB|FRA|DEN|DRO|
DRO|MQM,|MQM|ESB|FRA|DEN|DRO|
DRO|MSR,|MSR|ESB|FRA|DEN|DRO|
DRO|TEQ,|TEQ|ESB|FRA|DEN|DRO|
DRO|TZX,|TZX|ESB|FRA|DEN|DRO|
DRO|VAN,|VAN|ESB|FRA|DEN|DRO|
DRO|ULN,|ULN|FRU|IST|FRA|DEN|DRO|
DRO|HIJ,|HIJ|ICN|YVR|DEN|DRO|
DRO|VVO,|VVO|ICN|YVR|DEN|DRO|
DRO|ACC,|ACC|IST|FRA|DEN|DRO|
DRO|AER,|AER|IST|FRA|DEN|DRO|
DRO|AGP,|AGP|IST|FRA|DEN|DRO|
DRO|ALG,|ALG|IST|FRA|DEN|DRO|
DRO|AMM,|AMM|IST|FRA|DEN|DRO|
DRO|AQJ,|AQJ|IST|FRA|DEN|DRO|
DRO|ARN,|ARN|EWR|DEN|DRO|
DRO|ASR,|ASR|SAW|FRA|DEN|DRO|
DRO|ATH,|ATH|IST|FRA|DEN|DRO|
DRO|BAH,|BAH|IST|FRA|DEN|DRO|
DRO|BEG,|BEG|IST|FRA|DEN|DRO|
DRO|BEN,|BEN|IST|FRA|DEN|DRO|
DRO|BEY,|BEY|IST|FRA|DEN|DRO|
DRO|BHX,|BHX|EWR|DEN|DRO|
DRO|BIO,|BIO|IST|FRA|DEN|DRO|
DRO|BLQ,|BLQ|IST|FRA|DEN|DRO|
DRO|BOM,|BOM|IST|FRA|DEN|DRO|
DRO|BRE,|BRE|IST|FRA|DEN|DRO|
DRO|BSL,|BSL|IST|FRA|DEN|DRO|
DRO|BSR,|BSR|IST|FRA|DEN|DRO|
DRO|BUD,|BUD|IST|FRA|DEN|DRO|
DRO|BUS,|BUS|IST|FRA|DEN|DRO|
DRO|CAI,|CAI|IST|FRA|DEN|DRO|
DRO|CGN,|CGN|IST|FRA|DEN|DRO|
DRO|CMN,|CMN|IST|FRA|DEN|DRO|
DRO|CND,|CND|IST|FRA|DEN|DRO|
DRO|DAR,|DAR|NBO|ZRH|ORD|DEN|DRO|
DRO|DLM,|DLM|IST|FRA|DEN|DRO|
DRO|DMM,|DMM|IST|FRA|DEN|DRO|
DRO|DNK,|DNK|IST|FRA|DEN|DRO|
DRO|DNZ,|DNZ|IST|FRA|DEN|DRO|
DRO|DOK,|DOK|IST|FRA|DEN|DRO|
DRO|DUS,|DUS|ORD|DEN|DRO|
DRO|EDI,|EDI|EWR|DEN|DRO|
DRO|ELQ,|ELQ|IST|FRA|DEN|DRO|
DRO|FDH,|FDH|IST|FRA|DEN|DRO|
DRO|GOA,|GOA|IST|FRA|DEN|DRO|
DRO|GOT,|GOT|BRU|ORD|DEN|DRO|
DRO|HAJ,|HAJ|BRU|ORD|DEN|DRO|
DRO|HBE,|HBE|IST|FRA|DEN|DRO|
DRO|HEL,|HEL|IST|FRA|DEN|DRO|
DRO|HRG,|HRG|IST|FRA|DEN|DRO|
DRO|IFN,|IFN|IST|FRA|DEN|DRO|
DRO|ISE,|ISE|IST|FRA|DEN|DRO|
DRO|ISU,|ISU|IST|FRA|DEN|DRO|
DRO|JIB,|JIB|IST|FRA|DEN|DRO|
DRO|JRO,|JRO|IST|FRA|DEN|DRO|
DRO|KAN,|KAN|IST|FRA|DEN|DRO|
DRO|KBL,|KBL|IST|FRA|DEN|DRO|
DRO|KBP,|KBP|IST|FRA|DEN|DRO|
DRO|KFS,|KFS|IST|FRA|DEN|DRO|
DRO|KHI,|KHI|IST|FRA|DEN|DRO|
DRO|KIV,|KIV|IST|FRA|DEN|DRO|
DRO|KRT,|KRT|IST|FRA|DEN|DRO|
DRO|KSH,|KSH|IST|FRA|DEN|DRO|
DRO|KVD,|KVD|IST|FRA|DEN|DRO|
DRO|KWI,|KWI|SAW|FRA|DEN|DRO|
DRO|KYA,|KYA|IST|FRA|DEN|DRO|
DRO|KZN,|KZN|IST|FRA|DEN|DRO|
DRO|KZR,|KZR|IST|FRA|DEN|DRO|
DRO|LED,|LED|VIE|ORD|DEN|DRO|
DRO|LEJ,|LEJ|IST|FRA|DEN|DRO|
DRO|LGW,|LGW|IST|FRA|DEN|DRO|
DRO|LHE,|LHE|IST|FRA|DEN|DRO|
DRO|LIS,|LIS|EWR|DEN|DRO|
DRO|LJU,|LJU|IST|FRA|DEN|DRO|
DRO|LOS,|LOS|IAH|DEN|DRO|
DRO|LUX,|LUX|IST|FRA|DEN|DRO|
DRO|LWO,|LWO|IST|FRA|DEN|DRO|
DRO|LYS,|LYS|IST|FRA|DEN|DRO|
DRO|MAD,|MAD|EWR|DEN|DRO|
DRO|MAN,|MAN|EWR|DEN|DRO|
DRO|MED,|MED|IST|FRA|DEN|DRO|
DRO|MHD,|MHD|IST|FRA|DEN|DRO|
DRO|MLA,|MLA|IST|FRA|DEN|DRO|
DRO|MRS,|MRS|IST|FRA|DEN|DRO|
DRO|MSQ,|MSQ|IST|FRA|DEN|DRO|
DRO|MXP,|MXP|EWR|DEN|DRO|
DRO|MZH,|MZH|IST|FRA|DEN|DRO|
DRO|MZR,|MZR|IST|FRA|DEN|DRO|
DRO|NAJ,|NAJ|IST|FRA|DEN|DRO|
DRO|NAV,|NAV|IST|FRA|DEN|DRO|
DRO|NCE,|NCE|IST|FRA|DEN|DRO|
DRO|NIM,|NIM|IST|FRA|DEN|DRO|
DRO|NJF,|NJF|IST|FRA|DEN|DRO|
DRO|NSI,|NSI|BRU|ORD|DEN|DRO|
