KWE|BRU,|BRU|IST|URC|KWE|
KWE|YQU,|YQU|YEG|YVR|PEK|KWE|
KWE|YZF,|YZF|YEG|YVR|PEK|KWE|
KWE|YGR,|YGR|YGP|YQB|YYZ|PEK|KWE|
KWE|YGP,|YGP|YQB|YYZ|PEK|KWE|
KWE|BOS,|BOS|YYZ|PEK|KWE|
KWE|YDF,|YDF|YYT|LHR|IST|URC|KWE|
KWE|YFC,|YFC|YYZ|PEK|KWE|
KWE|YQM,|YQM|YYZ|PEK|KWE|
KWE|YQX,|YQX|YYT|LHR|IST|URC|KWE|
KWE|YQY,|YQY|YYZ|PEK|KWE|
KWE|YSJ,|YSJ|YYZ|PEK|KWE|
KWE|YYG,|YYG|YYZ|PEK|KWE|
KWE|LAX,|LAX|PEK|KWE|
KWE|DCA,|DCA|YYZ|PEK|KWE|
KWE|LGA,|LGA|YYZ|PEK|KWE|
KWE|YZV,|YZV|YQB|YYZ|PEK|KWE|
KWE|YWL,|YWL|YVR|PEK|KWE|
KWE|AZS,|AZS|YYZ|PEK|KWE|
KWE|BDL,|BDL|YYZ|PEK|KWE|
KWE|CCC,|CCC|YYZ|PEK|KWE|
KWE|CDG,|CDG|IST|URC|KWE|
KWE|CUN,|CUN|IAH|PEK|KWE|
KWE|CZM,|CZM|IAH|PEK|KWE|
KWE|FDF,|FDF|YUL|YYZ|PEK|KWE|
KWE|FLL,|FLL|ORD|PEK|KWE|
KWE|GVA,|GVA|IST|URC|KWE|
KWE|HOG,|HOG|YYZ|PEK|KWE|
KWE|LAS,|LAS|SEA|PEK|KWE|
KWE|MBJ,|MBJ|ATL|ORD|PEK|KWE|
KWE|MCO,|MCO|ORD|PEK|KWE|
KWE|MUC,|MUC|IST|URC|KWE|
KWE|PAP,|PAP|YUL|YYZ|PEK|KWE|
KWE|PTP,|PTP|YUL|YYZ|PEK|KWE|
KWE|PUJ,|PUJ|EWR|PEK|KWE|
KWE|SNU,|SNU|YYZ|PEK|KWE|
KWE|VRA,|VRA|YYZ|PEK|KWE|
KWE|YBC,|YBC|YUL|YYZ|PEK|KWE|
KWE|YBG,|YBG|YUL|YYZ|PEK|KWE|
KWE|YTZ,|YTZ|YUL|YYZ|PEK|KWE|
KWE|YUY,|YUY|YUL|YYZ|PEK|KWE|
KWE|YVO,|YVO|YUL|YYZ|PEK|KWE|
KWE|ZBF,|ZBF|YUL|YYZ|PEK|KWE|
KWE|ZRH,|ZRH|IST|URC|KWE|
KWE|ZSA,|ZSA|YUL|YYZ|PEK|KWE|
KWE|AKL,|AKL|CAN|KWE|
KWE|HKG,|HKG|CAN|KWE|
KWE|HND,|HND|HNL|NRT|ICN|WUH|KWE|
KWE|HNL,|HNL|NRT|ICN|WUH|KWE|
KWE|MEX,|MEX|YVR|PEK|KWE|
KWE|OGG,|OGG|HNL|NRT|ICN|WUH|KWE|
KWE|PDX,|PDX|SEA|PEK|KWE|
KWE|PEK,|PEK|KWE|
KWE|PVG,|PVG|KWE|
KWE|PVR,|PVR|SFO|PEK|KWE|
KWE|SEA,|SEA|PEK|KWE|
KWE|SYD,|SYD|CAN|KWE|
KWE|YBL,|YBL|YVR|PEK|KWE|
KWE|YCD,|YCD|YVR|PEK|KWE|
KWE|YCG,|YCG|YVR|PEK|KWE|
KWE|YKA,|YKA|YVR|PEK|KWE|
KWE|YPR,|YPR|YVR|PEK|KWE|
KWE|YQZ,|YQZ|YVR|PEK|KWE|
KWE|YXC,|YXC|YVR|PEK|KWE|
KWE|YXJ,|YXJ|YVR|PEK|KWE|
KWE|YXS,|YXS|YVR|PEK|KWE|
KWE|YXT,|YXT|YVR|PEK|KWE|
KWE|YXY,|YXY|YVR|PEK|KWE|
KWE|YYD,|YYD|YVR|PEK|KWE|
KWE|YYF,|YYF|YVR|PEK|KWE|
KWE|YZP,|YZP|YVR|PEK|KWE|
KWE|YQT,|YQT|YWG|YVR|PEK|KWE|
KWE|SJD,|SJD|SFO|PEK|KWE|
KWE|YQF,|YQF|YYC|YVR|PEK|KWE|
KWE|YQL,|YQL|YYC|YVR|PEK|KWE|
KWE|YXH,|YXH|YYC|YVR|PEK|KWE|
KWE|YWK,|YWK|YZV|YQB|YYZ|PEK|KWE|
KWE|ANU,|ANU|EWR|PEK|KWE|
KWE|AUA,|AUA|EWR|PEK|KWE|
KWE|AUH,|AUH|IST|URC|KWE|
KWE|BCN,|BCN|IST|URC|KWE|
KWE|BDA,|BDA|EWR|PEK|KWE|
KWE|BGI,|BGI|YYZ|PEK|KWE|
KWE|BNA,|BNA|ORD|PEK|KWE|
KWE|BOG,|BOG|MIA|ORD|PEK|KWE|
KWE|BWI,|BWI|YYZ|PEK|KWE|
KWE|CLE,|CLE|YYZ|PEK|KWE|
KWE|CLT,|CLT|YYZ|PEK|KWE|
KWE|CMH,|CMH|ORD|PEK|KWE|
KWE|CVG,|CVG|ORD|PEK|KWE|
KWE|DFW,|DFW|YVR|PEK|KWE|
KWE|DTW,|DTW|PEK|KWE|
KWE|DUB,|DUB|IST|URC|KWE|
KWE|FCO,|FCO|IST|URC|KWE|
KWE|GCM,|GCM|YYZ|PEK|KWE|
KWE|GGT,|GGT|YYZ|PEK|KWE|
KWE|GND,|GND|YYZ|PEK|KWE|
KWE|GRU,|GRU|IST|URC|KWE|
KWE|HAV,|HAV|YYZ|PEK|KWE|
KWE|IND,|IND|ORD|PEK|KWE|
KWE|JFK,|JFK|PEK|KWE|
KWE|KIN,|KIN|YYZ|PEK|KWE|
KWE|LIM,|LIM|IAH|PEK|KWE|
KWE|LIR,|LIR|IAH|PEK|KWE|
KWE|MCI,|MCI|DEN|YVR|PEK|KWE|
KWE|MDT,|MDT|YYZ|PEK|KWE|
KWE|MIA,|MIA|ORD|PEK|KWE|
KWE|MKE,|MKE|ORD|PEK|KWE|
KWE|MSP,|MSP|ORD|PEK|KWE|
KWE|NAS,|NAS|YYZ|PEK|KWE|
KWE|PHL,|PHL|YYZ|PEK|KWE|
KWE|PHX,|PHX|SEA|PEK|KWE|
KWE|PIT,|PIT|YYZ|PEK|KWE|
KWE|PLS,|PLS|EWR|PEK|KWE|
KWE|POP,|POP|EWR|PEK|KWE|
KWE|RDU,|RDU|YYZ|PEK|KWE|
KWE|ROC,|ROC|YYZ|PEK|KWE|
KWE|RSW,|RSW|ORD|PEK|KWE|
KWE|SAN,|SAN|LAX|PEK|KWE|
KWE|SJO,|SJO|IAH|PEK|KWE|
KWE|STL,|STL|ORD|PEK|KWE|
KWE|SYR,|SYR|YYZ|PEK|KWE|
KWE|TLV,|TLV|SAW|TBS|URC|KWE|
KWE|TPA,|TPA|ORD|PEK|KWE|
KWE|UVF,|UVF|EWR|PEK|KWE|
KWE|VIE,|VIE|IST|URC|KWE|
KWE|YAM,|YAM|YYZ|PEK|KWE|
KWE|YGK,|YGK|YYZ|PEK|KWE|
KWE|YQG,|YQG|YYZ|PEK|KWE|
KWE|YSB,|YSB|YYZ|PEK|KWE|
KWE|YTS,|YTS|YYZ|PEK|KWE|
KWE|YYB,|YYB|YYZ|PEK|KWE|
KWE|YZR,|YZR|YYZ|PEK|KWE|
KWE|CAN,|CAN|KWE|
KWE|URC,|URC|KWE|
KWE|CTU,|CTU|KWE|
KWE|HGH,|HGH|KWE|
KWE|XMN,|XMN|CAN|KWE|
KWE|CGO,|CGO|KWE|
KWE|CSX,|CSX|KWE|
KWE|SHE,|SHE|CGO|KWE|
KWE|SJW,|SJW|CSX|KWE|
KWE|WUH,|WUH|KWE|
KWE|SZX,|SZX|KWE|
KWE|CKG,|CKG|KWE|
KWE|KMG,|KMG|KWE|
KWE|FOC,|FOC|KWE|
KWE|NNG,|NNG|KWE|
KWE|SWA,|SWA|KWE|
KWE|ACX,|ACX|CAN|KWE|
KWE|AQG,|AQG|CAN|KWE|
KWE|AVA,|AVA|CAN|KWE|
KWE|BFJ,|BFJ|CAN|KWE|
KWE|BHY,|BHY|KMG|KWE|
KWE|BNE,|BNE|CAN|KWE|
KWE|CGD,|CGD|CAN|KWE|
KWE|CGK,|CGK|CAN|KWE|
KWE|CGQ,|CGQ|CGO|KWE|
KWE|CIH,|CIH|DAT|TYN|XIY|KWE|
KWE|CNX,|CNX|CAN|KWE|
KWE|CZX,|CZX|CSX|KWE|
KWE|DAC,|DAC|CAN|KWE|
KWE|DAD,|DAD|CAN|KWE|
KWE|DEL,|DEL|CAN|KWE|
KWE|DIG,|DIG|KMG|KWE|
KWE|DLC,|DLC|CGO|KWE|
KWE|DPS,|DPS|CAN|KWE|
KWE|DXB,|DXB|CAN|KWE|
KWE|DYG,|DYG|CSX|KWE|
KWE|FUG,|FUG|CAN|KWE|
KWE|FUK,|FUK|CAN|KWE|
KWE|HAK,|HAK|NNG|KWE|
KWE|HAN,|HAN|CAN|KWE|
KWE|HDG,|HDG|CAN|KWE|
KWE|HET,|HET|INC|XIY|KWE|
KWE|HFE,|HFE|CSX|KWE|
KWE|HJJ,|HJJ|CSX|KWE|
KWE|HKT,|HKT|KWE|
KWE|HRB,|HRB|CGO|KWE|
KWE|HZH,|HZH|CAN|KWE|
KWE|JIU,|JIU|CAN|KWE|
KWE|JJN,|JJN|KWE|
KWE|JNG,|JNG|CAN|KWE|
KWE|KHN,|KHN|CKG|KWE|
KWE|KIX,|KIX|CAN|KWE|
KWE|KOW,|KOW|CAN|KWE|
KWE|KTM,|KTM|CAN|KWE|
KWE|KUL,|KUL|BKK|NNG|KWE|
KWE|KWL,|KWL|NNG|KWE|
KWE|LHW,|LHW|KMG|KWE|
KWE|LYA,|LYA|KHN|CKG|KWE|
KWE|LYG,|LYG|CAN|KWE|
KWE|LZH,|LZH|CAN|KWE|
KWE|MEL,|MEL|CAN|KWE|
KWE|MIG,|MIG|CSX|KWE|
KWE|MLE,|MLE|CAN|KWE|
KWE|MNL,|MNL|CAN|KWE|
KWE|MXZ,|MXZ|CAN|KWE|
KWE|NAO,|NAO|CAN|KWE|
KWE|NGB,|NGB|CSX|KWE|
KWE|NKG,|NKG|KWE|
KWE|NNY,|NNY|CGO|KWE|
KWE|PEN,|PEN|CAN|KWE|
KWE|PER,|PER|CAN|KWE|
KWE|PNH,|PNH|CAN|KWE|
KWE|REP,|REP|CAN|KWE|
KWE|RGN,|RGN|CAN|KWE|
KWE|SGN,|SGN|CAN|KWE|
KWE|SHA,|SHA|KWE|
KWE|SIN,|SIN|CAN|KWE|
KWE|SVO,|SVO|URC|KWE|
KWE|SYX,|SYX|ZUH|KWE|
KWE|TAO,|TAO|KWE|
KWE|TEN,|TEN|CAN|KWE|
KWE|TNA,|TNA|WUH|KWE|
KWE|TPE,|TPE|KWE|
KWE|TSN,|TSN|CKG|KWE|
KWE|TXN,|TXN|CSX|KWE|
KWE|TYN,|TYN|XIY|KWE|
KWE|WNZ,|WNZ|CSX|KWE|
KWE|WUX,|WUX|CAN|KWE|
KWE|XFN,|XFN|CAN|KWE|
KWE|XIY,|XIY|KWE|
KWE|XUZ,|XUZ|CAN|KWE|
KWE|YIH,|YIH|CKG|KWE|
KWE|YIW,|YIW|CAN|KWE|
KWE|YNT,|YNT|CSX|KWE|
KWE|YNZ,|YNZ|WUH|KWE|
KWE|YTY,|YTY|CSX|KWE|
KWE|ZHA,|ZHA|CAN|KWE|
KWE|ZYI,|ZYI|CAN|KWE|
KWE|BAV,|BAV|CTU|KWE|
KWE|CJU,|CJU|CSX|KWE|
KWE|DSN,|DSN|CGO|KWE|
KWE|HMI,|HMI|CGO|KWE|
KWE|INC,|INC|XIY|KWE|
KWE|KHH,|KHH|WUH|KWE|
KWE|UYN,|UYN|XIY|KWE|
KWE|XNN,|XNN|KWE|
KWE|ZUH,|ZUH|KWE|
KWE|YNJ,|YNJ|DLC|CGO|KWE|
KWE|DAT,|DAT|TYN|XIY|KWE|
KWE|JHG,|JHG|KMG|KWE|
KWE|LJG,|LJG|KWE|
KWE|LXA,|LXA|CKG|KWE|
KWE|YCU,|YCU|CKG|KWE|
KWE|LZO,|LZO|CSX|KWE|
KWE|MDG,|MDG|DLC|CGO|KWE|
KWE|NGO,|NGO|PVG|KWE|
KWE|TOY,|TOY|DLC|CGO|KWE|
KWE|MFM,|MFM|XMN|CAN|KWE|
KWE|TGO,|TGO|HET|INC|XIY|KWE|
KWE|XIL,|XIL|HET|INC|XIY|KWE|
KWE|HEK,|HEK|HRB|CGO|KWE|
KWE|KIJ,|KIJ|HRB|CGO|KWE|
KWE|LDS,|LDS|HRB|CGO|KWE|
KWE|OHE,|OHE|HRB|CGO|KWE|
KWE|HSN,|HSN|JJN|KWE|
KWE|DLU,|DLU|KWE|
KWE|SYM,|SYM|KMG|KWE|
KWE|ZAT,|ZAT|KMG|KWE|
KWE|LUN,|LUN|NBO|BKK|NNG|KWE|
KWE|AOG,|AOG|PEK|KWE|
KWE|GMP,|GMP|PEK|KWE|
KWE|ISB,|ISB|URC|KWE|
KWE|TAS,|TAS|URC|KWE|
KWE|WUS,|WUS|PEK|KWE|
KWE|JMU,|JMU|PVG|KWE|
KWE|NDG,|NDG|PVG|KWE|
KWE|JXA,|JXA|SHE|CGO|KWE|
KWE|PUS,|PUS|SHE|CGO|KWE|
KWE|BKI,|BKI|SZX|KWE|
KWE|AKU,|AKU|URC|KWE|
KWE|ALA,|ALA|URC|KWE|
KWE|ASB,|ASB|URC|KWE|
KWE|DNH,|DNH|XIY|KWE|
KWE|DYU,|DYU|URC|KWE|
KWE|FRU,|FRU|URC|KWE|
KWE|GYD,|GYD|URC|KWE|
KWE|HTN,|HTN|URC|KWE|
KWE|IKA,|IKA|URC|KWE|
KWE|KCA,|KCA|URC|KWE|
KWE|KHG,|KHG|URC|KWE|
KWE|KRL,|KRL|URC|KWE|
KWE|KRY,|KRY|URC|KWE|
KWE|LBD,|LBD|URC|KWE|
KWE|NLT,|NLT|URC|KWE|
KWE|OSS,|OSS|URC|KWE|
KWE|OVB,|OVB|URC|KWE|
KWE|TBS,|TBS|URC|KWE|
KWE|TCG,|TCG|URC|KWE|
KWE|TSE,|TSE|URC|KWE|
KWE|YIN,|YIN|URC|KWE|
KWE|ENH,|ENH|WUH|KWE|
KWE|ENY,|ENY|XIY|KWE|
KWE|WXN,|WXN|XIY|KWE|
KWE|BLL,|BLL|IST|URC|KWE|
KWE|ESB,|ESB|SAW|TBS|URC|KWE|
KWE|SAW,|SAW|TBS|URC|KWE|
KWE|HAM,|HAM|IST|URC|KWE|
KWE|HRE,|HRE|ADD|IST|URC|KWE|
KWE|JUB,|JUB|CAI|IST|URC|KWE|
KWE|SSG,|SSG|DLA|IST|URC|KWE|
KWE|BGW,|BGW|ESB|SAW|TBS|URC|KWE|
KWE|EBL,|EBL|IST|URC|KWE|
KWE|VKO,|VKO|IST|URC|KWE|
KWE|MCT,|MCT|IST|URC|KWE|
KWE|AYT,|AYT|IST|URC|KWE|
KWE|SCQ,|SCQ|BIO|IST|URC|KWE|
KWE|AAL,|AAL|IST|URC|KWE|
KWE|AOE,|AOE|BRU|IST|URC|KWE|
KWE|JNB,|JNB|IST|URC|KWE|
KWE|LBV,|LBV|DLA|IST|URC|KWE|
KWE|ADA,|ADA|SAW|TBS|URC|KWE|
KWE|ADB,|ADB|IST|URC|KWE|
KWE|ADF,|ADF|ESB|SAW|TBS|URC|KWE|
KWE|AJI,|AJI|ESB|SAW|TBS|URC|KWE|
KWE|BAL,|BAL|ESB|SAW|TBS|URC|KWE|
KWE|BJV,|BJV|IST|URC|KWE|
KWE|CKZ,|CKZ|ESB|SAW|TBS|URC|KWE|
KWE|DIY,|DIY|SAW|TBS|URC|KWE|
KWE|ECN,|ECN|SAW|TBS|URC|KWE|
KWE|ERC,|ERC|ESB|SAW|TBS|URC|KWE|
KWE|ERZ,|ERZ|SAW|TBS|URC|KWE|
KWE|EZS,|EZS|SAW|TBS|URC|KWE|
KWE|GNY,|GNY|ESB|SAW|TBS|URC|KWE|
KWE|GZP,|GZP|ESB|SAW|TBS|URC|KWE|
KWE|GZT,|GZT|SAW|TBS|URC|KWE|
KWE|HTY,|HTY|SAW|TBS|URC|KWE|
KWE|KCM,|KCM|ESB|SAW|TBS|URC|KWE|
KWE|KSY,|KSY|SAW|TBS|URC|KWE|
KWE|MLX,|MLX|ESB|SAW|TBS|URC|KWE|
KWE|MQM,|MQM|SAW|TBS|URC|KWE|
KWE|MSR,|MSR|ESB|SAW|TBS|URC|KWE|
KWE|TEQ,|TEQ|ESB|SAW|TBS|URC|KWE|
KWE|TZX,|TZX|SAW|TBS|URC|KWE|
KWE|VAN,|VAN|SAW|TBS|URC|KWE|
KWE|ULN,|ULN|FRU|URC|KWE|
KWE|HIJ,|HIJ|ICN|WUH|KWE|
KWE|VVO,|VVO|ICN|WUH|KWE|
KWE|ACC,|ACC|IST|URC|KWE|
KWE|AER,|AER|IST|URC|KWE|
KWE|AGP,|AGP|IST|URC|KWE|
KWE|ALG,|ALG|IST|URC|KWE|
KWE|AMM,|AMM|IST|URC|KWE|
KWE|AQJ,|AQJ|IST|URC|KWE|
KWE|ARN,|ARN|IST|URC|KWE|
KWE|ASR,|ASR|SAW|TBS|URC|KWE|
KWE|ATH,|ATH|IST|URC|KWE|
KWE|BAH,|BAH|KWI|SAW|TBS|URC|KWE|
KWE|BEG,|BEG|IST|URC|KWE|
KWE|BEN,|BEN|IST|URC|KWE|
KWE|BEY,|BEY|IST|URC|KWE|
KWE|BHX,|BHX|IST|URC|KWE|
KWE|BIO,|BIO|IST|URC|KWE|
KWE|BLQ,|BLQ|IST|URC|KWE|
KWE|BOM,|BOM|IST|URC|KWE|
KWE|BRE,|BRE|IST|URC|KWE|
KWE|BSL,|BSL|IST|URC|KWE|
KWE|BSR,|BSR|IST|URC|KWE|
KWE|BUD,|BUD|IST|URC|KWE|
KWE|BUS,|BUS|IST|URC|KWE|
KWE|CAI,|CAI|IST|URC|KWE|
KWE|CGN,|CGN|IST|URC|KWE|
KWE|CMN,|CMN|IST|URC|KWE|
KWE|CND,|CND|IST|URC|KWE|
KWE|DAR,|DAR|NBO|BKK|NNG|KWE|
KWE|DLM,|DLM|IST|URC|KWE|
KWE|DMM,|DMM|IST|URC|KWE|
KWE|DNK,|DNK|IST|URC|KWE|
KWE|DNZ,|DNZ|IST|URC|KWE|
KWE|DOK,|DOK|IST|URC|KWE|
KWE|DUS,|DUS|IST|URC|KWE|
KWE|EDI,|EDI|IST|URC|KWE|
KWE|ELQ,|ELQ|IST|URC|KWE|
KWE|FDH,|FDH|IST|URC|KWE|
KWE|GOA,|GOA|IST|URC|KWE|
KWE|GOT,|GOT|IST|URC|KWE|
KWE|HAJ,|HAJ|IST|URC|KWE|
KWE|HBE,|HBE|IST|URC|KWE|
KWE|HEL,|HEL|IST|URC|KWE|
KWE|HRG,|HRG|IST|URC|KWE|
KWE|IFN,|IFN|IST|URC|KWE|
KWE|ISE,|ISE|IST|URC|KWE|
KWE|ISU,|ISU|IST|URC|KWE|
KWE|JIB,|JIB|IST|URC|KWE|
KWE|JRO,|JRO|IST|URC|KWE|
KWE|KAN,|KAN|IST|URC|KWE|
KWE|KBL,|KBL|IST|URC|KWE|
KWE|KBP,|KBP|IST|URC|KWE|
KWE|KFS,|KFS|IST|URC|KWE|
KWE|KHI,|KHI|IST|URC|KWE|
KWE|KIV,|KIV|IST|URC|KWE|
KWE|KRT,|KRT|IST|URC|KWE|
KWE|KSH,|KSH|IST|URC|KWE|
KWE|KVD,|KVD|IST|URC|KWE|
KWE|KWI,|KWI|SAW|TBS|URC|KWE|
KWE|KYA,|KYA|SAW|TBS|URC|KWE|
KWE|KZN,|KZN|IST|URC|KWE|
KWE|KZR,|KZR|IST|URC|KWE|
KWE|LED,|LED|IST|URC|KWE|
KWE|LEJ,|LEJ|IST|URC|KWE|
KWE|LGW,|LGW|IST|URC|KWE|
KWE|LHE,|LHE|IST|URC|KWE|
KWE|LIS,|LIS|IST|URC|KWE|
KWE|LJU,|LJU|IST|URC|KWE|
KWE|LOS,|LOS|IST|URC|KWE|
KWE|LUX,|LUX|IST|URC|KWE|
KWE|LWO,|LWO|IST|URC|KWE|
KWE|LYS,|LYS|IST|URC|KWE|
KWE|MAD,|MAD|IST|URC|KWE|
KWE|MAN,|MAN|IST|URC|KWE|
KWE|MED,|MED|IST|URC|KWE|
KWE|MHD,|MHD|IST|URC|KWE|
KWE|MLA,|MLA|IST|URC|KWE|
KWE|MRS,|MRS|IST|URC|KWE|
KWE|MSQ,|MSQ|IST|URC|KWE|
KWE|MXP,|MXP|IST|URC|KWE|
KWE|MZH,|MZH|IST|URC|KWE|
KWE|MZR,|MZR|IST|URC|KWE|
KWE|NAJ,|NAJ|IST|URC|KWE|
KWE|NAV,|NAV|IST|URC|KWE|
KWE|NCE,|NCE|IST|URC|KWE|
KWE|NIM,|NIM|IST|URC|KWE|
KWE|NJF,|NJF|IST|URC|KWE|
KWE|NSI,|NSI|IST|URC|KWE|
KWE|NUE,|NUE|IST|URC|KWE|
KWE|ODS,|ODS|IST|URC|KWE|
KWE|ORN,|ORN|IST|URC|KWE|
KWE|OTP,|OTP|IST|URC|KWE|
KWE|PRG,|PRG|IST|URC|KWE|
KWE|PRN,|PRN|IST|URC|KWE|
KWE|RIX,|RIX|IST|URC|KWE|
KWE|ROV,|ROV|IST|URC|KWE|
KWE|RTM,|RTM|IST|URC|KWE|
KWE|RUH,|RUH|IST|URC|KWE|
KWE|SAH,|SAH|IST|URC|KWE|
KWE|SJJ,|SJJ|IST|URC|KWE|
KWE|SKG,|SKG|IST|URC|KWE|
KWE|SKP,|SKP|IST|URC|KWE|
KWE|SSH,|SSH|IST|URC|KWE|
KWE|STR,|STR|IST|URC|KWE|
KWE|SVX,|SVX|IST|URC|KWE|
KWE|SYZ,|SYZ|IST|URC|KWE|
KWE|SZG,|SZG|IST|URC|KWE|
KWE|TBZ,|TBZ|IST|URC|KWE|
KWE|TGD,|TGD|IST|URC|KWE|
KWE|TIA,|TIA|IST|URC|KWE|
KWE|TIF,|TIF|IST|URC|KWE|
KWE|TIP,|TIP|IST|URC|KWE|
KWE|TLL,|TLL|IST|URC|KWE|
KWE|TLS,|TLS|IST|URC|KWE|
KWE|TRN,|TRN|IST|URC|KWE|
KWE|TUN,|TUN|IST|URC|KWE|
KWE|TXL,|TXL|IST|URC|KWE|
KWE|UFA,|UFA|IST|URC|KWE|
KWE|VAS,|VAS|SAW|TBS|URC|KWE|
KWE|VCE,|VCE|IST|URC|KWE|
KWE|YNB,|YNB|IST|URC|KWE|
KWE|ZAG,|ZAG|IST|URC|KWE|
KWE|MGQ,|MGQ|JIB|IST|URC|KWE|
KWE|CPT,|CPT|JNB|IST|URC|KWE|
KWE|MBA,|MBA|JRO|IST|URC|KWE|
KWE|NDJ,|NDJ|KAN|IST|URC|KWE|
KWE|CMB,|CMB|MLE|CAN|KWE|
KWE|ADE,|ADE|SAH|IST|URC|KWE|
KWE|ASF,|ASF|SAW|TBS|URC|KWE|
KWE|STW,|STW|SAW|TBS|URC|KWE|
KWE|LFW,|LFW|ABJ|OUA|NIM|IST|URC|KWE|
KWE|CEC,|CEC|SFO|PEK|KWE|
KWE|SMF,|SMF|SFO|PEK|KWE|
KWE|CDR,|CDR|AIA|DEN|YVR|PEK|KWE|
KWE|FMN,|FMN|DEN|YVR|PEK|KWE|
KWE|JST,|JST|IAD|PEK|KWE|
KWE|JHW,|JHW|CLE|YYZ|PEK|KWE|
KWE|SHD,|SHD|IAD|PEK|KWE|
KWE|PTY,|PTY|ORD|PEK|KWE|
KWE|FNA,|FNA|BRU|IST|URC|KWE|
KWE|SXB,|SXB|BRU|IST|URC|KWE|
KWE|ACV,|ACV|SFO|PEK|KWE|
KWE|MGW,|MGW|IAD|PEK|KWE|
KWE|ALB,|ALB|EWR|PEK|KWE|
KWE|AUS,|AUS|DEN|YVR|PEK|KWE|
KWE|BFD,|BFD|CLE|YYZ|PEK|KWE|
KWE|BUF,|BUF|CLE|YYZ|PEK|KWE|
KWE|CHS,|CHS|ORD|PEK|KWE|
KWE|DAY,|DAY|ORD|PEK|KWE|
KWE|DUJ,|DUJ|CLE|YYZ|PEK|KWE|
KWE|ERI,|ERI|CLE|YYZ|PEK|KWE|
KWE|FKL,|FKL|CLE|YYZ|PEK|KWE|
KWE|FNT,|FNT|CLE|YYZ|PEK|KWE|
KWE|GRR,|GRR|ORD|PEK|KWE|
KWE|GSP,|GSP|ORD|PEK|KWE|
KWE|PBI,|PBI|ATL|ORD|PEK|KWE|
KWE|PKB,|PKB|CLE|YYZ|PEK|KWE|
KWE|RIC,|RIC|IAD|PEK|KWE|
KWE|SDF,|SDF|ORD|PEK|KWE|
KWE|GUM,|GUM|HKG|CAN|KWE|
