YAP|BRU,|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|RDU,|RDU|ORD|NRT|GUM|YAP|
YAP|ROC,|ROC|YYZ|NRT|GUM|YAP|
YAP|RSW,|RSW|IAH|HNL|GUM|YAP|
YAP|SAN,|SAN|LAX|HNL|GUM|YAP|
YAP|SJO,|SJO|IAH|HNL|GUM|YAP|
YAP|STL,|STL|SFO|HNL|GUM|YAP|
YAP|SYR,|SYR|YYZ|NRT|GUM|YAP|
YAP|TLV,|TLV|IST|CAN|MNL|ROR|YAP|
YAP|TPA,|TPA|IAH|HNL|GUM|YAP|
YAP|UVF,|UVF|EWR|NRT|GUM|YAP|
YAP|VIE,|VIE|IST|CAN|MNL|ROR|YAP|
YAP|YAM,|YAM|YYZ|NRT|GUM|YAP|
YAP|YGK,|YGK|YYZ|NRT|GUM|YAP|
YAP|YQG,|YQG|YYC|NRT|GUM|YAP|
YAP|YSB,|YSB|YYZ|NRT|GUM|YAP|
YAP|YTS,|YTS|YYZ|NRT|GUM|YAP|
YAP|YYB,|YYB|YYZ|NRT|GUM|YAP|
YAP|YZR,|YZR|YYZ|NRT|GUM|YAP|
YAP|CAN,|CAN|MNL|ROR|YAP|
YAP|URC,|URC|CAN|MNL|ROR|YAP|
YAP|CTU,|CTU|CAN|MNL|ROR|YAP|
YAP|HGH,|HGH|XMN|MNL|ROR|YAP|
YAP|XMN,|XMN|MNL|ROR|YAP|
YAP|CGO,|CGO|XMN|MNL|ROR|YAP|
YAP|CSX,|CSX|XMN|MNL|ROR|YAP|
YAP|SHE,|SHE|FUK|GUM|YAP|
YAP|SJW,|SJW|HGH|XMN|MNL|ROR|YAP|
YAP|WUH,|WUH|XMN|MNL|ROR|YAP|
YAP|SZX,|SZX|XMN|MNL|ROR|YAP|
YAP|CKG,|CKG|CAN|MNL|ROR|YAP|
YAP|KMG,|KMG|CAN|MNL|ROR|YAP|
YAP|FOC,|FOC|CAN|MNL|ROR|YAP|
YAP|NNG,|NNG|CAN|MNL|ROR|YAP|
YAP|SWA,|SWA|CAN|MNL|ROR|YAP|
YAP|ACX,|ACX|CAN|MNL|ROR|YAP|
YAP|AQG,|AQG|CAN|MNL|ROR|YAP|
YAP|AVA,|AVA|CAN|MNL|ROR|YAP|
YAP|BFJ,|BFJ|CAN|MNL|ROR|YAP|
YAP|BHY,|BHY|CAN|MNL|ROR|YAP|
YAP|BNE,|BNE|CAN|MNL|ROR|YAP|
YAP|CGD,|CGD|CAN|MNL|ROR|YAP|
YAP|CGK,|CGK|CAN|MNL|ROR|YAP|
YAP|CGQ,|CGQ|ICN|FUK|GUM|YAP|
YAP|CIH,|CIH|CAN|MNL|ROR|YAP|
YAP|CNX,|CNX|CAN|MNL|ROR|YAP|
YAP|CZX,|CZX|CAN|MNL|ROR|YAP|
YAP|DAC,|DAC|CAN|MNL|ROR|YAP|
YAP|DAD,|DAD|CAN|MNL|ROR|YAP|
YAP|DEL,|DEL|CAN|MNL|ROR|YAP|
YAP|DIG,|DIG|CAN|MNL|ROR|YAP|
YAP|DLC,|DLC|ICN|FUK|GUM|YAP|
YAP|DPS,|DPS|CAN|MNL|ROR|YAP|
YAP|DXB,|DXB|CAN|MNL|ROR|YAP|
YAP|DYG,|DYG|CAN|MNL|ROR|YAP|
YAP|FUG,|FUG|CAN|MNL|ROR|YAP|
YAP|FUK,|FUK|GUM|YAP|
YAP|HAK,|HAK|CAN|MNL|ROR|YAP|
YAP|HAN,|HAN|CAN|MNL|ROR|YAP|
YAP|HDG,|HDG|CAN|MNL|ROR|YAP|
YAP|HET,|HET|NKG|XMN|MNL|ROR|YAP|
YAP|HFE,|HFE|XMN|MNL|ROR|YAP|
YAP|HJJ,|HJJ|CAN|MNL|ROR|YAP|
YAP|HKT,|HKT|CAN|MNL|ROR|YAP|
YAP|HRB,|HRB|KIX|GUM|YAP|
YAP|HZH,|HZH|CAN|MNL|ROR|YAP|
YAP|JIU,|JIU|CAN|MNL|ROR|YAP|
YAP|JJN,|JJN|CAN|MNL|ROR|YAP|
YAP|JNG,|JNG|CAN|MNL|ROR|YAP|
YAP|KHN,|KHN|XMN|MNL|ROR|YAP|
YAP|KIX,|KIX|GUM|YAP|
YAP|KOW,|KOW|CAN|MNL|ROR|YAP|
YAP|KTM,|KTM|CAN|MNL|ROR|YAP|
YAP|KUL,|KUL|CAN|MNL|ROR|YAP|
YAP|KWE,|KWE|CAN|MNL|ROR|YAP|
YAP|KWL,|KWL|CAN|MNL|ROR|YAP|
YAP|LHW,|LHW|CAN|MNL|ROR|YAP|
YAP|LYA,|LYA|KHN|XMN|MNL|ROR|YAP|
YAP|LYG,|LYG|HSN|XMN|MNL|ROR|YAP|
YAP|LZH,|LZH|CAN|MNL|ROR|YAP|
YAP|MEL,|MEL|CAN|MNL|ROR|YAP|
YAP|MIG,|MIG|CAN|MNL|ROR|YAP|
YAP|MLE,|MLE|CAN|MNL|ROR|YAP|
YAP|MNL,|MNL|ROR|YAP|
YAP|MXZ,|MXZ|CAN|MNL|ROR|YAP|
YAP|NAO,|NAO|CAN|MNL|ROR|YAP|
YAP|NGB,|NGB|XMN|MNL|ROR|YAP|
YAP|NKG,|NKG|XMN|MNL|ROR|YAP|
YAP|NNY,|NNY|CAN|MNL|ROR|YAP|
YAP|PEN,|PEN|CAN|MNL|ROR|YAP|
YAP|PER,|PER|CAN|MNL|ROR|YAP|
YAP|PNH,|PNH|CAN|MNL|ROR|YAP|
YAP|REP,|REP|CAN|MNL|ROR|YAP|
YAP|RGN,|RGN|CAN|MNL|ROR|YAP|
YAP|SGN,|SGN|CAN|MNL|ROR|YAP|
YAP|SHA,|SHA|XMN|MNL|ROR|YAP|
YAP|SIN,|SIN|CAN|MNL|ROR|YAP|
YAP|SVO,|SVO|CAN|MNL|ROR|YAP|
YAP|SYX,|SYX|CAN|MNL|ROR|YAP|
YAP|TAO,|TAO|XMN|MNL|ROR|YAP|
YAP|TEN,|TEN|CAN|MNL|ROR|YAP|
YAP|TNA,|TNA|XMN|MNL|ROR|YAP|
YAP|TPE,|TPE|CAN|MNL|ROR|YAP|
YAP|TSN,|TSN|DLC|ICN|FUK|GUM|YAP|
YAP|TXN,|TXN|XMN|MNL|ROR|YAP|
YAP|TYN,|TYN|XMN|MNL|ROR|YAP|
YAP|WNZ,|WNZ|CAN|MNL|ROR|YAP|
YAP|WUX,|WUX|CAN|MNL|ROR|YAP|
YAP|XFN,|XFN|XMN|MNL|ROR|YAP|
YAP|XIY,|XIY|XMN|MNL|ROR|YAP|
YAP|XUZ,|XUZ|CAN|MNL|ROR|YAP|
YAP|YIH,|YIH|XMN|MNL|ROR|YAP|
YAP|YIW,|YIW|XMN|MNL|ROR|YAP|
YAP|YNT,|YNT|SHE|FUK|GUM|YAP|
YAP|YNZ,|YNZ|XMN|MNL|ROR|YAP|
YAP|YTY,|YTY|CAN|MNL|ROR|YAP|
YAP|ZHA,|ZHA|CAN|MNL|ROR|YAP|
YAP|ZYI,|ZYI|CAN|MNL|ROR|YAP|
YAP|BAV,|BAV|CGO|XMN|MNL|ROR|YAP|
YAP|CJU,|CJU|DLC|ICN|FUK|GUM|YAP|
YAP|DSN,|DSN|CGO|XMN|MNL|ROR|YAP|
YAP|HMI,|HMI|CGO|XMN|MNL|ROR|YAP|
YAP|INC,|INC|WUH|XMN|MNL|ROR|YAP|
YAP|KHH,|KHH|WUH|XMN|MNL|ROR|YAP|
YAP|UYN,|UYN|CGO|XMN|MNL|ROR|YAP|
YAP|XNN,|XNN|CKG|CAN|MNL|ROR|YAP|
YAP|ZUH,|ZUH|XMN|MNL|ROR|YAP|
YAP|YNJ,|YNJ|ICN|FUK|GUM|YAP|
YAP|DAT,|DAT|TYN|XMN|MNL|ROR|YAP|
YAP|JHG,|JHG|KMG|CAN|MNL|ROR|YAP|
YAP|LJG,|LJG|KMG|CAN|MNL|ROR|YAP|
YAP|LXA,|LXA|CKG|CAN|MNL|ROR|YAP|
YAP|YCU,|YCU|CSX|XMN|MNL|ROR|YAP|
YAP|LZO,|LZO|CSX|XMN|MNL|ROR|YAP|
YAP|MDG,|MDG|ICN|FUK|GUM|YAP|
YAP|NGO,|NGO|GUM|YAP|
YAP|TOY,|TOY|DLC|ICN|FUK|GUM|YAP|
YAP|MFM,|MFM|XMN|MNL|ROR|YAP|
YAP|TGO,|TGO|HET|NKG|XMN|MNL|ROR|YAP|
YAP|XIL,|XIL|HET|NKG|XMN|MNL|ROR|YAP|
YAP|HEK,|HEK|HRB|KIX|GUM|YAP|
YAP|KIJ,|KIJ|HRB|KIX|GUM|YAP|
YAP|LDS,|LDS|HRB|KIX|GUM|YAP|
YAP|OHE,|OHE|HRB|KIX|GUM|YAP|
YAP|HSN,|HSN|XMN|MNL|ROR|YAP|
YAP|DLU,|DLU|KMG|CAN|MNL|ROR|YAP|
YAP|SYM,|SYM|KMG|CAN|MNL|ROR|YAP|
YAP|ZAT,|ZAT|KMG|CAN|MNL|ROR|YAP|
YAP|LUN,|LUN|NBO|CAN|MNL|ROR|YAP|
YAP|AOG,|AOG|PEK|ICN|FUK|GUM|YAP|
YAP|GMP,|GMP|PEK|ICN|FUK|GUM|YAP|
YAP|ISB,|ISB|URC|CAN|MNL|ROR|YAP|
YAP|TAS,|TAS|URC|CAN|MNL|ROR|YAP|
YAP|WUS,|WUS|PEK|ICN|FUK|GUM|YAP|
YAP|JMU,|JMU|PVG|CAN|MNL|ROR|YAP|
YAP|NDG,|NDG|PVG|CAN|MNL|ROR|YAP|
YAP|JXA,|JXA|SHE|FUK|GUM|YAP|
YAP|PUS,|PUS|SHE|FUK|GUM|YAP|
YAP|BKI,|BKI|SZX|XMN|MNL|ROR|YAP|
YAP|AKU,|AKU|URC|CAN|MNL|ROR|YAP|
YAP|ALA,|ALA|URC|CAN|MNL|ROR|YAP|
YAP|ASB,|ASB|URC|CAN|MNL|ROR|YAP|
YAP|DNH,|DNH|XIY|XMN|MNL|ROR|YAP|
YAP|DYU,|DYU|URC|CAN|MNL|ROR|YAP|
YAP|FRU,|FRU|URC|CAN|MNL|ROR|YAP|
YAP|GYD,|GYD|URC|CAN|MNL|ROR|YAP|
YAP|HTN,|HTN|URC|CAN|MNL|ROR|YAP|
YAP|IKA,|IKA|URC|CAN|MNL|ROR|YAP|
YAP|KCA,|KCA|URC|CAN|MNL|ROR|YAP|
YAP|KHG,|KHG|URC|CAN|MNL|ROR|YAP|
YAP|KRL,|KRL|URC|CAN|MNL|ROR|YAP|
YAP|KRY,|KRY|URC|CAN|MNL|ROR|YAP|
YAP|LBD,|LBD|URC|CAN|MNL|ROR|YAP|
YAP|NLT,|NLT|URC|CAN|MNL|ROR|YAP|
YAP|OSS,|OSS|URC|CAN|MNL|ROR|YAP|
YAP|OVB,|OVB|URC|CAN|MNL|ROR|YAP|
YAP|TBS,|TBS|URC|CAN|MNL|ROR|YAP|
YAP|TCG,|TCG|URC|CAN|MNL|ROR|YAP|
YAP|TSE,|TSE|URC|CAN|MNL|ROR|YAP|
YAP|YIN,|YIN|URC|CAN|MNL|ROR|YAP|
YAP|ENH,|ENH|WUH|XMN|MNL|ROR|YAP|
YAP|ENY,|ENY|XIY|XMN|MNL|ROR|YAP|
YAP|WXN,|WXN|XMN|MNL|ROR|YAP|
YAP|BLL,|BLL|IST|CAN|MNL|ROR|YAP|
YAP|ESB,|ESB|IST|CAN|MNL|ROR|YAP|
YAP|SAW,|SAW|TBS|URC|CAN|MNL|ROR|YAP|
YAP|HAM,|HAM|IST|CAN|MNL|ROR|YAP|
YAP|HRE,|HRE|ADD|IST|CAN|MNL|ROR|YAP|
YAP|JUB,|JUB|CAI|IST|CAN|MNL|ROR|YAP|
YAP|SSG,|SSG|DLA|IST|CAN|MNL|ROR|YAP|
YAP|BGW,|BGW|IST|CAN|MNL|ROR|YAP|
YAP|EBL,|EBL|IST|CAN|MNL|ROR|YAP|
YAP|VKO,|VKO|IST|CAN|MNL|ROR|YAP|
YAP|MCT,|MCT|IST|CAN|MNL|ROR|YAP|
YAP|AYT,|AYT|IST|CAN|MNL|ROR|YAP|
YAP|SCQ,|SCQ|BIO|IST|CAN|MNL|ROR|YAP|
YAP|AAL,|AAL|IST|CAN|MNL|ROR|YAP|
YAP|AOE,|AOE|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|JNB,|JNB|IST|CAN|MNL|ROR|YAP|
YAP|LBV,|LBV|DLA|IST|CAN|MNL|ROR|YAP|
YAP|ADA,|ADA|IST|CAN|MNL|ROR|YAP|
YAP|ADB,|ADB|IST|CAN|MNL|ROR|YAP|
YAP|ADF,|ADF|IST|CAN|MNL|ROR|YAP|
YAP|AJI,|AJI|IST|CAN|MNL|ROR|YAP|
YAP|BAL,|BAL|IST|CAN|MNL|ROR|YAP|
YAP|BJV,|BJV|IST|CAN|MNL|ROR|YAP|
YAP|CKZ,|CKZ|ESB|IST|CAN|MNL|ROR|YAP|
YAP|DIY,|DIY|IST|CAN|MNL|ROR|YAP|
YAP|ECN,|ECN|IST|CAN|MNL|ROR|YAP|
YAP|ERC,|ERC|IST|CAN|MNL|ROR|YAP|
YAP|ERZ,|ERZ|IST|CAN|MNL|ROR|YAP|
YAP|EZS,|EZS|IST|CAN|MNL|ROR|YAP|
YAP|GNY,|GNY|IST|CAN|MNL|ROR|YAP|
YAP|GZP,|GZP|ESB|IST|CAN|MNL|ROR|YAP|
YAP|GZT,|GZT|IST|CAN|MNL|ROR|YAP|
YAP|HTY,|HTY|IST|CAN|MNL|ROR|YAP|
YAP|KCM,|KCM|IST|CAN|MNL|ROR|YAP|
YAP|KSY,|KSY|IST|CAN|MNL|ROR|YAP|
YAP|MLX,|MLX|IST|CAN|MNL|ROR|YAP|
YAP|MQM,|MQM|IST|CAN|MNL|ROR|YAP|
YAP|MSR,|MSR|IST|CAN|MNL|ROR|YAP|
YAP|TEQ,|TEQ|ESB|IST|CAN|MNL|ROR|YAP|
YAP|TZX,|TZX|IST|CAN|MNL|ROR|YAP|
YAP|VAN,|VAN|IST|CAN|MNL|ROR|YAP|
YAP|ULN,|ULN|FRU|URC|CAN|MNL|ROR|YAP|
YAP|HIJ,|HIJ|ICN|FUK|GUM|YAP|
YAP|VVO,|VVO|ICN|FUK|GUM|YAP|
YAP|ACC,|ACC|IST|CAN|MNL|ROR|YAP|
YAP|AER,|AER|IST|CAN|MNL|ROR|YAP|
YAP|AGP,|AGP|IST|CAN|MNL|ROR|YAP|
YAP|ALG,|ALG|IST|CAN|MNL|ROR|YAP|
YAP|AMM,|AMM|IST|CAN|MNL|ROR|YAP|
YAP|AQJ,|AQJ|IST|CAN|MNL|ROR|YAP|
YAP|ARN,|ARN|IST|CAN|MNL|ROR|YAP|
YAP|ASR,|ASR|IST|CAN|MNL|ROR|YAP|
YAP|ATH,|ATH|IST|CAN|MNL|ROR|YAP|
YAP|BAH,|BAH|IST|CAN|MNL|ROR|YAP|
YAP|BEG,|BEG|IST|CAN|MNL|ROR|YAP|
YAP|BEN,|BEN|IST|CAN|MNL|ROR|YAP|
YAP|BEY,|BEY|IST|CAN|MNL|ROR|YAP|
YAP|BHX,|BHX|BRU|DEL|CAN|MNL|ROR|YAP|
YAP|BIO,|BIO|IST|CAN|MNL|ROR|YAP|
YAP|BLQ,|BLQ|IST|CAN|MNL|ROR|YAP|
YAP|BOM,|BOM|IST|CAN|MNL|ROR|YAP|
YAP|BRE,|BRE|IST|CAN|MNL|ROR|YAP|
YAP|BSL,|BSL|IST|CAN|MNL|ROR|YAP|
YAP|BSR,|BSR|IST|CAN|MNL|ROR|YAP|
YAP|BUD,|BUD|IST|CAN|MNL|ROR|YAP|
YAP|BUS,|BUS|IST|CAN|MNL|ROR|YAP|
YAP|CAI,|CAI|IST|CAN|MNL|ROR|YAP|
YAP|CGN,|CGN|IST|CAN|MNL|ROR|YAP|
YAP|CMN,|CMN|IST|CAN|MNL|ROR|YAP|
YAP|CND,|CND|IST|CAN|MNL|ROR|YAP|
YAP|DAR,|DAR|NBO|CAN|MNL|ROR|YAP|
YAP|DLM,|DLM|IST|CAN|MNL|ROR|YAP|
YAP|DMM,|DMM|IST|CAN|MNL|ROR|YAP|
YAP|DNK,|DNK|IST|CAN|MNL|ROR|YAP|
YAP|DNZ,|DNZ|IST|CAN|MNL|ROR|YAP|
YAP|DOK,|DOK|IST|CAN|MNL|ROR|YAP|
YAP|DUS,|DUS|IST|CAN|MNL|ROR|YAP|
YAP|EDI,|EDI|IST|CAN|MNL|ROR|YAP|
YAP|ELQ,|ELQ|IST|CAN|MNL|ROR|YAP|
YAP|FDH,|FDH|IST|CAN|MNL|ROR|YAP|
YAP|GOA,|GOA|IST|CAN|MNL|ROR|YAP|
YAP|GOT,|GOT|IST|CAN|MNL|ROR|YAP|
YAP|HAJ,|HAJ|IST|CAN|MNL|ROR|YAP|
YAP|HBE,|HBE|IST|CAN|MNL|ROR|YAP|
