YVO|BRU,|BRU|YUL|YVO|
YVO|KHN,|KHN|DLC|PEK|YYZ|YUL|YVO|
YVO|KIX,|KIX|SFO|YUL|YVO|
YVO|KOW,|KOW|PEK|YYZ|YUL|YVO|
YVO|KTM,|KTM|IST|FRA|YUL|YVO|
YVO|KUL,|KUL|CAN|PEK|YYZ|YUL|YVO|
YVO|KWE,|KWE|PEK|YYZ|YUL|YVO|
YVO|KWL,|KWL|PEK|YYZ|YUL|YVO|
YVO|LHW,|LHW|CGO|PEK|YYZ|YUL|YVO|
YVO|LYA,|LYA|KHN|DLC|PEK|YYZ|YUL|YVO|
YVO|LYG,|LYG|HSN|PEK|YYZ|YUL|YVO|
YVO|LZH,|LZH|CAN|PEK|YYZ|YUL|YVO|
YVO|MEL,|MEL|SYD|SFO|YUL|YVO|
YVO|MIG,|MIG|CSX|PEK|YYZ|YUL|YVO|
YVO|MLE,|MLE|IST|FRA|YUL|YVO|
YVO|MNL,|MNL|XMN|PEK|YYZ|YUL|YVO|
YVO|MXZ,|MXZ|CAN|PEK|YYZ|YUL|YVO|
YVO|NAO,|NAO|PEK|YYZ|YUL|YVO|
YVO|NGB,|NGB|PEK|YYZ|YUL|YVO|
YVO|NKG,|NKG|DLC|PEK|YYZ|YUL|YVO|
YVO|NNY,|NNY|CGO|PEK|YYZ|YUL|YVO|
YVO|PEN,|PEN|CAN|PEK|YYZ|YUL|YVO|
YVO|PER,|PER|CAN|PEK|YYZ|YUL|YVO|
YVO|PNH,|PNH|CAN|PEK|YYZ|YUL|YVO|
YVO|REP,|REP|CAN|PEK|YYZ|YUL|YVO|
YVO|RGN,|RGN|CAN|PEK|YYZ|YUL|YVO|
YVO|SGN,|SGN|CAN|PEK|YYZ|YUL|YVO|
YVO|SHA,|SHA|PEK|YYZ|YUL|YVO|
YVO|SIN,|SIN|CAN|PEK|YYZ|YUL|YVO|
YVO|SVO,|SVO|URC|TSE|FRA|YUL|YVO|
YVO|SYX,|SYX|PEK|YYZ|YUL|YVO|
YVO|TAO,|TAO|DLC|PEK|YYZ|YUL|YVO|
YVO|TEN,|TEN|PEK|YYZ|YUL|YVO|
YVO|TNA,|TNA|DLC|PEK|YYZ|YUL|YVO|
YVO|TPE,|TPE|PVG|YYZ|YUL|YVO|
YVO|TSN,|TSN|DLC|PEK|YYZ|YUL|YVO|
YVO|TXN,|TXN|DLC|PEK|YYZ|YUL|YVO|
YVO|TYN,|TYN|DAT|CIH|PEK|YYZ|YUL|YVO|
YVO|WNZ,|WNZ|CGO|PEK|YYZ|YUL|YVO|
YVO|WUX,|WUX|CAN|PEK|YYZ|YUL|YVO|
YVO|XFN,|XFN|XMN|PEK|YYZ|YUL|YVO|
YVO|XIY,|XIY|PEK|YYZ|YUL|YVO|
YVO|XUZ,|XUZ|LYG|HSN|PEK|YYZ|YUL|YVO|
YVO|YIH,|YIH|CKG|PEK|YYZ|YUL|YVO|
YVO|YIW,|YIW|PEK|YYZ|YUL|YVO|
YVO|YNT,|YNT|SHE|PEK|YYZ|YUL|YVO|
YVO|YNZ,|YNZ|DLC|PEK|YYZ|YUL|YVO|
YVO|YTY,|YTY|DLC|PEK|YYZ|YUL|YVO|
YVO|ZHA,|ZHA|CAN|PEK|YYZ|YUL|YVO|
YVO|ZYI,|ZYI|PEK|YYZ|YUL|YVO|
YVO|BAV,|BAV|CGO|PEK|YYZ|YUL|YVO|
YVO|CJU,|CJU|DLC|PEK|YYZ|YUL|YVO|
YVO|DSN,|DSN|CGO|PEK|YYZ|YUL|YVO|
YVO|HMI,|HMI|URC|TSE|FRA|YUL|YVO|
YVO|INC,|INC|PEK|YYZ|YUL|YVO|
YVO|KHH,|KHH|CGO|PEK|YYZ|YUL|YVO|
YVO|UYN,|UYN|CGO|PEK|YYZ|YUL|YVO|
YVO|XNN,|XNN|PEK|YYZ|YUL|YVO|
YVO|ZUH,|ZUH|PEK|YYZ|YUL|YVO|
YVO|YNJ,|YNJ|PEK|YYZ|YUL|YVO|
YVO|DAT,|DAT|CIH|PEK|YYZ|YUL|YVO|
YVO|JHG,|JHG|CKG|PEK|YYZ|YUL|YVO|
YVO|LJG,|LJG|CKG|PEK|YYZ|YUL|YVO|
YVO|LXA,|LXA|XIY|PEK|YYZ|YUL|YVO|
YVO|YCU,|YCU|CSX|PEK|YYZ|YUL|YVO|
YVO|LZO,|LZO|CSX|PEK|YYZ|YUL|YVO|
YVO|MDG,|MDG|DLC|PEK|YYZ|YUL|YVO|
YVO|NGO,|NGO|ICN|JFK|YUL|YVO|
YVO|TOY,|TOY|DLC|PEK|YYZ|YUL|YVO|
YVO|MFM,|MFM|XMN|PEK|YYZ|YUL|YVO|
YVO|TGO,|TGO|HET|DLC|PEK|YYZ|YUL|YVO|
YVO|XIL,|XIL|HET|DLC|PEK|YYZ|YUL|YVO|
YVO|HEK,|HEK|HRB|PEK|YYZ|YUL|YVO|
YVO|KIJ,|KIJ|HRB|PEK|YYZ|YUL|YVO|
YVO|LDS,|LDS|HRB|PEK|YYZ|YUL|YVO|
YVO|OHE,|OHE|HRB|PEK|YYZ|YUL|YVO|
YVO|HSN,|HSN|PEK|YYZ|YUL|YVO|
YVO|DLU,|DLU|KMG|PEK|YYZ|YUL|YVO|
YVO|SYM,|SYM|KMG|PEK|YYZ|YUL|YVO|
YVO|ZAT,|ZAT|KMG|PEK|YYZ|YUL|YVO|
YVO|LUN,|LUN|NBO|ZRH|YUL|YVO|
YVO|AOG,|AOG|PEK|YYZ|YUL|YVO|
YVO|GMP,|GMP|PEK|YYZ|YUL|YVO|
YVO|ISB,|ISB|IST|FRA|YUL|YVO|
YVO|TAS,|TAS|IST|FRA|YUL|YVO|
YVO|WUS,|WUS|PEK|YYZ|YUL|YVO|
YVO|JMU,|JMU|PVG|YYZ|YUL|YVO|
YVO|NDG,|NDG|PVG|YYZ|YUL|YVO|
YVO|JXA,|JXA|SHE|PEK|YYZ|YUL|YVO|
YVO|PUS,|PUS|SHE|PEK|YYZ|YUL|YVO|
YVO|BKI,|BKI|SZX|PEK|YYZ|YUL|YVO|
YVO|AKU,|AKU|URC|TSE|FRA|YUL|YVO|
YVO|ALA,|ALA|TSE|FRA|YUL|YVO|
YVO|ASB,|ASB|GYD|FRA|YUL|YVO|
YVO|DNH,|DNH|URC|TSE|FRA|YUL|YVO|
YVO|DYU,|DYU|IST|FRA|YUL|YVO|
YVO|FRU,|FRU|IST|FRA|YUL|YVO|
YVO|GYD,|GYD|FRA|YUL|YVO|
YVO|HTN,|HTN|URC|TSE|FRA|YUL|YVO|
YVO|IKA,|IKA|SAW|FRA|YUL|YVO|
YVO|KCA,|KCA|URC|TSE|FRA|YUL|YVO|
YVO|KHG,|KHG|URC|TSE|FRA|YUL|YVO|
YVO|KRL,|KRL|URC|TSE|FRA|YUL|YVO|
YVO|KRY,|KRY|URC|TSE|FRA|YUL|YVO|
YVO|LBD,|LBD|URC|TSE|FRA|YUL|YVO|
YVO|NLT,|NLT|URC|TSE|FRA|YUL|YVO|
YVO|OSS,|OSS|IST|FRA|YUL|YVO|
YVO|OVB,|OVB|IST|FRA|YUL|YVO|
YVO|TBS,|TBS|SAW|FRA|YUL|YVO|
YVO|TCG,|TCG|URC|TSE|FRA|YUL|YVO|
YVO|TSE,|TSE|FRA|YUL|YVO|
YVO|YIN,|YIN|URC|TSE|FRA|YUL|YVO|
YVO|ENH,|ENH|WUH|PEK|YYZ|YUL|YVO|
YVO|ENY,|ENY|XIY|PEK|YYZ|YUL|YVO|
YVO|WXN,|WXN|XIY|PEK|YYZ|YUL|YVO|
YVO|BLL,|BLL|IST|FRA|YUL|YVO|
YVO|ESB,|ESB|FRA|YUL|YVO|
YVO|SAW,|SAW|FRA|YUL|YVO|
YVO|HAM,|HAM|EWR|YUL|YVO|
YVO|HRE,|HRE|ADD|JED|FRA|YUL|YVO|
YVO|JUB,|JUB|CAI|IST|FRA|YUL|YVO|
YVO|SSG,|SSG|DLA|BRU|YUL|YVO|
YVO|BGW,|BGW|ESB|FRA|YUL|YVO|
YVO|EBL,|EBL|IST|FRA|YUL|YVO|
YVO|VKO,|VKO|IST|FRA|YUL|YVO|
YVO|MCT,|MCT|IST|FRA|YUL|YVO|
YVO|AYT,|AYT|IST|FRA|YUL|YVO|
YVO|SCQ,|SCQ|BIO|IST|FRA|YUL|YVO|
YVO|AAL,|AAL|IST|FRA|YUL|YVO|
YVO|AOE,|AOE|BRU|YUL|YVO|
YVO|JNB,|JNB|JFK|YUL|YVO|
YVO|LBV,|LBV|DLA|BRU|YUL|YVO|
YVO|ADA,|ADA|SAW|FRA|YUL|YVO|
YVO|ADB,|ADB|IST|FRA|YUL|YVO|
YVO|ADF,|ADF|ESB|FRA|YUL|YVO|
YVO|AJI,|AJI|ESB|FRA|YUL|YVO|
YVO|BAL,|BAL|ESB|FRA|YUL|YVO|
YVO|BJV,|BJV|IST|FRA|YUL|YVO|
YVO|CKZ,|CKZ|ESB|FRA|YUL|YVO|
YVO|DIY,|DIY|ESB|FRA|YUL|YVO|
YVO|ECN,|ECN|IST|FRA|YUL|YVO|
YVO|ERC,|ERC|ESB|FRA|YUL|YVO|
YVO|ERZ,|ERZ|ESB|FRA|YUL|YVO|
YVO|EZS,|EZS|ESB|FRA|YUL|YVO|
YVO|GNY,|GNY|ESB|FRA|YUL|YVO|
YVO|GZP,|GZP|ESB|FRA|YUL|YVO|
YVO|GZT,|GZT|ESB|FRA|YUL|YVO|
YVO|HTY,|HTY|SAW|FRA|YUL|YVO|
YVO|KCM,|KCM|ESB|FRA|YUL|YVO|
YVO|KSY,|KSY|ESB|FRA|YUL|YVO|
YVO|MLX,|MLX|ESB|FRA|YUL|YVO|
YVO|MQM,|MQM|ESB|FRA|YUL|YVO|
YVO|MSR,|MSR|ESB|FRA|YUL|YVO|
YVO|TEQ,|TEQ|ESB|FRA|YUL|YVO|
YVO|TZX,|TZX|ESB|FRA|YUL|YVO|
YVO|VAN,|VAN|ESB|FRA|YUL|YVO|
YVO|ULN,|ULN|FRU|IST|FRA|YUL|YVO|
YVO|HIJ,|HIJ|ICN|JFK|YUL|YVO|
YVO|VVO,|VVO|ICN|JFK|YUL|YVO|
YVO|ACC,|ACC|IST|FRA|YUL|YVO|
YVO|AER,|AER|IST|FRA|YUL|YVO|
YVO|AGP,|AGP|IST|FRA|YUL|YVO|
YVO|ALG,|ALG|IST|FRA|YUL|YVO|
YVO|AMM,|AMM|IST|FRA|YUL|YVO|
YVO|AQJ,|AQJ|IST|FRA|YUL|YVO|
YVO|ARN,|ARN|EWR|YUL|YVO|
YVO|ASR,|ASR|SAW|FRA|YUL|YVO|
YVO|ATH,|ATH|IST|FRA|YUL|YVO|
YVO|BAH,|BAH|IST|FRA|YUL|YVO|
YVO|BEG,|BEG|IST|FRA|YUL|YVO|
YVO|BEN,|BEN|IST|FRA|YUL|YVO|
YVO|BEY,|BEY|IST|FRA|YUL|YVO|
YVO|BHX,|BHX|EWR|YUL|YVO|
YVO|BIO,|BIO|IST|FRA|YUL|YVO|
YVO|BLQ,|BLQ|IST|FRA|YUL|YVO|
YVO|BOM,|BOM|IST|FRA|YUL|YVO|
YVO|BRE,|BRE|IST|FRA|YUL|YVO|
YVO|BSL,|BSL|IST|FRA|YUL|YVO|
YVO|BSR,|BSR|IST|FRA|YUL|YVO|
YVO|BUD,|BUD|IST|FRA|YUL|YVO|
YVO|BUS,|BUS|IST|FRA|YUL|YVO|
YVO|CAI,|CAI|IST|FRA|YUL|YVO|
YVO|CGN,|CGN|IST|FRA|YUL|YVO|
YVO|CMN,|CMN|IST|FRA|YUL|YVO|
YVO|CND,|CND|IST|FRA|YUL|YVO|
YVO|DAR,|DAR|NBO|ZRH|YUL|YVO|
YVO|DLM,|DLM|IST|FRA|YUL|YVO|
YVO|DMM,|DMM|IST|FRA|YUL|YVO|
YVO|DNK,|DNK|IST|FRA|YUL|YVO|
YVO|DNZ,|DNZ|IST|FRA|YUL|YVO|
YVO|DOK,|DOK|IST|FRA|YUL|YVO|
YVO|DUS,|DUS|EWR|YUL|YVO|
YVO|EDI,|EDI|EWR|YUL|YVO|
YVO|ELQ,|ELQ|IST|FRA|YUL|YVO|
YVO|FDH,|FDH|IST|FRA|YUL|YVO|
YVO|GOA,|GOA|IST|FRA|YUL|YVO|
YVO|GOT,|GOT|BRU|YUL|YVO|
YVO|HAJ,|HAJ|BRU|YUL|YVO|
YVO|HBE,|HBE|IST|FRA|YUL|YVO|
YVO|HEL,|HEL|IST|FRA|YUL|YVO|
YVO|HRG,|HRG|IST|FRA|YUL|YVO|
YVO|IFN,|IFN|IST|FRA|YUL|YVO|
YVO|ISE,|ISE|IST|FRA|YUL|YVO|
YVO|ISU,|ISU|IST|FRA|YUL|YVO|
YVO|JIB,|JIB|IST|FRA|YUL|YVO|
YVO|JRO,|JRO|IST|FRA|YUL|YVO|
YVO|KAN,|KAN|IST|FRA|YUL|YVO|
YVO|KBL,|KBL|IST|FRA|YUL|YVO|
YVO|KBP,|KBP|IST|FRA|YUL|YVO|
YVO|KFS,|KFS|IST|FRA|YUL|YVO|
YVO|KHI,|KHI|IST|FRA|YUL|YVO|
YVO|KIV,|KIV|IST|FRA|YUL|YVO|
YVO|KRT,|KRT|IST|FRA|YUL|YVO|
YVO|KSH,|KSH|IST|FRA|YUL|YVO|
YVO|KVD,|KVD|IST|FRA|YUL|YVO|
YVO|KWI,|KWI|SAW|FRA|YUL|YVO|
YVO|KYA,|KYA|IST|FRA|YUL|YVO|
YVO|KZN,|KZN|IST|FRA|YUL|YVO|
YVO|KZR,|KZR|IST|FRA|YUL|YVO|
YVO|LED,|LED|VIE|JFK|YUL|YVO|
YVO|LEJ,|LEJ|IST|FRA|YUL|YVO|
YVO|LGW,|LGW|IST|FRA|YUL|YVO|
YVO|LHE,|LHE|IST|FRA|YUL|YVO|
YVO|LIS,|LIS|EWR|YUL|YVO|
YVO|LJU,|LJU|IST|FRA|YUL|YVO|
YVO|LOS,|LOS|FRA|YUL|YVO|
YVO|LUX,|LUX|IST|FRA|YUL|YVO|
YVO|LWO,|LWO|IST|FRA|YUL|YVO|
YVO|LYS,|LYS|IST|FRA|YUL|YVO|
YVO|MAD,|MAD|EWR|YUL|YVO|
YVO|MAN,|MAN|EWR|YUL|YVO|
YVO|MED,|MED|IST|FRA|YUL|YVO|
YVO|MHD,|MHD|IST|FRA|YUL|YVO|
YVO|MLA,|MLA|IST|FRA|YUL|YVO|
YVO|MRS,|MRS|IST|FRA|YUL|YVO|
YVO|MSQ,|MSQ|IST|FRA|YUL|YVO|
YVO|MXP,|MXP|EWR|YUL|YVO|
YVO|MZH,|MZH|IST|FRA|YUL|YVO|
YVO|MZR,|MZR|IST|FRA|YUL|YVO|
YVO|NAJ,|NAJ|IST|FRA|YUL|YVO|
YVO|NAV,|NAV|IST|FRA|YUL|YVO|
YVO|NCE,|NCE|IST|FRA|YUL|YVO|
YVO|NIM,|NIM|IST|FRA|YUL|YVO|
