KAN|BRU,|BRU|IST|NDJ|KAN|
KAN|IST,|IST|NDJ|KAN|
KAN|EBB,|EBB|KGL|IST|NDJ|KAN|
KAN|YLW,|YLW|YYC|FRA|IST|NDJ|KAN|
KAN|YYT,|YYT|LHR|IST|NDJ|KAN|
KAN|GUA,|GUA|MIA|ZRH|IST|NDJ|KAN|
KAN|EWR,|EWR|BHX|IST|NDJ|KAN|
KAN|IAD,|IAD|IST|NDJ|KAN|
KAN|IAH,|IAH|IST|NDJ|KAN|
KAN|ORD,|ORD|IST|NDJ|KAN|
KAN|SOF,|SOF|IST|NDJ|KAN|
KAN|YQB,|YQB|YUL|FRA|IST|NDJ|KAN|
KAN|YXU,|YXU|YYZ|IST|NDJ|KAN|
KAN|EZE,|EZE|GRU|IST|NDJ|KAN|
KAN|YYJ,|YYJ|YVR|MUC|IST|NDJ|KAN|
KAN|YYY,|YYY|YUL|FRA|IST|NDJ|KAN|
KAN|YQQ,|YQQ|YBL|YVR|MUC|IST|NDJ|KAN|
KAN|YYR,|YYR|YYT|LHR|IST|NDJ|KAN|
KAN|LHR,|LHR|IST|NDJ|KAN|
KAN|SFO,|SFO|MUC|IST|NDJ|KAN|
KAN|YQU,|YQU|YEG|LHR|IST|NDJ|KAN|
KAN|YZF,|YZF|YEG|LHR|IST|NDJ|KAN|
KAN|YGR,|YGR|YGP|YQB|YUL|FRA|IST|NDJ|KAN|
KAN|YGP,|YGP|YQB|YUL|FRA|IST|NDJ|KAN|
KAN|BOS,|BOS|FRA|IST|NDJ|KAN|
KAN|YDF,|YDF|YYT|LHR|IST|NDJ|KAN|
KAN|YFC,|YFC|YHZ|LHR|IST|NDJ|KAN|
KAN|YQM,|YQM|YHZ|LHR|IST|NDJ|KAN|
KAN|YQX,|YQX|YYT|LHR|IST|NDJ|KAN|
KAN|YQY,|YQY|YHZ|LHR|IST|NDJ|KAN|
KAN|YSJ,|YSJ|YHZ|LHR|IST|NDJ|KAN|
KAN|YYG,|YYG|YHZ|LHR|IST|NDJ|KAN|
KAN|LAX,|LAX|IST|NDJ|KAN|
KAN|DCA,|DCA|EWR|BHX|IST|NDJ|KAN|
KAN|LGA,|LGA|YHZ|LHR|IST|NDJ|KAN|
KAN|YZV,|YZV|YWK|YYR|YYT|LHR|IST|NDJ|KAN|
KAN|YWL,|YWL|YVR|MUC|IST|NDJ|KAN|
KAN|AZS,|AZS|YUL|FRA|IST|NDJ|KAN|
KAN|BDL,|BDL|YUL|FRA|IST|NDJ|KAN|
KAN|CCC,|CCC|YUL|FRA|IST|NDJ|KAN|
KAN|CDG,|CDG|IST|NDJ|KAN|
KAN|CUN,|CUN|YHZ|LHR|IST|NDJ|KAN|
KAN|CZM,|CZM|YUL|FRA|IST|NDJ|KAN|
KAN|FDF,|FDF|YUL|FRA|IST|NDJ|KAN|
KAN|FLL,|FLL|MCO|FRA|IST|NDJ|KAN|
KAN|GVA,|GVA|IST|NDJ|KAN|
KAN|HOG,|HOG|YUL|FRA|IST|NDJ|KAN|
KAN|LAS,|LAS|DEN|FRA|IST|NDJ|KAN|
KAN|MBJ,|MBJ|YHZ|LHR|IST|NDJ|KAN|
KAN|MCO,|MCO|FRA|IST|NDJ|KAN|
KAN|MUC,|MUC|IST|NDJ|KAN|
KAN|PAP,|PAP|YUL|FRA|IST|NDJ|KAN|
KAN|PTP,|PTP|YUL|FRA|IST|NDJ|KAN|
KAN|PUJ,|PUJ|YHZ|LHR|IST|NDJ|KAN|
KAN|SNU,|SNU|YUL|FRA|IST|NDJ|KAN|
KAN|VRA,|VRA|YUL|FRA|IST|NDJ|KAN|
KAN|YBC,|YBC|YUL|FRA|IST|NDJ|KAN|
KAN|YBG,|YBG|YUL|FRA|IST|NDJ|KAN|
KAN|YTZ,|YTZ|YUL|FRA|IST|NDJ|KAN|
KAN|YUY,|YUY|YUL|FRA|IST|NDJ|KAN|
KAN|YVO,|YVO|YUL|FRA|IST|NDJ|KAN|
KAN|ZBF,|ZBF|YUL|FRA|IST|NDJ|KAN|
KAN|ZRH,|ZRH|IST|NDJ|KAN|
KAN|ZSA,|ZSA|YUL|FRA|IST|NDJ|KAN|
KAN|AKL,|AKL|BKK|IST|NDJ|KAN|
KAN|HKG,|HKG|IST|NDJ|KAN|
KAN|HND,|HND|YVR|MUC|IST|NDJ|KAN|
KAN|HNL,|HNL|YVR|MUC|IST|NDJ|KAN|
KAN|MEX,|MEX|IAD|IST|NDJ|KAN|
KAN|OGG,|OGG|YVR|MUC|IST|NDJ|KAN|
KAN|PDX,|PDX|SEA|FRA|IST|NDJ|KAN|
KAN|PEK,|PEK|IST|NDJ|KAN|
KAN|PVG,|PVG|IST|NDJ|KAN|
KAN|PVR,|PVR|ORD|IST|NDJ|KAN|
KAN|SEA,|SEA|FRA|IST|NDJ|KAN|
KAN|SYD,|SYD|BKK|IST|NDJ|KAN|
KAN|YBL,|YBL|YVR|MUC|IST|NDJ|KAN|
KAN|YCD,|YCD|YVR|MUC|IST|NDJ|KAN|
KAN|YCG,|YCG|YYC|FRA|IST|NDJ|KAN|
KAN|YKA,|YKA|YYC|FRA|IST|NDJ|KAN|
KAN|YPR,|YPR|YVR|MUC|IST|NDJ|KAN|
KAN|YQZ,|YQZ|YVR|MUC|IST|NDJ|KAN|
KAN|YXC,|YXC|YYC|FRA|IST|NDJ|KAN|
KAN|YXJ,|YXJ|YYC|FRA|IST|NDJ|KAN|
KAN|YXS,|YXS|YYC|FRA|IST|NDJ|KAN|
KAN|YXT,|YXT|YVR|MUC|IST|NDJ|KAN|
KAN|YXY,|YXY|YVR|MUC|IST|NDJ|KAN|
KAN|YYD,|YYD|YVR|MUC|IST|NDJ|KAN|
KAN|YYF,|YYF|YVR|MUC|IST|NDJ|KAN|
KAN|YZP,|YZP|YVR|MUC|IST|NDJ|KAN|
KAN|YQT,|YQT|YYZ|IST|NDJ|KAN|
KAN|SJD,|SJD|ORD|IST|NDJ|KAN|
KAN|YQF,|YQF|YYC|FRA|IST|NDJ|KAN|
KAN|YQL,|YQL|YYC|FRA|IST|NDJ|KAN|
KAN|YXH,|YXH|YYC|FRA|IST|NDJ|KAN|
KAN|YWK,|YWK|YYR|YYT|LHR|IST|NDJ|KAN|
KAN|ANU,|ANU|EWR|BHX|IST|NDJ|KAN|
KAN|AUA,|AUA|EWR|BHX|IST|NDJ|KAN|
KAN|AUH,|AUH|IST|NDJ|KAN|
KAN|BCN,|BCN|IST|NDJ|KAN|
KAN|BDA,|BDA|EWR|BHX|IST|NDJ|KAN|
KAN|BGI,|BGI|YYZ|IST|NDJ|KAN|
KAN|BNA,|BNA|YYZ|IST|NDJ|KAN|
KAN|BOG,|BOG|MIA|ZRH|IST|NDJ|KAN|
KAN|BWI,|BWI|EWR|BHX|IST|NDJ|KAN|
KAN|CLE,|CLE|YYZ|IST|NDJ|KAN|
KAN|CLT,|CLT|EWR|BHX|IST|NDJ|KAN|
KAN|CMH,|CMH|YYZ|IST|NDJ|KAN|
KAN|CVG,|CVG|YYZ|IST|NDJ|KAN|
KAN|DFW,|DFW|ORD|IST|NDJ|KAN|
KAN|DTW,|DTW|FRA|IST|NDJ|KAN|
KAN|DUB,|DUB|IST|NDJ|KAN|
KAN|FCO,|FCO|IST|NDJ|KAN|
KAN|GCM,|GCM|EWR|BHX|IST|NDJ|KAN|
KAN|GGT,|GGT|FLL|MCO|FRA|IST|NDJ|KAN|
KAN|GND,|GND|YYZ|IST|NDJ|KAN|
KAN|GRU,|GRU|IST|NDJ|KAN|
KAN|HAV,|HAV|YYZ|IST|NDJ|KAN|
KAN|IND,|IND|YYZ|IST|NDJ|KAN|
KAN|JFK,|JFK|IST|NDJ|KAN|
KAN|KIN,|KIN|YYZ|IST|NDJ|KAN|
KAN|LIM,|LIM|MIA|ZRH|IST|NDJ|KAN|
KAN|LIR,|LIR|EWR|BHX|IST|NDJ|KAN|
KAN|MCI,|MCI|ORD|IST|NDJ|KAN|
KAN|MDT,|MDT|IAD|IST|NDJ|KAN|
KAN|MIA,|MIA|ZRH|IST|NDJ|KAN|
KAN|MKE,|MKE|YYZ|IST|NDJ|KAN|
KAN|MSP,|MSP|YUL|FRA|IST|NDJ|KAN|
KAN|NAS,|NAS|EWR|BHX|IST|NDJ|KAN|
KAN|PHL,|PHL|IAD|IST|NDJ|KAN|
KAN|PHX,|PHX|DEN|FRA|IST|NDJ|KAN|
KAN|PIT,|PIT|YYZ|IST|NDJ|KAN|
KAN|PLS,|PLS|EWR|BHX|IST|NDJ|KAN|
KAN|POP,|POP|EWR|BHX|IST|NDJ|KAN|
KAN|RDU,|RDU|EWR|BHX|IST|NDJ|KAN|
KAN|ROC,|ROC|YYZ|IST|NDJ|KAN|
KAN|RSW,|RSW|MCO|FRA|IST|NDJ|KAN|
KAN|SAN,|SAN|LAX|IST|NDJ|KAN|
KAN|SJO,|SJO|EWR|BHX|IST|NDJ|KAN|
KAN|STL,|STL|ORD|IST|NDJ|KAN|
KAN|SYR,|SYR|EWR|BHX|IST|NDJ|KAN|
KAN|TLV,|TLV|IST|NDJ|KAN|
KAN|TPA,|TPA|EWR|BHX|IST|NDJ|KAN|
KAN|UVF,|UVF|EWR|BHX|IST|NDJ|KAN|
KAN|VIE,|VIE|IST|NDJ|KAN|
KAN|YAM,|YAM|YYZ|IST|NDJ|KAN|
KAN|YGK,|YGK|YYZ|IST|NDJ|KAN|
KAN|YQG,|YQG|YYZ|IST|NDJ|KAN|
KAN|YSB,|YSB|YYZ|IST|NDJ|KAN|
KAN|YTS,|YTS|YYZ|IST|NDJ|KAN|
KAN|YYB,|YYB|YYZ|IST|NDJ|KAN|
KAN|YZR,|YZR|YYZ|IST|NDJ|KAN|
KAN|CAN,|CAN|IST|NDJ|KAN|
KAN|URC,|URC|IST|NDJ|KAN|
KAN|CTU,|CTU|URC|IST|NDJ|KAN|
KAN|HGH,|HGH|URC|IST|NDJ|KAN|
KAN|XMN,|XMN|CSX|URC|IST|NDJ|KAN|
KAN|CGO,|CGO|URC|IST|NDJ|KAN|
KAN|CSX,|CSX|URC|IST|NDJ|KAN|
KAN|SHE,|SHE|PEK|IST|NDJ|KAN|
KAN|SJW,|SJW|URC|IST|NDJ|KAN|
KAN|WUH,|WUH|URC|IST|NDJ|KAN|
KAN|SZX,|SZX|CKG|URC|IST|NDJ|KAN|
KAN|CKG,|CKG|URC|IST|NDJ|KAN|
KAN|KMG,|KMG|CTU|URC|IST|NDJ|KAN|
KAN|FOC,|FOC|XIY|URC|IST|NDJ|KAN|
KAN|NNG,|NNG|KWE|URC|IST|NDJ|KAN|
KAN|SWA,|SWA|CAN|IST|NDJ|KAN|
KAN|ACX,|ACX|CAN|IST|NDJ|KAN|
KAN|AQG,|AQG|CAN|IST|NDJ|KAN|
KAN|AVA,|AVA|CAN|IST|NDJ|KAN|
KAN|BFJ,|BFJ|CAN|IST|NDJ|KAN|
KAN|BHY,|BHY|CKG|URC|IST|NDJ|KAN|
KAN|BNE,|BNE|BKK|IST|NDJ|KAN|
KAN|CGD,|CGD|PEK|IST|NDJ|KAN|
KAN|CGK,|CGK|SIN|IST|NDJ|KAN|
KAN|CGQ,|CGQ|HET|URC|IST|NDJ|KAN|
KAN|CIH,|CIH|PEK|IST|NDJ|KAN|
KAN|CNX,|CNX|CAN|IST|NDJ|KAN|
KAN|CZX,|CZX|TYN|URC|IST|NDJ|KAN|
KAN|DAC,|DAC|IST|NDJ|KAN|
KAN|DAD,|DAD|CAN|IST|NDJ|KAN|
KAN|DEL,|DEL|IST|NDJ|KAN|
KAN|DIG,|DIG|KMG|CTU|URC|IST|NDJ|KAN|
KAN|DLC,|DLC|PEK|IST|NDJ|KAN|
KAN|DPS,|DPS|CAN|IST|NDJ|KAN|
KAN|DXB,|DXB|IST|NDJ|KAN|
KAN|DYG,|DYG|CSX|URC|IST|NDJ|KAN|
KAN|FUG,|FUG|CAN|IST|NDJ|KAN|
KAN|FUK,|FUK|ICN|IST|NDJ|KAN|
KAN|HAK,|HAK|CTU|URC|IST|NDJ|KAN|
KAN|HAN,|HAN|CAN|IST|NDJ|KAN|
KAN|HDG,|HDG|CAN|IST|NDJ|KAN|
KAN|HET,|HET|URC|IST|NDJ|KAN|
KAN|HFE,|HFE|XIY|URC|IST|NDJ|KAN|
KAN|HJJ,|HJJ|CSX|URC|IST|NDJ|KAN|
KAN|HKT,|HKT|KWE|URC|IST|NDJ|KAN|
KAN|HRB,|HRB|PEK|IST|NDJ|KAN|
KAN|HZH,|HZH|CAN|IST|NDJ|KAN|
KAN|JIU,|JIU|CAN|IST|NDJ|KAN|
KAN|JJN,|JJN|CSX|URC|IST|NDJ|KAN|
KAN|JNG,|JNG|CAN|IST|NDJ|KAN|
KAN|KHN,|KHN|XIY|URC|IST|NDJ|KAN|
KAN|KIX,|KIX|IST|NDJ|KAN|
KAN|KOW,|KOW|CAN|IST|NDJ|KAN|
KAN|KTM,|KTM|IST|NDJ|KAN|
KAN|KUL,|KUL|IST|NDJ|KAN|
KAN|KWE,|KWE|URC|IST|NDJ|KAN|
KAN|KWL,|KWL|CKG|URC|IST|NDJ|KAN|
KAN|LHW,|LHW|URC|IST|NDJ|KAN|
KAN|LYA,|LYA|KHN|XIY|URC|IST|NDJ|KAN|
KAN|LYG,|LYG|XUZ|INC|URC|IST|NDJ|KAN|
KAN|LZH,|LZH|CAN|IST|NDJ|KAN|
KAN|MEL,|MEL|BKK|IST|NDJ|KAN|
KAN|MIG,|MIG|CSX|URC|IST|NDJ|KAN|
KAN|MLE,|MLE|IST|NDJ|KAN|
KAN|MNL,|MNL|CAN|IST|NDJ|KAN|
KAN|MXZ,|MXZ|CAN|IST|NDJ|KAN|
KAN|NAO,|NAO|PEK|IST|NDJ|KAN|
KAN|NGB,|NGB|WUH|URC|IST|NDJ|KAN|
KAN|NKG,|NKG|URC|IST|NDJ|KAN|
KAN|NNY,|NNY|CGO|URC|IST|NDJ|KAN|
KAN|PEN,|PEN|CAN|IST|NDJ|KAN|
KAN|PER,|PER|BKK|IST|NDJ|KAN|
KAN|PNH,|PNH|CAN|IST|NDJ|KAN|
KAN|REP,|REP|CAN|IST|NDJ|KAN|
KAN|RGN,|RGN|CAN|IST|NDJ|KAN|
KAN|SGN,|SGN|BKK|IST|NDJ|KAN|
KAN|SHA,|SHA|URC|IST|NDJ|KAN|
KAN|SIN,|SIN|IST|NDJ|KAN|
KAN|SVO,|SVO|URC|IST|NDJ|KAN|
KAN|SYX,|SYX|CKG|URC|IST|NDJ|KAN|
KAN|TAO,|TAO|TYN|URC|IST|NDJ|KAN|
KAN|TEN,|TEN|CAN|IST|NDJ|KAN|
KAN|TNA,|TNA|URC|IST|NDJ|KAN|
KAN|TPE,|TPE|URC|IST|NDJ|KAN|
KAN|TSN,|TSN|HET|URC|IST|NDJ|KAN|
KAN|TXN,|TXN|TYN|URC|IST|NDJ|KAN|
KAN|TYN,|TYN|URC|IST|NDJ|KAN|
KAN|WNZ,|WNZ|XIY|URC|IST|NDJ|KAN|
KAN|WUX,|WUX|CAN|IST|NDJ|KAN|
KAN|XFN,|XFN|CAN|IST|NDJ|KAN|
KAN|XIY,|XIY|URC|IST|NDJ|KAN|
KAN|XUZ,|XUZ|INC|URC|IST|NDJ|KAN|
KAN|YIH,|YIH|CKG|URC|IST|NDJ|KAN|
KAN|YIW,|YIW|URC|IST|NDJ|KAN|
KAN|YNT,|YNT|SHE|PEK|IST|NDJ|KAN|
KAN|YNZ,|YNZ|WUH|URC|IST|NDJ|KAN|
KAN|YTY,|YTY|CGO|URC|IST|NDJ|KAN|
KAN|ZHA,|ZHA|CAN|IST|NDJ|KAN|
KAN|ZYI,|ZYI|CAN|IST|NDJ|KAN|
KAN|BAV,|BAV|URC|IST|NDJ|KAN|
KAN|CJU,|CJU|DLC|PEK|IST|NDJ|KAN|
KAN|DSN,|DSN|CGO|URC|IST|NDJ|KAN|
KAN|HMI,|HMI|URC|IST|NDJ|KAN|
KAN|INC,|INC|URC|IST|NDJ|KAN|
KAN|KHH,|KHH|WUH|URC|IST|NDJ|KAN|
KAN|UYN,|UYN|XIY|URC|IST|NDJ|KAN|
KAN|XNN,|XNN|URC|IST|NDJ|KAN|
KAN|ZUH,|ZUH|KWE|URC|IST|NDJ|KAN|
KAN|YNJ,|YNJ|PEK|IST|NDJ|KAN|
KAN|DAT,|DAT|TYN|URC|IST|NDJ|KAN|
KAN|JHG,|JHG|KMG|CTU|URC|IST|NDJ|KAN|
KAN|LJG,|LJG|KMG|CTU|URC|IST|NDJ|KAN|
KAN|LXA,|LXA|CKG|URC|IST|NDJ|KAN|
KAN|YCU,|YCU|CKG|URC|IST|NDJ|KAN|
KAN|LZO,|LZO|CSX|URC|IST|NDJ|KAN|
KAN|MDG,|MDG|DLC|PEK|IST|NDJ|KAN|
KAN|NGO,|NGO|ICN|IST|NDJ|KAN|
KAN|TOY,|TOY|DLC|PEK|IST|NDJ|KAN|
KAN|MFM,|MFM|XMN|CSX|URC|IST|NDJ|KAN|
KAN|TGO,|TGO|HET|URC|IST|NDJ|KAN|
KAN|XIL,|XIL|HET|URC|IST|NDJ|KAN|
KAN|HEK,|HEK|HRB|PEK|IST|NDJ|KAN|
KAN|KIJ,|KIJ|HRB|PEK|IST|NDJ|KAN|
KAN|LDS,|LDS|HRB|PEK|IST|NDJ|KAN|
KAN|OHE,|OHE|HRB|PEK|IST|NDJ|KAN|
KAN|HSN,|HSN|LYG|XUZ|INC|URC|IST|NDJ|KAN|
KAN|DLU,|DLU|KMG|CTU|URC|IST|NDJ|KAN|
KAN|SYM,|SYM|KMG|CTU|URC|IST|NDJ|KAN|
KAN|ZAT,|ZAT|KMG|CTU|URC|IST|NDJ|KAN|
KAN|LUN,|LUN|NBO|IST|NDJ|KAN|
KAN|AOG,|AOG|PEK|IST|NDJ|KAN|
KAN|GMP,|GMP|PEK|IST|NDJ|KAN|
KAN|ISB,|ISB|IST|NDJ|KAN|
KAN|TAS,|TAS|IST|NDJ|KAN|
KAN|WUS,|WUS|PEK|IST|NDJ|KAN|
KAN|JMU,|JMU|PVG|IST|NDJ|KAN|
KAN|NDG,|NDG|PVG|IST|NDJ|KAN|
KAN|JXA,|JXA|SHE|PEK|IST|NDJ|KAN|
KAN|PUS,|PUS|SHE|PEK|IST|NDJ|KAN|
KAN|BKI,|BKI|SZX|CKG|URC|IST|NDJ|KAN|
KAN|AKU,|AKU|URC|IST|NDJ|KAN|
KAN|ALA,|ALA|IST|NDJ|KAN|
KAN|ASB,|ASB|IST|NDJ|KAN|
KAN|DNH,|DNH|URC|IST|NDJ|KAN|
KAN|DYU,|DYU|IST|NDJ|KAN|
KAN|FRU,|FRU|IST|NDJ|KAN|
KAN|GYD,|GYD|IST|NDJ|KAN|
KAN|HTN,|HTN|URC|IST|NDJ|KAN|
KAN|IKA,|IKA|IST|NDJ|KAN|
KAN|KCA,|KCA|URC|IST|NDJ|KAN|
KAN|KHG,|KHG|URC|IST|NDJ|KAN|
KAN|KRL,|KRL|URC|IST|NDJ|KAN|
KAN|KRY,|KRY|URC|IST|NDJ|KAN|
KAN|LBD,|LBD|URC|IST|NDJ|KAN|
KAN|NLT,|NLT|URC|IST|NDJ|KAN|
KAN|OSS,|OSS|IST|NDJ|KAN|
KAN|OVB,|OVB|IST|NDJ|KAN|
KAN|TBS,|TBS|IST|NDJ|KAN|
KAN|TCG,|TCG|URC|IST|NDJ|KAN|
KAN|TSE,|TSE|IST|NDJ|KAN|
KAN|YIN,|YIN|URC|IST|NDJ|KAN|
KAN|ENH,|ENH|WUH|URC|IST|NDJ|KAN|
KAN|ENY,|ENY|XIY|URC|IST|NDJ|KAN|
KAN|WXN,|WXN|XIY|URC|IST|NDJ|KAN|
KAN|BLL,|BLL|IST|NDJ|KAN|
KAN|ESB,|ESB|IST|NDJ|KAN|
KAN|SAW,|SAW|ADB|IST|NDJ|KAN|
KAN|HAM,|HAM|IST|NDJ|KAN|
KAN|HRE,|HRE|ADD|IST|NDJ|KAN|
KAN|JUB,|JUB|CAI|IST|NDJ|KAN|
KAN|SSG,|SSG|DLA|IST|NDJ|KAN|
KAN|BGW,|BGW|IST|NDJ|KAN|
KAN|EBL,|EBL|IST|NDJ|KAN|
KAN|VKO,|VKO|IST|NDJ|KAN|
KAN|MCT,|MCT|IST|NDJ|KAN|
KAN|AYT,|AYT|IST|NDJ|KAN|
KAN|SCQ,|SCQ|BIO|IST|NDJ|KAN|
KAN|AAL,|AAL|IST|NDJ|KAN|
KAN|AOE,|AOE|BRU|IST|NDJ|KAN|
KAN|JNB,|JNB|IST|NDJ|KAN|
KAN|LBV,|LBV|DLA|IST|NDJ|KAN|
KAN|ADA,|ADA|IST|NDJ|KAN|
KAN|ADB,|ADB|IST|NDJ|KAN|
KAN|ADF,|ADF|IST|NDJ|KAN|
KAN|AJI,|AJI|IST|NDJ|KAN|
KAN|BAL,|BAL|IST|NDJ|KAN|
KAN|BJV,|BJV|IST|NDJ|KAN|
KAN|CKZ,|CKZ|ESB|IST|NDJ|KAN|
KAN|DIY,|DIY|IST|NDJ|KAN|
KAN|ECN,|ECN|IST|NDJ|KAN|
KAN|ERC,|ERC|IST|NDJ|KAN|
KAN|ERZ,|ERZ|IST|NDJ|KAN|
KAN|EZS,|EZS|IST|NDJ|KAN|
KAN|GNY,|GNY|IST|NDJ|KAN|
KAN|GZP,|GZP|ESB|IST|NDJ|KAN|
KAN|GZT,|GZT|IST|NDJ|KAN|
KAN|HTY,|HTY|IST|NDJ|KAN|
KAN|KCM,|KCM|IST|NDJ|KAN|
KAN|KSY,|KSY|IST|NDJ|KAN|
KAN|MLX,|MLX|IST|NDJ|KAN|
KAN|MQM,|MQM|IST|NDJ|KAN|
KAN|MSR,|MSR|IST|NDJ|KAN|
KAN|TEQ,|TEQ|ESB|IST|NDJ|KAN|
KAN|TZX,|TZX|IST|NDJ|KAN|
KAN|VAN,|VAN|IST|NDJ|KAN|
KAN|ULN,|ULN|FRU|IST|NDJ|KAN|
KAN|HIJ,|HIJ|ICN|IST|NDJ|KAN|
KAN|VVO,|VVO|ICN|IST|NDJ|KAN|
KAN|ACC,|ACC|IST|NDJ|KAN|
KAN|AER,|AER|IST|NDJ|KAN|
KAN|AGP,|AGP|IST|NDJ|KAN|
KAN|ALG,|ALG|IST|NDJ|KAN|
KAN|AMM,|AMM|IST|NDJ|KAN|
KAN|AQJ,|AQJ|IST|NDJ|KAN|
KAN|ARN,|ARN|IST|NDJ|KAN|
KAN|ASR,|ASR|IST|NDJ|KAN|
KAN|ATH,|ATH|IST|NDJ|KAN|
KAN|BAH,|BAH|IST|NDJ|KAN|
KAN|BEG,|BEG|IST|NDJ|KAN|
KAN|BEN,|BEN|IST|NDJ|KAN|
KAN|BEY,|BEY|IST|NDJ|KAN|
KAN|BHX,|BHX|IST|NDJ|KAN|
KAN|BIO,|BIO|IST|NDJ|KAN|
KAN|BLQ,|BLQ|IST|NDJ|KAN|
KAN|BOM,|BOM|IST|NDJ|KAN|
KAN|BRE,|BRE|IST|NDJ|KAN|
KAN|BSL,|BSL|IST|NDJ|KAN|
KAN|BSR,|BSR|IST|NDJ|KAN|
KAN|BUD,|BUD|IST|NDJ|KAN|
KAN|BUS,|BUS|IST|NDJ|KAN|
KAN|CAI,|CAI|IST|NDJ|KAN|
KAN|CGN,|CGN|IST|NDJ|KAN|
KAN|CMN,|CMN|IST|NDJ|KAN|
KAN|CND,|CND|IST|NDJ|KAN|
KAN|DAR,|DAR|IST|NDJ|KAN|
KAN|DLM,|DLM|IST|NDJ|KAN|
KAN|DMM,|DMM|IST|NDJ|KAN|
KAN|DNK,|DNK|IST|NDJ|KAN|
KAN|DNZ,|DNZ|IST|NDJ|KAN|
KAN|DOK,|DOK|IST|NDJ|KAN|
KAN|DUS,|DUS|IST|NDJ|KAN|
KAN|EDI,|EDI|IST|NDJ|KAN|
KAN|ELQ,|ELQ|IST|NDJ|KAN|
KAN|FDH,|FDH|IST|NDJ|KAN|
KAN|GOA,|GOA|IST|NDJ|KAN|
KAN|GOT,|GOT|IST|NDJ|KAN|
KAN|HAJ,|HAJ|IST|NDJ|KAN|
KAN|HBE,|HBE|IST|NDJ|KAN|
KAN|HEL,|HEL|IST|NDJ|KAN|
KAN|HRG,|HRG|IST|NDJ|KAN|
KAN|IFN,|IFN|IST|NDJ|KAN|
KAN|ISE,|ISE|IST|NDJ|KAN|
KAN|ISU,|ISU|IST|NDJ|KAN|
KAN|JIB,|JIB|IST|NDJ|KAN|
KAN|JRO,|JRO|IST|NDJ|KAN|
KAN|KBL,|KBL|IST|NDJ|KAN|
KAN|KBP,|KBP|IST|NDJ|KAN|
KAN|KFS,|KFS|IST|NDJ|KAN|
KAN|KHI,|KHI|IST|NDJ|KAN|
KAN|KIV,|KIV|IST|NDJ|KAN|
KAN|KRT,|KRT|IST|NDJ|KAN|
KAN|KSH,|KSH|IST|NDJ|KAN|
KAN|KVD,|KVD|IST|NDJ|KAN|
KAN|KWI,|KWI|IST|NDJ|KAN|
KAN|KYA,|KYA|IST|NDJ|KAN|
KAN|KZN,|KZN|IST|NDJ|KAN|
KAN|KZR,|KZR|IST|NDJ|KAN|
KAN|LED,|LED|IST|NDJ|KAN|
KAN|LEJ,|LEJ|IST|NDJ|KAN|
KAN|LGW,|LGW|IST|NDJ|KAN|
KAN|LHE,|LHE|IST|NDJ|KAN|
