YZP|BRU,|BRU|YUL|YVR|YZP|
YZP|IST,|IST|MUC|YVR|YZP|
YZP|EBB,|EBB|KGL|IST|MUC|YVR|YZP|
YZP|YLW,|YLW|YVR|YZP|
YZP|YYT,|YYT|YUL|YVR|YZP|
YZP|GUA,|GUA|IAH|YVR|YZP|
YZP|EWR,|EWR|YVR|YZP|
YZP|IAD,|IAD|ORD|YVR|YZP|
YZP|IAH,|IAH|YVR|YZP|
YZP|ORD,|ORD|YVR|YZP|
YZP|SOF,|SOF|MUC|YVR|YZP|
YZP|YQB,|YQB|YUL|YVR|YZP|
YZP|YXU,|YXU|YYC|YVR|YZP|
YZP|EZE,|EZE|IAH|YVR|YZP|
YZP|YYJ,|YYJ|YVR|YZP|
YZP|YYY,|YYY|YUL|YVR|YZP|
YZP|YQQ,|YQQ|YBL|YVR|YZP|
YZP|YYR,|YYR|YWK|YZV|YUL|YVR|YZP|
YZP|LHR,|LHR|YVR|YZP|
YZP|SFO,|SFO|YVR|YZP|
YZP|YQU,|YQU|YEG|YVR|YZP|
YZP|YZF,|YZF|YEG|YVR|YZP|
YZP|YGR,|YGR|YGP|YQB|YUL|YVR|YZP|
YZP|YGP,|YGP|YQB|YUL|YVR|YZP|
YZP|BOS,|BOS|YOW|YVR|YZP|
YZP|YDF,|YDF|YHZ|YYC|YVR|YZP|
YZP|YFC,|YFC|YUL|YVR|YZP|
YZP|YQM,|YQM|YUL|YVR|YZP|
YZP|YQX,|YQX|YHZ|YYC|YVR|YZP|
YZP|YQY,|YQY|YHZ|YYC|YVR|YZP|
YZP|YSJ,|YSJ|YUL|YVR|YZP|
YZP|YYG,|YYG|YUL|YVR|YZP|
YZP|LAX,|LAX|YVR|YZP|
YZP|DCA,|DCA|ORD|YVR|YZP|
YZP|LGA,|LGA|YYZ|YVR|YZP|
YZP|YZV,|YZV|YUL|YVR|YZP|
YZP|YWL,|YWL|YVR|YZP|
YZP|AZS,|AZS|YYZ|YVR|YZP|
YZP|BDL,|BDL|YYZ|YVR|YZP|
YZP|CCC,|CCC|YYZ|YVR|YZP|
YZP|CDG,|CDG|YUL|YVR|YZP|
YZP|CUN,|CUN|YVR|YZP|
YZP|CZM,|CZM|IAH|YVR|YZP|
YZP|FDF,|FDF|YUL|YVR|YZP|
YZP|FLL,|FLL|DEN|YVR|YZP|
YZP|GVA,|GVA|YUL|YVR|YZP|
YZP|HOG,|HOG|YYZ|YVR|YZP|
YZP|LAS,|LAS|YVR|YZP|
YZP|MBJ,|MBJ|IAH|YVR|YZP|
YZP|MCO,|MCO|DEN|YVR|YZP|
YZP|MUC,|MUC|YVR|YZP|
YZP|PAP,|PAP|YUL|YVR|YZP|
YZP|PTP,|PTP|YUL|YVR|YZP|
YZP|PUJ,|PUJ|ORD|YVR|YZP|
YZP|SNU,|SNU|YYZ|YVR|YZP|
YZP|VRA,|VRA|YYC|YVR|YZP|
YZP|YBC,|YBC|YUL|YVR|YZP|
YZP|YBG,|YBG|YUL|YVR|YZP|
YZP|YTZ,|YTZ|YUL|YVR|YZP|
YZP|YUY,|YUY|YUL|YVR|YZP|
YZP|YVO,|YVO|YUL|YVR|YZP|
YZP|ZBF,|ZBF|YUL|YVR|YZP|
YZP|ZRH,|ZRH|YUL|YVR|YZP|
YZP|ZSA,|ZSA|YUL|YVR|YZP|
YZP|AKL,|AKL|YVR|YZP|
YZP|HKG,|HKG|YVR|YZP|
YZP|HND,|HND|YVR|YZP|
YZP|HNL,|HNL|YVR|YZP|
YZP|MEX,|MEX|YVR|YZP|
YZP|OGG,|OGG|YVR|YZP|
YZP|PDX,|PDX|YVR|YZP|
YZP|PEK,|PEK|YVR|YZP|
YZP|PVG,|PVG|YVR|YZP|
YZP|PVR,|PVR|YVR|YZP|
YZP|SEA,|SEA|YVR|YZP|
YZP|SYD,|SYD|YVR|YZP|
YZP|YBL,|YBL|YVR|YZP|
YZP|YCD,|YCD|YVR|YZP|
YZP|YCG,|YCG|YVR|YZP|
YZP|YKA,|YKA|YVR|YZP|
YZP|YPR,|YPR|YVR|YZP|
YZP|YQZ,|YQZ|YVR|YZP|
YZP|YXC,|YXC|YVR|YZP|
YZP|YXJ,|YXJ|YVR|YZP|
YZP|YXS,|YXS|YVR|YZP|
YZP|YXT,|YXT|YVR|YZP|
YZP|YXY,|YXY|YVR|YZP|
YZP|YYD,|YYD|YVR|YZP|
YZP|YYF,|YYF|YVR|YZP|
YZP|YQT,|YQT|YWG|YVR|YZP|
YZP|SJD,|SJD|YVR|YZP|
YZP|YQF,|YQF|YYC|YVR|YZP|
YZP|YQL,|YQL|YYC|YVR|YZP|
YZP|YXH,|YXH|YYC|YVR|YZP|
YZP|YWK,|YWK|YZV|YUL|YVR|YZP|
YZP|ANU,|ANU|YYZ|YVR|YZP|
YZP|AUA,|AUA|ATL|DEN|YVR|YZP|
YZP|AUH,|AUH|FRA|YVR|YZP|
YZP|BCN,|BCN|YYZ|YVR|YZP|
YZP|BDA,|BDA|EWR|YVR|YZP|
YZP|BGI,|BGI|YYZ|YVR|YZP|
YZP|BNA,|BNA|DEN|YVR|YZP|
YZP|BOG,|BOG|IAH|YVR|YZP|
YZP|BWI,|BWI|ORD|YVR|YZP|
YZP|CLE,|CLE|ORD|YVR|YZP|
YZP|CLT,|CLT|ORD|YVR|YZP|
YZP|CMH,|CMH|ORD|YVR|YZP|
YZP|CVG,|CVG|ORD|YVR|YZP|
YZP|DFW,|DFW|YVR|YZP|
YZP|DTW,|DTW|ORD|YVR|YZP|
YZP|DUB,|DUB|YYZ|YVR|YZP|
YZP|FCO,|FCO|YYZ|YVR|YZP|
YZP|GCM,|GCM|IAH|YVR|YZP|
YZP|GGT,|GGT|FLL|DEN|YVR|YZP|
YZP|GND,|GND|YYZ|YVR|YZP|
YZP|GRU,|GRU|IAH|YVR|YZP|
YZP|HAV,|HAV|YYZ|YVR|YZP|
YZP|IND,|IND|ORD|YVR|YZP|
YZP|JFK,|JFK|YYZ|YVR|YZP|
YZP|KIN,|KIN|YYZ|YVR|YZP|
YZP|LIM,|LIM|IAH|YVR|YZP|
YZP|LIR,|LIR|IAH|YVR|YZP|
YZP|MCI,|MCI|DEN|YVR|YZP|
YZP|MDT,|MDT|ORD|YVR|YZP|
YZP|MIA,|MIA|DEN|YVR|YZP|
YZP|MKE,|MKE|SEA|YVR|YZP|
YZP|MSP,|MSP|DEN|YVR|YZP|
YZP|NAS,|NAS|ATL|DEN|YVR|YZP|
YZP|PHL,|PHL|YYZ|YVR|YZP|
YZP|PHX,|PHX|SEA|YVR|YZP|
YZP|PIT,|PIT|ORD|YVR|YZP|
YZP|PLS,|PLS|YYZ|YVR|YZP|
YZP|POP,|POP|YYZ|YVR|YZP|
YZP|RDU,|RDU|ORD|YVR|YZP|
YZP|ROC,|ROC|YYZ|YVR|YZP|
YZP|RSW,|RSW|DEN|YVR|YZP|
YZP|SAN,|SAN|RNO|SEA|YVR|YZP|
YZP|SJO,|SJO|IAH|YVR|YZP|
YZP|STL,|STL|DEN|YVR|YZP|
YZP|SYR,|SYR|YYZ|YVR|YZP|
YZP|TLV,|TLV|IST|MUC|YVR|YZP|
YZP|TPA,|TPA|DEN|YVR|YZP|
YZP|UVF,|UVF|YYZ|YVR|YZP|
YZP|VIE,|VIE|YYZ|YVR|YZP|
YZP|YAM,|YAM|YYZ|YVR|YZP|
YZP|YGK,|YGK|YYZ|YVR|YZP|
YZP|YQG,|YQG|YYC|YVR|YZP|
YZP|YSB,|YSB|YYZ|YVR|YZP|
YZP|YTS,|YTS|YYZ|YVR|YZP|
YZP|YYB,|YYB|YYZ|YVR|YZP|
YZP|YZR,|YZR|YYZ|YVR|YZP|
YZP|CAN,|CAN|YVR|YZP|
YZP|URC,|URC|PEK|YVR|YZP|
YZP|CTU,|CTU|PEK|YVR|YZP|
YZP|HGH,|HGH|DLC|ICN|YVR|YZP|
YZP|XMN,|XMN|PEK|YVR|YZP|
YZP|CGO,|CGO|PEK|YVR|YZP|
YZP|CSX,|CSX|ICN|YVR|YZP|
YZP|SHE,|SHE|ICN|YVR|YZP|
YZP|SJW,|SJW|DLC|ICN|YVR|YZP|
YZP|WUH,|WUH|ICN|YVR|YZP|
YZP|SZX,|SZX|PVG|YVR|YZP|
YZP|CKG,|CKG|PEK|YVR|YZP|
YZP|KMG,|KMG|PEK|YVR|YZP|
YZP|FOC,|FOC|PEK|YVR|YZP|
YZP|NNG,|NNG|PEK|YVR|YZP|
YZP|SWA,|SWA|PEK|YVR|YZP|
YZP|ACX,|ACX|CAN|YVR|YZP|
YZP|AQG,|AQG|CAN|YVR|YZP|
YZP|AVA,|AVA|CAN|YVR|YZP|
YZP|BFJ,|BFJ|CAN|YVR|YZP|
YZP|BHY,|BHY|CSX|ICN|YVR|YZP|
YZP|BNE,|BNE|CAN|YVR|YZP|
YZP|CGD,|CGD|PEK|YVR|YZP|
YZP|CGK,|CGK|CAN|YVR|YZP|
YZP|CGQ,|CGQ|ICN|YVR|YZP|
YZP|CIH,|CIH|PEK|YVR|YZP|
YZP|CNX,|CNX|CAN|YVR|YZP|
YZP|CZX,|CZX|SHE|ICN|YVR|YZP|
YZP|DAC,|DAC|CAN|YVR|YZP|
YZP|DAD,|DAD|CAN|YVR|YZP|
YZP|DEL,|DEL|CAN|YVR|YZP|
YZP|DIG,|DIG|KMG|PEK|YVR|YZP|
YZP|DLC,|DLC|ICN|YVR|YZP|
YZP|DPS,|DPS|SZX|PVG|YVR|YZP|
YZP|DXB,|DXB|IST|MUC|YVR|YZP|
YZP|DYG,|DYG|PEK|YVR|YZP|
YZP|FUG,|FUG|CAN|YVR|YZP|
YZP|FUK,|FUK|ICN|YVR|YZP|
YZP|HAK,|HAK|CAN|YVR|YZP|
YZP|HAN,|HAN|PEK|YVR|YZP|
YZP|HDG,|HDG|CAN|YVR|YZP|
YZP|HET,|HET|DLC|ICN|YVR|YZP|
YZP|HFE,|HFE|TYN|DLC|ICN|YVR|YZP|
YZP|HJJ,|HJJ|CSX|ICN|YVR|YZP|
YZP|HKT,|HKT|KWE|PEK|YVR|YZP|
YZP|HRB,|HRB|ICN|YVR|YZP|
YZP|HZH,|HZH|CAN|YVR|YZP|
YZP|JIU,|JIU|CAN|YVR|YZP|
YZP|JJN,|JJN|PEK|YVR|YZP|
YZP|JNG,|JNG|CAN|YVR|YZP|
YZP|KHN,|KHN|DLC|ICN|YVR|YZP|
YZP|KIX,|KIX|DLC|ICN|YVR|YZP|
YZP|KOW,|KOW|PEK|YVR|YZP|
YZP|KTM,|KTM|CAN|YVR|YZP|
YZP|KUL,|KUL|PVG|YVR|YZP|
YZP|KWE,|KWE|PEK|YVR|YZP|
YZP|KWL,|KWL|PEK|YVR|YZP|
YZP|LHW,|LHW|CGO|PEK|YVR|YZP|
YZP|LYA,|LYA|KHN|DLC|ICN|YVR|YZP|
YZP|LYG,|LYG|HSN|PEK|YVR|YZP|
YZP|LZH,|LZH|CAN|YVR|YZP|
YZP|MEL,|MEL|SYD|YVR|YZP|
YZP|MIG,|MIG|CSX|ICN|YVR|YZP|
YZP|MLE,|MLE|CAN|YVR|YZP|
YZP|MNL,|MNL|XMN|PEK|YVR|YZP|
YZP|MXZ,|MXZ|CAN|YVR|YZP|
YZP|NAO,|NAO|PEK|YVR|YZP|
YZP|NGB,|NGB|DLC|ICN|YVR|YZP|
YZP|NKG,|NKG|DLC|ICN|YVR|YZP|
YZP|NNY,|NNY|CGO|PEK|YVR|YZP|
YZP|PEN,|PEN|CAN|YVR|YZP|
YZP|PER,|PER|CAN|YVR|YZP|
YZP|PNH,|PNH|CAN|YVR|YZP|
YZP|REP,|REP|ICN|YVR|YZP|
YZP|RGN,|RGN|CAN|YVR|YZP|
YZP|SGN,|SGN|HKG|YVR|YZP|
YZP|SHA,|SHA|PEK|YVR|YZP|
YZP|SIN,|SIN|HKG|YVR|YZP|
YZP|SVO,|SVO|URC|PEK|YVR|YZP|
YZP|SYX,|SYX|CAN|YVR|YZP|
YZP|TAO,|TAO|DLC|ICN|YVR|YZP|
YZP|TEN,|TEN|PEK|YVR|YZP|
YZP|TNA,|TNA|DLC|ICN|YVR|YZP|
YZP|TPE,|TPE|PVG|YVR|YZP|
YZP|TSN,|TSN|DLC|ICN|YVR|YZP|
YZP|TXN,|TXN|DLC|ICN|YVR|YZP|
YZP|TYN,|TYN|DLC|ICN|YVR|YZP|
YZP|WNZ,|WNZ|CGO|PEK|YVR|YZP|
YZP|WUX,|WUX|CAN|YVR|YZP|
YZP|XFN,|XFN|CAN|YVR|YZP|
YZP|XIY,|XIY|PEK|YVR|YZP|
YZP|XUZ,|XUZ|LYG|HSN|PEK|YVR|YZP|
YZP|YIH,|YIH|CKG|PEK|YVR|YZP|
YZP|YIW,|YIW|PEK|YVR|YZP|
YZP|YNT,|YNT|SHE|ICN|YVR|YZP|
YZP|YNZ,|YNZ|DLC|ICN|YVR|YZP|
YZP|YTY,|YTY|DLC|ICN|YVR|YZP|
YZP|ZHA,|ZHA|CAN|YVR|YZP|
YZP|ZYI,|ZYI|PEK|YVR|YZP|
YZP|BAV,|BAV|SJW|DLC|ICN|YVR|YZP|
YZP|CJU,|CJU|DLC|ICN|YVR|YZP|
YZP|DSN,|DSN|CGO|PEK|YVR|YZP|
YZP|HMI,|HMI|CGO|PEK|YVR|YZP|
YZP|INC,|INC|PEK|YVR|YZP|
YZP|KHH,|KHH|CGO|PEK|YVR|YZP|
YZP|UYN,|UYN|CGO|PEK|YVR|YZP|
YZP|XNN,|XNN|PEK|YVR|YZP|
YZP|ZUH,|ZUH|PVG|YVR|YZP|
YZP|YNJ,|YNJ|ICN|YVR|YZP|
YZP|DAT,|DAT|CIH|PEK|YVR|YZP|
YZP|JHG,|JHG|CKG|PEK|YVR|YZP|
YZP|LJG,|LJG|CKG|PEK|YVR|YZP|
YZP|LXA,|LXA|XIY|PEK|YVR|YZP|
YZP|YCU,|YCU|CSX|ICN|YVR|YZP|
YZP|LZO,|LZO|CSX|ICN|YVR|YZP|
YZP|MDG,|MDG|ICN|YVR|YZP|
YZP|NGO,|NGO|ICN|YVR|YZP|
YZP|TOY,|TOY|DLC|ICN|YVR|YZP|
YZP|MFM,|MFM|XMN|PEK|YVR|YZP|
YZP|TGO,|TGO|HET|DLC|ICN|YVR|YZP|
YZP|XIL,|XIL|HET|DLC|ICN|YVR|YZP|
YZP|HEK,|HEK|HRB|ICN|YVR|YZP|
YZP|KIJ,|KIJ|HRB|ICN|YVR|YZP|
YZP|LDS,|LDS|HRB|ICN|YVR|YZP|
YZP|OHE,|OHE|HRB|ICN|YVR|YZP|
YZP|HSN,|HSN|PEK|YVR|YZP|
YZP|DLU,|DLU|KMG|PEK|YVR|YZP|
YZP|SYM,|SYM|KMG|PEK|YVR|YZP|
YZP|ZAT,|ZAT|KMG|PEK|YVR|YZP|
YZP|LUN,|LUN|NBO|IST|MUC|YVR|YZP|
YZP|AOG,|AOG|PEK|YVR|YZP|
YZP|GMP,|GMP|PEK|YVR|YZP|
YZP|ISB,|ISB|PEK|YVR|YZP|
YZP|TAS,|TAS|PEK|YVR|YZP|
YZP|WUS,|WUS|PEK|YVR|YZP|
YZP|JMU,|JMU|PVG|YVR|YZP|
YZP|NDG,|NDG|PVG|YVR|YZP|
YZP|JXA,|JXA|SHE|ICN|YVR|YZP|
YZP|PUS,|PUS|SHE|ICN|YVR|YZP|
YZP|BKI,|BKI|SZX|PVG|YVR|YZP|
YZP|AKU,|AKU|URC|PEK|YVR|YZP|
YZP|ALA,|ALA|URC|PEK|YVR|YZP|
YZP|ASB,|ASB|GYD|FRA|YVR|YZP|
YZP|DNH,|DNH|XIY|PEK|YVR|YZP|
YZP|DYU,|DYU|URC|PEK|YVR|YZP|
YZP|FRU,|FRU|URC|PEK|YVR|YZP|
YZP|GYD,|GYD|FRA|YVR|YZP|
YZP|HTN,|HTN|URC|PEK|YVR|YZP|
YZP|IKA,|IKA|SAW|MUC|YVR|YZP|
YZP|KCA,|KCA|URC|PEK|YVR|YZP|
YZP|KHG,|KHG|URC|PEK|YVR|YZP|
YZP|KRL,|KRL|URC|PEK|YVR|YZP|
YZP|KRY,|KRY|URC|PEK|YVR|YZP|
YZP|LBD,|LBD|URC|PEK|YVR|YZP|
YZP|NLT,|NLT|URC|PEK|YVR|YZP|
YZP|OSS,|OSS|URC|PEK|YVR|YZP|
YZP|OVB,|OVB|URC|PEK|YVR|YZP|
YZP|TBS,|TBS|SAW|MUC|YVR|YZP|
YZP|TCG,|TCG|URC|PEK|YVR|YZP|
YZP|TSE,|TSE|URC|PEK|YVR|YZP|
YZP|YIN,|YIN|URC|PEK|YVR|YZP|
YZP|ENH,|ENH|WUH|ICN|YVR|YZP|
YZP|ENY,|ENY|XIY|PEK|YVR|YZP|
YZP|WXN,|WXN|XIY|PEK|YVR|YZP|
YZP|BLL,|BLL|IST|MUC|YVR|YZP|
YZP|ESB,|ESB|FRA|YVR|YZP|
YZP|SAW,|SAW|MUC|YVR|YZP|
YZP|HAM,|HAM|EWR|YVR|YZP|
YZP|HRE,|HRE|ADD|IST|MUC|YVR|YZP|
YZP|JUB,|JUB|CAI|IST|MUC|YVR|YZP|
YZP|SSG,|SSG|DLA|IST|MUC|YVR|YZP|
YZP|BGW,|BGW|ESB|FRA|YVR|YZP|
YZP|EBL,|EBL|IST|MUC|YVR|YZP|
YZP|VKO,|VKO|IST|MUC|YVR|YZP|
YZP|MCT,|MCT|IST|MUC|YVR|YZP|
YZP|AYT,|AYT|IST|MUC|YVR|YZP|
YZP|SCQ,|SCQ|BIO|IST|MUC|YVR|YZP|
YZP|AAL,|AAL|IST|MUC|YVR|YZP|
YZP|AOE,|AOE|BRU|YUL|YVR|YZP|
YZP|JNB,|JNB|JFK|YYZ|YVR|YZP|
YZP|LBV,|LBV|DLA|IST|MUC|YVR|YZP|
YZP|ADA,|ADA|IST|MUC|YVR|YZP|
YZP|ADB,|ADB|IST|MUC|YVR|YZP|
YZP|ADF,|ADF|ESB|FRA|YVR|YZP|
YZP|AJI,|AJI|ESB|FRA|YVR|YZP|
YZP|BAL,|BAL|ESB|FRA|YVR|YZP|
YZP|BJV,|BJV|IST|MUC|YVR|YZP|
YZP|CKZ,|CKZ|ESB|FRA|YVR|YZP|
YZP|DIY,|DIY|ESB|FRA|YVR|YZP|
YZP|ECN,|ECN|IST|MUC|YVR|YZP|
YZP|ERC,|ERC|ESB|FRA|YVR|YZP|
YZP|ERZ,|ERZ|ESB|FRA|YVR|YZP|
YZP|EZS,|EZS|ESB|FRA|YVR|YZP|
YZP|GNY,|GNY|ESB|FRA|YVR|YZP|
YZP|GZP,|GZP|ESB|FRA|YVR|YZP|
YZP|GZT,|GZT|SAW|MUC|YVR|YZP|
YZP|HTY,|HTY|SAW|MUC|YVR|YZP|
YZP|KCM,|KCM|ESB|FRA|YVR|YZP|
YZP|KSY,|KSY|SAW|MUC|YVR|YZP|
YZP|MLX,|MLX|ESB|FRA|YVR|YZP|
YZP|MQM,|MQM|ESB|FRA|YVR|YZP|
YZP|MSR,|MSR|ESB|FRA|YVR|YZP|
YZP|TEQ,|TEQ|ESB|FRA|YVR|YZP|
YZP|TZX,|TZX|SAW|MUC|YVR|YZP|
YZP|VAN,|VAN|ESB|FRA|YVR|YZP|
YZP|ULN,|ULN|FRU|URC|PEK|YVR|YZP|
YZP|HIJ,|HIJ|ICN|YVR|YZP|
YZP|VVO,|VVO|ICN|YVR|YZP|
YZP|ACC,|ACC|IST|MUC|YVR|YZP|
YZP|AER,|AER|IST|MUC|YVR|YZP|
YZP|AGP,|AGP|IST|MUC|YVR|YZP|
YZP|ALG,|ALG|IST|MUC|YVR|YZP|
YZP|AMM,|AMM|IST|MUC|YVR|YZP|
YZP|AQJ,|AQJ|IST|MUC|YVR|YZP|
YZP|ARN,|ARN|EWR|YVR|YZP|
YZP|ASR,|ASR|SAW|MUC|YVR|YZP|
YZP|ATH,|ATH|IST|MUC|YVR|YZP|
YZP|BAH,|BAH|IST|MUC|YVR|YZP|
YZP|BEG,|BEG|IST|MUC|YVR|YZP|
YZP|BEN,|BEN|IST|MUC|YVR|YZP|
YZP|BEY,|BEY|IST|MUC|YVR|YZP|
YZP|BHX,|BHX|EWR|YVR|YZP|
YZP|BIO,|BIO|IST|MUC|YVR|YZP|
YZP|BLQ,|BLQ|IST|MUC|YVR|YZP|
YZP|BOM,|BOM|IST|MUC|YVR|YZP|
YZP|BRE,|BRE|IST|MUC|YVR|YZP|
YZP|BSL,|BSL|IST|MUC|YVR|YZP|
YZP|BSR,|BSR|IST|MUC|YVR|YZP|
YZP|BUD,|BUD|IST|MUC|YVR|YZP|
YZP|BUS,|BUS|IST|MUC|YVR|YZP|
YZP|CAI,|CAI|IST|MUC|YVR|YZP|
YZP|CGN,|CGN|IST|MUC|YVR|YZP|
YZP|CMN,|CMN|IST|MUC|YVR|YZP|
YZP|CND,|CND|IST|MUC|YVR|YZP|
YZP|DAR,|DAR|IST|MUC|YVR|YZP|
YZP|DLM,|DLM|IST|MUC|YVR|YZP|
YZP|DMM,|DMM|IST|MUC|YVR|YZP|
YZP|DNK,|DNK|IST|MUC|YVR|YZP|
YZP|DNZ,|DNZ|IST|MUC|YVR|YZP|
YZP|DOK,|DOK|IST|MUC|YVR|YZP|
YZP|DUS,|DUS|ORD|YVR|YZP|
YZP|EDI,|EDI|EWR|YVR|YZP|
YZP|ELQ,|ELQ|IST|MUC|YVR|YZP|
YZP|FDH,|FDH|IST|MUC|YVR|YZP|
YZP|GOA,|GOA|IST|MUC|YVR|YZP|
YZP|GOT,|GOT|BRU|YUL|YVR|YZP|
YZP|HAJ,|HAJ|BRU|YUL|YVR|YZP|
YZP|HBE,|HBE|IST|MUC|YVR|YZP|
YZP|HEL,|HEL|IST|MUC|YVR|YZP|
YZP|HRG,|HRG|IST|MUC|YVR|YZP|
YZP|IFN,|IFN|IST|MUC|YVR|YZP|
YZP|ISE,|ISE|IST|MUC|YVR|YZP|
YZP|ISU,|ISU|IST|MUC|YVR|YZP|
YZP|JIB,|JIB|IST|MUC|YVR|YZP|
YZP|JRO,|JRO|IST|MUC|YVR|YZP|
YZP|KAN,|KAN|IST|MUC|YVR|YZP|
YZP|KBL,|KBL|IST|MUC|YVR|YZP|
YZP|KBP,|KBP|IST|MUC|YVR|YZP|
YZP|KFS,|KFS|IST|MUC|YVR|YZP|
YZP|KHI,|KHI|IST|MUC|YVR|YZP|
YZP|KIV,|KIV|IST|MUC|YVR|YZP|
YZP|KRT,|KRT|IST|MUC|YVR|YZP|
YZP|KSH,|KSH|IST|MUC|YVR|YZP|
YZP|KVD,|KVD|IST|MUC|YVR|YZP|
YZP|KWI,|KWI|SAW|MUC|YVR|YZP|
YZP|KYA,|KYA|IST|MUC|YVR|YZP|
YZP|KZN,|KZN|IST|MUC|YVR|YZP|
YZP|KZR,|KZR|IST|MUC|YVR|YZP|
YZP|LED,|LED|VIE|YYZ|YVR|YZP|
YZP|LEJ,|LEJ|IST|MUC|YVR|YZP|
YZP|LGW,|LGW|IST|MUC|YVR|YZP|
YZP|LHE,|LHE|IST|MUC|YVR|YZP|
YZP|LIS,|LIS|EWR|YVR|YZP|
YZP|LJU,|LJU|IST|MUC|YVR|YZP|
YZP|LOS,|LOS|FRA|YVR|YZP|
YZP|LUX,|LUX|IST|MUC|YVR|YZP|
YZP|LWO,|LWO|IST|MUC|YVR|YZP|
YZP|LYS,|LYS|IST|MUC|YVR|YZP|
YZP|MAD,|MAD|EWR|YVR|YZP|
YZP|MAN,|MAN|EWR|YVR|YZP|
YZP|MED,|MED|IST|MUC|YVR|YZP|
YZP|MHD,|MHD|IST|MUC|YVR|YZP|
YZP|MLA,|MLA|IST|MUC|YVR|YZP|
YZP|MRS,|MRS|IST|MUC|YVR|YZP|
YZP|MSQ,|MSQ|IST|MUC|YVR|YZP|
YZP|MXP,|MXP|EWR|YVR|YZP|
YZP|MZH,|MZH|IST|MUC|YVR|YZP|
YZP|MZR,|MZR|IST|MUC|YVR|YZP|
YZP|NAJ,|NAJ|IST|MUC|YVR|YZP|
YZP|NAV,|NAV|IST|MUC|YVR|YZP|
YZP|NCE,|NCE|IST|MUC|YVR|YZP|
YZP|NIM,|NIM|IST|MUC|YVR|YZP|
YZP|NJF,|NJF|IST|MUC|YVR|YZP|
YZP|NSI,|NSI|IST|MUC|YVR|YZP|
YZP|NUE,|NUE|IST|MUC|YVR|YZP|
YZP|ODS,|ODS|IST|MUC|YVR|YZP|
YZP|ORN,|ORN|IST|MUC|YVR|YZP|
YZP|OTP,|OTP|IST|MUC|YVR|YZP|
YZP|PRG,|PRG|BRU|YUL|YVR|YZP|
YZP|PRN,|PRN|IST|MUC|YVR|YZP|
YZP|RIX,|RIX|IST|MUC|YVR|YZP|
YZP|ROV,|ROV|IST|MUC|YVR|YZP|
YZP|RTM,|RTM|IST|MUC|YVR|YZP|
YZP|RUH,|RUH|IST|MUC|YVR|YZP|
YZP|SAH,|SAH|IST|MUC|YVR|YZP|
YZP|SJJ,|SJJ|IST|MUC|YVR|YZP|
YZP|SKG,|SKG|IST|MUC|YVR|YZP|
YZP|SKP,|SKP|IST|MUC|YVR|YZP|
YZP|SSH,|SSH|IST|MUC|YVR|YZP|
YZP|STR,|STR|EWR|YVR|YZP|
YZP|SVX,|SVX|IST|MUC|YVR|YZP|
YZP|SYZ,|SYZ|IST|MUC|YVR|YZP|
YZP|SZG,|SZG|IST|MUC|YVR|YZP|
YZP|TBZ,|TBZ|IST|MUC|YVR|YZP|
YZP|TGD,|TGD|IST|MUC|YVR|YZP|
YZP|TIA,|TIA|IST|MUC|YVR|YZP|
