KIV|BRU,|BRU|IST|KIV|
KIV|VRA,|VRA|YUL|FRA|IST|KIV|
KIV|YBC,|YBC|YUL|FRA|IST|KIV|
KIV|YBG,|YBG|YUL|FRA|IST|KIV|
KIV|YTZ,|YTZ|YUL|FRA|IST|KIV|
KIV|YUY,|YUY|YUL|FRA|IST|KIV|
KIV|YVO,|YVO|YUL|FRA|IST|KIV|
KIV|ZBF,|ZBF|YUL|FRA|IST|KIV|
KIV|ZRH,|ZRH|IST|KIV|
KIV|ZSA,|ZSA|YUL|FRA|IST|KIV|
KIV|AKL,|AKL|BKK|IST|KIV|
KIV|HKG,|HKG|IST|KIV|
KIV|HND,|HND|YVR|MUC|IST|KIV|
KIV|HNL,|HNL|YVR|MUC|IST|KIV|
KIV|MEX,|MEX|IAD|IST|KIV|
KIV|OGG,|OGG|YVR|MUC|IST|KIV|
KIV|PDX,|PDX|SEA|FRA|IST|KIV|
KIV|PEK,|PEK|IST|KIV|
KIV|PVG,|PVG|IST|KIV|
KIV|PVR,|PVR|ORD|IST|KIV|
KIV|SEA,|SEA|FRA|IST|KIV|
KIV|SYD,|SYD|BKK|IST|KIV|
KIV|YBL,|YBL|YVR|MUC|IST|KIV|
KIV|YCD,|YCD|YVR|MUC|IST|KIV|
KIV|YCG,|YCG|YYC|FRA|IST|KIV|
KIV|YKA,|YKA|YYC|FRA|IST|KIV|
KIV|YPR,|YPR|YVR|MUC|IST|KIV|
KIV|YQZ,|YQZ|YVR|MUC|IST|KIV|
KIV|YXC,|YXC|YYC|FRA|IST|KIV|
KIV|YXJ,|YXJ|YYC|FRA|IST|KIV|
KIV|YXS,|YXS|YYC|FRA|IST|KIV|
KIV|YXT,|YXT|YVR|MUC|IST|KIV|
KIV|YXY,|YXY|YVR|MUC|IST|KIV|
KIV|YYD,|YYD|YVR|MUC|IST|KIV|
KIV|YYF,|YYF|YVR|MUC|IST|KIV|
KIV|YZP,|YZP|YVR|MUC|IST|KIV|
KIV|YQT,|YQT|YYZ|IST|KIV|
KIV|SJD,|SJD|ORD|IST|KIV|
KIV|YQF,|YQF|YYC|FRA|IST|KIV|
KIV|YQL,|YQL|YYC|FRA|IST|KIV|
KIV|YXH,|YXH|YYC|FRA|IST|KIV|
KIV|YWK,|YWK|YYR|YYT|LHR|IST|KIV|
KIV|ANU,|ANU|EWR|BHX|IST|KIV|
KIV|AUA,|AUA|EWR|BHX|IST|KIV|
KIV|AUH,|AUH|IST|KIV|
KIV|BCN,|BCN|IST|KIV|
KIV|BDA,|BDA|EWR|BHX|IST|KIV|
KIV|BGI,|BGI|YYZ|IST|KIV|
KIV|BNA,|BNA|YYZ|IST|KIV|
KIV|BOG,|BOG|MIA|ZRH|IST|KIV|
KIV|BWI,|BWI|EWR|BHX|IST|KIV|
KIV|CLE,|CLE|YYZ|IST|KIV|
KIV|CLT,|CLT|EWR|BHX|IST|KIV|
KIV|CMH,|CMH|YYZ|IST|KIV|
KIV|CVG,|CVG|YYZ|IST|KIV|
KIV|DFW,|DFW|ORD|IST|KIV|
KIV|DTW,|DTW|FRA|IST|KIV|
KIV|DUB,|DUB|IST|KIV|
KIV|FCO,|FCO|IST|KIV|
KIV|GCM,|GCM|EWR|BHX|IST|KIV|
KIV|GGT,|GGT|FLL|MCO|FRA|IST|KIV|
KIV|GND,|GND|YYZ|IST|KIV|
KIV|GRU,|GRU|IST|KIV|
KIV|HAV,|HAV|YYZ|IST|KIV|
KIV|IND,|IND|YYZ|IST|KIV|
KIV|JFK,|JFK|IST|KIV|
KIV|KIN,|KIN|YYZ|IST|KIV|
KIV|LIM,|LIM|MIA|ZRH|IST|KIV|
KIV|LIR,|LIR|EWR|BHX|IST|KIV|
KIV|MCI,|MCI|ORD|IST|KIV|
KIV|MDT,|MDT|IAD|IST|KIV|
KIV|MIA,|MIA|ZRH|IST|KIV|
KIV|MKE,|MKE|YYZ|IST|KIV|
KIV|MSP,|MSP|YUL|FRA|IST|KIV|
KIV|NAS,|NAS|EWR|BHX|IST|KIV|
KIV|PHL,|PHL|IAD|IST|KIV|
KIV|PHX,|PHX|DEN|FRA|IST|KIV|
KIV|PIT,|PIT|YYZ|IST|KIV|
KIV|PLS,|PLS|EWR|BHX|IST|KIV|
KIV|POP,|POP|EWR|BHX|IST|KIV|
KIV|RDU,|RDU|EWR|BHX|IST|KIV|
KIV|ROC,|ROC|YYZ|IST|KIV|
KIV|RSW,|RSW|MCO|FRA|IST|KIV|
KIV|SAN,|SAN|LAX|IST|KIV|
KIV|SJO,|SJO|EWR|BHX|IST|KIV|
KIV|STL,|STL|ORD|IST|KIV|
KIV|SYR,|SYR|EWR|BHX|IST|KIV|
KIV|TLV,|TLV|IST|KIV|
KIV|TPA,|TPA|EWR|BHX|IST|KIV|
KIV|UVF,|UVF|EWR|BHX|IST|KIV|
KIV|VIE,|VIE|IST|KIV|
KIV|YAM,|YAM|YYZ|IST|KIV|
KIV|YGK,|YGK|YYZ|IST|KIV|
KIV|YQG,|YQG|YYZ|IST|KIV|
KIV|YSB,|YSB|YYZ|IST|KIV|
KIV|YTS,|YTS|YYZ|IST|KIV|
KIV|YYB,|YYB|YYZ|IST|KIV|
KIV|YZR,|YZR|YYZ|IST|KIV|
KIV|CAN,|CAN|IST|KIV|
KIV|URC,|URC|IST|KIV|
KIV|CTU,|CTU|URC|IST|KIV|
KIV|HGH,|HGH|URC|IST|KIV|
KIV|XMN,|XMN|CSX|URC|IST|KIV|
KIV|CGO,|CGO|URC|IST|KIV|
KIV|CSX,|CSX|URC|IST|KIV|
KIV|SHE,|SHE|PEK|IST|KIV|
KIV|SJW,|SJW|URC|IST|KIV|
KIV|WUH,|WUH|URC|IST|KIV|
KIV|SZX,|SZX|CKG|URC|IST|KIV|
KIV|CKG,|CKG|URC|IST|KIV|
KIV|KMG,|KMG|CTU|URC|IST|KIV|
KIV|FOC,|FOC|XIY|URC|IST|KIV|
KIV|NNG,|NNG|KWE|URC|IST|KIV|
KIV|SWA,|SWA|CAN|IST|KIV|
KIV|ACX,|ACX|CAN|IST|KIV|
KIV|AQG,|AQG|CAN|IST|KIV|
KIV|AVA,|AVA|CAN|IST|KIV|
KIV|BFJ,|BFJ|CAN|IST|KIV|
KIV|BHY,|BHY|CKG|URC|IST|KIV|
KIV|BNE,|BNE|BKK|IST|KIV|
KIV|CGD,|CGD|PEK|IST|KIV|
KIV|CGK,|CGK|SIN|IST|KIV|
KIV|CGQ,|CGQ|HET|URC|IST|KIV|
KIV|CIH,|CIH|PEK|IST|KIV|
KIV|CNX,|CNX|CAN|IST|KIV|
KIV|CZX,|CZX|TYN|URC|IST|KIV|
KIV|DAC,|DAC|IST|KIV|
KIV|DAD,|DAD|CAN|IST|KIV|
KIV|DEL,|DEL|IST|KIV|
KIV|DIG,|DIG|KMG|CTU|URC|IST|KIV|
KIV|DLC,|DLC|PEK|IST|KIV|
KIV|DPS,|DPS|CAN|IST|KIV|
KIV|DXB,|DXB|IST|KIV|
KIV|DYG,|DYG|CSX|URC|IST|KIV|
KIV|FUG,|FUG|CAN|IST|KIV|
KIV|FUK,|FUK|ICN|IST|KIV|
KIV|HAK,|HAK|CTU|URC|IST|KIV|
KIV|HAN,|HAN|CAN|IST|KIV|
KIV|HDG,|HDG|CAN|IST|KIV|
KIV|HET,|HET|URC|IST|KIV|
KIV|HFE,|HFE|XIY|URC|IST|KIV|
KIV|HJJ,|HJJ|CSX|URC|IST|KIV|
KIV|HKT,|HKT|KWE|URC|IST|KIV|
KIV|HRB,|HRB|PEK|IST|KIV|
KIV|HZH,|HZH|CAN|IST|KIV|
KIV|JIU,|JIU|CAN|IST|KIV|
KIV|JJN,|JJN|CSX|URC|IST|KIV|
KIV|JNG,|JNG|CAN|IST|KIV|
KIV|KHN,|KHN|XIY|URC|IST|KIV|
KIV|KIX,|KIX|IST|KIV|
KIV|KOW,|KOW|CAN|IST|KIV|
KIV|KTM,|KTM|IST|KIV|
KIV|KUL,|KUL|IST|KIV|
KIV|KWE,|KWE|URC|IST|KIV|
KIV|KWL,|KWL|CKG|URC|IST|KIV|
KIV|LHW,|LHW|URC|IST|KIV|
KIV|LYA,|LYA|KHN|XIY|URC|IST|KIV|
KIV|LYG,|LYG|XUZ|INC|URC|IST|KIV|
KIV|LZH,|LZH|CAN|IST|KIV|
KIV|MEL,|MEL|BKK|IST|KIV|
KIV|MIG,|MIG|CSX|URC|IST|KIV|
KIV|MLE,|MLE|IST|KIV|
KIV|MNL,|MNL|CAN|IST|KIV|
KIV|MXZ,|MXZ|CAN|IST|KIV|
KIV|NAO,|NAO|PEK|IST|KIV|
KIV|NGB,|NGB|WUH|URC|IST|KIV|
KIV|NKG,|NKG|URC|IST|KIV|
KIV|NNY,|NNY|CGO|URC|IST|KIV|
KIV|PEN,|PEN|CAN|IST|KIV|
KIV|PER,|PER|BKK|IST|KIV|
KIV|PNH,|PNH|CAN|IST|KIV|
KIV|REP,|REP|CAN|IST|KIV|
KIV|RGN,|RGN|CAN|IST|KIV|
KIV|SGN,|SGN|BKK|IST|KIV|
KIV|SHA,|SHA|URC|IST|KIV|
KIV|SIN,|SIN|IST|KIV|
KIV|SVO,|SVO|URC|IST|KIV|
KIV|SYX,|SYX|CKG|URC|IST|KIV|
KIV|TAO,|TAO|TYN|URC|IST|KIV|
KIV|TEN,|TEN|CAN|IST|KIV|
KIV|TNA,|TNA|URC|IST|KIV|
KIV|TPE,|TPE|URC|IST|KIV|
KIV|TSN,|TSN|HET|URC|IST|KIV|
KIV|TXN,|TXN|TYN|URC|IST|KIV|
KIV|TYN,|TYN|URC|IST|KIV|
KIV|WNZ,|WNZ|XIY|URC|IST|KIV|
KIV|WUX,|WUX|CAN|IST|KIV|
KIV|XFN,|XFN|CAN|IST|KIV|
KIV|XIY,|XIY|URC|IST|KIV|
KIV|XUZ,|XUZ|INC|URC|IST|KIV|
KIV|YIH,|YIH|CKG|URC|IST|KIV|
KIV|YIW,|YIW|URC|IST|KIV|
KIV|YNT,|YNT|SHE|PEK|IST|KIV|
KIV|YNZ,|YNZ|WUH|URC|IST|KIV|
KIV|YTY,|YTY|CGO|URC|IST|KIV|
KIV|ZHA,|ZHA|CAN|IST|KIV|
KIV|ZYI,|ZYI|CAN|IST|KIV|
KIV|BAV,|BAV|URC|IST|KIV|
KIV|CJU,|CJU|DLC|PEK|IST|KIV|
KIV|DSN,|DSN|CGO|URC|IST|KIV|
KIV|HMI,|HMI|URC|IST|KIV|
KIV|INC,|INC|URC|IST|KIV|
KIV|KHH,|KHH|WUH|URC|IST|KIV|
KIV|UYN,|UYN|XIY|URC|IST|KIV|
KIV|XNN,|XNN|URC|IST|KIV|
KIV|ZUH,|ZUH|KWE|URC|IST|KIV|
KIV|YNJ,|YNJ|PEK|IST|KIV|
KIV|DAT,|DAT|TYN|URC|IST|KIV|
KIV|JHG,|JHG|KMG|CTU|URC|IST|KIV|
KIV|LJG,|LJG|KMG|CTU|URC|IST|KIV|
KIV|LXA,|LXA|CKG|URC|IST|KIV|
KIV|YCU,|YCU|CKG|URC|IST|KIV|
KIV|LZO,|LZO|CSX|URC|IST|KIV|
KIV|MDG,|MDG|DLC|PEK|IST|KIV|
KIV|NGO,|NGO|ICN|IST|KIV|
KIV|TOY,|TOY|DLC|PEK|IST|KIV|
KIV|MFM,|MFM|XMN|CSX|URC|IST|KIV|
KIV|TGO,|TGO|HET|URC|IST|KIV|
KIV|XIL,|XIL|HET|URC|IST|KIV|
KIV|HEK,|HEK|HRB|PEK|IST|KIV|
KIV|KIJ,|KIJ|HRB|PEK|IST|KIV|
KIV|LDS,|LDS|HRB|PEK|IST|KIV|
KIV|OHE,|OHE|HRB|PEK|IST|KIV|
KIV|HSN,|HSN|LYG|XUZ|INC|URC|IST|KIV|
KIV|DLU,|DLU|KMG|CTU|URC|IST|KIV|
KIV|SYM,|SYM|KMG|CTU|URC|IST|KIV|
KIV|ZAT,|ZAT|KMG|CTU|URC|IST|KIV|
KIV|LUN,|LUN|NBO|IST|KIV|
KIV|AOG,|AOG|PEK|IST|KIV|
KIV|GMP,|GMP|PEK|IST|KIV|
KIV|ISB,|ISB|IST|KIV|
KIV|TAS,|TAS|IST|KIV|
KIV|WUS,|WUS|PEK|IST|KIV|
KIV|JMU,|JMU|PVG|IST|KIV|
KIV|NDG,|NDG|PVG|IST|KIV|
KIV|JXA,|JXA|SHE|PEK|IST|KIV|
KIV|PUS,|PUS|SHE|PEK|IST|KIV|
KIV|BKI,|BKI|SZX|CKG|URC|IST|KIV|
KIV|AKU,|AKU|URC|IST|KIV|
KIV|ALA,|ALA|IST|KIV|
KIV|ASB,|ASB|IST|KIV|
KIV|DNH,|DNH|URC|IST|KIV|
KIV|DYU,|DYU|IST|KIV|
KIV|FRU,|FRU|IST|KIV|
KIV|GYD,|GYD|IST|KIV|
KIV|HTN,|HTN|URC|IST|KIV|
KIV|IKA,|IKA|IST|KIV|
KIV|KCA,|KCA|URC|IST|KIV|
KIV|KHG,|KHG|URC|IST|KIV|
KIV|KRL,|KRL|URC|IST|KIV|
KIV|KRY,|KRY|URC|IST|KIV|
KIV|LBD,|LBD|URC|IST|KIV|
KIV|NLT,|NLT|URC|IST|KIV|
KIV|OSS,|OSS|IST|KIV|
KIV|OVB,|OVB|IST|KIV|
KIV|TBS,|TBS|IST|KIV|
KIV|TCG,|TCG|URC|IST|KIV|
KIV|TSE,|TSE|IST|KIV|
KIV|YIN,|YIN|URC|IST|KIV|
KIV|ENH,|ENH|WUH|URC|IST|KIV|
KIV|ENY,|ENY|XIY|URC|IST|KIV|
KIV|WXN,|WXN|XIY|URC|IST|KIV|
KIV|BLL,|BLL|IST|KIV|
KIV|ESB,|ESB|IST|KIV|
KIV|SAW,|SAW|ADB|IST|KIV|
KIV|HAM,|HAM|IST|KIV|
KIV|HRE,|HRE|ADD|IST|KIV|
KIV|JUB,|JUB|CAI|IST|KIV|
KIV|SSG,|SSG|DLA|IST|KIV|
KIV|BGW,|BGW|IST|KIV|
KIV|EBL,|EBL|IST|KIV|
KIV|VKO,|VKO|IST|KIV|
KIV|MCT,|MCT|IST|KIV|
KIV|AYT,|AYT|IST|KIV|
KIV|SCQ,|SCQ|BIO|IST|KIV|
KIV|AAL,|AAL|IST|KIV|
KIV|AOE,|AOE|BRU|IST|KIV|
KIV|JNB,|JNB|IST|KIV|
KIV|LBV,|LBV|DLA|IST|KIV|
KIV|ADA,|ADA|IST|KIV|
KIV|ADB,|ADB|IST|KIV|
KIV|ADF,|ADF|IST|KIV|
KIV|AJI,|AJI|IST|KIV|
KIV|BAL,|BAL|IST|KIV|
KIV|BJV,|BJV|IST|KIV|
KIV|CKZ,|CKZ|ESB|IST|KIV|
KIV|DIY,|DIY|IST|KIV|
KIV|ECN,|ECN|IST|KIV|
KIV|ERC,|ERC|IST|KIV|
KIV|ERZ,|ERZ|IST|KIV|
KIV|EZS,|EZS|IST|KIV|
KIV|GNY,|GNY|IST|KIV|
KIV|GZP,|GZP|ESB|IST|KIV|
KIV|GZT,|GZT|IST|KIV|
KIV|HTY,|HTY|IST|KIV|
KIV|KCM,|KCM|IST|KIV|
KIV|KSY,|KSY|IST|KIV|
KIV|MLX,|MLX|IST|KIV|
KIV|MQM,|MQM|IST|KIV|
KIV|MSR,|MSR|IST|KIV|
KIV|TEQ,|TEQ|ESB|IST|KIV|
KIV|TZX,|TZX|IST|KIV|
KIV|VAN,|VAN|IST|KIV|
KIV|ULN,|ULN|FRU|IST|KIV|
KIV|HIJ,|HIJ|ICN|IST|KIV|
KIV|VVO,|VVO|ICN|IST|KIV|
KIV|ACC,|ACC|IST|KIV|
KIV|AER,|AER|IST|KIV|
KIV|AGP,|AGP|IST|KIV|
KIV|ALG,|ALG|IST|KIV|
KIV|AMM,|AMM|IST|KIV|
KIV|AQJ,|AQJ|IST|KIV|
KIV|ARN,|ARN|IST|KIV|
KIV|ASR,|ASR|IST|KIV|
KIV|ATH,|ATH|IST|KIV|
KIV|BAH,|BAH|IST|KIV|
KIV|BEG,|BEG|IST|KIV|
KIV|BEN,|BEN|IST|KIV|
KIV|BEY,|BEY|IST|KIV|
KIV|BHX,|BHX|IST|KIV|
KIV|BIO,|BIO|IST|KIV|
KIV|BLQ,|BLQ|IST|KIV|
KIV|BOM,|BOM|IST|KIV|
KIV|BRE,|BRE|IST|KIV|
KIV|BSL,|BSL|IST|KIV|
KIV|BSR,|BSR|IST|KIV|
KIV|BUD,|BUD|IST|KIV|
KIV|BUS,|BUS|IST|KIV|
KIV|CAI,|CAI|IST|KIV|
KIV|CGN,|CGN|IST|KIV|
KIV|CMN,|CMN|IST|KIV|
KIV|CND,|CND|IST|KIV|
KIV|DAR,|DAR|IST|KIV|
KIV|DLM,|DLM|IST|KIV|
KIV|DMM,|DMM|IST|KIV|
KIV|DNK,|DNK|IST|KIV|
KIV|DNZ,|DNZ|IST|KIV|
KIV|DOK,|DOK|IST|KIV|
KIV|DUS,|DUS|IST|KIV|
KIV|EDI,|EDI|IST|KIV|
KIV|ELQ,|ELQ|IST|KIV|
KIV|FDH,|FDH|IST|KIV|
KIV|GOA,|GOA|IST|KIV|
KIV|GOT,|GOT|IST|KIV|
KIV|HAJ,|HAJ|IST|KIV|
KIV|HBE,|HBE|IST|KIV|
KIV|HEL,|HEL|IST|KIV|
KIV|HRG,|HRG|IST|KIV|
KIV|IFN,|IFN|IST|KIV|
KIV|ISE,|ISE|IST|KIV|
KIV|ISU,|ISU|IST|KIV|
KIV|JIB,|JIB|IST|KIV|
KIV|JRO,|JRO|IST|KIV|
KIV|KAN,|KAN|IST|KIV|
KIV|KBL,|KBL|IST|KIV|
KIV|KBP,|KBP|IST|KIV|
KIV|KFS,|KFS|IST|KIV|
KIV|KHI,|KHI|IST|KIV|
KIV|KRT,|KRT|IST|KIV|
KIV|KSH,|KSH|IST|KIV|
KIV|KVD,|KVD|IST|KIV|
KIV|KWI,|KWI|IST|KIV|
KIV|KYA,|KYA|IST|KIV|
KIV|KZN,|KZN|IST|KIV|
KIV|KZR,|KZR|IST|KIV|
KIV|LED,|LED|IST|KIV|
KIV|LEJ,|LEJ|IST|KIV|
KIV|LGW,|LGW|IST|KIV|
KIV|LHE,|LHE|IST|KIV|
KIV|LIS,|LIS|IST|KIV|
KIV|LJU,|LJU|IST|KIV|
KIV|LOS,|LOS|IST|KIV|
KIV|LUX,|LUX|IST|KIV|
KIV|LWO,|LWO|IST|KIV|
KIV|LYS,|LYS|IST|KIV|
KIV|MAD,|MAD|IST|KIV|
KIV|MAN,|MAN|IST|KIV|
KIV|MED,|MED|IST|KIV|
KIV|MHD,|MHD|IST|KIV|
KIV|MLA,|MLA|IST|KIV|
KIV|MRS,|MRS|IST|KIV|
KIV|MSQ,|MSQ|IST|KIV|
KIV|MXP,|MXP|IST|KIV|
KIV|MZH,|MZH|IST|KIV|
KIV|MZR,|MZR|IST|KIV|
KIV|NAJ,|NAJ|IST|KIV|
KIV|NAV,|NAV|IST|KIV|
KIV|NCE,|NCE|IST|KIV|
KIV|NIM,|NIM|IST|KIV|
KIV|NJF,|NJF|IST|KIV|
KIV|NSI,|NSI|IST|KIV|
KIV|NUE,|NUE|IST|KIV|
KIV|ODS,|ODS|IST|KIV|
KIV|ORN,|ORN|IST|KIV|
KIV|OTP,|OTP|IST|KIV|
KIV|PRG,|PRG|IST|KIV|
KIV|PRN,|PRN|IST|KIV|
KIV|RIX,|RIX|IST|KIV|
KIV|ROV,|ROV|IST|KIV|
KIV|RTM,|RTM|IST|KIV|
KIV|RUH,|RUH|IST|KIV|
KIV|SAH,|SAH|IST|KIV|
KIV|SJJ,|SJJ|IST|KIV|
KIV|SKG,|SKG|IST|KIV|
KIV|SKP,|SKP|IST|KIV|
KIV|SSH,|SSH|IST|KIV|
KIV|STR,|STR|IST|KIV|
KIV|SVX,|SVX|IST|KIV|
KIV|SYZ,|SYZ|IST|KIV|
KIV|SZG,|SZG|IST|KIV|
KIV|TBZ,|TBZ|IST|KIV|
KIV|TGD,|TGD|IST|KIV|
KIV|TIA,|TIA|IST|KIV|
KIV|TIF,|TIF|IST|KIV|
KIV|TIP,|TIP|IST|KIV|
KIV|TLL,|TLL|IST|KIV|
KIV|TLS,|TLS|IST|KIV|
KIV|TRN,|TRN|IST|KIV|
KIV|TUN,|TUN|IST|KIV|
KIV|TXL,|TXL|IST|KIV|
KIV|UFA,|UFA|IST|KIV|
KIV|VAS,|VAS|IST|KIV|
KIV|VCE,|VCE|IST|KIV|
KIV|YNB,|YNB|IST|KIV|
KIV|ZAG,|ZAG|IST|KIV|
KIV|MGQ,|MGQ|JIB|IST|KIV|
KIV|CPT,|CPT|JNB|IST|KIV|
KIV|MBA,|MBA|JRO|IST|KIV|
KIV|NDJ,|NDJ|KAN|IST|KIV|
KIV|CMB,|CMB|MLE|IST|KIV|
KIV|ADE,|ADE|SAH|IST|KIV|
KIV|ASF,|ASF|SAW|ADB|IST|KIV|
KIV|STW,|STW|SAW|ADB|IST|KIV|
KIV|LFW,|LFW|ABJ|OUA|NIM|IST|KIV|
KIV|CEC,|CEC|ACV|SMF|SEA|FRA|IST|KIV|
KIV|SMF,|SMF|SEA|FRA|IST|KIV|
KIV|CDR,|CDR|AIA|DEN|FRA|IST|KIV|
KIV|FMN,|FMN|DEN|FRA|IST|KIV|
KIV|JST,|JST|IAD|IST|KIV|
KIV|JHW,|JHW|CLE|YYZ|IST|KIV|
KIV|SHD,|SHD|IAD|IST|KIV|
KIV|PTY,|PTY|MIA|ZRH|IST|KIV|
KIV|FNA,|FNA|BRU|IST|KIV|
KIV|SXB,|SXB|BRU|IST|KIV|
KIV|ACV,|ACV|SMF|SEA|FRA|IST|KIV|
KIV|MGW,|MGW|IAD|IST|KIV|
KIV|ALB,|ALB|EWR|BHX|IST|KIV|
KIV|AUS,|AUS|ORD|IST|KIV|
KIV|BFD,|BFD|CLE|YYZ|IST|KIV|
KIV|BUF,|BUF|EWR|BHX|IST|KIV|
KIV|CHS,|CHS|EWR|BHX|IST|KIV|
KIV|DAY,|DAY|CLE|YYZ|IST|KIV|
KIV|DUJ,|DUJ|CLE|YYZ|IST|KIV|
KIV|ERI,|ERI|CLE|YYZ|IST|KIV|
KIV|FKL,|FKL|CLE|YYZ|IST|KIV|
KIV|FNT,|FNT|CLE|YYZ|IST|KIV|
KIV|GRR,|GRR|CLE|YYZ|IST|KIV|
KIV|GSP,|GSP|EWR|BHX|IST|KIV|
KIV|PBI,|PBI|EWR|BHX|IST|KIV|
KIV|PKB,|PKB|CLE|YYZ|IST|KIV|
KIV|RIC,|RIC|EWR|BHX|IST|KIV|
KIV|SDF,|SDF|CLE|YYZ|IST|KIV|
KIV|GUM,|GUM|FUK|ICN|IST|KIV|
KIV|WRL,|WRL|CYS|DEN|FRA|IST|KIV|
KIV|LBL,|KIV|
