YQY|BRU,|BRU|YUL|YHZ|YQY|
YQY|OGG,|OGG|SFO|YUL|YHZ|YQY|
YQY|PDX,|PDX|YYC|YHZ|YQY|
YQY|PEK,|PEK|YYZ|YQY|
YQY|PVG,|PVG|YYZ|YQY|
YQY|PVR,|PVR|EWR|YHZ|YQY|
YQY|SEA,|SEA|YYZ|YQY|
YQY|SYD,|SYD|LAX|YYZ|YQY|
YQY|YBL,|YBL|YVR|YYC|YHZ|YQY|
YQY|YCD,|YCD|YYC|YHZ|YQY|
YQY|YCG,|YCG|YYC|YHZ|YQY|
YQY|YKA,|YKA|YYC|YHZ|YQY|
YQY|YPR,|YPR|YVR|YYC|YHZ|YQY|
YQY|YQZ,|YQZ|YVR|YYC|YHZ|YQY|
YQY|YXC,|YXC|YYC|YHZ|YQY|
YQY|YXJ,|YXJ|YYC|YHZ|YQY|
YQY|YXS,|YXS|YYC|YHZ|YQY|
YQY|YXT,|YXT|YVR|YYC|YHZ|YQY|
YQY|YXY,|YXY|YVR|YYC|YHZ|YQY|
YQY|YYD,|YYD|YVR|YYC|YHZ|YQY|
YQY|YYF,|YYF|YVR|YYC|YHZ|YQY|
YQY|YZP,|YZP|YVR|YYC|YHZ|YQY|
YQY|YQT,|YQT|YYZ|YQY|
YQY|SJD,|SJD|EWR|YHZ|YQY|
YQY|YQF,|YQF|YYC|YHZ|YQY|
YQY|YQL,|YQL|YYC|YHZ|YQY|
YQY|YXH,|YXH|YYC|YHZ|YQY|
YQY|YWK,|YWK|YYR|YHZ|YQY|
YQY|ANU,|ANU|EWR|YHZ|YQY|
YQY|AUA,|AUA|EWR|YHZ|YQY|
YQY|AUH,|AUH|IST|LHR|YHZ|YQY|
YQY|BCN,|BCN|EWR|YHZ|YQY|
YQY|BDA,|BDA|EWR|YHZ|YQY|
YQY|BGI,|BGI|YYZ|YQY|
YQY|BNA,|BNA|BOS|YHZ|YQY|
YQY|BOG,|BOG|EWR|YHZ|YQY|
YQY|BWI,|BWI|EWR|YHZ|YQY|
YQY|CLE,|CLE|YYZ|YQY|
YQY|CLT,|CLT|EWR|YHZ|YQY|
YQY|CMH,|CMH|EWR|YHZ|YQY|
YQY|CVG,|CVG|EWR|YHZ|YQY|
YQY|DFW,|DFW|YYZ|YQY|
YQY|DTW,|DTW|YYZ|YQY|
YQY|DUB,|DUB|BOS|YHZ|YQY|
YQY|FCO,|FCO|EWR|YHZ|YQY|
YQY|GCM,|GCM|EWR|YHZ|YQY|
YQY|GGT,|GGT|FLL|MCO|YHZ|YQY|
YQY|GND,|GND|YYZ|YQY|
YQY|GRU,|GRU|EWR|YHZ|YQY|
YQY|HAV,|HAV|YYZ|YQY|
YQY|IND,|IND|YYZ|YQY|
YQY|JFK,|JFK|YUL|YHZ|YQY|
YQY|KIN,|KIN|YYZ|YQY|
YQY|LIM,|LIM|EWR|YHZ|YQY|
YQY|LIR,|LIR|EWR|YHZ|YQY|
YQY|MCI,|MCI|YYZ|YQY|
YQY|MDT,|MDT|IAD|LGA|YHZ|YQY|
YQY|MIA,|MIA|EWR|YHZ|YQY|
YQY|MKE,|MKE|YYZ|YQY|
YQY|MSP,|MSP|YUL|YHZ|YQY|
YQY|NAS,|NAS|EWR|YHZ|YQY|
YQY|PHL,|PHL|IAD|LGA|YHZ|YQY|
YQY|PHX,|PHX|YYZ|YQY|
YQY|PIT,|PIT|EWR|YHZ|YQY|
YQY|PLS,|PLS|EWR|YHZ|YQY|
YQY|POP,|POP|EWR|YHZ|YQY|
YQY|RDU,|RDU|EWR|YHZ|YQY|
YQY|ROC,|ROC|EWR|YHZ|YQY|
YQY|RSW,|RSW|MCO|YHZ|YQY|
YQY|SAN,|SAN|YYZ|YQY|
YQY|SJO,|SJO|EWR|YHZ|YQY|
YQY|STL,|STL|YYZ|YQY|
YQY|SYR,|SYR|EWR|YHZ|YQY|
YQY|TLV,|TLV|IST|LHR|YHZ|YQY|
YQY|TPA,|TPA|EWR|YHZ|YQY|
YQY|UVF,|UVF|EWR|YHZ|YQY|
YQY|VIE,|VIE|JFK|YUL|YHZ|YQY|
YQY|YAM,|YAM|YYZ|YQY|
YQY|YGK,|YGK|YYZ|YQY|
YQY|YQG,|YQG|YYZ|YQY|
YQY|YSB,|YSB|YYZ|YQY|
YQY|YTS,|YTS|YYZ|YQY|
YQY|YYB,|YYB|YYZ|YQY|
YQY|YZR,|YZR|YYZ|YQY|
YQY|CAN,|CAN|PEK|YYZ|YQY|
YQY|URC,|URC|IST|LHR|YHZ|YQY|
YQY|CTU,|CTU|PEK|YYZ|YQY|
YQY|HGH,|HGH|PEK|YYZ|YQY|
YQY|XMN,|XMN|PEK|YYZ|YQY|
YQY|CGO,|CGO|PEK|YYZ|YQY|
YQY|CSX,|CSX|PEK|YYZ|YQY|
YQY|SHE,|SHE|PEK|YYZ|YQY|
YQY|SJW,|SJW|DLC|PEK|YYZ|YQY|
YQY|WUH,|WUH|PEK|YYZ|YQY|
YQY|SZX,|SZX|PEK|YYZ|YQY|
YQY|CKG,|CKG|PEK|YYZ|YQY|
YQY|KMG,|KMG|PEK|YYZ|YQY|
YQY|FOC,|FOC|PEK|YYZ|YQY|
YQY|NNG,|NNG|PEK|YYZ|YQY|
YQY|SWA,|SWA|PEK|YYZ|YQY|
YQY|ACX,|ACX|CAN|PEK|YYZ|YQY|
YQY|AQG,|AQG|CAN|PEK|YYZ|YQY|
YQY|AVA,|AVA|CAN|PEK|YYZ|YQY|
YQY|BFJ,|BFJ|CAN|PEK|YYZ|YQY|
YQY|BHY,|BHY|CGO|PEK|YYZ|YQY|
YQY|BNE,|BNE|CAN|PEK|YYZ|YQY|
YQY|CGD,|CGD|PEK|YYZ|YQY|
YQY|CGK,|CGK|SIN|IST|LHR|YHZ|YQY|
YQY|CGQ,|CGQ|PEK|YYZ|YQY|
YQY|CIH,|CIH|PEK|YYZ|YQY|
YQY|CNX,|CNX|CAN|PEK|YYZ|YQY|
YQY|CZX,|CZX|SHE|PEK|YYZ|YQY|
YQY|DAC,|DAC|IST|LHR|YHZ|YQY|
YQY|DAD,|DAD|CAN|PEK|YYZ|YQY|
YQY|DEL,|DEL|IST|LHR|YHZ|YQY|
YQY|DIG,|DIG|KMG|PEK|YYZ|YQY|
YQY|DLC,|DLC|PEK|YYZ|YQY|
YQY|DPS,|DPS|SZX|PEK|YYZ|YQY|
YQY|DXB,|DXB|IST|LHR|YHZ|YQY|
YQY|DYG,|DYG|PEK|YYZ|YQY|
YQY|FUG,|FUG|CAN|PEK|YYZ|YQY|
YQY|FUK,|FUK|ICN|JFK|YUL|YHZ|YQY|
YQY|HAK,|HAK|PEK|YYZ|YQY|
YQY|HAN,|HAN|PEK|YYZ|YQY|
YQY|HDG,|HDG|CAN|PEK|YYZ|YQY|
YQY|HET,|HET|DLC|PEK|YYZ|YQY|
YQY|HFE,|HFE|XIY|PEK|YYZ|YQY|
YQY|HJJ,|HJJ|CSX|PEK|YYZ|YQY|
YQY|HKT,|HKT|KWE|PEK|YYZ|YQY|
YQY|HRB,|HRB|PEK|YYZ|YQY|
YQY|HZH,|HZH|CAN|PEK|YYZ|YQY|
YQY|JIU,|JIU|CAN|PEK|YYZ|YQY|
YQY|JJN,|JJN|PEK|YYZ|YQY|
YQY|JNG,|JNG|CAN|PEK|YYZ|YQY|
YQY|KHN,|KHN|DLC|PEK|YYZ|YQY|
YQY|KIX,|KIX|SFO|YUL|YHZ|YQY|
YQY|KOW,|KOW|PEK|YYZ|YQY|
YQY|KTM,|KTM|IST|LHR|YHZ|YQY|
YQY|KUL,|KUL|IST|LHR|YHZ|YQY|
YQY|KWE,|KWE|PEK|YYZ|YQY|
YQY|KWL,|KWL|PEK|YYZ|YQY|
YQY|LHW,|LHW|URC|IST|LHR|YHZ|YQY|
YQY|LYA,|LYA|KHN|DLC|PEK|YYZ|YQY|
YQY|LYG,|LYG|HSN|PEK|YYZ|YQY|
YQY|LZH,|LZH|CAN|PEK|YYZ|YQY|
YQY|MEL,|MEL|SYD|LAX|YYZ|YQY|
YQY|MIG,|MIG|CSX|PEK|YYZ|YQY|
YQY|MLE,|MLE|IST|LHR|YHZ|YQY|
YQY|MNL,|MNL|XMN|PEK|YYZ|YQY|
YQY|MXZ,|MXZ|CAN|PEK|YYZ|YQY|
YQY|NAO,|NAO|PEK|YYZ|YQY|
YQY|NGB,|NGB|PEK|YYZ|YQY|
YQY|NKG,|NKG|DLC|PEK|YYZ|YQY|
YQY|NNY,|NNY|CGO|PEK|YYZ|YQY|
YQY|PEN,|PEN|CAN|PEK|YYZ|YQY|
YQY|PER,|PER|CAN|PEK|YYZ|YQY|
YQY|PNH,|PNH|CAN|PEK|YYZ|YQY|
YQY|REP,|REP|CAN|PEK|YYZ|YQY|
YQY|RGN,|RGN|CAN|PEK|YYZ|YQY|
YQY|SGN,|SGN|CAN|PEK|YYZ|YQY|
YQY|SHA,|SHA|PEK|YYZ|YQY|
YQY|SIN,|SIN|IST|LHR|YHZ|YQY|
YQY|SVO,|SVO|URC|IST|LHR|YHZ|YQY|
YQY|SYX,|SYX|PEK|YYZ|YQY|
YQY|TAO,|TAO|DLC|PEK|YYZ|YQY|
YQY|TEN,|TEN|PEK|YYZ|YQY|
YQY|TNA,|TNA|DLC|PEK|YYZ|YQY|
YQY|TPE,|TPE|PVG|YYZ|YQY|
YQY|TSN,|TSN|DLC|PEK|YYZ|YQY|
YQY|TXN,|TXN|DLC|PEK|YYZ|YQY|
YQY|TYN,|TYN|DAT|CIH|PEK|YYZ|YQY|
YQY|WNZ,|WNZ|CGO|PEK|YYZ|YQY|
YQY|WUX,|WUX|CAN|PEK|YYZ|YQY|
YQY|XFN,|XFN|XMN|PEK|YYZ|YQY|
YQY|XIY,|XIY|PEK|YYZ|YQY|
YQY|XUZ,|XUZ|LYG|HSN|PEK|YYZ|YQY|
YQY|YIH,|YIH|CKG|PEK|YYZ|YQY|
YQY|YIW,|YIW|PEK|YYZ|YQY|
YQY|YNT,|YNT|SHE|PEK|YYZ|YQY|
YQY|YNZ,|YNZ|DLC|PEK|YYZ|YQY|
YQY|YTY,|YTY|DLC|PEK|YYZ|YQY|
YQY|ZHA,|ZHA|CAN|PEK|YYZ|YQY|
YQY|ZYI,|ZYI|PEK|YYZ|YQY|
YQY|BAV,|BAV|CGO|PEK|YYZ|YQY|
YQY|CJU,|CJU|DLC|PEK|YYZ|YQY|
YQY|DSN,|DSN|CGO|PEK|YYZ|YQY|
YQY|HMI,|HMI|URC|IST|LHR|YHZ|YQY|
YQY|INC,|INC|PEK|YYZ|YQY|
YQY|KHH,|KHH|CGO|PEK|YYZ|YQY|
YQY|UYN,|UYN|CGO|PEK|YYZ|YQY|
YQY|XNN,|XNN|PEK|YYZ|YQY|
YQY|ZUH,|ZUH|PEK|YYZ|YQY|
YQY|YNJ,|YNJ|PEK|YYZ|YQY|
YQY|DAT,|DAT|CIH|PEK|YYZ|YQY|
YQY|JHG,|JHG|CKG|PEK|YYZ|YQY|
YQY|LJG,|LJG|CKG|PEK|YYZ|YQY|
YQY|LXA,|LXA|XIY|PEK|YYZ|YQY|
YQY|YCU,|YCU|CSX|PEK|YYZ|YQY|
YQY|LZO,|LZO|CSX|PEK|YYZ|YQY|
YQY|MDG,|MDG|DLC|PEK|YYZ|YQY|
YQY|NGO,|NGO|ICN|JFK|YUL|YHZ|YQY|
YQY|TOY,|TOY|DLC|PEK|YYZ|YQY|
YQY|MFM,|MFM|XMN|PEK|YYZ|YQY|
YQY|TGO,|TGO|HET|DLC|PEK|YYZ|YQY|
YQY|XIL,|XIL|HET|DLC|PEK|YYZ|YQY|
YQY|HEK,|HEK|HRB|PEK|YYZ|YQY|
YQY|KIJ,|KIJ|HRB|PEK|YYZ|YQY|
YQY|LDS,|LDS|HRB|PEK|YYZ|YQY|
YQY|OHE,|OHE|HRB|PEK|YYZ|YQY|
YQY|HSN,|HSN|PEK|YYZ|YQY|
YQY|DLU,|DLU|KMG|PEK|YYZ|YQY|
YQY|SYM,|SYM|KMG|PEK|YYZ|YQY|
YQY|ZAT,|ZAT|KMG|PEK|YYZ|YQY|
YQY|LUN,|LUN|NBO|IST|LHR|YHZ|YQY|
YQY|AOG,|AOG|PEK|YYZ|YQY|
YQY|GMP,|GMP|PEK|YYZ|YQY|
YQY|ISB,|ISB|IST|LHR|YHZ|YQY|
YQY|TAS,|TAS|IST|LHR|YHZ|YQY|
YQY|WUS,|WUS|PEK|YYZ|YQY|
YQY|JMU,|JMU|PVG|YYZ|YQY|
YQY|NDG,|NDG|PVG|YYZ|YQY|
YQY|JXA,|JXA|SHE|PEK|YYZ|YQY|
YQY|PUS,|PUS|SHE|PEK|YYZ|YQY|
YQY|BKI,|BKI|SZX|PEK|YYZ|YQY|
YQY|AKU,|AKU|URC|IST|LHR|YHZ|YQY|
YQY|ALA,|ALA|IST|LHR|YHZ|YQY|
YQY|ASB,|ASB|IST|LHR|YHZ|YQY|
YQY|DNH,|DNH|URC|IST|LHR|YHZ|YQY|
YQY|DYU,|DYU|IST|LHR|YHZ|YQY|
YQY|FRU,|FRU|IST|LHR|YHZ|YQY|
YQY|GYD,|GYD|IST|LHR|YHZ|YQY|
YQY|HTN,|HTN|URC|IST|LHR|YHZ|YQY|
YQY|IKA,|IKA|IST|LHR|YHZ|YQY|
YQY|KCA,|KCA|URC|IST|LHR|YHZ|YQY|
YQY|KHG,|KHG|URC|IST|LHR|YHZ|YQY|
YQY|KRL,|KRL|URC|IST|LHR|YHZ|YQY|
YQY|KRY,|KRY|URC|IST|LHR|YHZ|YQY|
YQY|LBD,|LBD|URC|IST|LHR|YHZ|YQY|
YQY|NLT,|NLT|URC|IST|LHR|YHZ|YQY|
YQY|OSS,|OSS|IST|LHR|YHZ|YQY|
YQY|OVB,|OVB|IST|LHR|YHZ|YQY|
YQY|TBS,|TBS|IST|LHR|YHZ|YQY|
YQY|TCG,|TCG|URC|IST|LHR|YHZ|YQY|
YQY|TSE,|TSE|IST|LHR|YHZ|YQY|
YQY|YIN,|YIN|URC|IST|LHR|YHZ|YQY|
YQY|ENH,|ENH|WUH|PEK|YYZ|YQY|
YQY|ENY,|ENY|XIY|PEK|YYZ|YQY|
YQY|WXN,|WXN|XIY|PEK|YYZ|YQY|
YQY|BLL,|BLL|IST|LHR|YHZ|YQY|
YQY|ESB,|ESB|IST|LHR|YHZ|YQY|
YQY|SAW,|SAW|ADB|IST|LHR|YHZ|YQY|
YQY|HAM,|HAM|EWR|YHZ|YQY|
YQY|HRE,|HRE|ADD|IST|LHR|YHZ|YQY|
YQY|JUB,|JUB|CAI|IST|LHR|YHZ|YQY|
YQY|SSG,|SSG|DLA|BRU|YUL|YHZ|YQY|
YQY|BGW,|BGW|IST|LHR|YHZ|YQY|
YQY|EBL,|EBL|IST|LHR|YHZ|YQY|
YQY|VKO,|VKO|IST|LHR|YHZ|YQY|
YQY|MCT,|MCT|IST|LHR|YHZ|YQY|
YQY|AYT,|AYT|IST|LHR|YHZ|YQY|
YQY|SCQ,|SCQ|BIO|IST|LHR|YHZ|YQY|
YQY|AAL,|AAL|IST|LHR|YHZ|YQY|
YQY|AOE,|AOE|BRU|YUL|YHZ|YQY|
YQY|JNB,|JNB|JFK|YUL|YHZ|YQY|
YQY|LBV,|LBV|DLA|BRU|YUL|YHZ|YQY|
YQY|ADA,|ADA|IST|LHR|YHZ|YQY|
YQY|ADB,|ADB|IST|LHR|YHZ|YQY|
YQY|ADF,|ADF|IST|LHR|YHZ|YQY|
YQY|AJI,|AJI|IST|LHR|YHZ|YQY|
YQY|BAL,|BAL|IST|LHR|YHZ|YQY|
YQY|BJV,|BJV|IST|LHR|YHZ|YQY|
YQY|CKZ,|CKZ|ESB|IST|LHR|YHZ|YQY|
YQY|DIY,|DIY|IST|LHR|YHZ|YQY|
YQY|ECN,|ECN|IST|LHR|YHZ|YQY|
YQY|ERC,|ERC|IST|LHR|YHZ|YQY|
YQY|ERZ,|ERZ|IST|LHR|YHZ|YQY|
YQY|EZS,|EZS|IST|LHR|YHZ|YQY|
YQY|GNY,|GNY|IST|LHR|YHZ|YQY|
YQY|GZP,|GZP|ESB|IST|LHR|YHZ|YQY|
YQY|GZT,|GZT|IST|LHR|YHZ|YQY|
YQY|HTY,|HTY|IST|LHR|YHZ|YQY|
YQY|KCM,|KCM|IST|LHR|YHZ|YQY|
YQY|KSY,|KSY|IST|LHR|YHZ|YQY|
YQY|MLX,|MLX|IST|LHR|YHZ|YQY|
YQY|MQM,|MQM|IST|LHR|YHZ|YQY|
YQY|MSR,|MSR|IST|LHR|YHZ|YQY|
YQY|TEQ,|TEQ|ESB|IST|LHR|YHZ|YQY|
YQY|TZX,|TZX|IST|LHR|YHZ|YQY|
YQY|VAN,|VAN|IST|LHR|YHZ|YQY|
YQY|ULN,|ULN|FRU|IST|LHR|YHZ|YQY|
YQY|HIJ,|HIJ|ICN|JFK|YUL|YHZ|YQY|
YQY|VVO,|VVO|ICN|JFK|YUL|YHZ|YQY|
YQY|ACC,|ACC|IST|LHR|YHZ|YQY|
YQY|AER,|AER|IST|LHR|YHZ|YQY|
YQY|AGP,|AGP|IST|LHR|YHZ|YQY|
YQY|ALG,|ALG|IST|LHR|YHZ|YQY|
YQY|AMM,|AMM|IST|LHR|YHZ|YQY|
YQY|AQJ,|AQJ|IST|LHR|YHZ|YQY|
YQY|ARN,|ARN|EWR|YHZ|YQY|
YQY|ASR,|ASR|IST|LHR|YHZ|YQY|
YQY|ATH,|ATH|IST|LHR|YHZ|YQY|
YQY|BAH,|BAH|IST|LHR|YHZ|YQY|
YQY|BEG,|BEG|IST|LHR|YHZ|YQY|
YQY|BEN,|BEN|IST|LHR|YHZ|YQY|
YQY|BEY,|BEY|IST|LHR|YHZ|YQY|
YQY|BHX,|BHX|EWR|YHZ|YQY|
YQY|BIO,|BIO|IST|LHR|YHZ|YQY|
YQY|BLQ,|BLQ|IST|LHR|YHZ|YQY|
YQY|BOM,|BOM|IST|LHR|YHZ|YQY|
YQY|BRE,|BRE|IST|LHR|YHZ|YQY|
YQY|BSL,|BSL|IST|LHR|YHZ|YQY|
YQY|BSR,|BSR|IST|LHR|YHZ|YQY|
YQY|BUD,|BUD|IST|LHR|YHZ|YQY|
YQY|BUS,|BUS|IST|LHR|YHZ|YQY|
YQY|CAI,|CAI|IST|LHR|YHZ|YQY|
YQY|CGN,|CGN|IST|LHR|YHZ|YQY|
YQY|CMN,|CMN|IST|LHR|YHZ|YQY|
YQY|CND,|CND|IST|LHR|YHZ|YQY|
YQY|DAR,|DAR|IST|LHR|YHZ|YQY|
YQY|DLM,|DLM|IST|LHR|YHZ|YQY|
YQY|DMM,|DMM|IST|LHR|YHZ|YQY|
YQY|DNK,|DNK|IST|LHR|YHZ|YQY|
YQY|DNZ,|DNZ|IST|LHR|YHZ|YQY|
YQY|DOK,|DOK|IST|LHR|YHZ|YQY|
YQY|DUS,|DUS|EWR|YHZ|YQY|
YQY|EDI,|EDI|EWR|YHZ|YQY|
YQY|ELQ,|ELQ|IST|LHR|YHZ|YQY|
YQY|FDH,|FDH|IST|LHR|YHZ|YQY|
YQY|GOA,|GOA|IST|LHR|YHZ|YQY|
YQY|GOT,|GOT|BRU|YUL|YHZ|YQY|
YQY|HAJ,|HAJ|BRU|YUL|YHZ|YQY|
YQY|HBE,|HBE|IST|LHR|YHZ|YQY|
YQY|HEL,|HEL|IST|LHR|YHZ|YQY|
YQY|HRG,|HRG|IST|LHR|YHZ|YQY|
YQY|IFN,|IFN|IST|LHR|YHZ|YQY|
YQY|ISE,|ISE|IST|LHR|YHZ|YQY|
YQY|ISU,|ISU|IST|LHR|YHZ|YQY|
YQY|JIB,|JIB|IST|LHR|YHZ|YQY|
YQY|JRO,|JRO|IST|LHR|YHZ|YQY|
YQY|KAN,|KAN|IST|LHR|YHZ|YQY|
YQY|KBL,|KBL|IST|LHR|YHZ|YQY|
YQY|KBP,|KBP|IST|LHR|YHZ|YQY|
YQY|KFS,|KFS|IST|LHR|YHZ|YQY|
YQY|KHI,|KHI|IST|LHR|YHZ|YQY|
YQY|KIV,|KIV|IST|LHR|YHZ|YQY|
YQY|KRT,|KRT|IST|LHR|YHZ|YQY|
YQY|KSH,|KSH|IST|LHR|YHZ|YQY|
YQY|KVD,|KVD|IST|LHR|YHZ|YQY|
YQY|KWI,|KWI|IST|LHR|YHZ|YQY|
YQY|KYA,|KYA|IST|LHR|YHZ|YQY|
YQY|KZN,|KZN|IST|LHR|YHZ|YQY|
YQY|KZR,|KZR|IST|LHR|YHZ|YQY|
YQY|LED,|LED|IST|LHR|YHZ|YQY|
YQY|LEJ,|LEJ|IST|LHR|YHZ|YQY|
YQY|LGW,|LGW|IST|LHR|YHZ|YQY|
YQY|LHE,|LHE|IST|LHR|YHZ|YQY|
YQY|LIS,|LIS|EWR|YHZ|YQY|
YQY|LJU,|LJU|IST|LHR|YHZ|YQY|
YQY|LOS,|LOS|FRA|BOS|YHZ|YQY|
YQY|LUX,|LUX|IST|LHR|YHZ|YQY|
YQY|LWO,|LWO|IST|LHR|YHZ|YQY|
YQY|LYS,|LYS|IST|LHR|YHZ|YQY|
YQY|MAD,|MAD|EWR|YHZ|YQY|
YQY|MAN,|MAN|EWR|YHZ|YQY|
YQY|MED,|MED|IST|LHR|YHZ|YQY|
YQY|MHD,|MHD|IST|LHR|YHZ|YQY|
YQY|MLA,|MLA|IST|LHR|YHZ|YQY|
YQY|MRS,|MRS|IST|LHR|YHZ|YQY|
YQY|MSQ,|MSQ|IST|LHR|YHZ|YQY|
YQY|MXP,|MXP|EWR|YHZ|YQY|
YQY|MZH,|MZH|IST|LHR|YHZ|YQY|
YQY|MZR,|MZR|IST|LHR|YHZ|YQY|
YQY|NAJ,|NAJ|IST|LHR|YHZ|YQY|
YQY|NAV,|NAV|IST|LHR|YHZ|YQY|
YQY|NCE,|NCE|IST|LHR|YHZ|YQY|
