DNH|BRU,|BRU|IST|URC|DNH|
DNH|YAM,|YAM|YYZ|FRA|TSE|URC|DNH|
DNH|YGK,|YGK|YYZ|FRA|TSE|URC|DNH|
DNH|YQG,|YQG|YYZ|FRA|TSE|URC|DNH|
DNH|YSB,|YSB|YYZ|FRA|TSE|URC|DNH|
DNH|YTS,|YTS|YYZ|FRA|TSE|URC|DNH|
DNH|YYB,|YYB|YYZ|FRA|TSE|URC|DNH|
DNH|YZR,|YZR|YYZ|FRA|TSE|URC|DNH|
DNH|CAN,|CAN|XIY|DNH|
DNH|URC,|URC|DNH|
DNH|CTU,|CTU|XIY|DNH|
DNH|HGH,|HGH|XIY|DNH|
DNH|XMN,|XMN|XIY|DNH|
DNH|CGO,|CGO|UYN|XIY|DNH|
DNH|CSX,|CSX|XIY|DNH|
DNH|SHE,|SHE|XIY|DNH|
DNH|SJW,|SJW|URC|DNH|
DNH|WUH,|WUH|XIY|DNH|
DNH|SZX,|SZX|XIY|DNH|
DNH|CKG,|CKG|XIY|DNH|
DNH|KMG,|KMG|XIY|DNH|
DNH|FOC,|FOC|XIY|DNH|
DNH|NNG,|NNG|KWE|XIY|DNH|
DNH|SWA,|SWA|CSX|XIY|DNH|
DNH|ACX,|ACX|CAN|XIY|DNH|
DNH|AQG,|AQG|CAN|XIY|DNH|
DNH|AVA,|AVA|CAN|XIY|DNH|
DNH|BFJ,|BFJ|CAN|XIY|DNH|
DNH|BHY,|BHY|CKG|XIY|DNH|
DNH|BNE,|BNE|CAN|XIY|DNH|
DNH|CGD,|CGD|CAN|XIY|DNH|
DNH|CGK,|CGK|CAN|XIY|DNH|
DNH|CGQ,|CGQ|PEK|XIY|DNH|
DNH|CIH,|CIH|DAT|TYN|XIY|DNH|
DNH|CNX,|CNX|CAN|XIY|DNH|
DNH|CZX,|CZX|TYN|XIY|DNH|
DNH|DAC,|DAC|CAN|XIY|DNH|
DNH|DAD,|DAD|CAN|XIY|DNH|
DNH|DEL,|DEL|CAN|XIY|DNH|
DNH|DIG,|DIG|KMG|XIY|DNH|
DNH|DLC,|DLC|XIY|DNH|
DNH|DPS,|DPS|CAN|XIY|DNH|
DNH|DXB,|DXB|IST|URC|DNH|
DNH|DYG,|DYG|CSX|XIY|DNH|
DNH|FUG,|FUG|CAN|XIY|DNH|
DNH|FUK,|FUK|ICN|DLC|XIY|DNH|
DNH|HAK,|HAK|CKG|XIY|DNH|
DNH|HAN,|HAN|CAN|XIY|DNH|
DNH|HDG,|HDG|CAN|XIY|DNH|
DNH|HET,|HET|INC|XIY|DNH|
DNH|HFE,|HFE|XIY|DNH|
DNH|HJJ,|HJJ|CSX|XIY|DNH|
DNH|HKT,|HKT|KWE|XIY|DNH|
DNH|HRB,|HRB|XIY|DNH|
DNH|HZH,|HZH|CAN|XIY|DNH|
DNH|JIU,|JIU|CAN|XIY|DNH|
DNH|JJN,|JJN|WUH|XIY|DNH|
DNH|JNG,|JNG|CAN|XIY|DNH|
DNH|KHN,|KHN|XIY|DNH|
DNH|KIX,|KIX|DLC|XIY|DNH|
DNH|KOW,|KOW|CAN|XIY|DNH|
DNH|KTM,|KTM|CAN|XIY|DNH|
DNH|KUL,|KUL|BKK|NNG|KWE|XIY|DNH|
DNH|KWE,|KWE|XIY|DNH|
DNH|KWL,|KWL|XIY|DNH|
DNH|LHW,|LHW|URC|DNH|
DNH|LYA,|LYA|KHN|XIY|DNH|
DNH|LYG,|LYG|XUZ|INC|XIY|DNH|
DNH|LZH,|LZH|CAN|XIY|DNH|
DNH|MEL,|MEL|CAN|XIY|DNH|
DNH|MIG,|MIG|CSX|XIY|DNH|
DNH|MLE,|MLE|CAN|XIY|DNH|
DNH|MNL,|MNL|XMN|XIY|DNH|
DNH|MXZ,|MXZ|CAN|XIY|DNH|
DNH|NAO,|NAO|PEK|XIY|DNH|
DNH|NGB,|NGB|WUH|XIY|DNH|
DNH|NKG,|NKG|XIY|DNH|
DNH|NNY,|NNY|CGO|UYN|XIY|DNH|
DNH|PEN,|PEN|CAN|XIY|DNH|
DNH|PER,|PER|CAN|XIY|DNH|
DNH|PNH,|PNH|CAN|XIY|DNH|
DNH|REP,|REP|CAN|XIY|DNH|
DNH|RGN,|RGN|CAN|XIY|DNH|
DNH|SGN,|SGN|CAN|XIY|DNH|
DNH|SHA,|SHA|XIY|DNH|
DNH|SIN,|SIN|CAN|XIY|DNH|
DNH|SVO,|SVO|URC|DNH|
DNH|SYX,|SYX|XIY|DNH|
DNH|TAO,|TAO|XIY|DNH|
DNH|TEN,|TEN|CAN|XIY|DNH|
DNH|TNA,|TNA|XIY|DNH|
DNH|TPE,|TPE|WUH|XIY|DNH|
DNH|TSN,|TSN|XIY|DNH|
DNH|TXN,|TXN|CSX|XIY|DNH|
DNH|TYN,|TYN|XIY|DNH|
DNH|WNZ,|WNZ|XIY|DNH|
DNH|WUX,|WUX|CAN|XIY|DNH|
DNH|XFN,|XFN|CAN|XIY|DNH|
DNH|XIY,|XIY|DNH|
DNH|XUZ,|XUZ|INC|XIY|DNH|
DNH|YIH,|YIH|CKG|XIY|DNH|
DNH|YIW,|YIW|CGO|UYN|XIY|DNH|
DNH|YNT,|YNT|SHE|XIY|DNH|
DNH|YNZ,|YNZ|WUH|XIY|DNH|
DNH|YTY,|YTY|CGO|UYN|XIY|DNH|
DNH|ZHA,|ZHA|CAN|XIY|DNH|
DNH|ZYI,|ZYI|CAN|XIY|DNH|
DNH|BAV,|BAV|URC|DNH|
DNH|CJU,|CJU|DLC|XIY|DNH|
DNH|DSN,|DSN|CGO|UYN|XIY|DNH|
DNH|HMI,|HMI|URC|DNH|
DNH|INC,|INC|XIY|DNH|
DNH|KHH,|KHH|WUH|XIY|DNH|
DNH|UYN,|UYN|XIY|DNH|
DNH|XNN,|XNN|XIY|DNH|
DNH|ZUH,|ZUH|CSX|XIY|DNH|
DNH|YNJ,|YNJ|DLC|XIY|DNH|
DNH|DAT,|DAT|TYN|XIY|DNH|
DNH|JHG,|JHG|KMG|XIY|DNH|
DNH|LJG,|LJG|CKG|XIY|DNH|
DNH|LXA,|LXA|XIY|DNH|
DNH|YCU,|YCU|CKG|XIY|DNH|
DNH|LZO,|LZO|CSX|XIY|DNH|
DNH|MDG,|MDG|DLC|XIY|DNH|
DNH|NGO,|NGO|DLC|XIY|DNH|
DNH|TOY,|TOY|DLC|XIY|DNH|
DNH|MFM,|MFM|XMN|XIY|DNH|
DNH|TGO,|TGO|HET|INC|XIY|DNH|
DNH|XIL,|XIL|HET|INC|XIY|DNH|
DNH|HEK,|HEK|HRB|XIY|DNH|
DNH|KIJ,|KIJ|HRB|XIY|DNH|
DNH|LDS,|LDS|HRB|XIY|DNH|
DNH|OHE,|OHE|HRB|XIY|DNH|
DNH|HSN,|HSN|JJN|WUH|XIY|DNH|
DNH|DLU,|DLU|KMG|XIY|DNH|
DNH|SYM,|SYM|KMG|XIY|DNH|
DNH|ZAT,|ZAT|KMG|XIY|DNH|
DNH|LUN,|LUN|NBO|IST|URC|DNH|
DNH|AOG,|AOG|PEK|XIY|DNH|
DNH|GMP,|GMP|PEK|XIY|DNH|
DNH|ISB,|ISB|URC|DNH|
DNH|TAS,|TAS|URC|DNH|
DNH|WUS,|WUS|PEK|XIY|DNH|
DNH|JMU,|JMU|PVG|XIY|DNH|
DNH|NDG,|NDG|PVG|XIY|DNH|
DNH|JXA,|JXA|SHE|XIY|DNH|
DNH|PUS,|PUS|SHE|XIY|DNH|
DNH|BKI,|BKI|SZX|XIY|DNH|
DNH|AKU,|AKU|URC|DNH|
DNH|ALA,|ALA|URC|DNH|
DNH|ASB,|ASB|URC|DNH|
DNH|DYU,|DYU|URC|DNH|
DNH|FRU,|FRU|URC|DNH|
DNH|GYD,|GYD|URC|DNH|
DNH|HTN,|HTN|URC|DNH|
DNH|IKA,|IKA|URC|DNH|
DNH|KCA,|KCA|URC|DNH|
DNH|KHG,|KHG|URC|DNH|
DNH|KRL,|KRL|URC|DNH|
DNH|KRY,|KRY|URC|DNH|
DNH|LBD,|LBD|URC|DNH|
DNH|NLT,|NLT|URC|DNH|
DNH|OSS,|OSS|URC|DNH|
DNH|OVB,|OVB|URC|DNH|
DNH|TBS,|TBS|URC|DNH|
DNH|TCG,|TCG|URC|DNH|
DNH|TSE,|TSE|URC|DNH|
DNH|YIN,|YIN|URC|DNH|
DNH|ENH,|ENH|WUH|XIY|DNH|
DNH|ENY,|ENY|XIY|DNH|
DNH|WXN,|WXN|XIY|DNH|
DNH|BLL,|BLL|IST|URC|DNH|
DNH|ESB,|ESB|SAW|TBS|URC|DNH|
DNH|SAW,|SAW|TBS|URC|DNH|
DNH|HAM,|HAM|IST|URC|DNH|
DNH|HRE,|HRE|ADD|IST|URC|DNH|
DNH|JUB,|JUB|CAI|IST|URC|DNH|
DNH|SSG,|SSG|DLA|IST|URC|DNH|
DNH|BGW,|BGW|ESB|SAW|TBS|URC|DNH|
DNH|EBL,|EBL|IST|URC|DNH|
DNH|VKO,|VKO|IST|URC|DNH|
DNH|MCT,|MCT|IST|URC|DNH|
DNH|AYT,|AYT|IST|URC|DNH|
DNH|SCQ,|SCQ|BIO|IST|URC|DNH|
DNH|AAL,|AAL|IST|URC|DNH|
DNH|AOE,|AOE|BRU|IST|URC|DNH|
DNH|JNB,|JNB|IST|URC|DNH|
DNH|LBV,|LBV|DLA|IST|URC|DNH|
DNH|ADA,|ADA|SAW|TBS|URC|DNH|
DNH|ADB,|ADB|IST|URC|DNH|
DNH|ADF,|ADF|ESB|SAW|TBS|URC|DNH|
DNH|AJI,|AJI|ESB|SAW|TBS|URC|DNH|
DNH|BAL,|BAL|ESB|SAW|TBS|URC|DNH|
DNH|BJV,|BJV|IST|URC|DNH|
DNH|CKZ,|CKZ|ESB|SAW|TBS|URC|DNH|
DNH|DIY,|DIY|SAW|TBS|URC|DNH|
DNH|ECN,|ECN|SAW|TBS|URC|DNH|
DNH|ERC,|ERC|ESB|SAW|TBS|URC|DNH|
DNH|ERZ,|ERZ|SAW|TBS|URC|DNH|
DNH|EZS,|EZS|SAW|TBS|URC|DNH|
DNH|GNY,|GNY|ESB|SAW|TBS|URC|DNH|
DNH|GZP,|GZP|ESB|SAW|TBS|URC|DNH|
DNH|GZT,|GZT|SAW|TBS|URC|DNH|
DNH|HTY,|HTY|SAW|TBS|URC|DNH|
DNH|KCM,|KCM|ESB|SAW|TBS|URC|DNH|
DNH|KSY,|KSY|SAW|TBS|URC|DNH|
DNH|MLX,|MLX|ESB|SAW|TBS|URC|DNH|
DNH|MQM,|MQM|SAW|TBS|URC|DNH|
DNH|MSR,|MSR|ESB|SAW|TBS|URC|DNH|
DNH|TEQ,|TEQ|ESB|SAW|TBS|URC|DNH|
DNH|TZX,|TZX|SAW|TBS|URC|DNH|
DNH|VAN,|VAN|SAW|TBS|URC|DNH|
DNH|ULN,|ULN|FRU|URC|DNH|
DNH|HIJ,|HIJ|ICN|DLC|XIY|DNH|
DNH|VVO,|VVO|ICN|DLC|XIY|DNH|
DNH|ACC,|ACC|IST|URC|DNH|
DNH|AER,|AER|IST|URC|DNH|
DNH|AGP,|AGP|IST|URC|DNH|
DNH|ALG,|ALG|IST|URC|DNH|
DNH|AMM,|AMM|IST|URC|DNH|
DNH|AQJ,|AQJ|IST|URC|DNH|
DNH|ARN,|ARN|IST|URC|DNH|
DNH|ASR,|ASR|SAW|TBS|URC|DNH|
DNH|ATH,|ATH|IST|URC|DNH|
DNH|BAH,|BAH|KWI|SAW|TBS|URC|DNH|
DNH|BEG,|BEG|IST|URC|DNH|
DNH|BEN,|BEN|IST|URC|DNH|
DNH|BEY,|BEY|IST|URC|DNH|
DNH|BHX,|BHX|IST|URC|DNH|
DNH|BIO,|BIO|IST|URC|DNH|
DNH|BLQ,|BLQ|IST|URC|DNH|
DNH|BOM,|BOM|IST|URC|DNH|
DNH|BRE,|BRE|IST|URC|DNH|
DNH|BSL,|BSL|IST|URC|DNH|
DNH|BSR,|BSR|IST|URC|DNH|
DNH|BUD,|BUD|IST|URC|DNH|
DNH|BUS,|BUS|IST|URC|DNH|
DNH|CAI,|CAI|IST|URC|DNH|
DNH|CGN,|CGN|IST|URC|DNH|
DNH|CMN,|CMN|IST|URC|DNH|
DNH|CND,|CND|IST|URC|DNH|
DNH|DAR,|DAR|IST|URC|DNH|
DNH|DLM,|DLM|IST|URC|DNH|
DNH|DMM,|DMM|IST|URC|DNH|
DNH|DNK,|DNK|IST|URC|DNH|
DNH|DNZ,|DNZ|IST|URC|DNH|
DNH|DOK,|DOK|IST|URC|DNH|
DNH|DUS,|DUS|IST|URC|DNH|
DNH|EDI,|EDI|IST|URC|DNH|
DNH|ELQ,|ELQ|IST|URC|DNH|
DNH|FDH,|FDH|IST|URC|DNH|
DNH|GOA,|GOA|IST|URC|DNH|
DNH|GOT,|GOT|IST|URC|DNH|
DNH|HAJ,|HAJ|IST|URC|DNH|
DNH|HBE,|HBE|IST|URC|DNH|
DNH|HEL,|HEL|IST|URC|DNH|
DNH|HRG,|HRG|IST|URC|DNH|
DNH|IFN,|IFN|IST|URC|DNH|
DNH|ISE,|ISE|IST|URC|DNH|
DNH|ISU,|ISU|IST|URC|DNH|
DNH|JIB,|JIB|IST|URC|DNH|
DNH|JRO,|JRO|IST|URC|DNH|
DNH|KAN,|KAN|IST|URC|DNH|
DNH|KBL,|KBL|IST|URC|DNH|
DNH|KBP,|KBP|IST|URC|DNH|
DNH|KFS,|KFS|IST|URC|DNH|
DNH|KHI,|KHI|IST|URC|DNH|
DNH|KIV,|KIV|IST|URC|DNH|
DNH|KRT,|KRT|IST|URC|DNH|
DNH|KSH,|KSH|IST|URC|DNH|
DNH|KVD,|KVD|IST|URC|DNH|
DNH|KWI,|KWI|SAW|TBS|URC|DNH|
DNH|KYA,|KYA|SAW|TBS|URC|DNH|
DNH|KZN,|KZN|IST|URC|DNH|
DNH|KZR,|KZR|IST|URC|DNH|
DNH|LED,|LED|IST|URC|DNH|
DNH|LEJ,|LEJ|IST|URC|DNH|
DNH|LGW,|LGW|IST|URC|DNH|
DNH|LHE,|LHE|IST|URC|DNH|
DNH|LIS,|LIS|IST|URC|DNH|
DNH|LJU,|LJU|IST|URC|DNH|
DNH|LOS,|LOS|IST|URC|DNH|
DNH|LUX,|LUX|IST|URC|DNH|
DNH|LWO,|LWO|IST|URC|DNH|
DNH|LYS,|LYS|IST|URC|DNH|
DNH|MAD,|MAD|IST|URC|DNH|
DNH|MAN,|MAN|IST|URC|DNH|
DNH|MED,|MED|IST|URC|DNH|
DNH|MHD,|MHD|IST|URC|DNH|
DNH|MLA,|MLA|IST|URC|DNH|
DNH|MRS,|MRS|IST|URC|DNH|
DNH|MSQ,|MSQ|IST|URC|DNH|
DNH|MXP,|MXP|IST|URC|DNH|
DNH|MZH,|MZH|IST|URC|DNH|
DNH|MZR,|MZR|IST|URC|DNH|
DNH|NAJ,|NAJ|IST|URC|DNH|
DNH|NAV,|NAV|IST|URC|DNH|
DNH|NCE,|NCE|IST|URC|DNH|
DNH|NIM,|NIM|IST|URC|DNH|
DNH|NJF,|NJF|IST|URC|DNH|
DNH|NSI,|NSI|IST|URC|DNH|
DNH|NUE,|NUE|IST|URC|DNH|
DNH|ODS,|ODS|IST|URC|DNH|
DNH|ORN,|ORN|IST|URC|DNH|
DNH|OTP,|OTP|IST|URC|DNH|
DNH|PRG,|PRG|IST|URC|DNH|
DNH|PRN,|PRN|IST|URC|DNH|
DNH|RIX,|RIX|IST|URC|DNH|
DNH|ROV,|ROV|IST|URC|DNH|
DNH|RTM,|RTM|IST|URC|DNH|
DNH|RUH,|RUH|IST|URC|DNH|
DNH|SAH,|SAH|IST|URC|DNH|
DNH|SJJ,|SJJ|IST|URC|DNH|
DNH|SKG,|SKG|IST|URC|DNH|
DNH|SKP,|SKP|IST|URC|DNH|
DNH|SSH,|SSH|IST|URC|DNH|
DNH|STR,|STR|IST|URC|DNH|
DNH|SVX,|SVX|IST|URC|DNH|
DNH|SYZ,|SYZ|IST|URC|DNH|
DNH|SZG,|SZG|IST|URC|DNH|
DNH|TBZ,|TBZ|IST|URC|DNH|
DNH|TGD,|TGD|IST|URC|DNH|
DNH|TIA,|TIA|IST|URC|DNH|
DNH|TIF,|TIF|IST|URC|DNH|
DNH|TIP,|TIP|IST|URC|DNH|
DNH|TLL,|TLL|IST|URC|DNH|
DNH|TLS,|TLS|IST|URC|DNH|
DNH|TRN,|TRN|IST|URC|DNH|
DNH|TUN,|TUN|IST|URC|DNH|
DNH|TXL,|TXL|IST|URC|DNH|
DNH|UFA,|UFA|IST|URC|DNH|
DNH|VAS,|VAS|SAW|TBS|URC|DNH|
DNH|VCE,|VCE|IST|URC|DNH|
