DAD|BRU,|BRU|DEL|CAN|DAD|
DAD|AZS,|AZS|YYZ|PEK|CAN|DAD|
DAD|BDL,|BDL|YYZ|PEK|CAN|DAD|
DAD|CCC,|CCC|YYZ|PEK|CAN|DAD|
DAD|CDG,|CDG|CAN|DAD|
DAD|CUN,|CUN|YVR|CAN|DAD|
DAD|CZM,|CZM|IAH|YVR|CAN|DAD|
DAD|FDF,|FDF|YUL|YYZ|PEK|CAN|DAD|
DAD|FLL,|FLL|ORD|PEK|CAN|DAD|
DAD|GVA,|GVA|IST|CAN|DAD|
DAD|HOG,|HOG|YYZ|PEK|CAN|DAD|
DAD|LAS,|LAS|SFO|PVG|CAN|DAD|
DAD|MBJ,|MBJ|ATL|ORD|PEK|CAN|DAD|
DAD|MCO,|MCO|ORD|PEK|CAN|DAD|
DAD|MUC,|MUC|IST|CAN|DAD|
DAD|PAP,|PAP|YUL|YYZ|PEK|CAN|DAD|
DAD|PTP,|PTP|YUL|YYZ|PEK|CAN|DAD|
DAD|PUJ,|PUJ|EWR|PEK|CAN|DAD|
DAD|SNU,|SNU|YYZ|PEK|CAN|DAD|
DAD|VRA,|VRA|YYZ|PEK|CAN|DAD|
DAD|YBC,|YBC|YUL|YYZ|PEK|CAN|DAD|
DAD|YBG,|YBG|YUL|YYZ|PEK|CAN|DAD|
DAD|YTZ,|YTZ|YUL|YYZ|PEK|CAN|DAD|
DAD|YUY,|YUY|YUL|YYZ|PEK|CAN|DAD|
DAD|YVO,|YVO|YUL|YYZ|PEK|CAN|DAD|
DAD|ZBF,|ZBF|YUL|YYZ|PEK|CAN|DAD|
DAD|ZRH,|ZRH|IST|CAN|DAD|
DAD|ZSA,|ZSA|YUL|YYZ|PEK|CAN|DAD|
DAD|AKL,|AKL|CAN|DAD|
DAD|HKG,|HKG|CAN|DAD|
DAD|HND,|HND|HNL|NRT|CAN|DAD|
DAD|HNL,|HNL|NRT|CAN|DAD|
DAD|MEX,|MEX|SFO|PVG|CAN|DAD|
DAD|OGG,|OGG|HNL|NRT|CAN|DAD|
DAD|PDX,|PDX|SEA|ICN|CAN|DAD|
DAD|PEK,|PEK|CAN|DAD|
DAD|PVG,|PVG|CAN|DAD|
DAD|PVR,|PVR|LAX|CAN|DAD|
DAD|SEA,|SEA|ICN|CAN|DAD|
DAD|SYD,|SYD|CAN|DAD|
DAD|YBL,|YBL|YVR|CAN|DAD|
DAD|YCD,|YCD|YVR|CAN|DAD|
DAD|YCG,|YCG|YVR|CAN|DAD|
DAD|YKA,|YKA|YVR|CAN|DAD|
DAD|YPR,|YPR|YVR|CAN|DAD|
DAD|YQZ,|YQZ|YVR|CAN|DAD|
DAD|YXC,|YXC|YVR|CAN|DAD|
DAD|YXJ,|YXJ|YVR|CAN|DAD|
DAD|YXS,|YXS|YVR|CAN|DAD|
DAD|YXT,|YXT|YVR|CAN|DAD|
DAD|YXY,|YXY|YVR|CAN|DAD|
DAD|YYD,|YYD|YVR|CAN|DAD|
DAD|YYF,|YYF|YVR|CAN|DAD|
DAD|YZP,|YZP|YVR|CAN|DAD|
DAD|YQT,|YQT|YWG|YVR|CAN|DAD|
DAD|SJD,|SJD|LAX|CAN|DAD|
DAD|YQF,|YQF|YYC|YVR|CAN|DAD|
DAD|YQL,|YQL|YYC|YVR|CAN|DAD|
DAD|YXH,|YXH|YYC|YVR|CAN|DAD|
DAD|YWK,|YWK|YZV|YQB|YYZ|PEK|CAN|DAD|
DAD|ANU,|ANU|EWR|PEK|CAN|DAD|
DAD|AUA,|AUA|EWR|PEK|CAN|DAD|
DAD|AUH,|AUH|IST|CAN|DAD|
DAD|BCN,|BCN|IST|CAN|DAD|
DAD|BDA,|BDA|EWR|PEK|CAN|DAD|
DAD|BGI,|BGI|YYZ|PEK|CAN|DAD|
DAD|BNA,|BNA|ORD|PEK|CAN|DAD|
DAD|BOG,|BOG|MIA|ORD|PEK|CAN|DAD|
DAD|BWI,|BWI|YYZ|PEK|CAN|DAD|
DAD|CLE,|CLE|YYZ|PEK|CAN|DAD|
DAD|CLT,|CLT|YYZ|PEK|CAN|DAD|
DAD|CMH,|CMH|ORD|PEK|CAN|DAD|
DAD|CVG,|CVG|ORD|PEK|CAN|DAD|
DAD|DFW,|DFW|YVR|CAN|DAD|
DAD|DTW,|DTW|PEK|CAN|DAD|
DAD|DUB,|DUB|IST|CAN|DAD|
DAD|FCO,|FCO|IST|CAN|DAD|
DAD|GCM,|GCM|YYZ|PEK|CAN|DAD|
DAD|GGT,|GGT|YYZ|PEK|CAN|DAD|
DAD|GND,|GND|YYZ|PEK|CAN|DAD|
DAD|GRU,|GRU|IST|CAN|DAD|
DAD|HAV,|HAV|YYZ|PEK|CAN|DAD|
DAD|IND,|IND|ORD|PEK|CAN|DAD|
DAD|JFK,|JFK|PEK|CAN|DAD|
DAD|KIN,|KIN|YYZ|PEK|CAN|DAD|
DAD|LIM,|LIM|IAH|YVR|CAN|DAD|
DAD|LIR,|LIR|IAH|YVR|CAN|DAD|
DAD|MCI,|MCI|DEN|YVR|CAN|DAD|
DAD|MDT,|MDT|YYZ|PEK|CAN|DAD|
DAD|MIA,|MIA|ORD|PEK|CAN|DAD|
DAD|MKE,|MKE|ORD|PEK|CAN|DAD|
DAD|MSP,|MSP|ORD|PEK|CAN|DAD|
DAD|NAS,|NAS|YYZ|PEK|CAN|DAD|
DAD|PHL,|PHL|YYZ|PEK|CAN|DAD|
DAD|PHX,|PHX|SFO|PVG|CAN|DAD|
DAD|PIT,|PIT|YYZ|PEK|CAN|DAD|
DAD|PLS,|PLS|EWR|PEK|CAN|DAD|
DAD|POP,|POP|EWR|PEK|CAN|DAD|
DAD|RDU,|RDU|YYZ|PEK|CAN|DAD|
DAD|ROC,|ROC|YYZ|PEK|CAN|DAD|
DAD|RSW,|RSW|ORD|PEK|CAN|DAD|
DAD|SAN,|SAN|LAX|CAN|DAD|
DAD|SJO,|SJO|IAH|YVR|CAN|DAD|
DAD|STL,|STL|ORD|PEK|CAN|DAD|
DAD|SYR,|SYR|YYZ|PEK|CAN|DAD|
DAD|TLV,|TLV|IST|CAN|DAD|
DAD|TPA,|TPA|ORD|PEK|CAN|DAD|
DAD|UVF,|UVF|EWR|PEK|CAN|DAD|
DAD|VIE,|VIE|IST|CAN|DAD|
DAD|YAM,|YAM|YYZ|PEK|CAN|DAD|
DAD|YGK,|YGK|YYZ|PEK|CAN|DAD|
DAD|YQG,|YQG|YYZ|PEK|CAN|DAD|
DAD|YSB,|YSB|YYZ|PEK|CAN|DAD|
DAD|YTS,|YTS|YYZ|PEK|CAN|DAD|
DAD|YYB,|YYB|YYZ|PEK|CAN|DAD|
DAD|YZR,|YZR|YYZ|PEK|CAN|DAD|
DAD|CAN,|CAN|DAD|
DAD|URC,|URC|CAN|DAD|
DAD|CTU,|CTU|CAN|DAD|
DAD|HGH,|HGH|CAN|DAD|
DAD|XMN,|XMN|CAN|DAD|
DAD|CGO,|CGO|CAN|DAD|
DAD|CSX,|CSX|CAN|DAD|
DAD|SHE,|SHE|CAN|DAD|
DAD|SJW,|SJW|CAN|DAD|
DAD|WUH,|WUH|CAN|DAD|
DAD|SZX,|SZX|MXZ|CAN|DAD|
DAD|CKG,|CKG|CAN|DAD|
DAD|KMG,|KMG|CAN|DAD|
DAD|FOC,|FOC|CAN|DAD|
DAD|NNG,|NNG|CAN|DAD|
DAD|SWA,|SWA|CAN|DAD|
DAD|ACX,|ACX|CAN|DAD|
DAD|AQG,|AQG|CAN|DAD|
DAD|AVA,|AVA|CAN|DAD|
DAD|BFJ,|BFJ|CAN|DAD|
DAD|BHY,|BHY|CAN|DAD|
DAD|BNE,|BNE|CAN|DAD|
DAD|CGD,|CGD|CAN|DAD|
DAD|CGK,|CGK|CAN|DAD|
DAD|CGQ,|CGQ|CAN|DAD|
DAD|CIH,|CIH|CAN|DAD|
DAD|CNX,|CNX|CAN|DAD|
DAD|CZX,|CZX|CAN|DAD|
DAD|DAC,|DAC|CAN|DAD|
DAD|DEL,|DEL|CAN|DAD|
DAD|DIG,|DIG|CAN|DAD|
DAD|DLC,|DLC|CAN|DAD|
DAD|DPS,|DPS|CAN|DAD|
DAD|DXB,|DXB|CAN|DAD|
DAD|DYG,|DYG|CAN|DAD|
DAD|FUG,|FUG|CAN|DAD|
DAD|FUK,|FUK|CAN|DAD|
DAD|HAK,|HAK|CAN|DAD|
DAD|HAN,|HAN|CAN|DAD|
DAD|HDG,|HDG|CAN|DAD|
DAD|HET,|HET|CAN|DAD|
DAD|HFE,|HFE|CAN|DAD|
DAD|HJJ,|HJJ|CAN|DAD|
DAD|HKT,|HKT|CAN|DAD|
DAD|HRB,|HRB|CAN|DAD|
DAD|HZH,|HZH|CAN|DAD|
DAD|JIU,|JIU|CAN|DAD|
DAD|JJN,|JJN|CAN|DAD|
DAD|JNG,|JNG|CAN|DAD|
DAD|KHN,|KHN|CAN|DAD|
DAD|KIX,|KIX|CAN|DAD|
DAD|KOW,|KOW|CAN|DAD|
DAD|KTM,|KTM|CAN|DAD|
DAD|KUL,|KUL|CAN|DAD|
DAD|KWE,|KWE|CAN|DAD|
DAD|KWL,|KWL|CAN|DAD|
DAD|LHW,|LHW|CAN|DAD|
DAD|LYA,|LYA|CAN|DAD|
DAD|LYG,|LYG|CAN|DAD|
DAD|LZH,|LZH|CAN|DAD|
DAD|MEL,|MEL|CAN|DAD|
DAD|MIG,|MIG|CAN|DAD|
DAD|MLE,|MLE|CAN|DAD|
DAD|MNL,|MNL|CAN|DAD|
DAD|MXZ,|MXZ|CAN|DAD|
DAD|NAO,|NAO|CAN|DAD|
DAD|NGB,|NGB|CAN|DAD|
DAD|NKG,|NKG|CAN|DAD|
DAD|NNY,|NNY|CAN|DAD|
DAD|PEN,|PEN|CAN|DAD|
DAD|PER,|PER|CAN|DAD|
DAD|PNH,|PNH|CAN|DAD|
DAD|REP,|REP|CAN|DAD|
DAD|RGN,|RGN|CAN|DAD|
DAD|SGN,|SGN|CAN|DAD|
DAD|SHA,|SHA|CAN|DAD|
DAD|SIN,|SIN|CAN|DAD|
DAD|SVO,|SVO|CAN|DAD|
DAD|SYX,|SYX|CAN|DAD|
DAD|TAO,|TAO|CAN|DAD|
DAD|TEN,|TEN|CAN|DAD|
DAD|TNA,|TNA|CAN|DAD|
DAD|TPE,|TPE|CAN|DAD|
DAD|TSN,|TSN|CAN|DAD|
DAD|TXN,|TXN|CAN|DAD|
DAD|TYN,|TYN|CAN|DAD|
DAD|WNZ,|WNZ|CAN|DAD|
DAD|WUX,|WUX|CAN|DAD|
DAD|XFN,|XFN|CAN|DAD|
DAD|XIY,|XIY|CAN|DAD|
DAD|XUZ,|XUZ|CAN|DAD|
DAD|YIH,|YIH|CAN|DAD|
DAD|YIW,|YIW|CAN|DAD|
DAD|YNT,|YNT|CAN|DAD|
DAD|YNZ,|YNZ|CAN|DAD|
DAD|YTY,|YTY|CAN|DAD|
DAD|ZHA,|ZHA|CAN|DAD|
DAD|ZYI,|ZYI|CAN|DAD|
DAD|BAV,|BAV|CSX|CAN|DAD|
DAD|CJU,|CJU|CSX|CAN|DAD|
DAD|DSN,|DSN|CGO|CAN|DAD|
DAD|HMI,|HMI|CGO|CAN|DAD|
DAD|INC,|INC|XIY|CAN|DAD|
DAD|KHH,|KHH|WUH|CAN|DAD|
DAD|UYN,|UYN|XIY|CAN|DAD|
DAD|XNN,|XNN|CKG|CAN|DAD|
DAD|ZUH,|ZUH|MXZ|CAN|DAD|
DAD|YNJ,|YNJ|ICN|CAN|DAD|
DAD|DAT,|DAT|CIH|CAN|DAD|
DAD|JHG,|JHG|KMG|CAN|DAD|
DAD|LJG,|LJG|KMG|CAN|DAD|
DAD|LXA,|LXA|CKG|CAN|DAD|
DAD|YCU,|YCU|CSX|CAN|DAD|
DAD|LZO,|LZO|CSX|CAN|DAD|
DAD|MDG,|MDG|DLC|CAN|DAD|
DAD|NGO,|NGO|PVG|CAN|DAD|
DAD|TOY,|TOY|DLC|CAN|DAD|
DAD|MFM,|MFM|XMN|CAN|DAD|
DAD|TGO,|TGO|HET|CAN|DAD|
DAD|XIL,|XIL|HET|CAN|DAD|
DAD|HEK,|HEK|HRB|CAN|DAD|
DAD|KIJ,|KIJ|HRB|CAN|DAD|
DAD|LDS,|LDS|HRB|CAN|DAD|
DAD|OHE,|OHE|HRB|CAN|DAD|
DAD|HSN,|HSN|XMN|CAN|DAD|
DAD|DLU,|DLU|KMG|CAN|DAD|
DAD|SYM,|SYM|KMG|CAN|DAD|
DAD|ZAT,|ZAT|KMG|CAN|DAD|
DAD|LUN,|LUN|NBO|CAN|DAD|
DAD|AOG,|AOG|PEK|CAN|DAD|
DAD|GMP,|GMP|PEK|CAN|DAD|
DAD|ISB,|ISB|URC|CAN|DAD|
DAD|TAS,|TAS|URC|CAN|DAD|
DAD|WUS,|WUS|PEK|CAN|DAD|
DAD|JMU,|JMU|PVG|CAN|DAD|
DAD|NDG,|NDG|PVG|CAN|DAD|
DAD|JXA,|JXA|SHE|CAN|DAD|
DAD|PUS,|PUS|SHE|CAN|DAD|
DAD|BKI,|BKI|SZX|MXZ|CAN|DAD|
DAD|AKU,|AKU|URC|CAN|DAD|
DAD|ALA,|ALA|URC|CAN|DAD|
DAD|ASB,|ASB|URC|CAN|DAD|
DAD|DNH,|DNH|XIY|CAN|DAD|
DAD|DYU,|DYU|URC|CAN|DAD|
DAD|FRU,|FRU|URC|CAN|DAD|
DAD|GYD,|GYD|URC|CAN|DAD|
DAD|HTN,|HTN|URC|CAN|DAD|
DAD|IKA,|IKA|URC|CAN|DAD|
DAD|KCA,|KCA|URC|CAN|DAD|
DAD|KHG,|KHG|URC|CAN|DAD|
DAD|KRL,|KRL|URC|CAN|DAD|
DAD|KRY,|KRY|URC|CAN|DAD|
DAD|LBD,|LBD|URC|CAN|DAD|
DAD|NLT,|NLT|URC|CAN|DAD|
DAD|OSS,|OSS|URC|CAN|DAD|
DAD|OVB,|OVB|URC|CAN|DAD|
DAD|TBS,|TBS|URC|CAN|DAD|
DAD|TCG,|TCG|URC|CAN|DAD|
DAD|TSE,|TSE|URC|CAN|DAD|
DAD|YIN,|YIN|URC|CAN|DAD|
DAD|ENH,|ENH|WUH|CAN|DAD|
DAD|ENY,|ENY|XIY|CAN|DAD|
DAD|WXN,|WXN|XMN|CAN|DAD|
DAD|BLL,|BLL|IST|CAN|DAD|
DAD|ESB,|ESB|IST|CAN|DAD|
DAD|SAW,|SAW|TBS|URC|CAN|DAD|
DAD|HAM,|HAM|IST|CAN|DAD|
DAD|HRE,|HRE|ADD|IST|CAN|DAD|
DAD|JUB,|JUB|CAI|IST|CAN|DAD|
DAD|SSG,|SSG|DLA|IST|CAN|DAD|
DAD|BGW,|BGW|IST|CAN|DAD|
DAD|EBL,|EBL|IST|CAN|DAD|
DAD|VKO,|VKO|IST|CAN|DAD|
DAD|MCT,|MCT|IST|CAN|DAD|
DAD|AYT,|AYT|IST|CAN|DAD|
DAD|SCQ,|SCQ|BIO|IST|CAN|DAD|
DAD|AAL,|AAL|IST|CAN|DAD|
DAD|AOE,|AOE|BRU|DEL|CAN|DAD|
DAD|JNB,|JNB|IST|CAN|DAD|
DAD|LBV,|LBV|DLA|IST|CAN|DAD|
DAD|ADA,|ADA|IST|CAN|DAD|
DAD|ADB,|ADB|IST|CAN|DAD|
DAD|ADF,|ADF|IST|CAN|DAD|
DAD|AJI,|AJI|IST|CAN|DAD|
DAD|BAL,|BAL|IST|CAN|DAD|
DAD|BJV,|BJV|IST|CAN|DAD|
DAD|CKZ,|CKZ|ESB|IST|CAN|DAD|
DAD|DIY,|DIY|IST|CAN|DAD|
DAD|ECN,|ECN|IST|CAN|DAD|
DAD|ERC,|ERC|IST|CAN|DAD|
DAD|ERZ,|ERZ|IST|CAN|DAD|
DAD|EZS,|EZS|IST|CAN|DAD|
DAD|GNY,|GNY|IST|CAN|DAD|
DAD|GZP,|GZP|ESB|IST|CAN|DAD|
DAD|GZT,|GZT|IST|CAN|DAD|
DAD|HTY,|HTY|IST|CAN|DAD|
DAD|KCM,|KCM|IST|CAN|DAD|
DAD|KSY,|KSY|IST|CAN|DAD|
DAD|MLX,|MLX|IST|CAN|DAD|
DAD|MQM,|MQM|IST|CAN|DAD|
DAD|MSR,|MSR|IST|CAN|DAD|
DAD|TEQ,|TEQ|ESB|IST|CAN|DAD|
DAD|TZX,|TZX|IST|CAN|DAD|
DAD|VAN,|VAN|IST|CAN|DAD|
DAD|ULN,|ULN|FRU|URC|CAN|DAD|
DAD|HIJ,|HIJ|ICN|CAN|DAD|
DAD|VVO,|VVO|ICN|CAN|DAD|
DAD|ACC,|ACC|IST|CAN|DAD|
DAD|AER,|AER|IST|CAN|DAD|
DAD|AGP,|AGP|IST|CAN|DAD|
DAD|ALG,|ALG|IST|CAN|DAD|
DAD|AMM,|AMM|IST|CAN|DAD|
DAD|AQJ,|AQJ|IST|CAN|DAD|
DAD|ARN,|ARN|IST|CAN|DAD|
DAD|ASR,|ASR|IST|CAN|DAD|
DAD|ATH,|ATH|IST|CAN|DAD|
DAD|BAH,|BAH|IST|CAN|DAD|
DAD|BEG,|BEG|IST|CAN|DAD|
DAD|BEN,|BEN|IST|CAN|DAD|
DAD|BEY,|BEY|IST|CAN|DAD|
DAD|BHX,|BHX|BRU|DEL|CAN|DAD|
DAD|BIO,|BIO|IST|CAN|DAD|
DAD|BLQ,|BLQ|IST|CAN|DAD|
DAD|BOM,|BOM|IST|CAN|DAD|
DAD|BRE,|BRE|IST|CAN|DAD|
DAD|BSL,|BSL|IST|CAN|DAD|
DAD|BSR,|BSR|IST|CAN|DAD|
DAD|BUD,|BUD|IST|CAN|DAD|
DAD|BUS,|BUS|IST|CAN|DAD|
DAD|CAI,|CAI|IST|CAN|DAD|
DAD|CGN,|CGN|IST|CAN|DAD|
DAD|CMN,|CMN|IST|CAN|DAD|
DAD|CND,|CND|IST|CAN|DAD|
DAD|DAR,|DAR|NBO|CAN|DAD|
DAD|DLM,|DLM|IST|CAN|DAD|
DAD|DMM,|DMM|IST|CAN|DAD|
DAD|DNK,|DNK|IST|CAN|DAD|
DAD|DNZ,|DNZ|IST|CAN|DAD|
DAD|DOK,|DOK|IST|CAN|DAD|
DAD|DUS,|DUS|IST|CAN|DAD|
DAD|EDI,|EDI|IST|CAN|DAD|
DAD|ELQ,|ELQ|IST|CAN|DAD|
DAD|FDH,|FDH|IST|CAN|DAD|
DAD|GOA,|GOA|IST|CAN|DAD|
DAD|GOT,|GOT|IST|CAN|DAD|
DAD|HAJ,|HAJ|IST|CAN|DAD|
DAD|HBE,|HBE|IST|CAN|DAD|
DAD|HEL,|HEL|IST|CAN|DAD|
DAD|HRG,|HRG|IST|CAN|DAD|
DAD|IFN,|IFN|IST|CAN|DAD|
DAD|ISE,|ISE|IST|CAN|DAD|
DAD|ISU,|ISU|IST|CAN|DAD|
DAD|JIB,|JIB|IST|CAN|DAD|
DAD|JRO,|JRO|IST|CAN|DAD|
DAD|KAN,|KAN|IST|CAN|DAD|
DAD|KBL,|KBL|IST|CAN|DAD|
DAD|KBP,|KBP|IST|CAN|DAD|
DAD|KFS,|KFS|IST|CAN|DAD|
DAD|KHI,|KHI|IST|CAN|DAD|
DAD|KIV,|KIV|IST|CAN|DAD|
DAD|KRT,|KRT|IST|CAN|DAD|
DAD|KSH,|KSH|IST|CAN|DAD|
DAD|KVD,|KVD|IST|CAN|DAD|
DAD|KWI,|KWI|IST|CAN|DAD|
DAD|KYA,|KYA|IST|CAN|DAD|
DAD|KZN,|KZN|IST|CAN|DAD|
DAD|KZR,|KZR|IST|CAN|DAD|
DAD|LED,|LED|IST|CAN|DAD|
DAD|LEJ,|LEJ|IST|CAN|DAD|
DAD|LGW,|LGW|IST|CAN|DAD|
DAD|LHE,|LHE|IST|CAN|DAD|
DAD|LIS,|LIS|IST|CAN|DAD|
DAD|LJU,|LJU|IST|CAN|DAD|
DAD|LOS,|LOS|IST|CAN|DAD|
DAD|LUX,|LUX|IST|CAN|DAD|
DAD|LWO,|LWO|IST|CAN|DAD|
DAD|LYS,|LYS|IST|CAN|DAD|
DAD|MAD,|MAD|IST|CAN|DAD|
DAD|MAN,|MAN|IST|CAN|DAD|
DAD|MED,|MED|IST|CAN|DAD|
DAD|MHD,|MHD|IST|CAN|DAD|
DAD|MLA,|MLA|IST|CAN|DAD|
DAD|MRS,|MRS|IST|CAN|DAD|
DAD|MSQ,|MSQ|IST|CAN|DAD|
DAD|MXP,|MXP|IST|CAN|DAD|
DAD|MZH,|MZH|IST|CAN|DAD|
DAD|MZR,|MZR|IST|CAN|DAD|
DAD|NAJ,|NAJ|IST|CAN|DAD|
DAD|NAV,|NAV|IST|CAN|DAD|
DAD|NCE,|NCE|IST|CAN|DAD|
DAD|NIM,|NIM|IST|CAN|DAD|
DAD|NJF,|NJF|IST|CAN|DAD|
DAD|NSI,|NSI|IST|CAN|DAD|
DAD|NUE,|NUE|IST|CAN|DAD|
DAD|ODS,|ODS|IST|CAN|DAD|
DAD|ORN,|ORN|IST|CAN|DAD|
DAD|OTP,|OTP|IST|CAN|DAD|
DAD|PRG,|PRG|IST|CAN|DAD|
DAD|PRN,|PRN|IST|CAN|DAD|
DAD|RIX,|RIX|IST|CAN|DAD|
DAD|ROV,|ROV|IST|CAN|DAD|
DAD|RTM,|RTM|IST|CAN|DAD|
DAD|RUH,|RUH|IST|CAN|DAD|
DAD|SAH,|SAH|IST|CAN|DAD|
DAD|SJJ,|SJJ|IST|CAN|DAD|
DAD|SKG,|SKG|IST|CAN|DAD|
DAD|SKP,|SKP|IST|CAN|DAD|
DAD|SSH,|SSH|IST|CAN|DAD|
DAD|STR,|STR|IST|CAN|DAD|
DAD|SVX,|SVX|IST|CAN|DAD|
DAD|SYZ,|SYZ|IST|CAN|DAD|
DAD|SZG,|SZG|IST|CAN|DAD|
DAD|TBZ,|TBZ|IST|CAN|DAD|
DAD|TGD,|TGD|IST|CAN|DAD|
DAD|TIA,|TIA|IST|CAN|DAD|
DAD|TIF,|TIF|IST|CAN|DAD|
DAD|TIP,|TIP|IST|CAN|DAD|
DAD|TLL,|TLL|IST|CAN|DAD|
DAD|TLS,|TLS|IST|CAN|DAD|
DAD|TRN,|TRN|IST|CAN|DAD|
DAD|TUN,|TUN|IST|CAN|DAD|
DAD|TXL,|TXL|IST|CAN|DAD|
DAD|UFA,|UFA|IST|CAN|DAD|
DAD|VAS,|VAS|IST|CAN|DAD|
DAD|VCE,|VCE|IST|CAN|DAD|
DAD|YNB,|YNB|IST|CAN|DAD|
DAD|ZAG,|ZAG|IST|CAN|DAD|
DAD|MGQ,|MGQ|JIB|IST|CAN|DAD|
DAD|CPT,|CPT|JNB|IST|CAN|DAD|
DAD|MBA,|MBA|JRO|IST|CAN|DAD|
DAD|NDJ,|NDJ|KAN|IST|CAN|DAD|
DAD|CMB,|CMB|MLE|CAN|DAD|
DAD|ADE,|ADE|SAH|IST|CAN|DAD|
DAD|ASF,|ASF|SAW|TBS|URC|CAN|DAD|
DAD|STW,|STW|SAW|TBS|URC|CAN|DAD|
DAD|LFW,|LFW|ABJ|OUA|NIM|IST|CAN|DAD|
DAD|CEC,|CEC|SFO|PVG|CAN|DAD|
DAD|SMF,|SMF|SFO|PVG|CAN|DAD|
DAD|CDR,|CDR|AIA|DEN|YVR|CAN|DAD|
DAD|FMN,|FMN|DEN|YVR|CAN|DAD|
