PNH|BRU,|BRU|DEL|CAN|PNH|
PNH|HKT,|HKT|CAN|PNH|
PNH|HRB,|HRB|CAN|PNH|
PNH|HZH,|HZH|CAN|PNH|
PNH|JIU,|JIU|CAN|PNH|
PNH|JJN,|JJN|CAN|PNH|
PNH|JNG,|JNG|CAN|PNH|
PNH|KHN,|KHN|CAN|PNH|
PNH|KIX,|KIX|CAN|PNH|
PNH|KOW,|KOW|CAN|PNH|
PNH|KTM,|KTM|CAN|PNH|
PNH|KUL,|KUL|CAN|PNH|
PNH|KWE,|KWE|CAN|PNH|
PNH|KWL,|KWL|CAN|PNH|
PNH|LHW,|LHW|CAN|PNH|
PNH|LYA,|LYA|CAN|PNH|
PNH|LYG,|LYG|CAN|PNH|
PNH|LZH,|LZH|CAN|PNH|
PNH|MEL,|MEL|CAN|PNH|
PNH|MIG,|MIG|CAN|PNH|
PNH|MLE,|MLE|CAN|PNH|
PNH|MNL,|MNL|CAN|PNH|
PNH|MXZ,|MXZ|CAN|PNH|
PNH|NAO,|NAO|CAN|PNH|
PNH|NGB,|NGB|CAN|PNH|
PNH|NKG,|NKG|CAN|PNH|
PNH|NNY,|NNY|CAN|PNH|
PNH|PEN,|PEN|CAN|PNH|
PNH|PER,|PER|CAN|PNH|
PNH|REP,|REP|CAN|PNH|
PNH|RGN,|RGN|CAN|PNH|
PNH|SGN,|SGN|CAN|PNH|
PNH|SHA,|SHA|CAN|PNH|
PNH|SIN,|SIN|CAN|PNH|
PNH|SVO,|SVO|CAN|PNH|
PNH|SYX,|SYX|CAN|PNH|
PNH|TAO,|TAO|CAN|PNH|
PNH|TEN,|TEN|CAN|PNH|
PNH|TNA,|TNA|CAN|PNH|
PNH|TPE,|TPE|CAN|PNH|
PNH|TSN,|TSN|CAN|PNH|
PNH|TXN,|TXN|CAN|PNH|
PNH|TYN,|TYN|CAN|PNH|
PNH|WNZ,|WNZ|CAN|PNH|
PNH|WUX,|WUX|CAN|PNH|
PNH|XFN,|XFN|CAN|PNH|
PNH|XIY,|XIY|CAN|PNH|
PNH|XUZ,|XUZ|CAN|PNH|
PNH|YIH,|YIH|CAN|PNH|
PNH|YIW,|YIW|CAN|PNH|
PNH|YNT,|YNT|CAN|PNH|
PNH|YNZ,|YNZ|CAN|PNH|
PNH|YTY,|YTY|CAN|PNH|
PNH|ZHA,|ZHA|CAN|PNH|
PNH|ZYI,|ZYI|CAN|PNH|
PNH|BAV,|BAV|CSX|CAN|PNH|
PNH|CJU,|CJU|CSX|CAN|PNH|
PNH|DSN,|DSN|CGO|CAN|PNH|
PNH|HMI,|HMI|CGO|CAN|PNH|
PNH|INC,|INC|XIY|CAN|PNH|
PNH|KHH,|KHH|WUH|CAN|PNH|
PNH|UYN,|UYN|XIY|CAN|PNH|
PNH|XNN,|XNN|CKG|CAN|PNH|
PNH|ZUH,|ZUH|MXZ|CAN|PNH|
PNH|YNJ,|YNJ|ICN|CAN|PNH|
PNH|DAT,|DAT|CIH|CAN|PNH|
PNH|JHG,|JHG|KMG|CAN|PNH|
PNH|LJG,|LJG|KMG|CAN|PNH|
PNH|LXA,|LXA|CKG|CAN|PNH|
PNH|YCU,|YCU|CSX|CAN|PNH|
PNH|LZO,|LZO|CSX|CAN|PNH|
PNH|MDG,|MDG|DLC|CAN|PNH|
PNH|NGO,|NGO|PVG|CAN|PNH|
PNH|TOY,|TOY|DLC|CAN|PNH|
PNH|MFM,|MFM|XMN|CAN|PNH|
PNH|TGO,|TGO|HET|CAN|PNH|
PNH|XIL,|XIL|HET|CAN|PNH|
PNH|HEK,|HEK|HRB|CAN|PNH|
PNH|KIJ,|KIJ|HRB|CAN|PNH|
PNH|LDS,|LDS|HRB|CAN|PNH|
PNH|OHE,|OHE|HRB|CAN|PNH|
PNH|HSN,|HSN|XMN|CAN|PNH|
PNH|DLU,|DLU|KMG|CAN|PNH|
PNH|SYM,|SYM|KMG|CAN|PNH|
PNH|ZAT,|ZAT|KMG|CAN|PNH|
PNH|LUN,|LUN|NBO|CAN|PNH|
PNH|AOG,|AOG|PEK|CAN|PNH|
PNH|GMP,|GMP|PEK|CAN|PNH|
PNH|ISB,|ISB|URC|CAN|PNH|
PNH|TAS,|TAS|URC|CAN|PNH|
PNH|WUS,|WUS|PEK|CAN|PNH|
PNH|JMU,|JMU|PVG|CAN|PNH|
PNH|NDG,|NDG|PVG|CAN|PNH|
PNH|JXA,|JXA|SHE|CAN|PNH|
PNH|PUS,|PUS|SHE|CAN|PNH|
PNH|BKI,|BKI|SZX|MXZ|CAN|PNH|
PNH|AKU,|AKU|URC|CAN|PNH|
PNH|ALA,|ALA|URC|CAN|PNH|
PNH|ASB,|ASB|URC|CAN|PNH|
PNH|DNH,|DNH|XIY|CAN|PNH|
PNH|DYU,|DYU|URC|CAN|PNH|
PNH|FRU,|FRU|URC|CAN|PNH|
PNH|GYD,|GYD|URC|CAN|PNH|
PNH|HTN,|HTN|URC|CAN|PNH|
PNH|IKA,|IKA|URC|CAN|PNH|
PNH|KCA,|KCA|URC|CAN|PNH|
PNH|KHG,|KHG|URC|CAN|PNH|
PNH|KRL,|KRL|URC|CAN|PNH|
PNH|KRY,|KRY|URC|CAN|PNH|
PNH|LBD,|LBD|URC|CAN|PNH|
PNH|NLT,|NLT|URC|CAN|PNH|
PNH|OSS,|OSS|URC|CAN|PNH|
PNH|OVB,|OVB|URC|CAN|PNH|
PNH|TBS,|TBS|URC|CAN|PNH|
PNH|TCG,|TCG|URC|CAN|PNH|
PNH|TSE,|TSE|URC|CAN|PNH|
PNH|YIN,|YIN|URC|CAN|PNH|
PNH|ENH,|ENH|WUH|CAN|PNH|
PNH|ENY,|ENY|XIY|CAN|PNH|
PNH|WXN,|WXN|XMN|CAN|PNH|
PNH|BLL,|BLL|IST|CAN|PNH|
PNH|ESB,|ESB|IST|CAN|PNH|
PNH|SAW,|SAW|TBS|URC|CAN|PNH|
PNH|HAM,|HAM|IST|CAN|PNH|
PNH|HRE,|HRE|ADD|IST|CAN|PNH|
PNH|JUB,|JUB|CAI|IST|CAN|PNH|
PNH|SSG,|SSG|DLA|IST|CAN|PNH|
PNH|BGW,|BGW|IST|CAN|PNH|
PNH|EBL,|EBL|IST|CAN|PNH|
PNH|VKO,|VKO|IST|CAN|PNH|
PNH|MCT,|MCT|IST|CAN|PNH|
PNH|AYT,|AYT|IST|CAN|PNH|
PNH|SCQ,|SCQ|BIO|IST|CAN|PNH|
PNH|AAL,|AAL|IST|CAN|PNH|
PNH|AOE,|AOE|BRU|DEL|CAN|PNH|
PNH|JNB,|JNB|IST|CAN|PNH|
PNH|LBV,|LBV|DLA|IST|CAN|PNH|
PNH|ADA,|ADA|IST|CAN|PNH|
PNH|ADB,|ADB|IST|CAN|PNH|
PNH|ADF,|ADF|IST|CAN|PNH|
PNH|AJI,|AJI|IST|CAN|PNH|
PNH|BAL,|BAL|IST|CAN|PNH|
PNH|BJV,|BJV|IST|CAN|PNH|
PNH|CKZ,|CKZ|ESB|IST|CAN|PNH|
PNH|DIY,|DIY|IST|CAN|PNH|
PNH|ECN,|ECN|IST|CAN|PNH|
PNH|ERC,|ERC|IST|CAN|PNH|
PNH|ERZ,|ERZ|IST|CAN|PNH|
PNH|EZS,|EZS|IST|CAN|PNH|
PNH|GNY,|GNY|IST|CAN|PNH|
PNH|GZP,|GZP|ESB|IST|CAN|PNH|
PNH|GZT,|GZT|IST|CAN|PNH|
PNH|HTY,|HTY|IST|CAN|PNH|
PNH|KCM,|KCM|IST|CAN|PNH|
PNH|KSY,|KSY|IST|CAN|PNH|
PNH|MLX,|MLX|IST|CAN|PNH|
PNH|MQM,|MQM|IST|CAN|PNH|
PNH|MSR,|MSR|IST|CAN|PNH|
PNH|TEQ,|TEQ|ESB|IST|CAN|PNH|
PNH|TZX,|TZX|IST|CAN|PNH|
PNH|VAN,|VAN|IST|CAN|PNH|
PNH|ULN,|ULN|FRU|URC|CAN|PNH|
PNH|HIJ,|HIJ|ICN|CAN|PNH|
PNH|VVO,|VVO|ICN|CAN|PNH|
PNH|ACC,|ACC|IST|CAN|PNH|
PNH|AER,|AER|IST|CAN|PNH|
PNH|AGP,|AGP|IST|CAN|PNH|
PNH|ALG,|ALG|IST|CAN|PNH|
PNH|AMM,|AMM|IST|CAN|PNH|
PNH|AQJ,|AQJ|IST|CAN|PNH|
PNH|ARN,|ARN|IST|CAN|PNH|
PNH|ASR,|ASR|IST|CAN|PNH|
PNH|ATH,|ATH|IST|CAN|PNH|
PNH|BAH,|BAH|IST|CAN|PNH|
PNH|BEG,|BEG|IST|CAN|PNH|
PNH|BEN,|BEN|IST|CAN|PNH|
PNH|BEY,|BEY|IST|CAN|PNH|
PNH|BHX,|BHX|BRU|DEL|CAN|PNH|
PNH|BIO,|BIO|IST|CAN|PNH|
PNH|BLQ,|BLQ|IST|CAN|PNH|
PNH|BOM,|BOM|IST|CAN|PNH|
PNH|BRE,|BRE|IST|CAN|PNH|
PNH|BSL,|BSL|IST|CAN|PNH|
PNH|BSR,|BSR|IST|CAN|PNH|
PNH|BUD,|BUD|IST|CAN|PNH|
PNH|BUS,|BUS|IST|CAN|PNH|
PNH|CAI,|CAI|IST|CAN|PNH|
PNH|CGN,|CGN|IST|CAN|PNH|
PNH|CMN,|CMN|IST|CAN|PNH|
PNH|CND,|CND|IST|CAN|PNH|
PNH|DAR,|DAR|NBO|CAN|PNH|
PNH|DLM,|DLM|IST|CAN|PNH|
PNH|DMM,|DMM|IST|CAN|PNH|
PNH|DNK,|DNK|IST|CAN|PNH|
PNH|DNZ,|DNZ|IST|CAN|PNH|
PNH|DOK,|DOK|IST|CAN|PNH|
PNH|DUS,|DUS|IST|CAN|PNH|
PNH|EDI,|EDI|IST|CAN|PNH|
PNH|ELQ,|ELQ|IST|CAN|PNH|
PNH|FDH,|FDH|IST|CAN|PNH|
PNH|GOA,|GOA|IST|CAN|PNH|
PNH|GOT,|GOT|IST|CAN|PNH|
PNH|HAJ,|HAJ|IST|CAN|PNH|
PNH|HBE,|HBE|IST|CAN|PNH|
PNH|HEL,|HEL|IST|CAN|PNH|
PNH|HRG,|HRG|IST|CAN|PNH|
PNH|IFN,|IFN|IST|CAN|PNH|
PNH|ISE,|ISE|IST|CAN|PNH|
PNH|ISU,|ISU|IST|CAN|PNH|
PNH|JIB,|JIB|IST|CAN|PNH|
PNH|JRO,|JRO|IST|CAN|PNH|
PNH|KAN,|KAN|IST|CAN|PNH|
PNH|KBL,|KBL|IST|CAN|PNH|
PNH|KBP,|KBP|IST|CAN|PNH|
PNH|KFS,|KFS|IST|CAN|PNH|
PNH|KHI,|KHI|IST|CAN|PNH|
PNH|KIV,|KIV|IST|CAN|PNH|
PNH|KRT,|KRT|IST|CAN|PNH|
PNH|KSH,|KSH|IST|CAN|PNH|
PNH|KVD,|KVD|IST|CAN|PNH|
PNH|KWI,|KWI|IST|CAN|PNH|
PNH|KYA,|KYA|IST|CAN|PNH|
PNH|KZN,|KZN|IST|CAN|PNH|
PNH|KZR,|KZR|IST|CAN|PNH|
PNH|LED,|LED|IST|CAN|PNH|
PNH|LEJ,|LEJ|IST|CAN|PNH|
PNH|LGW,|LGW|IST|CAN|PNH|
PNH|LHE,|LHE|IST|CAN|PNH|
PNH|LIS,|LIS|IST|CAN|PNH|
PNH|LJU,|LJU|IST|CAN|PNH|
PNH|LOS,|LOS|IST|CAN|PNH|
PNH|LUX,|LUX|IST|CAN|PNH|
PNH|LWO,|LWO|IST|CAN|PNH|
PNH|LYS,|LYS|IST|CAN|PNH|
PNH|MAD,|MAD|IST|CAN|PNH|
PNH|MAN,|MAN|IST|CAN|PNH|
PNH|MED,|MED|IST|CAN|PNH|
PNH|MHD,|MHD|IST|CAN|PNH|
PNH|MLA,|MLA|IST|CAN|PNH|
PNH|MRS,|MRS|IST|CAN|PNH|
PNH|MSQ,|MSQ|IST|CAN|PNH|
PNH|MXP,|MXP|IST|CAN|PNH|
PNH|MZH,|MZH|IST|CAN|PNH|
PNH|MZR,|MZR|IST|CAN|PNH|
PNH|NAJ,|NAJ|IST|CAN|PNH|
PNH|NAV,|NAV|IST|CAN|PNH|
PNH|NCE,|NCE|IST|CAN|PNH|
PNH|NIM,|NIM|IST|CAN|PNH|
PNH|NJF,|NJF|IST|CAN|PNH|
PNH|NSI,|NSI|IST|CAN|PNH|
PNH|NUE,|NUE|IST|CAN|PNH|
PNH|ODS,|ODS|IST|CAN|PNH|
PNH|ORN,|ORN|IST|CAN|PNH|
PNH|OTP,|OTP|IST|CAN|PNH|
PNH|PRG,|PRG|IST|CAN|PNH|
PNH|PRN,|PRN|IST|CAN|PNH|
PNH|RIX,|RIX|IST|CAN|PNH|
PNH|ROV,|ROV|IST|CAN|PNH|
PNH|RTM,|RTM|IST|CAN|PNH|
PNH|RUH,|RUH|IST|CAN|PNH|
PNH|SAH,|SAH|IST|CAN|PNH|
PNH|SJJ,|SJJ|IST|CAN|PNH|
PNH|SKG,|SKG|IST|CAN|PNH|
PNH|SKP,|SKP|IST|CAN|PNH|
PNH|SSH,|SSH|IST|CAN|PNH|
PNH|STR,|STR|IST|CAN|PNH|
PNH|SVX,|SVX|IST|CAN|PNH|
PNH|SYZ,|SYZ|IST|CAN|PNH|
PNH|SZG,|SZG|IST|CAN|PNH|
PNH|TBZ,|TBZ|IST|CAN|PNH|
PNH|TGD,|TGD|IST|CAN|PNH|
PNH|TIA,|TIA|IST|CAN|PNH|
PNH|TIF,|TIF|IST|CAN|PNH|
PNH|TIP,|TIP|IST|CAN|PNH|
PNH|TLL,|TLL|IST|CAN|PNH|
PNH|TLS,|TLS|IST|CAN|PNH|
PNH|TRN,|TRN|IST|CAN|PNH|
PNH|TUN,|TUN|IST|CAN|PNH|
PNH|TXL,|TXL|IST|CAN|PNH|
PNH|UFA,|UFA|IST|CAN|PNH|
PNH|VAS,|VAS|IST|CAN|PNH|
PNH|VCE,|VCE|IST|CAN|PNH|
PNH|YNB,|YNB|IST|CAN|PNH|
PNH|ZAG,|ZAG|IST|CAN|PNH|
PNH|MGQ,|MGQ|JIB|IST|CAN|PNH|
PNH|CPT,|CPT|JNB|IST|CAN|PNH|
PNH|MBA,|MBA|JRO|IST|CAN|PNH|
PNH|NDJ,|NDJ|KAN|IST|CAN|PNH|
PNH|CMB,|CMB|MLE|CAN|PNH|
PNH|ADE,|ADE|SAH|IST|CAN|PNH|
PNH|ASF,|ASF|SAW|TBS|URC|CAN|PNH|
PNH|STW,|STW|SAW|TBS|URC|CAN|PNH|
PNH|LFW,|LFW|ABJ|OUA|NIM|IST|CAN|PNH|
PNH|CEC,|CEC|SFO|PVG|CAN|PNH|
PNH|SMF,|SMF|SFO|PVG|CAN|PNH|
PNH|CDR,|CDR|AIA|DEN|YVR|CAN|PNH|
PNH|FMN,|FMN|DEN|YVR|CAN|PNH|
