NAJ|BRU,|BRU|IST|KVD|NAJ|
NAJ|TOY,|TOY|DLC|PEK|IST|KVD|NAJ|
NAJ|MFM,|MFM|XMN|CSX|URC|IST|KVD|NAJ|
NAJ|TGO,|TGO|HET|URC|IST|KVD|NAJ|
NAJ|XIL,|XIL|HET|URC|IST|KVD|NAJ|
NAJ|HEK,|HEK|HRB|PEK|IST|KVD|NAJ|
NAJ|KIJ,|KIJ|HRB|PEK|IST|KVD|NAJ|
NAJ|LDS,|LDS|HRB|PEK|IST|KVD|NAJ|
NAJ|OHE,|OHE|HRB|PEK|IST|KVD|NAJ|
NAJ|HSN,|HSN|LYG|XUZ|INC|URC|IST|KVD|NAJ|
NAJ|DLU,|DLU|KMG|CTU|URC|IST|KVD|NAJ|
NAJ|SYM,|SYM|KMG|CTU|URC|IST|KVD|NAJ|
NAJ|ZAT,|ZAT|KMG|CTU|URC|IST|KVD|NAJ|
NAJ|LUN,|LUN|NBO|IST|KVD|NAJ|
NAJ|AOG,|AOG|PEK|IST|KVD|NAJ|
NAJ|GMP,|GMP|PEK|IST|KVD|NAJ|
NAJ|ISB,|ISB|IST|KVD|NAJ|
NAJ|TAS,|TAS|IST|KVD|NAJ|
NAJ|WUS,|WUS|PEK|IST|KVD|NAJ|
NAJ|JMU,|JMU|PVG|IST|KVD|NAJ|
NAJ|NDG,|NDG|PVG|IST|KVD|NAJ|
NAJ|JXA,|JXA|SHE|PEK|IST|KVD|NAJ|
NAJ|PUS,|PUS|SHE|PEK|IST|KVD|NAJ|
NAJ|BKI,|BKI|SZX|CKG|URC|IST|KVD|NAJ|
NAJ|AKU,|AKU|URC|IST|KVD|NAJ|
NAJ|ALA,|ALA|IST|KVD|NAJ|
NAJ|ASB,|ASB|IST|KVD|NAJ|
NAJ|DNH,|DNH|URC|IST|KVD|NAJ|
NAJ|DYU,|DYU|IST|KVD|NAJ|
NAJ|FRU,|FRU|IST|KVD|NAJ|
NAJ|GYD,|GYD|IST|KVD|NAJ|
NAJ|HTN,|HTN|URC|IST|KVD|NAJ|
NAJ|IKA,|IKA|IST|KVD|NAJ|
NAJ|KCA,|KCA|URC|IST|KVD|NAJ|
NAJ|KHG,|KHG|URC|IST|KVD|NAJ|
NAJ|KRL,|KRL|URC|IST|KVD|NAJ|
NAJ|KRY,|KRY|URC|IST|KVD|NAJ|
NAJ|LBD,|LBD|URC|IST|KVD|NAJ|
NAJ|NLT,|NLT|URC|IST|KVD|NAJ|
NAJ|OSS,|OSS|IST|KVD|NAJ|
NAJ|OVB,|OVB|IST|KVD|NAJ|
NAJ|TBS,|TBS|IST|KVD|NAJ|
NAJ|TCG,|TCG|URC|IST|KVD|NAJ|
NAJ|TSE,|TSE|IST|KVD|NAJ|
NAJ|YIN,|YIN|URC|IST|KVD|NAJ|
NAJ|ENH,|ENH|WUH|URC|IST|KVD|NAJ|
NAJ|ENY,|ENY|XIY|URC|IST|KVD|NAJ|
NAJ|WXN,|WXN|XIY|URC|IST|KVD|NAJ|
NAJ|BLL,|BLL|IST|KVD|NAJ|
NAJ|ESB,|ESB|IST|KVD|NAJ|
NAJ|SAW,|SAW|ADB|IST|KVD|NAJ|
NAJ|HAM,|HAM|IST|KVD|NAJ|
NAJ|HRE,|HRE|ADD|IST|KVD|NAJ|
NAJ|JUB,|JUB|CAI|IST|KVD|NAJ|
NAJ|SSG,|SSG|DLA|IST|KVD|NAJ|
NAJ|BGW,|BGW|IST|KVD|NAJ|
NAJ|EBL,|EBL|IST|KVD|NAJ|
NAJ|VKO,|VKO|IST|KVD|NAJ|
NAJ|MCT,|MCT|IST|KVD|NAJ|
NAJ|AYT,|AYT|IST|KVD|NAJ|
NAJ|SCQ,|SCQ|BIO|IST|KVD|NAJ|
NAJ|AAL,|AAL|IST|KVD|NAJ|
NAJ|AOE,|AOE|BRU|IST|KVD|NAJ|
NAJ|JNB,|JNB|IST|KVD|NAJ|
NAJ|LBV,|LBV|DLA|IST|KVD|NAJ|
NAJ|ADA,|ADA|IST|KVD|NAJ|
NAJ|ADB,|ADB|IST|KVD|NAJ|
NAJ|ADF,|ADF|IST|KVD|NAJ|
NAJ|AJI,|AJI|IST|KVD|NAJ|
NAJ|BAL,|BAL|IST|KVD|NAJ|
NAJ|BJV,|BJV|IST|KVD|NAJ|
NAJ|CKZ,|CKZ|ESB|IST|KVD|NAJ|
NAJ|DIY,|DIY|IST|KVD|NAJ|
NAJ|ECN,|ECN|IST|KVD|NAJ|
NAJ|ERC,|ERC|IST|KVD|NAJ|
NAJ|ERZ,|ERZ|IST|KVD|NAJ|
NAJ|EZS,|EZS|IST|KVD|NAJ|
NAJ|GNY,|GNY|IST|KVD|NAJ|
NAJ|GZP,|GZP|ESB|IST|KVD|NAJ|
NAJ|GZT,|GZT|IST|KVD|NAJ|
NAJ|HTY,|HTY|IST|KVD|NAJ|
NAJ|KCM,|KCM|IST|KVD|NAJ|
NAJ|KSY,|KSY|IST|KVD|NAJ|
NAJ|MLX,|MLX|IST|KVD|NAJ|
NAJ|MQM,|MQM|IST|KVD|NAJ|
NAJ|MSR,|MSR|IST|KVD|NAJ|
NAJ|TEQ,|TEQ|ESB|IST|KVD|NAJ|
NAJ|TZX,|TZX|IST|KVD|NAJ|
NAJ|VAN,|VAN|IST|KVD|NAJ|
NAJ|ULN,|ULN|FRU|IST|KVD|NAJ|
NAJ|HIJ,|HIJ|ICN|IST|KVD|NAJ|
NAJ|VVO,|VVO|ICN|IST|KVD|NAJ|
NAJ|ACC,|ACC|IST|KVD|NAJ|
NAJ|AER,|AER|IST|KVD|NAJ|
NAJ|AGP,|AGP|IST|KVD|NAJ|
NAJ|ALG,|ALG|IST|KVD|NAJ|
NAJ|AMM,|AMM|IST|KVD|NAJ|
NAJ|AQJ,|AQJ|IST|KVD|NAJ|
NAJ|ARN,|ARN|IST|KVD|NAJ|
NAJ|ASR,|ASR|IST|KVD|NAJ|
NAJ|ATH,|ATH|IST|KVD|NAJ|
NAJ|BAH,|BAH|IST|KVD|NAJ|
NAJ|BEG,|BEG|IST|KVD|NAJ|
NAJ|BEN,|BEN|IST|KVD|NAJ|
NAJ|BEY,|BEY|IST|KVD|NAJ|
NAJ|BHX,|BHX|IST|KVD|NAJ|
NAJ|BIO,|BIO|IST|KVD|NAJ|
NAJ|BLQ,|BLQ|IST|KVD|NAJ|
NAJ|BOM,|BOM|IST|KVD|NAJ|
NAJ|BRE,|BRE|IST|KVD|NAJ|
NAJ|BSL,|BSL|IST|KVD|NAJ|
NAJ|BSR,|BSR|IST|KVD|NAJ|
NAJ|BUD,|BUD|IST|KVD|NAJ|
NAJ|BUS,|BUS|IST|KVD|NAJ|
NAJ|CAI,|CAI|IST|KVD|NAJ|
NAJ|CGN,|CGN|IST|KVD|NAJ|
NAJ|CMN,|CMN|IST|KVD|NAJ|
NAJ|CND,|CND|IST|KVD|NAJ|
NAJ|DAR,|DAR|IST|KVD|NAJ|
NAJ|DLM,|DLM|IST|KVD|NAJ|
NAJ|DMM,|DMM|IST|KVD|NAJ|
NAJ|DNK,|DNK|IST|KVD|NAJ|
NAJ|DNZ,|DNZ|IST|KVD|NAJ|
NAJ|DOK,|DOK|IST|KVD|NAJ|
NAJ|DUS,|DUS|IST|KVD|NAJ|
NAJ|EDI,|EDI|IST|KVD|NAJ|
NAJ|ELQ,|ELQ|IST|KVD|NAJ|
NAJ|FDH,|FDH|IST|KVD|NAJ|
NAJ|GOA,|GOA|IST|KVD|NAJ|
NAJ|GOT,|GOT|IST|KVD|NAJ|
NAJ|HAJ,|HAJ|IST|KVD|NAJ|
NAJ|HBE,|HBE|IST|KVD|NAJ|
NAJ|HEL,|HEL|IST|KVD|NAJ|
NAJ|HRG,|HRG|IST|KVD|NAJ|
NAJ|IFN,|IFN|IST|KVD|NAJ|
NAJ|ISE,|ISE|IST|KVD|NAJ|
NAJ|ISU,|ISU|IST|KVD|NAJ|
NAJ|JIB,|JIB|IST|KVD|NAJ|
