AUH|BRU,|BRU|IST|AUH|
AUH|ZBF,|ZBF|YUL|FRA|AUH|
AUH|ZRH,|ZRH|IST|AUH|
AUH|ZSA,|ZSA|YUL|FRA|AUH|
AUH|AKL,|AKL|BKK|IST|AUH|
AUH|HKG,|HKG|IST|AUH|
AUH|HND,|HND|YVR|FRA|AUH|
AUH|HNL,|HNL|YVR|FRA|AUH|
AUH|MEX,|MEX|YYZ|AUH|
AUH|OGG,|OGG|YVR|FRA|AUH|
AUH|PDX,|PDX|SEA|FRA|AUH|
AUH|PEK,|PEK|IST|AUH|
AUH|PVG,|PVG|IST|AUH|
AUH|PVR,|PVR|IAH|YYZ|AUH|
AUH|SEA,|SEA|FRA|AUH|
AUH|SYD,|SYD|BKK|IST|AUH|
AUH|YBL,|YBL|YVR|FRA|AUH|
AUH|YCD,|YCD|YVR|FRA|AUH|
AUH|YCG,|YCG|YYC|FRA|AUH|
AUH|YKA,|YKA|YYC|FRA|AUH|
AUH|YPR,|YPR|YVR|FRA|AUH|
AUH|YQZ,|YQZ|YVR|FRA|AUH|
AUH|YXC,|YXC|YYC|FRA|AUH|
AUH|YXJ,|YXJ|YYC|FRA|AUH|
AUH|YXS,|YXS|YYC|FRA|AUH|
AUH|YXT,|YXT|YVR|FRA|AUH|
AUH|YXY,|YXY|YVR|FRA|AUH|
AUH|YYD,|YYD|YVR|FRA|AUH|
AUH|YYF,|YYF|YVR|FRA|AUH|
AUH|YZP,|YZP|YVR|FRA|AUH|
AUH|YQT,|YQT|YYZ|AUH|
AUH|SJD,|SJD|ORD|YYZ|AUH|
AUH|YQF,|YQF|YYC|FRA|AUH|
AUH|YQL,|YQL|YYC|FRA|AUH|
AUH|YXH,|YXH|YYC|FRA|AUH|
AUH|YWK,|YWK|YYR|YYT|LHR|IST|AUH|
AUH|ANU,|ANU|EWR|FRA|AUH|
AUH|AUA,|AUA|EWR|FRA|AUH|
AUH|BCN,|BCN|IST|AUH|
AUH|BDA,|BDA|EWR|FRA|AUH|
AUH|BGI,|BGI|YYZ|AUH|
AUH|BNA,|BNA|YYZ|AUH|
AUH|BOG,|BOG|JFK|FRA|AUH|
AUH|BWI,|BWI|EWR|FRA|AUH|
AUH|CLE,|CLE|YYZ|AUH|
AUH|CLT,|CLT|EWR|FRA|AUH|
AUH|CMH,|CMH|YYZ|AUH|
AUH|CVG,|CVG|YYZ|AUH|
AUH|DFW,|DFW|YYZ|AUH|
AUH|DTW,|DTW|YYZ|AUH|
AUH|DUB,|DUB|IST|AUH|
AUH|FCO,|FCO|IST|AUH|
AUH|GCM,|GCM|EWR|FRA|AUH|
AUH|GGT,|GGT|FLL|MCO|FRA|AUH|
AUH|GND,|GND|YYZ|AUH|
AUH|GRU,|GRU|IST|AUH|
AUH|HAV,|HAV|YYZ|AUH|
AUH|IND,|IND|YYZ|AUH|
AUH|JFK,|JFK|FRA|AUH|
AUH|KIN,|KIN|YYZ|AUH|
AUH|LIM,|LIM|MIA|ZRH|IST|AUH|
AUH|LIR,|LIR|EWR|FRA|AUH|
AUH|MCI,|MCI|YYZ|AUH|
AUH|MDT,|MDT|IAD|FRA|AUH|
AUH|MIA,|MIA|ZRH|IST|AUH|
AUH|MKE,|MKE|YYZ|AUH|
AUH|MSP,|MSP|YYZ|AUH|
AUH|NAS,|NAS|EWR|FRA|AUH|
AUH|PHL,|PHL|IAD|FRA|AUH|
AUH|PHX,|PHX|DEN|FRA|AUH|
AUH|PIT,|PIT|YYZ|AUH|
AUH|PLS,|PLS|EWR|FRA|AUH|
AUH|POP,|POP|EWR|FRA|AUH|
AUH|RDU,|RDU|EWR|FRA|AUH|
AUH|ROC,|ROC|YYZ|AUH|
AUH|RSW,|RSW|MCO|FRA|AUH|
AUH|SAN,|SAN|LAX|IST|AUH|
AUH|SJO,|SJO|EWR|FRA|AUH|
AUH|STL,|STL|YYZ|AUH|
AUH|SYR,|SYR|EWR|FRA|AUH|
AUH|TLV,|TLV|IST|AUH|
AUH|TPA,|TPA|EWR|FRA|AUH|
AUH|UVF,|UVF|EWR|FRA|AUH|
AUH|VIE,|VIE|IST|AUH|
AUH|YAM,|YAM|YYZ|AUH|
AUH|YGK,|YGK|YYZ|AUH|
AUH|YQG,|YQG|YYZ|AUH|
AUH|YSB,|YSB|YYZ|AUH|
AUH|YTS,|YTS|YYZ|AUH|
AUH|YYB,|YYB|YYZ|AUH|
AUH|YZR,|YZR|YYZ|AUH|
AUH|CAN,|CAN|IST|AUH|
AUH|URC,|URC|IST|AUH|
AUH|CTU,|CTU|URC|IST|AUH|
AUH|HGH,|HGH|URC|IST|AUH|
AUH|XMN,|XMN|CSX|URC|IST|AUH|
AUH|CGO,|CGO|URC|IST|AUH|
AUH|CSX,|CSX|URC|IST|AUH|
AUH|SHE,|SHE|PEK|IST|AUH|
AUH|SJW,|SJW|URC|IST|AUH|
AUH|WUH,|WUH|URC|IST|AUH|
AUH|SZX,|SZX|CKG|URC|IST|AUH|
AUH|CKG,|CKG|URC|IST|AUH|
AUH|KMG,|KMG|CTU|URC|IST|AUH|
AUH|FOC,|FOC|XIY|URC|IST|AUH|
AUH|NNG,|NNG|KWE|URC|IST|AUH|
AUH|SWA,|SWA|CAN|IST|AUH|
AUH|ACX,|ACX|CAN|IST|AUH|
AUH|AQG,|AQG|CAN|IST|AUH|
AUH|AVA,|AVA|CAN|IST|AUH|
AUH|BFJ,|BFJ|CAN|IST|AUH|
AUH|BHY,|BHY|CKG|URC|IST|AUH|
AUH|BNE,|BNE|BKK|IST|AUH|
AUH|CGD,|CGD|PEK|IST|AUH|
AUH|CGK,|CGK|SIN|IST|AUH|
AUH|CGQ,|CGQ|HET|URC|IST|AUH|
AUH|CIH,|CIH|PEK|IST|AUH|
AUH|CNX,|CNX|CAN|IST|AUH|
AUH|CZX,|CZX|TYN|URC|IST|AUH|
AUH|DAC,|DAC|IST|AUH|
AUH|DAD,|DAD|CAN|IST|AUH|
AUH|DEL,|DEL|IST|AUH|
AUH|DIG,|DIG|KMG|CTU|URC|IST|AUH|
AUH|DLC,|DLC|PEK|IST|AUH|
AUH|DPS,|DPS|CAN|IST|AUH|
AUH|DXB,|DXB|IST|AUH|
AUH|DYG,|DYG|CSX|URC|IST|AUH|
AUH|FUG,|FUG|CAN|IST|AUH|
AUH|FUK,|FUK|ICN|IST|AUH|
AUH|HAK,|HAK|CTU|URC|IST|AUH|
AUH|HAN,|HAN|CAN|IST|AUH|
AUH|HDG,|HDG|CAN|IST|AUH|
AUH|HET,|HET|URC|IST|AUH|
AUH|HFE,|HFE|XIY|URC|IST|AUH|
AUH|HJJ,|HJJ|CSX|URC|IST|AUH|
AUH|HKT,|HKT|KWE|URC|IST|AUH|
AUH|HRB,|HRB|PEK|IST|AUH|
AUH|HZH,|HZH|CAN|IST|AUH|
AUH|JIU,|JIU|CAN|IST|AUH|
AUH|JJN,|JJN|CSX|URC|IST|AUH|
AUH|JNG,|JNG|CAN|IST|AUH|
AUH|KHN,|KHN|XIY|URC|IST|AUH|
AUH|KIX,|KIX|IST|AUH|
AUH|KOW,|KOW|CAN|IST|AUH|
AUH|KTM,|KTM|IST|AUH|
AUH|KUL,|KUL|IST|AUH|
AUH|KWE,|KWE|URC|IST|AUH|
AUH|KWL,|KWL|CKG|URC|IST|AUH|
AUH|LHW,|LHW|URC|IST|AUH|
AUH|LYA,|LYA|KHN|XIY|URC|IST|AUH|
AUH|LYG,|LYG|XUZ|INC|URC|IST|AUH|
AUH|LZH,|LZH|CAN|IST|AUH|
AUH|MEL,|MEL|BKK|IST|AUH|
AUH|MIG,|MIG|CSX|URC|IST|AUH|
AUH|MLE,|MLE|IST|AUH|
AUH|MNL,|MNL|CAN|IST|AUH|
AUH|MXZ,|MXZ|CAN|IST|AUH|
AUH|NAO,|NAO|PEK|IST|AUH|
AUH|NGB,|NGB|WUH|URC|IST|AUH|
AUH|NKG,|NKG|URC|IST|AUH|
AUH|NNY,|NNY|CGO|URC|IST|AUH|
AUH|PEN,|PEN|CAN|IST|AUH|
AUH|PER,|PER|BKK|IST|AUH|
AUH|PNH,|PNH|CAN|IST|AUH|
AUH|REP,|REP|CAN|IST|AUH|
AUH|RGN,|RGN|CAN|IST|AUH|
AUH|SGN,|SGN|BKK|IST|AUH|
AUH|SHA,|SHA|URC|IST|AUH|
AUH|SIN,|SIN|IST|AUH|
AUH|SVO,|SVO|URC|IST|AUH|
AUH|SYX,|SYX|CKG|URC|IST|AUH|
AUH|TAO,|TAO|TYN|URC|IST|AUH|
AUH|TEN,|TEN|CAN|IST|AUH|
AUH|TNA,|TNA|URC|IST|AUH|
AUH|TPE,|TPE|URC|IST|AUH|
AUH|TSN,|TSN|HET|URC|IST|AUH|
AUH|TXN,|TXN|TYN|URC|IST|AUH|
AUH|TYN,|TYN|URC|IST|AUH|
AUH|WNZ,|WNZ|XIY|URC|IST|AUH|
AUH|WUX,|WUX|CAN|IST|AUH|
AUH|XFN,|XFN|CAN|IST|AUH|
AUH|XIY,|XIY|URC|IST|AUH|
AUH|XUZ,|XUZ|INC|URC|IST|AUH|
AUH|YIH,|YIH|CKG|URC|IST|AUH|
AUH|YIW,|YIW|URC|IST|AUH|
AUH|YNT,|YNT|SHE|PEK|IST|AUH|
AUH|YNZ,|YNZ|WUH|URC|IST|AUH|
AUH|YTY,|YTY|CGO|URC|IST|AUH|
AUH|ZHA,|ZHA|CAN|IST|AUH|
AUH|ZYI,|ZYI|CAN|IST|AUH|
AUH|BAV,|BAV|URC|IST|AUH|
AUH|CJU,|CJU|DLC|PEK|IST|AUH|
AUH|DSN,|DSN|CGO|URC|IST|AUH|
AUH|HMI,|HMI|URC|IST|AUH|
AUH|INC,|INC|URC|IST|AUH|
AUH|KHH,|KHH|WUH|URC|IST|AUH|
AUH|UYN,|UYN|XIY|URC|IST|AUH|
AUH|XNN,|XNN|URC|IST|AUH|
AUH|ZUH,|ZUH|KWE|URC|IST|AUH|
AUH|YNJ,|YNJ|PEK|IST|AUH|
AUH|DAT,|DAT|TYN|URC|IST|AUH|
AUH|JHG,|JHG|KMG|CTU|URC|IST|AUH|
AUH|LJG,|LJG|KMG|CTU|URC|IST|AUH|
AUH|LXA,|LXA|CKG|URC|IST|AUH|
AUH|YCU,|YCU|CKG|URC|IST|AUH|
AUH|LZO,|LZO|CSX|URC|IST|AUH|
AUH|MDG,|MDG|DLC|PEK|IST|AUH|
AUH|NGO,|NGO|ICN|IST|AUH|
AUH|TOY,|TOY|DLC|PEK|IST|AUH|
AUH|MFM,|MFM|XMN|CSX|URC|IST|AUH|
AUH|TGO,|TGO|HET|URC|IST|AUH|
AUH|XIL,|XIL|HET|URC|IST|AUH|
AUH|HEK,|HEK|HRB|PEK|IST|AUH|
AUH|KIJ,|KIJ|HRB|PEK|IST|AUH|
AUH|LDS,|LDS|HRB|PEK|IST|AUH|
AUH|OHE,|OHE|HRB|PEK|IST|AUH|
AUH|HSN,|HSN|LYG|XUZ|INC|URC|IST|AUH|
AUH|DLU,|DLU|KMG|CTU|URC|IST|AUH|
AUH|SYM,|SYM|KMG|CTU|URC|IST|AUH|
AUH|ZAT,|ZAT|KMG|CTU|URC|IST|AUH|
AUH|LUN,|LUN|NBO|IST|AUH|
AUH|AOG,|AOG|PEK|IST|AUH|
AUH|GMP,|GMP|PEK|IST|AUH|
AUH|ISB,|ISB|IST|AUH|
AUH|TAS,|TAS|IST|AUH|
AUH|WUS,|WUS|PEK|IST|AUH|
AUH|JMU,|JMU|PVG|IST|AUH|
AUH|NDG,|NDG|PVG|IST|AUH|
AUH|JXA,|JXA|SHE|PEK|IST|AUH|
AUH|PUS,|PUS|SHE|PEK|IST|AUH|
AUH|BKI,|BKI|SZX|CKG|URC|IST|AUH|
AUH|AKU,|AKU|URC|IST|AUH|
AUH|ALA,|ALA|IST|AUH|
AUH|ASB,|ASB|IST|AUH|
AUH|DNH,|DNH|URC|IST|AUH|
AUH|DYU,|DYU|IST|AUH|
AUH|FRU,|FRU|IST|AUH|
AUH|GYD,|GYD|IST|AUH|
AUH|HTN,|HTN|URC|IST|AUH|
AUH|IKA,|IKA|IST|AUH|
AUH|KCA,|KCA|URC|IST|AUH|
AUH|KHG,|KHG|URC|IST|AUH|
AUH|KRL,|KRL|URC|IST|AUH|
AUH|KRY,|KRY|URC|IST|AUH|
AUH|LBD,|LBD|URC|IST|AUH|
AUH|NLT,|NLT|URC|IST|AUH|
AUH|OSS,|OSS|IST|AUH|
AUH|OVB,|OVB|IST|AUH|
AUH|TBS,|TBS|IST|AUH|
AUH|TCG,|TCG|URC|IST|AUH|
AUH|TSE,|TSE|IST|AUH|
AUH|YIN,|YIN|URC|IST|AUH|
AUH|ENH,|ENH|WUH|URC|IST|AUH|
AUH|ENY,|ENY|XIY|URC|IST|AUH|
AUH|WXN,|WXN|XIY|URC|IST|AUH|
AUH|BLL,|BLL|IST|AUH|
AUH|ESB,|ESB|IST|AUH|
AUH|SAW,|SAW|ADB|IST|AUH|
AUH|HAM,|HAM|IST|AUH|
AUH|HRE,|HRE|ADD|IST|AUH|
AUH|JUB,|JUB|CAI|IST|AUH|
AUH|SSG,|SSG|DLA|IST|AUH|
AUH|BGW,|BGW|IST|AUH|
AUH|EBL,|EBL|IST|AUH|
AUH|VKO,|VKO|IST|AUH|
AUH|MCT,|MCT|AUH|
AUH|AYT,|AYT|IST|AUH|
AUH|SCQ,|SCQ|BIO|IST|AUH|
AUH|AAL,|AAL|IST|AUH|
AUH|AOE,|AOE|BRU|IST|AUH|
AUH|JNB,|JNB|IST|AUH|
AUH|LBV,|LBV|DLA|IST|AUH|
AUH|ADA,|ADA|IST|AUH|
AUH|ADB,|ADB|IST|AUH|
AUH|ADF,|ADF|IST|AUH|
AUH|AJI,|AJI|IST|AUH|
AUH|BAL,|BAL|IST|AUH|
AUH|BJV,|BJV|IST|AUH|
AUH|CKZ,|CKZ|ESB|IST|AUH|
AUH|DIY,|DIY|IST|AUH|
AUH|ECN,|ECN|IST|AUH|
AUH|ERC,|ERC|IST|AUH|
AUH|ERZ,|ERZ|IST|AUH|
AUH|EZS,|EZS|IST|AUH|
AUH|GNY,|GNY|IST|AUH|
AUH|GZP,|GZP|ESB|IST|AUH|
AUH|GZT,|GZT|IST|AUH|
AUH|HTY,|HTY|IST|AUH|
AUH|KCM,|KCM|IST|AUH|
AUH|KSY,|KSY|IST|AUH|
AUH|MLX,|MLX|IST|AUH|
AUH|MQM,|MQM|IST|AUH|
AUH|MSR,|MSR|IST|AUH|
AUH|TEQ,|TEQ|ESB|IST|AUH|
AUH|TZX,|TZX|IST|AUH|
AUH|VAN,|VAN|IST|AUH|
AUH|ULN,|ULN|FRU|IST|AUH|
AUH|HIJ,|HIJ|ICN|IST|AUH|
AUH|VVO,|VVO|ICN|IST|AUH|
AUH|ACC,|ACC|IST|AUH|
AUH|AER,|AER|IST|AUH|
AUH|AGP,|AGP|IST|AUH|
AUH|ALG,|ALG|IST|AUH|
AUH|AMM,|AMM|IST|AUH|
AUH|AQJ,|AQJ|IST|AUH|
AUH|ARN,|ARN|IST|AUH|
AUH|ASR,|ASR|IST|AUH|
AUH|ATH,|ATH|IST|AUH|
AUH|BAH,|BAH|MCT|AUH|
AUH|BEG,|BEG|IST|AUH|
AUH|BEN,|BEN|IST|AUH|
AUH|BEY,|BEY|IST|AUH|
AUH|BHX,|BHX|IST|AUH|
AUH|BIO,|BIO|IST|AUH|
AUH|BLQ,|BLQ|IST|AUH|
AUH|BOM,|BOM|IST|AUH|
AUH|BRE,|BRE|IST|AUH|
AUH|BSL,|BSL|IST|AUH|
AUH|BSR,|BSR|IST|AUH|
AUH|BUD,|BUD|IST|AUH|
AUH|BUS,|BUS|IST|AUH|
AUH|CAI,|CAI|IST|AUH|
AUH|CGN,|CGN|IST|AUH|
AUH|CMN,|CMN|IST|AUH|
AUH|CND,|CND|IST|AUH|
AUH|DAR,|DAR|IST|AUH|
AUH|DLM,|DLM|IST|AUH|
AUH|DMM,|DMM|IST|AUH|
AUH|DNK,|DNK|IST|AUH|
AUH|DNZ,|DNZ|IST|AUH|
AUH|DOK,|DOK|IST|AUH|
AUH|DUS,|DUS|IST|AUH|
AUH|EDI,|EDI|IST|AUH|
AUH|ELQ,|ELQ|IST|AUH|
AUH|FDH,|FDH|IST|AUH|
AUH|GOA,|GOA|IST|AUH|
AUH|GOT,|GOT|IST|AUH|
AUH|HAJ,|HAJ|IST|AUH|
AUH|HBE,|HBE|IST|AUH|
AUH|HEL,|HEL|IST|AUH|
AUH|HRG,|HRG|IST|AUH|
AUH|IFN,|IFN|IST|AUH|
AUH|ISE,|ISE|IST|AUH|
AUH|ISU,|ISU|IST|AUH|
AUH|JIB,|JIB|IST|AUH|
AUH|JRO,|JRO|IST|AUH|
AUH|KAN,|KAN|IST|AUH|
AUH|KBL,|KBL|IST|AUH|
AUH|KBP,|KBP|IST|AUH|
AUH|KFS,|KFS|IST|AUH|
AUH|KHI,|KHI|IST|AUH|
AUH|KIV,|KIV|IST|AUH|
AUH|KRT,|KRT|IST|AUH|
AUH|KSH,|KSH|IST|AUH|
AUH|KVD,|KVD|IST|AUH|
AUH|KWI,|KWI|BAH|MCT|AUH|
AUH|KYA,|KYA|IST|AUH|
AUH|KZN,|KZN|IST|AUH|
AUH|KZR,|KZR|IST|AUH|
AUH|LED,|LED|IST|AUH|
AUH|LEJ,|LEJ|IST|AUH|
AUH|LGW,|LGW|IST|AUH|
AUH|LHE,|LHE|IST|AUH|
AUH|LIS,|LIS|IST|AUH|
AUH|LJU,|LJU|IST|AUH|
AUH|LOS,|LOS|IST|AUH|
AUH|LUX,|LUX|IST|AUH|
AUH|LWO,|LWO|IST|AUH|
AUH|LYS,|LYS|IST|AUH|
AUH|MAD,|MAD|IST|AUH|
AUH|MAN,|MAN|IST|AUH|
AUH|MED,|MED|IST|AUH|
AUH|MHD,|MHD|IST|AUH|
AUH|MLA,|MLA|IST|AUH|
AUH|MRS,|MRS|IST|AUH|
AUH|MSQ,|MSQ|IST|AUH|
AUH|MXP,|MXP|IST|AUH|
AUH|MZH,|MZH|IST|AUH|
AUH|MZR,|MZR|IST|AUH|
AUH|NAJ,|NAJ|IST|AUH|
AUH|NAV,|NAV|IST|AUH|
AUH|NCE,|NCE|IST|AUH|
AUH|NIM,|NIM|IST|AUH|
AUH|NJF,|NJF|IST|AUH|
AUH|NSI,|NSI|IST|AUH|
AUH|NUE,|NUE|IST|AUH|
AUH|ODS,|ODS|IST|AUH|
AUH|ORN,|ORN|IST|AUH|
AUH|OTP,|OTP|IST|AUH|
AUH|PRG,|PRG|IST|AUH|
AUH|PRN,|PRN|IST|AUH|
AUH|RIX,|RIX|IST|AUH|
AUH|ROV,|ROV|IST|AUH|
AUH|RTM,|RTM|IST|AUH|
AUH|RUH,|RUH|IST|AUH|
AUH|SAH,|SAH|IST|AUH|
AUH|SJJ,|SJJ|IST|AUH|
AUH|SKG,|SKG|IST|AUH|
AUH|SKP,|SKP|IST|AUH|
AUH|SSH,|SSH|IST|AUH|
AUH|STR,|STR|IST|AUH|
AUH|SVX,|SVX|IST|AUH|
AUH|SYZ,|SYZ|IST|AUH|
AUH|SZG,|SZG|IST|AUH|
AUH|TBZ,|TBZ|IST|AUH|
AUH|TGD,|TGD|IST|AUH|
AUH|TIA,|TIA|IST|AUH|
AUH|TIF,|TIF|IST|AUH|
AUH|TIP,|TIP|IST|AUH|
AUH|TLL,|TLL|IST|AUH|
AUH|TLS,|TLS|IST|AUH|
AUH|TRN,|TRN|IST|AUH|
AUH|TUN,|TUN|IST|AUH|
AUH|TXL,|TXL|IST|AUH|
AUH|UFA,|UFA|IST|AUH|
AUH|VAS,|VAS|IST|AUH|
AUH|VCE,|VCE|IST|AUH|
AUH|YNB,|YNB|IST|AUH|
AUH|ZAG,|ZAG|IST|AUH|
AUH|MGQ,|MGQ|JIB|IST|AUH|
AUH|CPT,|CPT|JNB|IST|AUH|
AUH|MBA,|MBA|JRO|IST|AUH|
AUH|NDJ,|NDJ|KAN|IST|AUH|
AUH|CMB,|CMB|MLE|IST|AUH|
AUH|ADE,|ADE|SAH|IST|AUH|
AUH|ASF,|ASF|SAW|ADB|IST|AUH|
AUH|STW,|STW|SAW|ADB|IST|AUH|
AUH|LFW,|LFW|ABJ|OUA|NIM|IST|AUH|
AUH|CEC,|CEC|ACV|SMF|SEA|FRA|AUH|
AUH|SMF,|SMF|SEA|FRA|AUH|
AUH|CDR,|CDR|AIA|DEN|FRA|AUH|
AUH|FMN,|FMN|DEN|FRA|AUH|
AUH|JST,|JST|IAD|FRA|AUH|
AUH|JHW,|JHW|CLE|YYZ|AUH|
AUH|SHD,|SHD|IAD|FRA|AUH|
AUH|PTY,|PTY|MIA|ZRH|IST|AUH|
AUH|FNA,|FNA|BRU|IST|AUH|
AUH|SXB,|SXB|BRU|IST|AUH|
AUH|ACV,|ACV|SMF|SEA|FRA|AUH|
AUH|MGW,|MGW|IAD|FRA|AUH|
AUH|ALB,|ALB|EWR|FRA|AUH|
AUH|AUS,|AUS|CLE|YYZ|AUH|
AUH|BFD,|BFD|CLE|YYZ|AUH|
AUH|BUF,|BUF|EWR|FRA|AUH|
AUH|CHS,|CHS|EWR|FRA|AUH|
AUH|DAY,|DAY|CLE|YYZ|AUH|
AUH|DUJ,|DUJ|CLE|YYZ|AUH|
AUH|ERI,|ERI|CLE|YYZ|AUH|
AUH|FKL,|FKL|CLE|YYZ|AUH|
AUH|FNT,|FNT|CLE|YYZ|AUH|
AUH|GRR,|GRR|CLE|YYZ|AUH|
AUH|GSP,|GSP|EWR|FRA|AUH|
AUH|PBI,|PBI|EWR|FRA|AUH|
AUH|PKB,|PKB|CLE|YYZ|AUH|
AUH|RIC,|RIC|EWR|FRA|AUH|
AUH|SDF,|SDF|CLE|YYZ|AUH|
AUH|GUM,|GUM|FUK|ICN|IST|AUH|
AUH|WRL,|WRL|CYS|DEN|FRA|AUH|
AUH|LBL,|AUH|
AUH|ABQ,|ABQ|DEN|FRA|AUH|
AUH|AIA,|AIA|DEN|FRA|AUH|
AUH|ALS,|ALS|DEN|FRA|AUH|
AUH|AMA,|AMA|DEN|FRA|AUH|
AUH|ANC,|ANC|SEA|FRA|AUH|
AUH|ASE,|ASE|DEN|FRA|AUH|
AUH|BFL,|BFL|LAX|IST|AUH|
AUH|BHM,|BHM|BWI|EWR|FRA|AUH|
AUH|BIL,|BIL|DEN|FRA|AUH|
AUH|BIS,|BIS|DEN|FRA|AUH|
AUH|BOI,|BOI|DEN|FRA|AUH|
AUH|BUR,|BUR|DEN|FRA|AUH|
AUH|BZN,|BZN|ORD|YYZ|AUH|
AUH|CID,|CID|ORD|YYZ|AUH|
AUH|COD,|COD|DEN|FRA|AUH|
