YPR|BRU,|BRU|YUL|YVR|YPR|
YPR|TLV,|TLV|IST|MUC|YVR|YPR|
YPR|TPA,|TPA|DEN|YVR|YPR|
YPR|UVF,|UVF|YYZ|YVR|YPR|
YPR|VIE,|VIE|YYZ|YVR|YPR|
YPR|YAM,|YAM|YYZ|YVR|YPR|
YPR|YGK,|YGK|YYZ|YVR|YPR|
YPR|YQG,|YQG|YYC|YVR|YPR|
YPR|YSB,|YSB|YYZ|YVR|YPR|
YPR|YTS,|YTS|YYZ|YVR|YPR|
YPR|YYB,|YYB|YYZ|YVR|YPR|
YPR|YZR,|YZR|YYZ|YVR|YPR|
YPR|CAN,|CAN|YVR|YPR|
YPR|URC,|URC|PEK|YVR|YPR|
YPR|CTU,|CTU|PEK|YVR|YPR|
YPR|HGH,|HGH|DLC|ICN|YVR|YPR|
YPR|XMN,|XMN|PEK|YVR|YPR|
YPR|CGO,|CGO|PEK|YVR|YPR|
YPR|CSX,|CSX|ICN|YVR|YPR|
YPR|SHE,|SHE|ICN|YVR|YPR|
YPR|SJW,|SJW|DLC|ICN|YVR|YPR|
YPR|WUH,|WUH|ICN|YVR|YPR|
YPR|SZX,|SZX|PVG|YVR|YPR|
YPR|CKG,|CKG|PEK|YVR|YPR|
YPR|KMG,|KMG|PEK|YVR|YPR|
YPR|FOC,|FOC|PEK|YVR|YPR|
YPR|NNG,|NNG|PEK|YVR|YPR|
YPR|SWA,|SWA|PEK|YVR|YPR|
YPR|ACX,|ACX|CAN|YVR|YPR|
YPR|AQG,|AQG|CAN|YVR|YPR|
YPR|AVA,|AVA|CAN|YVR|YPR|
YPR|BFJ,|BFJ|CAN|YVR|YPR|
YPR|BHY,|BHY|CSX|ICN|YVR|YPR|
YPR|BNE,|BNE|CAN|YVR|YPR|
YPR|CGD,|CGD|PEK|YVR|YPR|
YPR|CGK,|CGK|CAN|YVR|YPR|
YPR|CGQ,|CGQ|ICN|YVR|YPR|
YPR|CIH,|CIH|PEK|YVR|YPR|
YPR|CNX,|CNX|CAN|YVR|YPR|
YPR|CZX,|CZX|SHE|ICN|YVR|YPR|
YPR|DAC,|DAC|CAN|YVR|YPR|
YPR|DAD,|DAD|CAN|YVR|YPR|
YPR|DEL,|DEL|CAN|YVR|YPR|
YPR|DIG,|DIG|KMG|PEK|YVR|YPR|
YPR|DLC,|DLC|ICN|YVR|YPR|
YPR|DPS,|DPS|SZX|PVG|YVR|YPR|
YPR|DXB,|DXB|IST|MUC|YVR|YPR|
YPR|DYG,|DYG|PEK|YVR|YPR|
YPR|FUG,|FUG|CAN|YVR|YPR|
YPR|FUK,|FUK|ICN|YVR|YPR|
YPR|HAK,|HAK|CAN|YVR|YPR|
YPR|HAN,|HAN|PEK|YVR|YPR|
YPR|HDG,|HDG|CAN|YVR|YPR|
YPR|HET,|HET|DLC|ICN|YVR|YPR|
YPR|HFE,|HFE|TYN|DLC|ICN|YVR|YPR|
YPR|HJJ,|HJJ|CSX|ICN|YVR|YPR|
YPR|HKT,|HKT|KWE|PEK|YVR|YPR|
YPR|HRB,|HRB|ICN|YVR|YPR|
YPR|HZH,|HZH|CAN|YVR|YPR|
YPR|JIU,|JIU|CAN|YVR|YPR|
YPR|JJN,|JJN|PEK|YVR|YPR|
YPR|JNG,|JNG|CAN|YVR|YPR|
YPR|KHN,|KHN|DLC|ICN|YVR|YPR|
YPR|KIX,|KIX|DLC|ICN|YVR|YPR|
YPR|KOW,|KOW|PEK|YVR|YPR|
YPR|KTM,|KTM|CAN|YVR|YPR|
YPR|KUL,|KUL|PVG|YVR|YPR|
YPR|KWE,|KWE|PEK|YVR|YPR|
YPR|KWL,|KWL|PEK|YVR|YPR|
YPR|LHW,|LHW|CGO|PEK|YVR|YPR|
YPR|LYA,|LYA|KHN|DLC|ICN|YVR|YPR|
YPR|LYG,|LYG|HSN|PEK|YVR|YPR|
YPR|LZH,|LZH|CAN|YVR|YPR|
YPR|MEL,|MEL|SYD|YVR|YPR|
YPR|MIG,|MIG|CSX|ICN|YVR|YPR|
YPR|MLE,|MLE|CAN|YVR|YPR|
YPR|MNL,|MNL|XMN|PEK|YVR|YPR|
YPR|MXZ,|MXZ|CAN|YVR|YPR|
YPR|NAO,|NAO|PEK|YVR|YPR|
YPR|NGB,|NGB|DLC|ICN|YVR|YPR|
YPR|NKG,|NKG|DLC|ICN|YVR|YPR|
YPR|NNY,|NNY|CGO|PEK|YVR|YPR|
YPR|PEN,|PEN|CAN|YVR|YPR|
YPR|PER,|PER|CAN|YVR|YPR|
YPR|PNH,|PNH|CAN|YVR|YPR|
YPR|REP,|REP|ICN|YVR|YPR|
YPR|RGN,|RGN|CAN|YVR|YPR|
YPR|SGN,|SGN|HKG|YVR|YPR|
YPR|SHA,|SHA|PEK|YVR|YPR|
YPR|SIN,|SIN|HKG|YVR|YPR|
YPR|SVO,|SVO|URC|PEK|YVR|YPR|
YPR|SYX,|SYX|CAN|YVR|YPR|
YPR|TAO,|TAO|DLC|ICN|YVR|YPR|
YPR|TEN,|TEN|PEK|YVR|YPR|
YPR|TNA,|TNA|DLC|ICN|YVR|YPR|
YPR|TPE,|TPE|PVG|YVR|YPR|
YPR|TSN,|TSN|DLC|ICN|YVR|YPR|
YPR|TXN,|TXN|DLC|ICN|YVR|YPR|
YPR|TYN,|TYN|DLC|ICN|YVR|YPR|
YPR|WNZ,|WNZ|CGO|PEK|YVR|YPR|
YPR|WUX,|WUX|CAN|YVR|YPR|
YPR|XFN,|XFN|CAN|YVR|YPR|
YPR|XIY,|XIY|PEK|YVR|YPR|
YPR|XUZ,|XUZ|LYG|HSN|PEK|YVR|YPR|
YPR|YIH,|YIH|CKG|PEK|YVR|YPR|
YPR|YIW,|YIW|PEK|YVR|YPR|
YPR|YNT,|YNT|SHE|ICN|YVR|YPR|
YPR|YNZ,|YNZ|DLC|ICN|YVR|YPR|
YPR|YTY,|YTY|DLC|ICN|YVR|YPR|
YPR|ZHA,|ZHA|CAN|YVR|YPR|
YPR|ZYI,|ZYI|PEK|YVR|YPR|
YPR|BAV,|BAV|SJW|DLC|ICN|YVR|YPR|
YPR|CJU,|CJU|DLC|ICN|YVR|YPR|
YPR|DSN,|DSN|CGO|PEK|YVR|YPR|
YPR|HMI,|HMI|CGO|PEK|YVR|YPR|
YPR|INC,|INC|PEK|YVR|YPR|
YPR|KHH,|KHH|CGO|PEK|YVR|YPR|
YPR|UYN,|UYN|CGO|PEK|YVR|YPR|
YPR|XNN,|XNN|PEK|YVR|YPR|
YPR|ZUH,|ZUH|PVG|YVR|YPR|
YPR|YNJ,|YNJ|ICN|YVR|YPR|
YPR|DAT,|DAT|CIH|PEK|YVR|YPR|
YPR|JHG,|JHG|CKG|PEK|YVR|YPR|
YPR|LJG,|LJG|CKG|PEK|YVR|YPR|
YPR|LXA,|LXA|XIY|PEK|YVR|YPR|
YPR|YCU,|YCU|CSX|ICN|YVR|YPR|
YPR|LZO,|LZO|CSX|ICN|YVR|YPR|
YPR|MDG,|MDG|ICN|YVR|YPR|
YPR|NGO,|NGO|ICN|YVR|YPR|
YPR|TOY,|TOY|DLC|ICN|YVR|YPR|
YPR|MFM,|MFM|XMN|PEK|YVR|YPR|
YPR|TGO,|TGO|HET|DLC|ICN|YVR|YPR|
YPR|XIL,|XIL|HET|DLC|ICN|YVR|YPR|
YPR|HEK,|HEK|HRB|ICN|YVR|YPR|
YPR|KIJ,|KIJ|HRB|ICN|YVR|YPR|
YPR|LDS,|LDS|HRB|ICN|YVR|YPR|
YPR|OHE,|OHE|HRB|ICN|YVR|YPR|
YPR|HSN,|HSN|PEK|YVR|YPR|
YPR|DLU,|DLU|KMG|PEK|YVR|YPR|
YPR|SYM,|SYM|KMG|PEK|YVR|YPR|
YPR|ZAT,|ZAT|KMG|PEK|YVR|YPR|
YPR|LUN,|LUN|NBO|IST|MUC|YVR|YPR|
YPR|AOG,|AOG|PEK|YVR|YPR|
YPR|GMP,|GMP|PEK|YVR|YPR|
YPR|ISB,|ISB|PEK|YVR|YPR|
YPR|TAS,|TAS|PEK|YVR|YPR|
YPR|WUS,|WUS|PEK|YVR|YPR|
YPR|JMU,|JMU|PVG|YVR|YPR|
YPR|NDG,|NDG|PVG|YVR|YPR|
YPR|JXA,|JXA|SHE|ICN|YVR|YPR|
YPR|PUS,|PUS|SHE|ICN|YVR|YPR|
YPR|BKI,|BKI|SZX|PVG|YVR|YPR|
YPR|AKU,|AKU|URC|PEK|YVR|YPR|
YPR|ALA,|ALA|URC|PEK|YVR|YPR|
YPR|ASB,|ASB|GYD|FRA|YVR|YPR|
YPR|DNH,|DNH|XIY|PEK|YVR|YPR|
YPR|DYU,|DYU|URC|PEK|YVR|YPR|
YPR|FRU,|FRU|URC|PEK|YVR|YPR|
YPR|GYD,|GYD|FRA|YVR|YPR|
YPR|HTN,|HTN|URC|PEK|YVR|YPR|
YPR|IKA,|IKA|SAW|MUC|YVR|YPR|
YPR|KCA,|KCA|URC|PEK|YVR|YPR|
YPR|KHG,|KHG|URC|PEK|YVR|YPR|
YPR|KRL,|KRL|URC|PEK|YVR|YPR|
YPR|KRY,|KRY|URC|PEK|YVR|YPR|
YPR|LBD,|LBD|URC|PEK|YVR|YPR|
YPR|NLT,|NLT|URC|PEK|YVR|YPR|
YPR|OSS,|OSS|URC|PEK|YVR|YPR|
YPR|OVB,|OVB|URC|PEK|YVR|YPR|
YPR|TBS,|TBS|SAW|MUC|YVR|YPR|
YPR|TCG,|TCG|URC|PEK|YVR|YPR|
YPR|TSE,|TSE|URC|PEK|YVR|YPR|
YPR|YIN,|YIN|URC|PEK|YVR|YPR|
YPR|ENH,|ENH|WUH|ICN|YVR|YPR|
YPR|ENY,|ENY|XIY|PEK|YVR|YPR|
YPR|WXN,|WXN|XIY|PEK|YVR|YPR|
YPR|BLL,|BLL|IST|MUC|YVR|YPR|
YPR|ESB,|ESB|FRA|YVR|YPR|
YPR|SAW,|SAW|MUC|YVR|YPR|
YPR|HAM,|HAM|EWR|YVR|YPR|
YPR|HRE,|HRE|ADD|IST|MUC|YVR|YPR|
YPR|JUB,|JUB|CAI|IST|MUC|YVR|YPR|
YPR|SSG,|SSG|DLA|IST|MUC|YVR|YPR|
YPR|BGW,|BGW|ESB|FRA|YVR|YPR|
YPR|EBL,|EBL|IST|MUC|YVR|YPR|
YPR|VKO,|VKO|IST|MUC|YVR|YPR|
YPR|MCT,|MCT|IST|MUC|YVR|YPR|
YPR|AYT,|AYT|IST|MUC|YVR|YPR|
YPR|SCQ,|SCQ|BIO|IST|MUC|YVR|YPR|
YPR|AAL,|AAL|IST|MUC|YVR|YPR|
YPR|AOE,|AOE|BRU|YUL|YVR|YPR|
YPR|JNB,|JNB|JFK|YYZ|YVR|YPR|
YPR|LBV,|LBV|DLA|IST|MUC|YVR|YPR|
YPR|ADA,|ADA|IST|MUC|YVR|YPR|
YPR|ADB,|ADB|IST|MUC|YVR|YPR|
YPR|ADF,|ADF|ESB|FRA|YVR|YPR|
YPR|AJI,|AJI|ESB|FRA|YVR|YPR|
YPR|BAL,|BAL|ESB|FRA|YVR|YPR|
YPR|BJV,|BJV|IST|MUC|YVR|YPR|
YPR|CKZ,|CKZ|ESB|FRA|YVR|YPR|
YPR|DIY,|DIY|ESB|FRA|YVR|YPR|
YPR|ECN,|ECN|IST|MUC|YVR|YPR|
YPR|ERC,|ERC|ESB|FRA|YVR|YPR|
YPR|ERZ,|ERZ|ESB|FRA|YVR|YPR|
YPR|EZS,|EZS|ESB|FRA|YVR|YPR|
YPR|GNY,|GNY|ESB|FRA|YVR|YPR|
YPR|GZP,|GZP|ESB|FRA|YVR|YPR|
YPR|GZT,|GZT|SAW|MUC|YVR|YPR|
YPR|HTY,|HTY|SAW|MUC|YVR|YPR|
YPR|KCM,|KCM|ESB|FRA|YVR|YPR|
YPR|KSY,|KSY|SAW|MUC|YVR|YPR|
YPR|MLX,|MLX|ESB|FRA|YVR|YPR|
YPR|MQM,|MQM|ESB|FRA|YVR|YPR|
YPR|MSR,|MSR|ESB|FRA|YVR|YPR|
YPR|TEQ,|TEQ|ESB|FRA|YVR|YPR|
YPR|TZX,|TZX|SAW|MUC|YVR|YPR|
YPR|VAN,|VAN|ESB|FRA|YVR|YPR|
YPR|ULN,|ULN|FRU|URC|PEK|YVR|YPR|
YPR|HIJ,|HIJ|ICN|YVR|YPR|
YPR|VVO,|VVO|ICN|YVR|YPR|
YPR|ACC,|ACC|IST|MUC|YVR|YPR|
YPR|AER,|AER|IST|MUC|YVR|YPR|
YPR|AGP,|AGP|IST|MUC|YVR|YPR|
YPR|ALG,|ALG|IST|MUC|YVR|YPR|
YPR|AMM,|AMM|IST|MUC|YVR|YPR|
YPR|AQJ,|AQJ|IST|MUC|YVR|YPR|
YPR|ARN,|ARN|EWR|YVR|YPR|
YPR|ASR,|ASR|SAW|MUC|YVR|YPR|
YPR|ATH,|ATH|IST|MUC|YVR|YPR|
YPR|BAH,|BAH|IST|MUC|YVR|YPR|
YPR|BEG,|BEG|IST|MUC|YVR|YPR|
YPR|BEN,|BEN|IST|MUC|YVR|YPR|
YPR|BEY,|BEY|IST|MUC|YVR|YPR|
YPR|BHX,|BHX|EWR|YVR|YPR|
YPR|BIO,|BIO|IST|MUC|YVR|YPR|
YPR|BLQ,|BLQ|IST|MUC|YVR|YPR|
YPR|BOM,|BOM|IST|MUC|YVR|YPR|
YPR|BRE,|BRE|IST|MUC|YVR|YPR|
YPR|BSL,|BSL|IST|MUC|YVR|YPR|
YPR|BSR,|BSR|IST|MUC|YVR|YPR|
YPR|BUD,|BUD|IST|MUC|YVR|YPR|
YPR|BUS,|BUS|IST|MUC|YVR|YPR|
YPR|CAI,|CAI|IST|MUC|YVR|YPR|
YPR|CGN,|CGN|IST|MUC|YVR|YPR|
YPR|CMN,|CMN|IST|MUC|YVR|YPR|
YPR|CND,|CND|IST|MUC|YVR|YPR|
YPR|DAR,|DAR|IST|MUC|YVR|YPR|
YPR|DLM,|DLM|IST|MUC|YVR|YPR|
YPR|DMM,|DMM|IST|MUC|YVR|YPR|
YPR|DNK,|DNK|IST|MUC|YVR|YPR|
YPR|DNZ,|DNZ|IST|MUC|YVR|YPR|
YPR|DOK,|DOK|IST|MUC|YVR|YPR|
YPR|DUS,|DUS|ORD|YVR|YPR|
YPR|EDI,|EDI|EWR|YVR|YPR|
YPR|ELQ,|ELQ|IST|MUC|YVR|YPR|
YPR|FDH,|FDH|IST|MUC|YVR|YPR|
YPR|GOA,|GOA|IST|MUC|YVR|YPR|
YPR|GOT,|GOT|BRU|YUL|YVR|YPR|
YPR|HAJ,|HAJ|BRU|YUL|YVR|YPR|
YPR|HBE,|HBE|IST|MUC|YVR|YPR|
YPR|HEL,|HEL|IST|MUC|YVR|YPR|
YPR|HRG,|HRG|IST|MUC|YVR|YPR|
YPR|IFN,|IFN|IST|MUC|YVR|YPR|
YPR|ISE,|ISE|IST|MUC|YVR|YPR|
YPR|ISU,|ISU|IST|MUC|YVR|YPR|
YPR|JIB,|JIB|IST|MUC|YVR|YPR|
YPR|JRO,|JRO|IST|MUC|YVR|YPR|
YPR|KAN,|KAN|IST|MUC|YVR|YPR|
YPR|KBL,|KBL|IST|MUC|YVR|YPR|
YPR|KBP,|KBP|IST|MUC|YVR|YPR|
YPR|KFS,|KFS|IST|MUC|YVR|YPR|
YPR|KHI,|KHI|IST|MUC|YVR|YPR|
YPR|KIV,|KIV|IST|MUC|YVR|YPR|
YPR|KRT,|KRT|IST|MUC|YVR|YPR|
YPR|KSH,|KSH|IST|MUC|YVR|YPR|
YPR|KVD,|KVD|IST|MUC|YVR|YPR|
YPR|KWI,|KWI|SAW|MUC|YVR|YPR|
YPR|KYA,|KYA|IST|MUC|YVR|YPR|
YPR|KZN,|KZN|IST|MUC|YVR|YPR|
YPR|KZR,|KZR|IST|MUC|YVR|YPR|
YPR|LED,|LED|VIE|YYZ|YVR|YPR|
YPR|LEJ,|LEJ|IST|MUC|YVR|YPR|
YPR|LGW,|LGW|IST|MUC|YVR|YPR|
YPR|LHE,|LHE|IST|MUC|YVR|YPR|
YPR|LIS,|LIS|EWR|YVR|YPR|
YPR|LJU,|LJU|IST|MUC|YVR|YPR|
YPR|LOS,|LOS|FRA|YVR|YPR|
YPR|LUX,|LUX|IST|MUC|YVR|YPR|
YPR|LWO,|LWO|IST|MUC|YVR|YPR|
YPR|LYS,|LYS|IST|MUC|YVR|YPR|
YPR|MAD,|MAD|EWR|YVR|YPR|
YPR|MAN,|MAN|EWR|YVR|YPR|
YPR|MED,|MED|IST|MUC|YVR|YPR|
YPR|MHD,|MHD|IST|MUC|YVR|YPR|
YPR|MLA,|MLA|IST|MUC|YVR|YPR|
YPR|MRS,|MRS|IST|MUC|YVR|YPR|
YPR|MSQ,|MSQ|IST|MUC|YVR|YPR|
YPR|MXP,|MXP|EWR|YVR|YPR|
YPR|MZH,|MZH|IST|MUC|YVR|YPR|
YPR|MZR,|MZR|IST|MUC|YVR|YPR|
YPR|NAJ,|NAJ|IST|MUC|YVR|YPR|
YPR|NAV,|NAV|IST|MUC|YVR|YPR|
YPR|NCE,|NCE|IST|MUC|YVR|YPR|
YPR|NIM,|NIM|IST|MUC|YVR|YPR|
YPR|NJF,|NJF|IST|MUC|YVR|YPR|
YPR|NSI,|NSI|IST|MUC|YVR|YPR|
YPR|NUE,|NUE|IST|MUC|YVR|YPR|
YPR|ODS,|ODS|IST|MUC|YVR|YPR|
YPR|ORN,|ORN|IST|MUC|YVR|YPR|
YPR|OTP,|OTP|IST|MUC|YVR|YPR|
YPR|PRG,|PRG|BRU|YUL|YVR|YPR|
YPR|PRN,|PRN|IST|MUC|YVR|YPR|
YPR|RIX,|RIX|IST|MUC|YVR|YPR|
YPR|ROV,|ROV|IST|MUC|YVR|YPR|
YPR|RTM,|RTM|IST|MUC|YVR|YPR|
YPR|RUH,|RUH|IST|MUC|YVR|YPR|
YPR|SAH,|SAH|IST|MUC|YVR|YPR|
YPR|SJJ,|SJJ|IST|MUC|YVR|YPR|
YPR|SKG,|SKG|IST|MUC|YVR|YPR|
YPR|SKP,|SKP|IST|MUC|YVR|YPR|
YPR|SSH,|SSH|IST|MUC|YVR|YPR|
YPR|STR,|STR|EWR|YVR|YPR|
YPR|SVX,|SVX|IST|MUC|YVR|YPR|
YPR|SYZ,|SYZ|IST|MUC|YVR|YPR|
YPR|SZG,|SZG|IST|MUC|YVR|YPR|
YPR|TBZ,|TBZ|IST|MUC|YVR|YPR|
YPR|TGD,|TGD|IST|MUC|YVR|YPR|
YPR|TIA,|TIA|IST|MUC|YVR|YPR|
