DIK|BRU,|BRU|ORD|DEN|DIK|
DIK|NAO,|NAO|PEK|YVR|DEN|DIK|
DIK|NGB,|NGB|DLC|ICN|YVR|DEN|DIK|
DIK|NKG,|NKG|DLC|ICN|YVR|DEN|DIK|
DIK|NNY,|NNY|CGO|PEK|YVR|DEN|DIK|
DIK|PEN,|PEN|CAN|YVR|DEN|DIK|
DIK|PER,|PER|CAN|YVR|DEN|DIK|
DIK|PNH,|PNH|CAN|YVR|DEN|DIK|
DIK|REP,|REP|ICN|YVR|DEN|DIK|
DIK|RGN,|RGN|CAN|YVR|DEN|DIK|
DIK|SGN,|SGN|HKG|YVR|DEN|DIK|
DIK|SHA,|SHA|PEK|YVR|DEN|DIK|
DIK|SIN,|SIN|HKG|YVR|DEN|DIK|
DIK|SVO,|SVO|URC|PEK|YVR|DEN|DIK|
DIK|SYX,|SYX|CAN|YVR|DEN|DIK|
DIK|TAO,|TAO|DLC|ICN|YVR|DEN|DIK|
DIK|TEN,|TEN|PEK|YVR|DEN|DIK|
DIK|TNA,|TNA|DLC|ICN|YVR|DEN|DIK|
DIK|TPE,|TPE|PVG|YVR|DEN|DIK|
DIK|TSN,|TSN|DLC|ICN|YVR|DEN|DIK|
DIK|TXN,|TXN|DLC|ICN|YVR|DEN|DIK|
DIK|TYN,|TYN|DLC|ICN|YVR|DEN|DIK|
DIK|WNZ,|WNZ|CGO|PEK|YVR|DEN|DIK|
DIK|WUX,|WUX|CAN|YVR|DEN|DIK|
DIK|XFN,|XFN|CAN|YVR|DEN|DIK|
DIK|XIY,|XIY|PEK|YVR|DEN|DIK|
DIK|XUZ,|XUZ|LYG|HSN|PEK|YVR|DEN|DIK|
DIK|YIH,|YIH|CKG|PEK|YVR|DEN|DIK|
DIK|YIW,|YIW|PEK|YVR|DEN|DIK|
DIK|YNT,|YNT|SHE|ICN|YVR|DEN|DIK|
DIK|YNZ,|YNZ|DLC|ICN|YVR|DEN|DIK|
DIK|YTY,|YTY|DLC|ICN|YVR|DEN|DIK|
DIK|ZHA,|ZHA|CAN|YVR|DEN|DIK|
DIK|ZYI,|ZYI|PEK|YVR|DEN|DIK|
DIK|BAV,|BAV|SJW|DLC|ICN|YVR|DEN|DIK|
DIK|CJU,|CJU|DLC|ICN|YVR|DEN|DIK|
DIK|DSN,|DSN|CGO|PEK|YVR|DEN|DIK|
DIK|HMI,|HMI|CGO|PEK|YVR|DEN|DIK|
DIK|INC,|INC|PEK|YVR|DEN|DIK|
DIK|KHH,|KHH|CGO|PEK|YVR|DEN|DIK|
DIK|UYN,|UYN|CGO|PEK|YVR|DEN|DIK|
DIK|XNN,|XNN|PEK|YVR|DEN|DIK|
DIK|ZUH,|ZUH|PVG|YVR|DEN|DIK|
DIK|YNJ,|YNJ|ICN|YVR|DEN|DIK|
DIK|DAT,|DAT|CIH|PEK|YVR|DEN|DIK|
DIK|JHG,|JHG|CKG|PEK|YVR|DEN|DIK|
DIK|LJG,|LJG|CKG|PEK|YVR|DEN|DIK|
DIK|LXA,|LXA|XIY|PEK|YVR|DEN|DIK|
DIK|YCU,|YCU|CSX|ICN|YVR|DEN|DIK|
DIK|LZO,|LZO|CSX|ICN|YVR|DEN|DIK|
DIK|MDG,|MDG|ICN|YVR|DEN|DIK|
DIK|NGO,|NGO|ICN|YVR|DEN|DIK|
DIK|TOY,|TOY|DLC|ICN|YVR|DEN|DIK|
DIK|MFM,|MFM|XMN|PEK|YVR|DEN|DIK|
DIK|TGO,|TGO|HET|DLC|ICN|YVR|DEN|DIK|
DIK|XIL,|XIL|HET|DLC|ICN|YVR|DEN|DIK|
DIK|HEK,|HEK|HRB|ICN|YVR|DEN|DIK|
DIK|KIJ,|KIJ|HRB|ICN|YVR|DEN|DIK|
DIK|LDS,|LDS|HRB|ICN|YVR|DEN|DIK|
DIK|OHE,|OHE|HRB|ICN|YVR|DEN|DIK|
DIK|HSN,|HSN|PEK|YVR|DEN|DIK|
DIK|DLU,|DLU|KMG|PEK|YVR|DEN|DIK|
DIK|SYM,|SYM|KMG|PEK|YVR|DEN|DIK|
DIK|ZAT,|ZAT|KMG|PEK|YVR|DEN|DIK|
DIK|LUN,|LUN|NBO|ZRH|ORD|DEN|DIK|
DIK|AOG,|AOG|PEK|YVR|DEN|DIK|
DIK|GMP,|GMP|PEK|YVR|DEN|DIK|
DIK|ISB,|ISB|IST|FRA|DEN|DIK|
DIK|TAS,|TAS|IST|FRA|DEN|DIK|
DIK|WUS,|WUS|PEK|YVR|DEN|DIK|
DIK|JMU,|JMU|PVG|YVR|DEN|DIK|
DIK|NDG,|NDG|PVG|YVR|DEN|DIK|
DIK|JXA,|JXA|SHE|ICN|YVR|DEN|DIK|
DIK|PUS,|PUS|SHE|ICN|YVR|DEN|DIK|
DIK|BKI,|BKI|SZX|PVG|YVR|DEN|DIK|
DIK|AKU,|AKU|URC|PEK|YVR|DEN|DIK|
DIK|ALA,|ALA|TSE|FRA|DEN|DIK|
DIK|ASB,|ASB|GYD|FRA|DEN|DIK|
DIK|DNH,|DNH|XIY|PEK|YVR|DEN|DIK|
DIK|DYU,|DYU|IST|FRA|DEN|DIK|
DIK|FRU,|FRU|IST|FRA|DEN|DIK|
DIK|GYD,|GYD|FRA|DEN|DIK|
DIK|HTN,|HTN|URC|PEK|YVR|DEN|DIK|
DIK|IKA,|IKA|SAW|FRA|DEN|DIK|
DIK|KCA,|KCA|URC|PEK|YVR|DEN|DIK|
DIK|KHG,|KHG|URC|PEK|YVR|DEN|DIK|
DIK|KRL,|KRL|URC|PEK|YVR|DEN|DIK|
DIK|KRY,|KRY|URC|PEK|YVR|DEN|DIK|
DIK|LBD,|LBD|URC|PEK|YVR|DEN|DIK|
DIK|NLT,|NLT|URC|PEK|YVR|DEN|DIK|
DIK|OSS,|OSS|IST|FRA|DEN|DIK|
DIK|OVB,|OVB|URC|PEK|YVR|DEN|DIK|
DIK|TBS,|TBS|SAW|FRA|DEN|DIK|
DIK|TCG,|TCG|URC|PEK|YVR|DEN|DIK|
DIK|TSE,|TSE|FRA|DEN|DIK|
DIK|YIN,|YIN|URC|PEK|YVR|DEN|DIK|
DIK|ENH,|ENH|WUH|ICN|YVR|DEN|DIK|
DIK|ENY,|ENY|XIY|PEK|YVR|DEN|DIK|
DIK|WXN,|WXN|XIY|PEK|YVR|DEN|DIK|
DIK|BLL,|BLL|IST|FRA|DEN|DIK|
DIK|ESB,|ESB|FRA|DEN|DIK|
DIK|SAW,|SAW|FRA|DEN|DIK|
DIK|HAM,|HAM|EWR|DEN|DIK|
DIK|HRE,|HRE|ADD|JED|FRA|DEN|DIK|
DIK|JUB,|JUB|CAI|IST|FRA|DEN|DIK|
DIK|SSG,|SSG|DLA|BRU|ORD|DEN|DIK|
DIK|BGW,|BGW|ESB|FRA|DEN|DIK|
DIK|EBL,|EBL|IST|FRA|DEN|DIK|
DIK|VKO,|VKO|IST|FRA|DEN|DIK|
DIK|MCT,|MCT|IST|FRA|DEN|DIK|
DIK|AYT,|AYT|IST|FRA|DEN|DIK|
DIK|SCQ,|SCQ|BIO|IST|FRA|DEN|DIK|
DIK|AAL,|AAL|IST|FRA|DEN|DIK|
DIK|AOE,|AOE|BRU|ORD|DEN|DIK|
DIK|JNB,|JNB|DKR|IAD|DEN|DIK|
DIK|LBV,|LBV|DLA|BRU|ORD|DEN|DIK|
DIK|ADA,|ADA|SAW|FRA|DEN|DIK|
DIK|ADB,|ADB|IST|FRA|DEN|DIK|
DIK|ADF,|ADF|ESB|FRA|DEN|DIK|
DIK|AJI,|AJI|ESB|FRA|DEN|DIK|
DIK|BAL,|BAL|ESB|FRA|DEN|DIK|
DIK|BJV,|BJV|IST|FRA|DEN|DIK|
DIK|CKZ,|CKZ|ESB|FRA|DEN|DIK|
DIK|DIY,|DIY|ESB|FRA|DEN|DIK|
DIK|ECN,|ECN|IST|FRA|DEN|DIK|
DIK|ERC,|ERC|ESB|FRA|DEN|DIK|
DIK|ERZ,|ERZ|ESB|FRA|DEN|DIK|
DIK|EZS,|EZS|ESB|FRA|DEN|DIK|
DIK|GNY,|GNY|ESB|FRA|DEN|DIK|
DIK|GZP,|GZP|ESB|FRA|DEN|DIK|
DIK|GZT,|GZT|ESB|FRA|DEN|DIK|
DIK|HTY,|HTY|SAW|FRA|DEN|DIK|
DIK|KCM,|KCM|ESB|FRA|DEN|DIK|
DIK|KSY,|KSY|ESB|FRA|DEN|DIK|
DIK|MLX,|MLX|ESB|FRA|DEN|DIK|
DIK|MQM,|MQM|ESB|FRA|DEN|DIK|
DIK|MSR,|MSR|ESB|FRA|DEN|DIK|
DIK|TEQ,|TEQ|ESB|FRA|DEN|DIK|
DIK|TZX,|TZX|ESB|FRA|DEN|DIK|
DIK|VAN,|VAN|ESB|FRA|DEN|DIK|
DIK|ULN,|ULN|FRU|IST|FRA|DEN|DIK|
DIK|HIJ,|HIJ|ICN|YVR|DEN|DIK|
DIK|VVO,|VVO|ICN|YVR|DEN|DIK|
DIK|ACC,|ACC|IST|FRA|DEN|DIK|
DIK|AER,|AER|IST|FRA|DEN|DIK|
DIK|AGP,|AGP|IST|FRA|DEN|DIK|
DIK|ALG,|ALG|IST|FRA|DEN|DIK|
DIK|AMM,|AMM|IST|FRA|DEN|DIK|
DIK|AQJ,|AQJ|IST|FRA|DEN|DIK|
DIK|ARN,|ARN|EWR|DEN|DIK|
DIK|ASR,|ASR|SAW|FRA|DEN|DIK|
DIK|ATH,|ATH|IST|FRA|DEN|DIK|
DIK|BAH,|BAH|IST|FRA|DEN|DIK|
DIK|BEG,|BEG|IST|FRA|DEN|DIK|
DIK|BEN,|BEN|IST|FRA|DEN|DIK|
DIK|BEY,|BEY|IST|FRA|DEN|DIK|
DIK|BHX,|BHX|EWR|DEN|DIK|
DIK|BIO,|BIO|IST|FRA|DEN|DIK|
DIK|BLQ,|BLQ|IST|FRA|DEN|DIK|
DIK|BOM,|BOM|IST|FRA|DEN|DIK|
DIK|BRE,|BRE|IST|FRA|DEN|DIK|
DIK|BSL,|BSL|IST|FRA|DEN|DIK|
DIK|BSR,|BSR|IST|FRA|DEN|DIK|
DIK|BUD,|BUD|IST|FRA|DEN|DIK|
DIK|BUS,|BUS|IST|FRA|DEN|DIK|
DIK|CAI,|CAI|IST|FRA|DEN|DIK|
DIK|CGN,|CGN|IST|FRA|DEN|DIK|
DIK|CMN,|CMN|IST|FRA|DEN|DIK|
DIK|CND,|CND|IST|FRA|DEN|DIK|
DIK|DAR,|DAR|NBO|ZRH|ORD|DEN|DIK|
DIK|DLM,|DLM|IST|FRA|DEN|DIK|
DIK|DMM,|DMM|IST|FRA|DEN|DIK|
DIK|DNK,|DNK|IST|FRA|DEN|DIK|
DIK|DNZ,|DNZ|IST|FRA|DEN|DIK|
DIK|DOK,|DOK|IST|FRA|DEN|DIK|
DIK|DUS,|DUS|ORD|DEN|DIK|
DIK|EDI,|EDI|EWR|DEN|DIK|
DIK|ELQ,|ELQ|IST|FRA|DEN|DIK|
DIK|FDH,|FDH|IST|FRA|DEN|DIK|
DIK|GOA,|GOA|IST|FRA|DEN|DIK|
DIK|GOT,|GOT|BRU|ORD|DEN|DIK|
DIK|HAJ,|HAJ|BRU|ORD|DEN|DIK|
DIK|HBE,|HBE|IST|FRA|DEN|DIK|
DIK|HEL,|HEL|IST|FRA|DEN|DIK|
DIK|HRG,|HRG|IST|FRA|DEN|DIK|
DIK|IFN,|IFN|IST|FRA|DEN|DIK|
DIK|ISE,|ISE|IST|FRA|DEN|DIK|
DIK|ISU,|ISU|IST|FRA|DEN|DIK|
DIK|JIB,|JIB|IST|FRA|DEN|DIK|
DIK|JRO,|JRO|IST|FRA|DEN|DIK|
DIK|KAN,|KAN|IST|FRA|DEN|DIK|
DIK|KBL,|KBL|IST|FRA|DEN|DIK|
DIK|KBP,|KBP|IST|FRA|DEN|DIK|
DIK|KFS,|KFS|IST|FRA|DEN|DIK|
DIK|KHI,|KHI|IST|FRA|DEN|DIK|
DIK|KIV,|KIV|IST|FRA|DEN|DIK|
DIK|KRT,|KRT|IST|FRA|DEN|DIK|
DIK|KSH,|KSH|IST|FRA|DEN|DIK|
DIK|KVD,|KVD|IST|FRA|DEN|DIK|
DIK|KWI,|KWI|SAW|FRA|DEN|DIK|
DIK|KYA,|KYA|IST|FRA|DEN|DIK|
DIK|KZN,|KZN|IST|FRA|DEN|DIK|
DIK|KZR,|KZR|IST|FRA|DEN|DIK|
DIK|LED,|LED|VIE|ORD|DEN|DIK|
DIK|LEJ,|LEJ|IST|FRA|DEN|DIK|
DIK|LGW,|LGW|IST|FRA|DEN|DIK|
DIK|LHE,|LHE|IST|FRA|DEN|DIK|
DIK|LIS,|LIS|EWR|DEN|DIK|
DIK|LJU,|LJU|IST|FRA|DEN|DIK|
DIK|LOS,|LOS|IAH|DEN|DIK|
DIK|LUX,|LUX|IST|FRA|DEN|DIK|
DIK|LWO,|LWO|IST|FRA|DEN|DIK|
DIK|LYS,|LYS|IST|FRA|DEN|DIK|
DIK|MAD,|MAD|EWR|DEN|DIK|
DIK|MAN,|MAN|EWR|DEN|DIK|
DIK|MED,|MED|IST|FRA|DEN|DIK|
DIK|MHD,|MHD|IST|FRA|DEN|DIK|
DIK|MLA,|MLA|IST|FRA|DEN|DIK|
DIK|MRS,|MRS|IST|FRA|DEN|DIK|
DIK|MSQ,|MSQ|IST|FRA|DEN|DIK|
DIK|MXP,|MXP|EWR|DEN|DIK|
DIK|MZH,|MZH|IST|FRA|DEN|DIK|
DIK|MZR,|MZR|IST|FRA|DEN|DIK|
DIK|NAJ,|NAJ|IST|FRA|DEN|DIK|
DIK|NAV,|NAV|IST|FRA|DEN|DIK|
DIK|NCE,|NCE|IST|FRA|DEN|DIK|
DIK|NIM,|NIM|IST|FRA|DEN|DIK|
DIK|NJF,|NJF|IST|FRA|DEN|DIK|
DIK|NSI,|NSI|BRU|ORD|DEN|DIK|
