DYG|BRU,|BRU|IST|URC|CSX|DYG|
DYG|DEL,|DEL|CAN|DYG|
DYG|DIG,|DIG|KMG|CSX|DYG|
DYG|DLC,|DLC|CSX|DYG|
DYG|DPS,|DPS|CAN|DYG|
DYG|DXB,|DXB|CAN|DYG|
DYG|FUG,|FUG|CAN|DYG|
DYG|FUK,|FUK|ICN|CSX|DYG|
DYG|HAK,|HAK|CAN|DYG|
DYG|HAN,|HAN|CAN|DYG|
DYG|HDG,|HDG|CAN|DYG|
DYG|HET,|HET|CSX|DYG|
DYG|HFE,|HFE|CSX|DYG|
DYG|HJJ,|HJJ|CSX|DYG|
DYG|HKT,|HKT|CAN|DYG|
DYG|HRB,|HRB|PEK|DYG|
DYG|HZH,|HZH|CAN|DYG|
DYG|JIU,|JIU|CAN|DYG|
DYG|JJN,|JJN|CSX|DYG|
DYG|JNG,|JNG|CAN|DYG|
DYG|KHN,|KHN|CAN|DYG|
DYG|KIX,|KIX|DLC|CSX|DYG|
DYG|KOW,|KOW|CAN|DYG|
DYG|KTM,|KTM|CAN|DYG|
DYG|KUL,|KUL|CAN|DYG|
DYG|KWE,|KWE|CSX|DYG|
DYG|KWL,|KWL|CAN|DYG|
DYG|LHW,|LHW|CSX|DYG|
DYG|LYA,|LYA|CAN|DYG|
DYG|LYG,|LYG|CAN|DYG|
DYG|LZH,|LZH|CAN|DYG|
DYG|MEL,|MEL|CAN|DYG|
DYG|MIG,|MIG|CSX|DYG|
DYG|MLE,|MLE|CAN|DYG|
DYG|MNL,|MNL|CAN|DYG|
DYG|MXZ,|MXZ|CAN|DYG|
DYG|NAO,|NAO|CAN|DYG|
DYG|NGB,|NGB|CSX|DYG|
DYG|NKG,|NKG|CSX|DYG|
DYG|NNY,|NNY|CAN|DYG|
DYG|PEN,|PEN|CAN|DYG|
DYG|PER,|PER|CAN|DYG|
DYG|PNH,|PNH|CAN|DYG|
DYG|REP,|REP|CAN|DYG|
DYG|RGN,|RGN|CAN|DYG|
DYG|SGN,|SGN|CAN|DYG|
DYG|SHA,|SHA|CSX|DYG|
DYG|SIN,|SIN|CAN|DYG|
DYG|SVO,|SVO|URC|CSX|DYG|
DYG|SYX,|SYX|CAN|DYG|
DYG|TAO,|TAO|CSX|DYG|
DYG|TEN,|TEN|CAN|DYG|
DYG|TNA,|TNA|CSX|DYG|
DYG|TPE,|TPE|DYG|
DYG|TSN,|TSN|CSX|DYG|
DYG|TXN,|TXN|CSX|DYG|
DYG|TYN,|TYN|DYG|
DYG|WNZ,|WNZ|CSX|DYG|
DYG|WUX,|WUX|CAN|DYG|
DYG|XFN,|XFN|CAN|DYG|
DYG|XIY,|XIY|CSX|DYG|
DYG|XUZ,|XUZ|CAN|DYG|
DYG|YIH,|YIH|CKG|CSX|DYG|
DYG|YIW,|YIW|XMN|CSX|DYG|
DYG|YNT,|YNT|CSX|DYG|
DYG|YNZ,|YNZ|XMN|CSX|DYG|
DYG|YTY,|YTY|CSX|DYG|
DYG|ZHA,|ZHA|CAN|DYG|
DYG|ZYI,|ZYI|CAN|DYG|
DYG|BAV,|BAV|CSX|DYG|
DYG|CJU,|CJU|CSX|DYG|
DYG|DSN,|DSN|CGO|YTY|CSX|DYG|
DYG|HMI,|HMI|CGO|YTY|CSX|DYG|
DYG|INC,|INC|TYN|DYG|
DYG|KHH,|KHH|WUH|CAN|DYG|
DYG|UYN,|UYN|XIY|CSX|DYG|
DYG|XNN,|XNN|CSX|DYG|
DYG|ZUH,|ZUH|CSX|DYG|
DYG|YNJ,|YNJ|PEK|DYG|
DYG|DAT,|DAT|TYN|DYG|
DYG|JHG,|JHG|KMG|CSX|DYG|
DYG|LJG,|LJG|KWE|CSX|DYG|
DYG|LXA,|LXA|CKG|CSX|DYG|
DYG|YCU,|YCU|CSX|DYG|
DYG|LZO,|LZO|CSX|DYG|
DYG|MDG,|MDG|DLC|CSX|DYG|
DYG|NGO,|NGO|PVG|CSX|DYG|
DYG|TOY,|TOY|DLC|CSX|DYG|
DYG|MFM,|MFM|XMN|CSX|DYG|
DYG|TGO,|TGO|HET|CSX|DYG|
DYG|XIL,|XIL|HET|CSX|DYG|
DYG|HEK,|HEK|HRB|PEK|DYG|
DYG|KIJ,|KIJ|HRB|PEK|DYG|
DYG|LDS,|LDS|HRB|PEK|DYG|
DYG|OHE,|OHE|HRB|PEK|DYG|
DYG|HSN,|HSN|JJN|CSX|DYG|
DYG|DLU,|DLU|KWE|CSX|DYG|
DYG|SYM,|SYM|KMG|CSX|DYG|
DYG|ZAT,|ZAT|KMG|CSX|DYG|
DYG|LUN,|LUN|NBO|CAN|DYG|
DYG|AOG,|AOG|PEK|DYG|
DYG|GMP,|GMP|PEK|DYG|
DYG|ISB,|ISB|URC|CSX|DYG|
DYG|TAS,|TAS|URC|CSX|DYG|
DYG|WUS,|WUS|PEK|DYG|
DYG|JMU,|JMU|PVG|CSX|DYG|
DYG|NDG,|NDG|PVG|CSX|DYG|
DYG|JXA,|JXA|SHE|PEK|DYG|
DYG|PUS,|PUS|SHE|PEK|DYG|
DYG|BKI,|BKI|SZX|DYG|
DYG|AKU,|AKU|URC|CSX|DYG|
DYG|ALA,|ALA|URC|CSX|DYG|
DYG|ASB,|ASB|URC|CSX|DYG|
DYG|DNH,|DNH|XIY|CSX|DYG|
DYG|DYU,|DYU|URC|CSX|DYG|
DYG|FRU,|FRU|URC|CSX|DYG|
DYG|GYD,|GYD|URC|CSX|DYG|
DYG|HTN,|HTN|URC|CSX|DYG|
DYG|IKA,|IKA|URC|CSX|DYG|
DYG|KCA,|KCA|URC|CSX|DYG|
DYG|KHG,|KHG|URC|CSX|DYG|
DYG|KRL,|KRL|URC|CSX|DYG|
DYG|KRY,|KRY|URC|CSX|DYG|
DYG|LBD,|LBD|URC|CSX|DYG|
DYG|NLT,|NLT|URC|CSX|DYG|
DYG|OSS,|OSS|URC|CSX|DYG|
DYG|OVB,|OVB|URC|CSX|DYG|
DYG|TBS,|TBS|URC|CSX|DYG|
DYG|TCG,|TCG|URC|CSX|DYG|
DYG|TSE,|TSE|URC|CSX|DYG|
DYG|YIN,|YIN|URC|CSX|DYG|
DYG|ENH,|ENH|WUH|CAN|DYG|
DYG|ENY,|ENY|XIY|CSX|DYG|
DYG|WXN,|WXN|XIY|CSX|DYG|
DYG|BLL,|BLL|IST|URC|CSX|DYG|
DYG|ESB,|ESB|SAW|TBS|URC|CSX|DYG|
DYG|SAW,|SAW|TBS|URC|CSX|DYG|
DYG|HAM,|HAM|IST|URC|CSX|DYG|
DYG|HRE,|HRE|ADD|IST|URC|CSX|DYG|
DYG|JUB,|JUB|CAI|IST|URC|CSX|DYG|
DYG|SSG,|SSG|DLA|IST|URC|CSX|DYG|
DYG|BGW,|BGW|ESB|SAW|TBS|URC|CSX|DYG|
DYG|EBL,|EBL|IST|URC|CSX|DYG|
DYG|VKO,|VKO|IST|URC|CSX|DYG|
DYG|MCT,|MCT|IST|URC|CSX|DYG|
DYG|AYT,|AYT|IST|URC|CSX|DYG|
DYG|SCQ,|SCQ|BIO|IST|URC|CSX|DYG|
DYG|AAL,|AAL|IST|URC|CSX|DYG|
DYG|AOE,|AOE|BRU|IST|URC|CSX|DYG|
DYG|JNB,|JNB|IST|URC|CSX|DYG|
DYG|LBV,|LBV|DLA|IST|URC|CSX|DYG|
DYG|ADA,|ADA|SAW|TBS|URC|CSX|DYG|
DYG|ADB,|ADB|IST|URC|CSX|DYG|
DYG|ADF,|ADF|ESB|SAW|TBS|URC|CSX|DYG|
DYG|AJI,|AJI|ESB|SAW|TBS|URC|CSX|DYG|
DYG|BAL,|BAL|ESB|SAW|TBS|URC|CSX|DYG|
DYG|BJV,|BJV|IST|URC|CSX|DYG|
DYG|CKZ,|CKZ|ESB|SAW|TBS|URC|CSX|DYG|
DYG|DIY,|DIY|SAW|TBS|URC|CSX|DYG|
DYG|ECN,|ECN|SAW|TBS|URC|CSX|DYG|
DYG|ERC,|ERC|ESB|SAW|TBS|URC|CSX|DYG|
DYG|ERZ,|ERZ|SAW|TBS|URC|CSX|DYG|
DYG|EZS,|EZS|SAW|TBS|URC|CSX|DYG|
DYG|GNY,|GNY|ESB|SAW|TBS|URC|CSX|DYG|
DYG|GZP,|GZP|ESB|SAW|TBS|URC|CSX|DYG|
DYG|GZT,|GZT|SAW|TBS|URC|CSX|DYG|
DYG|HTY,|HTY|SAW|TBS|URC|CSX|DYG|
DYG|KCM,|KCM|ESB|SAW|TBS|URC|CSX|DYG|
DYG|KSY,|KSY|SAW|TBS|URC|CSX|DYG|
DYG|MLX,|MLX|ESB|SAW|TBS|URC|CSX|DYG|
DYG|MQM,|MQM|SAW|TBS|URC|CSX|DYG|
DYG|MSR,|MSR|ESB|SAW|TBS|URC|CSX|DYG|
DYG|TEQ,|TEQ|ESB|SAW|TBS|URC|CSX|DYG|
DYG|TZX,|TZX|SAW|TBS|URC|CSX|DYG|
DYG|VAN,|VAN|SAW|TBS|URC|CSX|DYG|
DYG|ULN,|ULN|FRU|URC|CSX|DYG|
DYG|HIJ,|HIJ|ICN|CSX|DYG|
DYG|VVO,|VVO|ICN|CSX|DYG|
DYG|ACC,|ACC|IST|URC|CSX|DYG|
DYG|AER,|AER|IST|URC|CSX|DYG|
DYG|AGP,|AGP|IST|URC|CSX|DYG|
DYG|ALG,|ALG|IST|URC|CSX|DYG|
DYG|AMM,|AMM|IST|URC|CSX|DYG|
DYG|AQJ,|AQJ|IST|URC|CSX|DYG|
DYG|ARN,|ARN|IST|URC|CSX|DYG|
DYG|ASR,|ASR|SAW|TBS|URC|CSX|DYG|
DYG|ATH,|ATH|IST|URC|CSX|DYG|
DYG|BAH,|BAH|KWI|SAW|TBS|URC|CSX|DYG|
DYG|BEG,|BEG|IST|URC|CSX|DYG|
DYG|BEN,|BEN|IST|URC|CSX|DYG|
DYG|BEY,|BEY|IST|URC|CSX|DYG|
DYG|BHX,|BHX|IST|URC|CSX|DYG|
DYG|BIO,|BIO|IST|URC|CSX|DYG|
DYG|BLQ,|BLQ|IST|URC|CSX|DYG|
DYG|BOM,|BOM|IST|URC|CSX|DYG|
DYG|BRE,|BRE|IST|URC|CSX|DYG|
DYG|BSL,|BSL|IST|URC|CSX|DYG|
DYG|BSR,|BSR|IST|URC|CSX|DYG|
DYG|BUD,|BUD|IST|URC|CSX|DYG|
DYG|BUS,|BUS|IST|URC|CSX|DYG|
DYG|CAI,|CAI|IST|URC|CSX|DYG|
DYG|CGN,|CGN|IST|URC|CSX|DYG|
DYG|CMN,|CMN|IST|URC|CSX|DYG|
DYG|CND,|CND|IST|URC|CSX|DYG|
DYG|DAR,|DAR|NBO|CAN|DYG|
DYG|DLM,|DLM|IST|URC|CSX|DYG|
DYG|DMM,|DMM|IST|URC|CSX|DYG|
DYG|DNK,|DNK|IST|URC|CSX|DYG|
DYG|DNZ,|DNZ|IST|URC|CSX|DYG|
DYG|DOK,|DOK|IST|URC|CSX|DYG|
DYG|DUS,|DUS|IST|URC|CSX|DYG|
DYG|EDI,|EDI|IST|URC|CSX|DYG|
DYG|ELQ,|ELQ|IST|URC|CSX|DYG|
DYG|FDH,|FDH|IST|URC|CSX|DYG|
DYG|GOA,|GOA|IST|URC|CSX|DYG|
DYG|GOT,|GOT|IST|URC|CSX|DYG|
DYG|HAJ,|HAJ|IST|URC|CSX|DYG|
DYG|HBE,|HBE|IST|URC|CSX|DYG|
DYG|HEL,|HEL|IST|URC|CSX|DYG|
DYG|HRG,|HRG|IST|URC|CSX|DYG|
DYG|IFN,|IFN|IST|URC|CSX|DYG|
DYG|ISE,|ISE|IST|URC|CSX|DYG|
DYG|ISU,|ISU|IST|URC|CSX|DYG|
DYG|JIB,|JIB|IST|URC|CSX|DYG|
DYG|JRO,|JRO|IST|URC|CSX|DYG|
DYG|KAN,|KAN|IST|URC|CSX|DYG|
DYG|KBL,|KBL|IST|URC|CSX|DYG|
DYG|KBP,|KBP|IST|URC|CSX|DYG|
DYG|KFS,|KFS|IST|URC|CSX|DYG|
DYG|KHI,|KHI|IST|URC|CSX|DYG|
DYG|KIV,|KIV|IST|URC|CSX|DYG|
DYG|KRT,|KRT|IST|URC|CSX|DYG|
DYG|KSH,|KSH|IST|URC|CSX|DYG|
DYG|KVD,|KVD|IST|URC|CSX|DYG|
DYG|KWI,|KWI|SAW|TBS|URC|CSX|DYG|
DYG|KYA,|KYA|SAW|TBS|URC|CSX|DYG|
DYG|KZN,|KZN|IST|URC|CSX|DYG|
DYG|KZR,|KZR|IST|URC|CSX|DYG|
DYG|LED,|LED|IST|URC|CSX|DYG|
DYG|LEJ,|LEJ|IST|URC|CSX|DYG|
DYG|LGW,|LGW|IST|URC|CSX|DYG|
DYG|LHE,|LHE|IST|URC|CSX|DYG|
DYG|LIS,|LIS|IST|URC|CSX|DYG|
DYG|LJU,|LJU|IST|URC|CSX|DYG|
DYG|LOS,|LOS|IST|URC|CSX|DYG|
DYG|LUX,|LUX|IST|URC|CSX|DYG|
DYG|LWO,|LWO|IST|URC|CSX|DYG|
DYG|LYS,|LYS|IST|URC|CSX|DYG|
DYG|MAD,|MAD|IST|URC|CSX|DYG|
DYG|MAN,|MAN|IST|URC|CSX|DYG|
DYG|MED,|MED|IST|URC|CSX|DYG|
DYG|MHD,|MHD|IST|URC|CSX|DYG|
DYG|MLA,|MLA|IST|URC|CSX|DYG|
DYG|MRS,|MRS|IST|URC|CSX|DYG|
DYG|MSQ,|MSQ|IST|URC|CSX|DYG|
DYG|MXP,|MXP|IST|URC|CSX|DYG|
DYG|MZH,|MZH|IST|URC|CSX|DYG|
DYG|MZR,|MZR|IST|URC|CSX|DYG|
DYG|NAJ,|NAJ|IST|URC|CSX|DYG|
DYG|NAV,|NAV|IST|URC|CSX|DYG|
DYG|NCE,|NCE|IST|URC|CSX|DYG|
DYG|NIM,|NIM|IST|URC|CSX|DYG|
DYG|NJF,|NJF|IST|URC|CSX|DYG|
DYG|NSI,|NSI|IST|URC|CSX|DYG|
DYG|NUE,|NUE|IST|URC|CSX|DYG|
DYG|ODS,|ODS|IST|URC|CSX|DYG|
DYG|ORN,|ORN|IST|URC|CSX|DYG|
DYG|OTP,|OTP|IST|URC|CSX|DYG|
DYG|PRG,|PRG|IST|URC|CSX|DYG|
DYG|PRN,|PRN|IST|URC|CSX|DYG|
DYG|RIX,|RIX|IST|URC|CSX|DYG|
DYG|ROV,|ROV|IST|URC|CSX|DYG|
DYG|RTM,|RTM|IST|URC|CSX|DYG|
DYG|RUH,|RUH|IST|URC|CSX|DYG|
DYG|SAH,|SAH|IST|URC|CSX|DYG|
DYG|SJJ,|SJJ|IST|URC|CSX|DYG|
DYG|SKG,|SKG|IST|URC|CSX|DYG|
DYG|SKP,|SKP|IST|URC|CSX|DYG|
DYG|SSH,|SSH|IST|URC|CSX|DYG|
DYG|STR,|STR|IST|URC|CSX|DYG|
DYG|SVX,|SVX|IST|URC|CSX|DYG|
DYG|SYZ,|SYZ|IST|URC|CSX|DYG|
DYG|SZG,|SZG|IST|URC|CSX|DYG|
DYG|TBZ,|TBZ|IST|URC|CSX|DYG|
DYG|TGD,|TGD|IST|URC|CSX|DYG|
DYG|TIA,|TIA|IST|URC|CSX|DYG|
DYG|TIF,|TIF|IST|URC|CSX|DYG|
DYG|TIP,|TIP|IST|URC|CSX|DYG|
DYG|TLL,|TLL|IST|URC|CSX|DYG|
DYG|TLS,|TLS|IST|URC|CSX|DYG|
DYG|TRN,|TRN|IST|URC|CSX|DYG|
DYG|TUN,|TUN|IST|URC|CSX|DYG|
DYG|TXL,|TXL|IST|URC|CSX|DYG|
DYG|UFA,|UFA|IST|URC|CSX|DYG|
DYG|VAS,|VAS|SAW|TBS|URC|CSX|DYG|
DYG|VCE,|VCE|IST|URC|CSX|DYG|
DYG|YNB,|YNB|IST|URC|CSX|DYG|
DYG|ZAG,|ZAG|IST|URC|CSX|DYG|
DYG|MGQ,|MGQ|JIB|IST|URC|CSX|DYG|
DYG|CPT,|CPT|JNB|IST|URC|CSX|DYG|
