PVD|BRU,|BRU|EWR|PVD|
PVD|YYR,|YYR|YHZ|EWR|PVD|
PVD|LHR,|LHR|EWR|PVD|
PVD|SFO,|SFO|ORD|PVD|
PVD|YQU,|YQU|YEG|EWR|PVD|
PVD|YZF,|YZF|YEG|EWR|PVD|
PVD|YGR,|YGR|YGP|YQB|EWR|PVD|
PVD|YGP,|YGP|YQB|EWR|PVD|
PVD|BOS,|BOS|EWR|PVD|
PVD|YDF,|YDF|YHZ|EWR|PVD|
PVD|YFC,|YFC|YUL|EWR|PVD|
PVD|YQM,|YQM|EWR|PVD|
PVD|YQX,|YQX|YHZ|EWR|PVD|
PVD|YQY,|YQY|YHZ|EWR|PVD|
PVD|YSJ,|YSJ|YUL|EWR|PVD|
PVD|YYG,|YYG|YHZ|EWR|PVD|
PVD|LAX,|LAX|MDW|PVD|
PVD|DCA,|DCA|EWR|PVD|
PVD|LGA,|LGA|IAD|PVD|
PVD|YZV,|YZV|YQB|EWR|PVD|
PVD|YWL,|YWL|YVR|EWR|PVD|
PVD|AZS,|AZS|YYZ|EWR|PVD|
PVD|BDL,|BDL|BWI|PVD|
PVD|CCC,|CCC|YYZ|EWR|PVD|
PVD|CDG,|CDG|EWR|PVD|
PVD|CUN,|CUN|EWR|PVD|
PVD|CZM,|CZM|YUL|EWR|PVD|
PVD|FDF,|FDF|YUL|EWR|PVD|
PVD|FLL,|FLL|PVD|
PVD|GVA,|GVA|EWR|PVD|
PVD|HOG,|HOG|YYZ|EWR|PVD|
PVD|LAS,|LAS|MDW|PVD|
PVD|MBJ,|MBJ|EWR|PVD|
PVD|MCO,|MCO|PVD|
PVD|MUC,|MUC|EWR|PVD|
PVD|PAP,|PAP|YUL|EWR|PVD|
PVD|PTP,|PTP|YUL|EWR|PVD|
PVD|PUJ,|PUJ|EWR|PVD|
PVD|SNU,|SNU|YYZ|EWR|PVD|
PVD|VRA,|VRA|YYZ|EWR|PVD|
PVD|YBC,|YBC|YUL|EWR|PVD|
PVD|YBG,|YBG|YUL|EWR|PVD|
PVD|YTZ,|YTZ|YUL|EWR|PVD|
PVD|YUY,|YUY|YUL|EWR|PVD|
PVD|YVO,|YVO|YUL|EWR|PVD|
PVD|ZBF,|ZBF|YUL|EWR|PVD|
PVD|ZRH,|ZRH|EWR|PVD|
PVD|ZSA,|ZSA|YUL|EWR|PVD|
PVD|AKL,|AKL|LAX|MDW|PVD|
PVD|HKG,|HKG|EWR|PVD|
PVD|HND,|HND|YVR|EWR|PVD|
PVD|HNL,|HNL|ORD|PVD|
PVD|MEX,|MEX|EWR|PVD|
PVD|OGG,|OGG|ORD|PVD|
PVD|PDX,|PDX|ORD|PVD|
PVD|PEK,|PEK|EWR|PVD|
PVD|PVG,|PVG|EWR|PVD|
PVD|PVR,|PVR|EWR|PVD|
PVD|SEA,|SEA|EWR|PVD|
PVD|SYD,|SYD|LAX|MDW|PVD|
PVD|YBL,|YBL|YVR|EWR|PVD|
PVD|YCD,|YCD|YVR|EWR|PVD|
PVD|YCG,|YCG|YYC|EWR|PVD|
PVD|YKA,|YKA|YYC|EWR|PVD|
PVD|YPR,|YPR|YVR|EWR|PVD|
PVD|YQZ,|YQZ|YVR|EWR|PVD|
PVD|YXC,|YXC|YYC|EWR|PVD|
PVD|YXJ,|YXJ|YYC|EWR|PVD|
PVD|YXS,|YXS|YYC|EWR|PVD|
PVD|YXT,|YXT|YVR|EWR|PVD|
PVD|YXY,|YXY|YVR|EWR|PVD|
PVD|YYD,|YYD|YVR|EWR|PVD|
PVD|YYF,|YYF|YVR|EWR|PVD|
PVD|YZP,|YZP|YVR|EWR|PVD|
PVD|YQT,|YQT|YYZ|EWR|PVD|
PVD|SJD,|SJD|EWR|PVD|
PVD|YQF,|YQF|YYC|EWR|PVD|
PVD|YQL,|YQL|YYC|EWR|PVD|
PVD|YXH,|YXH|YYC|EWR|PVD|
PVD|YWK,|YWK|YZV|YQB|EWR|PVD|
PVD|ANU,|ANU|EWR|PVD|
PVD|AUA,|AUA|EWR|PVD|
PVD|AUH,|AUH|FRA|EWR|PVD|
PVD|BCN,|BCN|EWR|PVD|
PVD|BDA,|BDA|EWR|PVD|
PVD|BGI,|BGI|YYZ|EWR|PVD|
PVD|BNA,|BNA|EWR|PVD|
PVD|BOG,|BOG|EWR|PVD|
PVD|BWI,|BWI|PVD|
PVD|CLE,|CLE|EWR|PVD|
PVD|CLT,|CLT|EWR|PVD|
PVD|CMH,|CMH|EWR|PVD|
PVD|CVG,|CVG|EWR|PVD|
PVD|DFW,|DFW|EWR|PVD|
PVD|DTW,|DTW|EWR|PVD|
PVD|DUB,|DUB|EWR|PVD|
PVD|FCO,|FCO|EWR|PVD|
PVD|GCM,|GCM|EWR|PVD|
PVD|GGT,|GGT|FLL|PVD|
PVD|GND,|GND|YYZ|EWR|PVD|
PVD|GRU,|GRU|EWR|PVD|
PVD|HAV,|HAV|YYZ|EWR|PVD|
PVD|IND,|IND|EWR|PVD|
PVD|JFK,|JFK|IAD|PVD|
PVD|KIN,|KIN|YYZ|EWR|PVD|
PVD|LIM,|LIM|EWR|PVD|
PVD|LIR,|LIR|EWR|PVD|
PVD|MCI,|MCI|MDW|PVD|
PVD|MDT,|MDT|IAD|PVD|
PVD|MIA,|MIA|EWR|PVD|
PVD|MKE,|MKE|EWR|PVD|
PVD|MSP,|MSP|EWR|PVD|
PVD|NAS,|NAS|EWR|PVD|
PVD|PHL,|PHL|IAD|PVD|
PVD|PHX,|PHX|MDW|PVD|
PVD|PIT,|PIT|EWR|PVD|
PVD|PLS,|PLS|EWR|PVD|
PVD|POP,|POP|EWR|PVD|
PVD|RDU,|RDU|EWR|PVD|
PVD|ROC,|ROC|EWR|PVD|
PVD|RSW,|RSW|PVD|
PVD|SAN,|SAN|MDW|PVD|
PVD|SJO,|SJO|EWR|PVD|
PVD|STL,|STL|EWR|PVD|
PVD|SYR,|SYR|EWR|PVD|
PVD|TLV,|TLV|EWR|PVD|
PVD|TPA,|TPA|PVD|
PVD|UVF,|UVF|EWR|PVD|
PVD|VIE,|VIE|IAD|PVD|
PVD|YAM,|YAM|YYZ|EWR|PVD|
PVD|YGK,|YGK|YYZ|EWR|PVD|
PVD|YQG,|YQG|YYZ|EWR|PVD|
PVD|YSB,|YSB|YYZ|EWR|PVD|
PVD|YTS,|YTS|YYZ|EWR|PVD|
PVD|YYB,|YYB|YYZ|EWR|PVD|
PVD|YZR,|YZR|YYZ|EWR|PVD|
PVD|CAN,|CAN|PEK|EWR|PVD|
PVD|URC,|URC|TSE|FRA|EWR|PVD|
PVD|CTU,|CTU|PEK|EWR|PVD|
PVD|HGH,|HGH|PEK|EWR|PVD|
PVD|XMN,|XMN|PEK|EWR|PVD|
PVD|CGO,|CGO|PEK|EWR|PVD|
PVD|CSX,|CSX|PEK|EWR|PVD|
PVD|SHE,|SHE|PEK|EWR|PVD|
PVD|SJW,|SJW|DLC|PEK|EWR|PVD|
PVD|WUH,|WUH|PEK|EWR|PVD|
PVD|SZX,|SZX|PEK|EWR|PVD|
PVD|CKG,|CKG|PEK|EWR|PVD|
PVD|KMG,|KMG|PEK|EWR|PVD|
PVD|FOC,|FOC|PEK|EWR|PVD|
PVD|NNG,|NNG|PEK|EWR|PVD|
PVD|SWA,|SWA|PEK|EWR|PVD|
PVD|ACX,|ACX|CAN|PEK|EWR|PVD|
PVD|AQG,|AQG|CAN|PEK|EWR|PVD|
PVD|AVA,|AVA|CAN|PEK|EWR|PVD|
PVD|BFJ,|BFJ|CAN|PEK|EWR|PVD|
PVD|BHY,|BHY|CGO|PEK|EWR|PVD|
PVD|BNE,|BNE|CAN|PEK|EWR|PVD|
PVD|CGD,|CGD|PEK|EWR|PVD|
PVD|CGK,|CGK|CAN|PEK|EWR|PVD|
PVD|CGQ,|CGQ|PEK|EWR|PVD|
PVD|CIH,|CIH|PEK|EWR|PVD|
PVD|CNX,|CNX|CAN|PEK|EWR|PVD|
PVD|CZX,|CZX|SHE|PEK|EWR|PVD|
PVD|DAC,|DAC|IST|BHX|EWR|PVD|
PVD|DAD,|DAD|CAN|PEK|EWR|PVD|
PVD|DEL,|DEL|EWR|PVD|
PVD|DIG,|DIG|KMG|PEK|EWR|PVD|
PVD|DLC,|DLC|PEK|EWR|PVD|
PVD|DPS,|DPS|SZX|PEK|EWR|PVD|
PVD|DXB,|DXB|IST|BHX|EWR|PVD|
PVD|DYG,|DYG|PEK|EWR|PVD|
PVD|FUG,|FUG|CAN|PEK|EWR|PVD|
PVD|FUK,|FUK|ICN|JFK|IAD|PVD|
PVD|HAK,|HAK|PEK|EWR|PVD|
PVD|HAN,|HAN|PEK|EWR|PVD|
PVD|HDG,|HDG|CAN|PEK|EWR|PVD|
PVD|HET,|HET|DLC|PEK|EWR|PVD|
PVD|HFE,|HFE|XIY|PEK|EWR|PVD|
PVD|HJJ,|HJJ|CSX|PEK|EWR|PVD|
PVD|HKT,|HKT|KWE|PEK|EWR|PVD|
PVD|HRB,|HRB|PEK|EWR|PVD|
PVD|HZH,|HZH|CAN|PEK|EWR|PVD|
PVD|JIU,|JIU|CAN|PEK|EWR|PVD|
PVD|JJN,|JJN|PEK|EWR|PVD|
PVD|JNG,|JNG|CAN|PEK|EWR|PVD|
PVD|KHN,|KHN|DLC|PEK|EWR|PVD|
PVD|KIX,|KIX|DLC|PEK|EWR|PVD|
PVD|KOW,|KOW|PEK|EWR|PVD|
PVD|KTM,|KTM|IST|BHX|EWR|PVD|
PVD|KUL,|KUL|CAN|PEK|EWR|PVD|
PVD|KWE,|KWE|PEK|EWR|PVD|
PVD|KWL,|KWL|PEK|EWR|PVD|
PVD|LHW,|LHW|CGO|PEK|EWR|PVD|
PVD|LYA,|LYA|KHN|DLC|PEK|EWR|PVD|
PVD|LYG,|LYG|HSN|PEK|EWR|PVD|
PVD|LZH,|LZH|CAN|PEK|EWR|PVD|
PVD|MEL,|MEL|SYD|LAX|MDW|PVD|
PVD|MIG,|MIG|CSX|PEK|EWR|PVD|
PVD|MLE,|MLE|IST|BHX|EWR|PVD|
PVD|MNL,|MNL|XMN|PEK|EWR|PVD|
PVD|MXZ,|MXZ|CAN|PEK|EWR|PVD|
PVD|NAO,|NAO|PEK|EWR|PVD|
PVD|NGB,|NGB|PEK|EWR|PVD|
PVD|NKG,|NKG|DLC|PEK|EWR|PVD|
PVD|NNY,|NNY|CGO|PEK|EWR|PVD|
PVD|PEN,|PEN|CAN|PEK|EWR|PVD|
PVD|PER,|PER|CAN|PEK|EWR|PVD|
PVD|PNH,|PNH|CAN|PEK|EWR|PVD|
PVD|REP,|REP|CAN|PEK|EWR|PVD|
PVD|RGN,|RGN|CAN|PEK|EWR|PVD|
PVD|SGN,|SGN|CAN|PEK|EWR|PVD|
PVD|SHA,|SHA|PEK|EWR|PVD|
PVD|SIN,|SIN|CAN|PEK|EWR|PVD|
PVD|SVO,|SVO|URC|TSE|FRA|EWR|PVD|
PVD|SYX,|SYX|PEK|EWR|PVD|
PVD|TAO,|TAO|DLC|PEK|EWR|PVD|
PVD|TEN,|TEN|PEK|EWR|PVD|
PVD|TNA,|TNA|DLC|PEK|EWR|PVD|
PVD|TPE,|TPE|PVG|EWR|PVD|
PVD|TSN,|TSN|DLC|PEK|EWR|PVD|
PVD|TXN,|TXN|DLC|PEK|EWR|PVD|
PVD|TYN,|TYN|DAT|CIH|PEK|EWR|PVD|
PVD|WNZ,|WNZ|CGO|PEK|EWR|PVD|
PVD|WUX,|WUX|CAN|PEK|EWR|PVD|
PVD|XFN,|XFN|XMN|PEK|EWR|PVD|
PVD|XIY,|XIY|PEK|EWR|PVD|
PVD|XUZ,|XUZ|LYG|HSN|PEK|EWR|PVD|
PVD|YIH,|YIH|CKG|PEK|EWR|PVD|
PVD|YIW,|YIW|PEK|EWR|PVD|
PVD|YNT,|YNT|SHE|PEK|EWR|PVD|
PVD|YNZ,|YNZ|DLC|PEK|EWR|PVD|
PVD|YTY,|YTY|DLC|PEK|EWR|PVD|
PVD|ZHA,|ZHA|CAN|PEK|EWR|PVD|
PVD|ZYI,|ZYI|PEK|EWR|PVD|
PVD|BAV,|BAV|CGO|PEK|EWR|PVD|
PVD|CJU,|CJU|DLC|PEK|EWR|PVD|
PVD|DSN,|DSN|CGO|PEK|EWR|PVD|
PVD|HMI,|HMI|URC|TSE|FRA|EWR|PVD|
PVD|INC,|INC|PEK|EWR|PVD|
PVD|KHH,|KHH|CGO|PEK|EWR|PVD|
PVD|UYN,|UYN|CGO|PEK|EWR|PVD|
PVD|XNN,|XNN|PEK|EWR|PVD|
PVD|ZUH,|ZUH|PEK|EWR|PVD|
PVD|YNJ,|YNJ|PEK|EWR|PVD|
PVD|DAT,|DAT|CIH|PEK|EWR|PVD|
PVD|JHG,|JHG|CKG|PEK|EWR|PVD|
PVD|LJG,|LJG|CKG|PEK|EWR|PVD|
PVD|LXA,|LXA|XIY|PEK|EWR|PVD|
PVD|YCU,|YCU|CSX|PEK|EWR|PVD|
PVD|LZO,|LZO|CSX|PEK|EWR|PVD|
PVD|MDG,|MDG|DLC|PEK|EWR|PVD|
PVD|NGO,|NGO|ICN|JFK|IAD|PVD|
PVD|TOY,|TOY|DLC|PEK|EWR|PVD|
PVD|MFM,|MFM|XMN|PEK|EWR|PVD|
PVD|TGO,|TGO|HET|DLC|PEK|EWR|PVD|
PVD|XIL,|XIL|HET|DLC|PEK|EWR|PVD|
PVD|HEK,|HEK|HRB|PEK|EWR|PVD|
PVD|KIJ,|KIJ|HRB|PEK|EWR|PVD|
PVD|LDS,|LDS|HRB|PEK|EWR|PVD|
PVD|OHE,|OHE|HRB|PEK|EWR|PVD|
PVD|HSN,|HSN|PEK|EWR|PVD|
PVD|DLU,|DLU|KMG|PEK|EWR|PVD|
PVD|SYM,|SYM|KMG|PEK|EWR|PVD|
PVD|ZAT,|ZAT|KMG|PEK|EWR|PVD|
PVD|LUN,|LUN|NBO|ZRH|EWR|PVD|
PVD|AOG,|AOG|PEK|EWR|PVD|
PVD|GMP,|GMP|PEK|EWR|PVD|
PVD|ISB,|ISB|IST|BHX|EWR|PVD|
PVD|TAS,|TAS|IST|BHX|EWR|PVD|
PVD|WUS,|WUS|PEK|EWR|PVD|
PVD|JMU,|JMU|PVG|EWR|PVD|
PVD|NDG,|NDG|PVG|EWR|PVD|
PVD|JXA,|JXA|SHE|PEK|EWR|PVD|
PVD|PUS,|PUS|SHE|PEK|EWR|PVD|
PVD|BKI,|BKI|SZX|PEK|EWR|PVD|
PVD|AKU,|AKU|URC|TSE|FRA|EWR|PVD|
PVD|ALA,|ALA|TSE|FRA|EWR|PVD|
PVD|ASB,|ASB|GYD|FRA|EWR|PVD|
PVD|DNH,|DNH|URC|TSE|FRA|EWR|PVD|
PVD|DYU,|DYU|IST|BHX|EWR|PVD|
PVD|FRU,|FRU|IST|BHX|EWR|PVD|
PVD|GYD,|GYD|FRA|EWR|PVD|
PVD|HTN,|HTN|URC|TSE|FRA|EWR|PVD|
PVD|IKA,|IKA|SAW|FRA|EWR|PVD|
PVD|KCA,|KCA|URC|TSE|FRA|EWR|PVD|
PVD|KHG,|KHG|URC|TSE|FRA|EWR|PVD|
PVD|KRL,|KRL|URC|TSE|FRA|EWR|PVD|
PVD|KRY,|KRY|URC|TSE|FRA|EWR|PVD|
PVD|LBD,|LBD|URC|TSE|FRA|EWR|PVD|
PVD|NLT,|NLT|URC|TSE|FRA|EWR|PVD|
PVD|OSS,|OSS|IST|BHX|EWR|PVD|
PVD|OVB,|OVB|IST|BHX|EWR|PVD|
PVD|TBS,|TBS|SAW|FRA|EWR|PVD|
PVD|TCG,|TCG|URC|TSE|FRA|EWR|PVD|
PVD|TSE,|TSE|FRA|EWR|PVD|
PVD|YIN,|YIN|URC|TSE|FRA|EWR|PVD|
PVD|ENH,|ENH|WUH|PEK|EWR|PVD|
PVD|ENY,|ENY|XIY|PEK|EWR|PVD|
PVD|WXN,|WXN|XIY|PEK|EWR|PVD|
PVD|BLL,|BLL|IST|BHX|EWR|PVD|
PVD|ESB,|ESB|FRA|EWR|PVD|
PVD|SAW,|SAW|FRA|EWR|PVD|
PVD|HAM,|HAM|EWR|PVD|
PVD|HRE,|HRE|ADD|JED|FRA|EWR|PVD|
PVD|JUB,|JUB|CAI|IST|BHX|EWR|PVD|
PVD|SSG,|SSG|DLA|BRU|EWR|PVD|
PVD|BGW,|BGW|ESB|FRA|EWR|PVD|
PVD|EBL,|EBL|IST|BHX|EWR|PVD|
PVD|VKO,|VKO|IST|BHX|EWR|PVD|
PVD|MCT,|MCT|IST|BHX|EWR|PVD|
PVD|AYT,|AYT|IST|BHX|EWR|PVD|
PVD|SCQ,|SCQ|BIO|IST|BHX|EWR|PVD|
PVD|AAL,|AAL|IST|BHX|EWR|PVD|
PVD|AOE,|AOE|BRU|EWR|PVD|
PVD|JNB,|JNB|DKR|IAD|PVD|
PVD|LBV,|LBV|DLA|BRU|EWR|PVD|
PVD|ADA,|ADA|SAW|FRA|EWR|PVD|
PVD|ADB,|ADB|HAM|EWR|PVD|
PVD|ADF,|ADF|ESB|FRA|EWR|PVD|
PVD|AJI,|AJI|ESB|FRA|EWR|PVD|
PVD|BAL,|BAL|ESB|FRA|EWR|PVD|
PVD|BJV,|BJV|IST|BHX|EWR|PVD|
PVD|CKZ,|CKZ|ESB|FRA|EWR|PVD|
PVD|DIY,|DIY|ESB|FRA|EWR|PVD|
PVD|ECN,|ECN|IST|BHX|EWR|PVD|
PVD|ERC,|ERC|ESB|FRA|EWR|PVD|
PVD|ERZ,|ERZ|ESB|FRA|EWR|PVD|
PVD|EZS,|EZS|ESB|FRA|EWR|PVD|
PVD|GNY,|GNY|ESB|FRA|EWR|PVD|
PVD|GZP,|GZP|ESB|FRA|EWR|PVD|
PVD|GZT,|GZT|ESB|FRA|EWR|PVD|
PVD|HTY,|HTY|SAW|FRA|EWR|PVD|
PVD|KCM,|KCM|ESB|FRA|EWR|PVD|
PVD|KSY,|KSY|ESB|FRA|EWR|PVD|
PVD|MLX,|MLX|ESB|FRA|EWR|PVD|
PVD|MQM,|MQM|ESB|FRA|EWR|PVD|
PVD|MSR,|MSR|ESB|FRA|EWR|PVD|
PVD|TEQ,|TEQ|ESB|FRA|EWR|PVD|
PVD|TZX,|TZX|ESB|FRA|EWR|PVD|
PVD|VAN,|VAN|ESB|FRA|EWR|PVD|
PVD|ULN,|ULN|FRU|IST|BHX|EWR|PVD|
PVD|HIJ,|HIJ|ICN|JFK|IAD|PVD|
PVD|VVO,|VVO|ICN|JFK|IAD|PVD|
PVD|ACC,|ACC|IST|BHX|EWR|PVD|
PVD|AER,|AER|IST|BHX|EWR|PVD|
PVD|AGP,|AGP|IST|BHX|EWR|PVD|
PVD|ALG,|ALG|IST|BHX|EWR|PVD|
PVD|AMM,|AMM|IST|BHX|EWR|PVD|
PVD|AQJ,|AQJ|IST|BHX|EWR|PVD|
PVD|ARN,|ARN|EWR|PVD|
PVD|ASR,|ASR|SAW|FRA|EWR|PVD|
PVD|ATH,|ATH|IST|BHX|EWR|PVD|
PVD|BAH,|BAH|IST|BHX|EWR|PVD|
PVD|BEG,|BEG|IST|BHX|EWR|PVD|
PVD|BEN,|BEN|IST|BHX|EWR|PVD|
PVD|BEY,|BEY|IST|BHX|EWR|PVD|
PVD|BHX,|BHX|EWR|PVD|
PVD|BIO,|BIO|IST|BHX|EWR|PVD|
PVD|BLQ,|BLQ|IST|BHX|EWR|PVD|
PVD|BOM,|BOM|EWR|PVD|
PVD|BRE,|BRE|IST|BHX|EWR|PVD|
PVD|BSL,|BSL|IST|BHX|EWR|PVD|
PVD|BSR,|BSR|IST|BHX|EWR|PVD|
PVD|BUD,|BUD|IST|BHX|EWR|PVD|
PVD|BUS,|BUS|IST|BHX|EWR|PVD|
PVD|CAI,|CAI|IST|BHX|EWR|PVD|
PVD|CGN,|CGN|IST|BHX|EWR|PVD|
PVD|CMN,|CMN|IST|BHX|EWR|PVD|
PVD|CND,|CND|IST|BHX|EWR|PVD|
PVD|DAR,|DAR|NBO|ZRH|EWR|PVD|
PVD|DLM,|DLM|IST|BHX|EWR|PVD|
PVD|DMM,|DMM|IST|BHX|EWR|PVD|
PVD|DNK,|DNK|IST|BHX|EWR|PVD|
PVD|DNZ,|DNZ|IST|BHX|EWR|PVD|
PVD|DOK,|DOK|IST|BHX|EWR|PVD|
PVD|DUS,|DUS|EWR|PVD|
PVD|EDI,|EDI|EWR|PVD|
PVD|ELQ,|ELQ|IST|BHX|EWR|PVD|
PVD|FDH,|FDH|IST|BHX|EWR|PVD|
PVD|GOA,|GOA|IST|BHX|EWR|PVD|
PVD|GOT,|GOT|BRU|EWR|PVD|
PVD|HAJ,|HAJ|BRU|EWR|PVD|
PVD|HBE,|HBE|IST|BHX|EWR|PVD|
PVD|HEL,|HEL|IST|BHX|EWR|PVD|
PVD|HRG,|HRG|IST|BHX|EWR|PVD|
PVD|IFN,|IFN|IST|BHX|EWR|PVD|
PVD|ISE,|ISE|IST|BHX|EWR|PVD|
PVD|ISU,|ISU|IST|BHX|EWR|PVD|
PVD|JIB,|JIB|IST|BHX|EWR|PVD|
PVD|JRO,|JRO|IST|BHX|EWR|PVD|
PVD|KAN,|KAN|IST|BHX|EWR|PVD|
PVD|KBL,|KBL|IST|BHX|EWR|PVD|
PVD|KBP,|KBP|IST|BHX|EWR|PVD|
PVD|KFS,|KFS|IST|BHX|EWR|PVD|
PVD|KHI,|KHI|IST|BHX|EWR|PVD|
PVD|KIV,|KIV|IST|BHX|EWR|PVD|
PVD|KRT,|KRT|IST|BHX|EWR|PVD|
PVD|KSH,|KSH|IST|BHX|EWR|PVD|
PVD|KVD,|KVD|IST|BHX|EWR|PVD|
PVD|KWI,|KWI|SAW|FRA|EWR|PVD|
PVD|KYA,|KYA|IST|BHX|EWR|PVD|
PVD|KZN,|KZN|IST|BHX|EWR|PVD|
PVD|KZR,|KZR|IST|BHX|EWR|PVD|
PVD|LED,|LED|VIE|IAD|PVD|
PVD|LEJ,|LEJ|IST|BHX|EWR|PVD|
PVD|LGW,|LGW|IST|BHX|EWR|PVD|
PVD|LHE,|LHE|IST|BHX|EWR|PVD|
PVD|LIS,|LIS|EWR|PVD|
PVD|LJU,|LJU|IST|BHX|EWR|PVD|
PVD|LOS,|LOS|FRA|EWR|PVD|
PVD|LUX,|LUX|IST|BHX|EWR|PVD|
PVD|LWO,|LWO|IST|BHX|EWR|PVD|
PVD|LYS,|LYS|IST|BHX|EWR|PVD|
PVD|MAD,|MAD|EWR|PVD|
PVD|MAN,|MAN|EWR|PVD|
PVD|MED,|MED|IST|BHX|EWR|PVD|
PVD|MHD,|MHD|IST|BHX|EWR|PVD|
PVD|MLA,|MLA|IST|BHX|EWR|PVD|
PVD|MRS,|MRS|IST|BHX|EWR|PVD|
PVD|MSQ,|MSQ|IST|BHX|EWR|PVD|
PVD|MXP,|MXP|EWR|PVD|
PVD|MZH,|MZH|IST|BHX|EWR|PVD|
PVD|MZR,|MZR|IST|BHX|EWR|PVD|
PVD|NAJ,|NAJ|IST|BHX|EWR|PVD|
PVD|NAV,|NAV|IST|BHX|EWR|PVD|
PVD|NCE,|NCE|IST|BHX|EWR|PVD|
PVD|NIM,|NIM|IST|BHX|EWR|PVD|
PVD|NJF,|NJF|IST|BHX|EWR|PVD|
PVD|NSI,|NSI|BRU|EWR|PVD|
PVD|NUE,|NUE|IST|BHX|EWR|PVD|
PVD|ODS,|ODS|IST|BHX|EWR|PVD|
PVD|ORN,|ORN|IST|BHX|EWR|PVD|
PVD|OTP,|OTP|IST|BHX|EWR|PVD|
PVD|PRG,|PRG|BRU|EWR|PVD|
PVD|PRN,|PRN|IST|BHX|EWR|PVD|
PVD|RIX,|RIX|IST|BHX|EWR|PVD|
PVD|ROV,|ROV|IST|BHX|EWR|PVD|
PVD|RTM,|RTM|IST|BHX|EWR|PVD|
PVD|RUH,|RUH|IST|BHX|EWR|PVD|
PVD|SAH,|SAH|IST|BHX|EWR|PVD|
PVD|SJJ,|SJJ|IST|BHX|EWR|PVD|
PVD|SKG,|SKG|IST|BHX|EWR|PVD|
PVD|SKP,|SKP|IST|BHX|EWR|PVD|
PVD|SSH,|SSH|IST|BHX|EWR|PVD|
PVD|STR,|STR|EWR|PVD|
PVD|SVX,|SVX|IST|BHX|EWR|PVD|
PVD|SYZ,|SYZ|IST|BHX|EWR|PVD|
PVD|SZG,|SZG|IST|BHX|EWR|PVD|
PVD|TBZ,|TBZ|IST|BHX|EWR|PVD|
PVD|TGD,|TGD|IST|BHX|EWR|PVD|
PVD|TIA,|TIA|IST|BHX|EWR|PVD|
PVD|TIF,|TIF|IST|BHX|EWR|PVD|
PVD|TIP,|TIP|IST|BHX|EWR|PVD|
PVD|TLL,|TLL|VNO|CPH|AMS|EWR|PVD|
PVD|TLS,|TLS|IST|BHX|EWR|PVD|
PVD|TRN,|TRN|IST|BHX|EWR|PVD|
